Date,Open,High,Low,Close,Volume
2005-04-22,59,59,48,49.05,8260443
2005-04-25,49.45,49.85,47.1,47.48,2553778
2005-04-26,47.83,48.13,46.55,46.7,1700389
2005-04-27,46.7,50.88,46.18,48.05,4680904
2005-04-28,48,49.35,47.33,47.78,1853019
2005-04-29,47.93,48.43,46.25,46.7,1106185
2005-05-02,51,51,46.8,47.08,889820
2005-05-03,47.23,47.68,46.35,46.58,840068
2005-05-04,46.9,47.33,46.75,46.9,593692
2005-05-05,47.25,47.63,46.63,46.78,582135
2005-05-06,50.25,50.25,46.4,47.35,467846
2005-05-09,48,48.2,47,47.63,432125
2005-05-10,47.98,47.98,47.1,47.45,248707
2005-05-11,47.13,47.6,46.9,47.28,222767
2005-05-12,47.38,47.5,47.03,47.2,194643
2005-05-13,47.25,47.45,46.75,47.03,213696
2005-05-16,47.1,48.2,47.08,47.65,300142
2005-05-17,47.9,50,47.2,47.98,1495208
2005-05-18,48.13,51.15,47.65,49.3,2985182
2005-05-19,49.5,50.9,48.9,49.15,1629185
2005-05-20,49.4,50.9,48.58,50.43,1340237
2005-05-23,50.95,51.1,49.25,49.45,434986
2005-05-24,48.5,49.75,48.25,48.4,263000
2005-05-25,48.4,48.63,47.9,48.08,161308
2005-05-26,48.38,49.75,48.05,48.55,333243
2005-05-27,48.75,48.98,48,48.13,195307
2005-05-30,48.13,48.6,47.5,47.65,139343
2005-05-31,48,48.08,47.5,47.63,102994
2005-06-01,47.75,48.7,47.68,47.95,167369
2005-06-02,48.33,48.33,47,47.2,108079
2005-06-03,47.98,48,47.2,47.68,144061
2005-06-04,47.5,48.5,47.5,47.9,102444
2005-06-06,48.25,48.45,47.63,47.8,104691
2005-06-07,47.8,48.33,47.5,47.68,119464
2005-06-08,47.68,49.35,47.68,48.18,353943
2005-06-09,48.4,48.65,47.55,47.85,151381
2005-06-10,47.85,48.45,47.4,47.6,121221
2005-06-13,47.9,49.18,47.2,48.03,306778
2005-06-14,48.03,48.45,47.65,47.78,130145
2005-06-15,48.2,49.35,48.2,48.33,435550
2005-06-16,48.48,49.13,47.5,47.63,252195
2005-06-17,47.8,48,46.35,46.53,192096
2005-06-20,47.2,47.25,46.35,46.7,95619
2005-06-21,46.55,46.75,46.25,46.43,75820
2005-06-22,46.35,47.05,46,46.1,160292
2005-06-23,46.1,46.23,45.68,45.85,106410
2005-06-24,45.95,46.48,45.5,45.9,116420
2005-06-27,46,46.25,45.75,45.8,80494
2005-06-28,46,46,44.95,45.05,87941
2005-06-29,45.05,45.25,44.25,44.58,91176
2005-06-30,44.45,45.65,44.2,44.53,113040
2005-07-01,44.5,45,44.03,44.35,78272
2005-07-04,44.35,45.5,44.25,44.63,131192
2005-07-05,44.7,45.5,44.35,44.53,93586
2005-07-06,45,46.48,45,46.28,374866
2005-07-07,46.5,46.78,45.05,45.25,142250
2005-07-08,45.3,46.08,44.95,45.3,71035
2005-07-11,45.83,46.3,45.15,45.4,91835
2005-07-12,45.5,45.65,44.85,45.18,68688
2005-07-13,45.6,45.6,44.93,45,108591
2005-07-14,45.75,45.75,44.5,44.73,74236
2005-07-15,44.8,45.13,44.55,44.65,53589
2005-07-18,45.08,48.75,44.9,48.03,1115251
2005-07-19,48,52.43,48,51.9,3032410
2005-07-20,53.5,53.98,51.13,51.38,1677418
2005-07-21,51.5,51.83,48.98,49.58,881835
2005-07-22,51,51.45,48.78,50.48,1626028
2005-07-25,51,51.2,49.25,49.4,541884
2005-07-26,49.75,49.78,48.2,48.73,205947
2005-07-27,48.75,48.98,48.03,48.2,100308
2005-07-29,47.5,53.5,46.75,52.03,1239063
2005-08-01,51.5,52.45,50.13,50.95,378175
2005-08-02,50.5,52.95,50.5,52.13,986890
2005-08-03,54.75,54.75,51.2,51.85,803097
2005-08-04,52,52.6,51,51.2,435991
2005-08-05,51.35,55.2,51.15,54.43,1728834
2005-08-08,54.4,55.25,53.08,53.63,1603195
2005-08-09,54.5,57,52.5,56.48,2314398
2005-08-10,57.25,65.73,57.25,63.15,8765589
2005-08-11,63.75,66.25,62,62.88,5497798
2005-08-12,63.25,63.63,59.8,60.75,1867000
2005-08-16,62.2,65.85,61.35,63.85,3318342
2005-08-17,63.85,65.4,63.03,63.83,1470568
2005-08-18,64,64.6,61.58,61.8,984236
2005-08-19,61.5,63.2,61,61.58,614955
2005-08-22,61.5,63.7,61.5,61.88,784837
2005-08-23,62,63.48,60.13,60.65,811573
2005-08-24,60.75,61.25,58.75,60.38,574090
2005-08-25,60.93,64,60.15,62.83,1009199
2005-08-26,63.15,63.65,62,62.6,657560
2005-08-29,62.5,67.95,61,65.88,2743869
2005-08-30,66.75,68.38,66.43,66.88,1667764
2005-08-31,67.3,68.35,65.7,66.18,1049473
2005-09-01,66.5,68.35,66.25,66.58,765306
2005-09-02,67.25,69,66.1,66.7,892817
2005-09-05,67.28,67.7,65.13,65.68,328670
2005-09-06,66.3,66.85,64.3,64.95,350488
2005-09-08,65.95,66.38,64.58,64.93,463436
2005-09-09,65,65.55,63.05,63.8,363143
2005-09-12,64,67.25,63.68,65.5,994295
2005-09-13,66.15,66.88,65.05,65.4,588826
2005-09-14,65.48,66.2,63.13,64.73,524564
2005-09-15,65.3,66.73,64.53,66.35,733480
2005-09-16,66.95,70.6,66.55,68.35,2880208
2005-09-19,70,70,66.88,67.15,598013
2005-09-20,67.78,67.78,64.25,66.48,588954
2005-09-21,66.18,66.35,59.5,64,889657
2005-09-22,64,64,57.63,58.28,540228
2005-09-23,59,61.18,58.05,60.2,399174
2005-09-26,61.05,63.33,60.5,62.78,386461
2005-09-27,65,70.4,62,68.38,2623610
2005-09-28,70.5,72.2,67.75,69.18,3245682
2005-09-29,69,69.43,66.05,66.85,983869
2005-09-30,67,67.48,63.8,65.98,912333
2005-10-03,66.15,67.18,65.58,66.38,343770
2005-10-04,66.75,68.8,66.35,67.58,671235
2005-10-05,67.43,68.23,65.28,65.95,313055
2005-10-06,66,69.95,64.1,66.83,1322197
2005-10-07,67.85,69.25,66.75,67.55,859073
2005-10-10,68,68.15,65.3,65.9,426589
2005-10-11,66.5,69.75,65,66.08,299065
2005-10-13,66,67.75,65.1,65.38,542306
2005-10-14,65.5,65.98,62.75,63.15,329031
2005-10-17,63.75,63.9,61.25,61.5,273674
2005-10-18,62,62.85,61.25,61.45,219267
2005-10-19,61.5,61.75,58.5,59.48,229445
2005-10-20,60,61.5,57.25,58.45,315483
2005-10-21,58.9,60.4,56.75,59.6,255982
2005-10-24,60,61,59,60.15,238203
2005-10-25,59.75,61,58.65,59.18,199007
2005-10-26,58.85,59.9,58.53,59.15,127829
2005-10-27,59.7,59.7,57,57.53,167781
2005-10-28,57.53,57.85,55,55.35,151339
2005-10-31,55.1,57.25,55.1,56.93,137254
2005-11-01,57.5,58.98,57.5,58.48,86692
2005-11-02,60,63,57.53,62,646539
2005-11-07,62.5,63.73,62.15,62.55,291497
2005-11-08,62.55,64.75,62.5,63.98,359664
2005-11-09,64.4,65.8,63.08,64.38,480869
2005-11-10,64.5,65.95,64.13,65.03,417602
2005-11-11,65.5,68.35,65.25,67.88,1038615
2005-11-14,68,68.5,66.13,66.73,405119
2005-11-16,66.75,67.78,65.85,67.03,483095
2005-11-17,67.35,67.35,65.8,66.23,221900
2005-11-18,66.9,67.75,66.03,66.3,247734
2005-11-21,66.5,66.5,64.75,65,153954
2005-11-22,65.13,66.93,63.4,63.88,346491
2005-11-23,64.5,65.75,64.45,64.88,225260
2005-11-24,65.43,65.9,64.78,65.08,143326
2005-11-25,65.5,68.65,65.5,67.68,946853
2005-11-26,68.75,68.75,67.65,67.93,270798
2005-11-28,68.25,69.28,67.4,67.83,416630
2005-11-29,67.9,69.8,66.05,68.75,507974
2005-11-30,69.83,73,69.25,69.85,2158481
2005-12-01,70,71.45,69.6,70.83,928726
2005-12-02,71.4,71.85,69.5,69.78,603529
2005-12-05,70.6,75.43,70.5,74.63,3293248
2005-12-06,74.45,76.08,73.65,74.63,1976297
2005-12-07,75.05,75.2,73.5,74.4,760697
2005-12-08,74.25,74.5,73.25,73.88,377895
2005-12-09,74.1,75.63,73.5,74.38,503984
2005-12-12,74.93,77.73,74.55,76.45,1030574
2005-12-13,76.75,76.95,75.08,75.53,406823
2005-12-14,75.9,75.9,73.75,74.25,378560
2005-12-15,74.9,76.73,74,74.68,523772
2005-12-16,75,79.5,74.55,78.5,1898343
2005-12-19,79.4,81.9,79.05,80.85,1617643
2005-12-20,81,81.2,79.5,79.85,631469
2005-12-21,80.43,81.85,79.55,80.55,721179
2005-12-22,81.5,89.05,81.48,84.55,1891137
2005-12-23,85.05,89.93,82.5,89,2388167
2005-12-26,85.5,89.05,85,85.65,932975
2005-12-27,85.9,94.23,85,93.98,4304062
2005-12-28,94.5,95.75,91.75,93.08,3355184
2005-12-29,94.23,99.2,93.7,97.48,3329992
2005-12-30,97.53,98.43,95,95.63,1306321
2006-01-02,95.98,100.48,95.9,97.48,1916139
2006-01-03,97.95,98.25,95.5,96.63,725638
2006-01-04,97.48,98,95.1,95.53,1032297
2006-01-05,96.2,96.7,93.13,93.55,757048
2006-01-06,93.75,96.68,93.55,94.33,652710
2006-01-09,95.15,96.23,94.3,94.7,407937
2006-01-10,95.4,96.95,92.45,94.78,1084024
2006-01-12,92.5,94,89.95,90.55,773191
2006-01-13,90.45,92.75,90.25,90.5,601987
2006-01-16,90.9,90.9,89,89.2,296236
2006-01-17,89.5,93.33,88.4,88.73,744662
2006-01-18,89,91.5,87.75,89.6,647605
2006-01-19,90,92.25,90,91.53,505477
2006-01-20,92.2,94.7,91.75,92.55,926273
2006-01-23,92.95,93.5,90.53,91.58,451490
2006-01-24,92.63,95.8,92.5,93.88,1043398
2006-01-25,94.83,95.48,91.03,91.55,391226
2006-01-27,92.5,92.93,89.5,90.18,297286
2006-01-30,91.15,91.85,89.53,90.23,291511
2006-01-31,91.2,93.63,90.05,90.73,486284
2006-02-01,91.05,91.65,87.83,88.2,262538
2006-02-02,89,89.83,86.8,87.73,251349
2006-02-03,87.45,87.9,84.5,85.45,210346
2006-02-06,85.73,87.43,85,86.65,236001
2006-02-07,87,90.6,86.75,89.15,371740
2006-02-08,90.88,92.88,90,90.98,849827
2006-02-10,91.6,91.7,89.03,89.5,308572
2006-02-13,90.3,90.3,88.53,88.83,216000
2006-02-14,89.5,91.25,87.8,89.25,381623
2006-02-15,90.1,91.13,88.58,89.53,302323
2006-02-16,89.95,90,88.55,88.83,153932
2006-02-17,89.5,89.7,85.75,86.08,180336
2006-02-20,85.75,86,83.1,83.85,198355
2006-02-21,84.5,87.4,84.15,86,251797
2006-02-22,86.2,87,84.5,86.1,204316
2006-02-23,86.95,89.33,85.75,87.2,657097
2006-02-24,87.73,87.93,85,85.15,134872
2006-02-27,85.8,86.5,84.75,84.9,121049
2006-02-28,85.5,86.23,83.75,85.1,182618
2006-03-01,85.2,88.25,83.5,87.63,305869
2006-03-02,88.5,89.23,86.25,86.5,235492
2006-03-03,86.95,90.65,86.95,89.55,615284
2006-03-06,90,93.2,90,91.68,728121
2006-03-07,91.9,92.35,89,89.53,206916
2006-03-08,89.25,89.9,85.08,85.73,306880
2006-03-09,86.35,87.43,84.18,86.28,188586
2006-03-10,86.58,87.43,85.63,86.65,144642
2006-03-13,87.5,90.75,87.15,89.43,481457
2006-03-14,90.3,90.3,88.13,89.28,272472
2006-03-16,90.3,90.3,88.5,89.1,173558
2006-03-17,89.8,90.5,88.13,88.6,210185
2006-03-20,89.25,94.5,88.75,93.75,977159
2006-03-21,94.45,95.9,90.5,91.63,886409
2006-03-22,91.75,91.75,88.25,90.03,349210
2006-03-23,90.05,93,90,91.53,337782
2006-03-24,93.35,93.7,90.55,91.1,232548
2006-03-27,92,92,89.5,89.83,159868
2006-03-28,90.35,92.9,88.5,90.85,418358
2006-03-29,91.3,92.5,90.05,90.65,190127
2006-03-30,91.15,93.75,90.75,91.4,390256
2006-03-31,91.8,93,90.55,91.18,211974
