Date,Open,High,Low,Close,Volume
2020-10-13,29.67,29.73,28.2,29.07,261000
2020-10-14,28.23,29.83,28.1,28.67,159000
2020-10-15,29.8,30,28.27,28.87,279000
2020-10-16,28.8,29.33,28.53,29.13,153000
2020-10-19,29.13,29.2,28.5,28.97,42000
2020-10-20,29.47,30,28.67,29.33,87000
2020-10-21,28.73,29.17,28.73,28.73,30000
2020-10-22,29.13,29.13,28.7,28.7,12000
2020-10-23,28.73,28.97,28.37,28.93,144000
2020-10-26,28.53,28.83,28.43,28.83,90000
2020-10-27,28.47,28.73,28.33,28.73,22499
2020-10-28,28.47,28.5,28.33,28.5,35999
2020-10-29,28.4,28.5,28.27,28.5,26999
2020-10-30,28.27,28.5,28.17,28.47,80999
2020-11-02,28.23,28.23,28.17,28.2,40499
2020-11-03,28.23,28.23,28.2,28.2,17999
2020-11-04,28.23,28.67,28.2,28.67,35999
2020-11-05,28.63,28.63,28.23,28.23,8999
2020-11-06,28.3,28.57,28.23,28.23,31499
2020-11-09,28.17,28.23,28.17,28.2,22499
2020-11-10,28.2,28.2,28.2,28.2,22499
2020-11-11,28.2,29.97,28.17,29.5,58499
2020-11-12,28.87,29.5,28.8,28.8,31499
2020-11-13,28.8,28.8,28.5,28.5,13499
2020-11-14,28.8,30,28.8,29.6,31499
2020-11-17,29,29,28.93,28.93,8999
2020-11-18,28.67,28.67,28.67,28.67,13499
2020-11-19,28.5,28.5,28.5,28.5,8999
2020-11-20,28.67,28.67,28.67,28.67,4499
2020-11-23,28.67,28.67,28.5,28.5,8999
2020-11-24,28.5,28.5,28.5,28.5,13499
2020-11-25,28.5,28.5,28.5,28.5,4499
2020-11-26,29.33,32,29.33,29.33,22499
2020-11-27,28.67,28.67,28.67,28.67,4499
2020-12-01,29.17,29.17,29.17,29.17,4499
2020-12-02,29.13,29.13,29.13,29.13,4499
2020-12-03,28.47,28.47,28.2,28.4,31499
2020-12-07,28.47,28.47,28.47,28.47,4499
2020-12-08,28.67,28.67,28.33,28.33,13499
2020-12-09,28.37,28.37,28.37,28.37,4499
2020-12-10,28.33,28.63,28.27,28.3,17999
2020-12-11,28.67,29.23,28.33,29,26999
2020-12-14,28.37,28.37,28.37,28.37,8999
2020-12-15,28.37,28.37,28.33,28.33,8999
2020-12-17,28.37,28.37,28.33,28.33,13499
2020-12-21,28.37,28.37,28.3,28.3,22499
2020-12-22,28.2,28.2,28.2,28.2,8999
2020-12-23,28.2,28.2,28.2,28.2,4499
2020-12-24,28.27,28.67,28.27,28.67,8999
2020-12-28,28.17,28.6,28.13,28.6,17999
2020-12-29,28.87,28.87,28.87,28.87,4499
2020-12-30,28.17,28.17,28.17,28.17,4499
2020-12-31,28.17,28.17,28.17,28.17,8999
2021-01-01,28.2,28.2,28.2,28.2,4499
2021-01-04,28.17,28.33,28.17,28.33,8999
2021-01-06,28.2,28.33,28.17,28.17,13499
2021-01-07,28.87,28.87,28.2,28.3,17999
2021-01-08,28.73,28.73,28.73,28.73,4499
2021-01-14,28.17,28.17,28.17,28.17,13499
2021-01-15,28.17,28.17,28.17,28.17,4499
2021-01-18,28.17,28.17,28.17,28.17,13499
2021-01-20,28.17,28.17,28.17,28.17,4499
2021-01-27,28.17,28.17,28.17,28.17,4499
2021-01-28,28.13,28.13,28.13,28.13,17999
2021-01-29,28.6,28.6,28.6,28.6,4499
2021-02-02,28.6,30,28.13,28.13,53999
2021-02-03,28.17,28.17,28.13,28.13,8999
2021-02-04,28.13,28.13,28.13,28.13,8999
2021-02-05,28.13,28.13,28.13,28.13,4499
2021-02-08,28.1,28.1,28.03,28.03,40499
2021-02-09,28.07,28.07,28.07,28.07,13499
2021-02-10,28.03,29,28,29,31499
2021-02-11,28.07,28.13,28.07,28.13,8999
2021-02-15,29.2,29.2,28.03,28.83,22499
2021-02-16,28,28,28,28,8999
2021-02-17,28,28,28,28,4499
2021-02-22,28.2,28.2,28.03,28.03,31499
2021-02-23,28.07,28.07,28.07,28.07,8999
2021-02-26,28.03,28.03,28,28,13499
2021-03-01,28.03,28.03,28.03,28.03,8999
2021-03-02,28.03,28.03,28.03,28.03,4499
2021-03-03,28.03,28.03,28,28,8999
2021-03-04,28,28,28,28,8999
2021-03-05,28,28,28,28,4499
2021-03-08,28,28.67,28,28,17999
2021-03-09,28.33,28.33,28.33,28.33,35999
2021-03-10,28,28,28,28,4499
2021-03-12,28.63,28.63,28.6,28.6,8999
2021-03-16,28,28.03,28,28.03,8999
2021-03-17,28,28,28,28,4499
2021-03-18,28.67,28.67,28.67,28.67,107999
2021-03-19,34,34,28.1,28.1,170999
2021-03-22,29.63,32.67,29.63,29.7,310499
2021-03-23,29.93,30,29.93,30,13499
2021-03-24,28.67,28.7,28.67,28.67,13499
2021-03-25,28.7,28.7,28.67,28.67,13499
2021-03-26,29.33,29.33,28.67,28.67,58499
2021-03-30,28.67,28.67,28.67,28.67,8999
