Date,Open,High,Low,Close,Volume
2022-01-12,42.4,42.4,42.4,42.4,36000
2022-01-13,44.5,44.5,44.5,44.5,16000
2022-01-14,46.7,46.7,46.7,46.7,20000
2022-01-17,49,49,49,49,40000
2022-01-18,51.45,51.45,51.45,51.45,44000
2022-01-19,54,54,48.9,54,832000
2022-01-20,54.5,56.7,53.35,56.7,212000
2022-01-21,59.5,59.5,56.7,59.5,132000
2022-01-24,62.45,62.45,56.55,57,244000
2022-01-25,54.95,61.35,53.6,59.2,196000
2022-01-27,55.5,59.35,55,56,44000
2022-01-28,56.85,57.5,51.5,53.55,60000
2022-01-31,55,55,45.8,50.05,308000
2022-02-01,52.85,58.55,51,57.25,348000
2022-02-02,59.7,60,53.6,54,148000
2022-02-03,54,56.85,53.5,54.45,20000
2022-02-04,50.7,54.4,50.7,53.5,48000
2022-02-07,54.5,58.15,54.5,55.55,128000
2022-02-08,55.5,55.55,53,53,80000
2022-02-09,54.3,54.6,53,54.6,52000
2022-02-10,53,53,53,53,8000
2022-02-11,53,53,53,53,4000
2022-02-14,49.3,49.3,43,44.25,80000
2022-02-15,44.3,46.95,43.05,46.45,104000
2022-02-16,46.45,46.6,46.45,46.6,16000
2022-02-17,47.95,48,47.95,47.95,20000
2022-02-18,48.7,56.05,48.7,55.45,128000
2022-02-21,52.05,56,48.25,52.2,108000
2022-02-22,51.85,51.95,47.5,50.2,96000
2022-02-23,50.05,53,50,52.5,92000
2022-02-24,47.3,49.1,44,44.75,124000
2022-02-25,47.25,51,45.6,50.75,188000
2022-02-28,50.75,54,48.15,53.25,108000
2022-03-02,50.05,53,50.05,52.7,24000
2022-03-03,54.65,55.1,53.75,54,60000
2022-03-04,50.2,54.5,50.2,51.5,36000
2022-03-07,51.5,51.6,49,50.4,28000
2022-03-08,50.4,52.1,49.25,52.1,36000
2022-03-09,50.6,53,50.6,51.5,28000
2022-03-10,52.95,55.5,52.95,54.4,104000
2022-03-11,53.15,54.4,53,53,12000
2022-03-14,54,54,52,52,12000
