Date,Open,High,Low,Close,Volume
2019-07-12,2.41,2.45,2.37,2.42,112000
2019-07-15,2.33,2.4,2.33,2.4,128000
2019-07-16,2.28,2.41,2.28,2.28,276000
2019-07-17,2.17,2.17,2.17,2.17,112000
2019-07-18,2.06,2.06,2.06,2.06,156000
2019-07-19,1.96,2.08,1.96,2.03,424000
2019-07-22,1.93,1.93,1.93,1.93,20000
2019-07-23,1.84,2.03,1.84,1.95,244000
2019-07-24,2.01,2.01,2.01,2.01,4000
2019-07-25,1.92,2.09,1.92,2.09,408000
2019-07-26,2.22,2.22,2.16,2.16,340000
2019-07-29,2.06,2.06,1.91,1.97,76000
2019-07-30,1.91,1.99,1.91,1.99,56000
2019-07-31,1.87,1.87,1.87,1.87,4000
2019-08-05,1.95,1.96,1.95,1.95,12000
2019-08-07,1.88,1.88,1.66,1.7,40000
2019-08-08,1.78,1.79,1.74,1.79,12000
2019-08-09,1.7,1.7,1.7,1.7,4000
2019-08-13,1.62,1.62,1.62,1.62,4000
2019-08-20,1.5,1.5,1.3,1.49,16000
2019-08-21,1.78,1.78,1.78,1.78,4000
2019-08-23,1.42,1.42,1.42,1.42,4000
2019-08-26,1.29,1.29,1.29,1.29,4000
2019-08-28,1.25,1.25,1.25,1.25,4000
2019-08-29,1.25,1.25,1.2,1.2,8000
2019-09-05,1.2,1.33,1.2,1.33,8000
2019-09-09,1.44,1.44,1.44,1.44,4000
2019-09-11,1.57,1.57,1.57,1.57,4000
2019-09-16,1.49,1.49,1.49,1.49,4000
2019-09-17,1.42,1.56,1.42,1.56,8000
2019-09-20,1.49,1.52,1.49,1.52,108000
2019-09-24,1.6,1.6,1.6,1.6,4000
2019-09-25,1.67,1.67,1.67,1.67,32000
2019-09-26,1.74,1.74,1.74,1.74,48000
2019-10-04,1.66,1.66,1.66,1.66,4000
2019-10-07,1.7,1.7,1.7,1.7,4000
2019-10-09,1.62,1.62,1.62,1.62,4000
2019-10-15,1.54,1.54,1.54,1.54,12000
2019-10-17,1.47,1.47,1.47,1.47,4000
2019-10-22,1.5,1.5,1.5,1.5,4000
2019-10-24,1.42,1.53,1.42,1.53,8000
2019-10-25,1.46,1.46,1.46,1.46,4000
2019-10-27,1.39,1.39,1.39,1.39,4000
