Date,Open,High,Low,Close,Volume
2025-10-08,114,114.5,108.3,108.3,9016969
2025-10-09,103.01,106,102.88,105.02,820969
2025-10-10,103.25,110.27,102,110.27,541204
2025-10-13,110.27,112,105.9,109.52,349161
2025-10-14,105.6,109.49,105.6,107.8,221225
2025-10-15,110,113.19,108.5,110.45,338455
2025-10-16,109.15,113,108.51,109.64,148791
2025-10-17,111.5,111.5,104.56,108.86,168312
2025-10-20,107.01,114.3,105.25,114.3,457572
2025-10-21,117.1,120.01,116,120.01,326970
2025-10-23,125.99,125.99,117,123.25,406395
2025-10-24,124,147.9,122.3,147.57,7784902
2025-10-27,146.56,154,138.25,142.5,2458327
2025-10-28,141,141.9,135.01,137.15,1008378
2025-10-29,138,142.61,134.51,139.02,1025637
2025-10-30,141.93,142,134.49,136.26,421159
2025-10-31,136.26,136.79,131.56,135.69,510014
2025-11-03,136,140.5,135,137.28,450556
2025-11-04,137,137,129,130.05,828366
2025-11-06,129.95,143,123.7,138.75,3151043
2025-11-07,139.8,140.9,136,137.32,789678
2025-11-10,138,145.39,134,142.87,1895765
2025-11-11,145,145.94,131.5,134.89,1856760
2025-11-12,138,144.99,135.5,142.14,2937620
2025-11-13,142.99,146.9,136.86,138.9,2668980
2025-11-14,140.05,144.6,138.49,141.79,762298
2025-11-17,143,149.4,142.03,146.36,4297123
2025-11-18,148.9,148.9,136.01,142.13,1738246
2025-11-19,143.69,144.45,132.57,134.49,1442065
2025-11-20,135.85,138,134,134.73,631827
2025-11-21,135,136.7,128.7,132.22,792345
2025-11-24,135,135,125,126.03,675767
2025-11-25,126.99,128.13,123.14,123.73,259103
2025-11-26,123.74,127,123.5,125.64,363509
2025-11-27,126.99,129.9,124.1,129.35,467508
2025-11-28,131,131.3,124.2,125.85,238096
2025-12-01,126.6,127.21,120,121.03,238723
2025-12-02,121,125,119.48,123.73,329879
2025-12-03,124.95,125.57,120.34,121.4,230144
2025-12-04,121.4,122.8,120,121.23,176396
2025-12-05,121.22,121.9,116.5,118.21,399611
2025-12-08,118,119.29,114.52,115.6,345164
2025-12-09,114.44,116.63,110.59,114.69,288264
2025-12-10,116.07,118.76,113.08,114.08,172053
2025-12-11,114.5,122,113.2,118.03,662802
2025-12-12,118.17,122.92,116.3,121.75,257080
2025-12-15,123.16,125.5,122,124.5,255810
2025-12-16,125.9,126.89,117.51,118.32,159448
2025-12-17,119.5,119.5,117.04,117.79,76565
2025-12-18,115,118,115,117.31,58579
2025-12-19,118.45,118.45,116.1,116.72,78490
2025-12-22,118.45,118.45,113.75,114.96,147056
2025-12-23,115.01,127,115.01,120.9,1178697
2025-12-24,122.1,126.5,120.07,125.07,780839
2025-12-26,125,125.49,122.51,123.32,180816
2025-12-29,123.32,123.32,117.48,118.78,143948
2025-12-30,119.77,120.95,117.5,119.98,66226
2025-12-31,119,123.7,119,122.79,131970
2026-01-01,123.41,123.7,120.58,121.39,52661
2026-01-02,121.95,121.96,119.11,121.26,118711
2026-01-05,119.45,135.4,113.99,131.18,6128630
2026-01-06,133,136.34,128.5,132.71,2728175
2026-01-07,134,134,129.85,131,493719
2026-01-08,131.11,134.45,127.13,128.66,719594
2026-01-09,129.69,130.57,125.5,126.89,243610
2026-01-12,127,127.88,121.4,124.55,402875
2026-01-13,125.01,128,122.5,123.93,185517
2026-01-14,125,126.92,123.06,123.9,281474
2026-01-16,125.9,128.49,121.1,122.35,286888
2026-01-19,122.31,125.64,119.7,124.84,366040
2026-01-20,125.9,129.33,122,122.67,706287
2026-01-21,122,127.3,118,126.42,369821
2026-01-22,128,135.24,128,133.89,711929
2026-01-23,134.75,136.76,127.15,128.4,326468
2026-01-27,129.99,130,124.18,127.96,551667
2026-01-28,128.99,138.09,127.5,134.65,682445
2026-01-29,135.9,136.7,131.51,133.72,243579
2026-01-30,133.45,136.9,130.57,133.19,226903
2026-02-01,134.47,134.47,126.23,128.75,197414
2026-02-02,129.78,129.78,119.01,123.29,279643
2026-02-03,127,132.3,124.11,127.53,643190
2026-02-04,127.8,143.5,126.48,132.48,3977846
2026-02-05,132.7,134.5,130.5,130.83,709052
2026-02-06,131.4,136.02,130.23,133.14,1568140
2026-02-09,132,136.39,129.15,134.8,1322989
2026-02-10,135.69,137.5,133.56,134.85,903401
2026-02-11,136,136,132.28,133.56,219333
