Date,Open,High,Low,Close,Volume
2025-12-10,140,157,135.4,151.29,115621297
2025-12-11,153.32,160.65,147.58,151.43,59418026
2025-12-12,151.97,154.4,145.33,147.05,12862587
2025-12-15,145.3,145.67,138.44,140.75,6774930
2025-12-16,140.75,143.99,138.11,139.99,5085216
2025-12-17,140,164.39,139.55,158.8,110460336
2025-12-18,162,165.4,148.44,151.22,40221204
2025-12-19,152.7,154.12,148.3,150.93,8004919
2025-12-22,153,153.85,140.59,144.64,15736152
2025-12-23,144.98,147.7,141.5,142.33,3785347
2025-12-24,142.84,144.3,139,139.63,2953000
2025-12-26,140.01,143.3,138.75,139.37,2688919
2025-12-29,139.4,140.12,134.01,134.72,2463917
2025-12-30,134.7,141.44,134.41,136.88,3923103
2025-12-31,136.99,138.6,136,137.49,1204483
2026-01-01,137.5,141.1,136.26,138.19,1282865
2026-01-02,137.95,138.79,136.5,137.37,1335554
2026-01-05,139,145.8,136.8,141,3715330
2026-01-06,140.72,142.1,139.51,140.95,1183439
2026-01-07,139.75,141.5,137,140.56,1984314
2026-01-08,140,144.7,140,143.36,2656790
2026-01-09,142.5,143.34,140.17,141.08,948848
2026-01-12,141.09,145,139.42,143.7,1510264
2026-01-13,144.05,147,140.01,141.58,1157731
2026-01-14,141.25,141.25,137,137.66,842325
2026-01-16,138,138.09,134.06,134.97,1303463
2026-01-19,137.49,137.94,134.35,134.97,722877
2026-01-20,136.21,136.45,134.5,135.42,1140339
2026-01-21,135,136.4,134.51,135.41,1138034
2026-01-22,136,136,132.14,134.14,1086326
2026-01-23,134.73,137.59,132.76,134.53,693887
2026-01-27,135.09,135.35,132.06,134.57,320275
2026-01-28,134.8,137.9,134.27,136.6,840476
2026-01-29,136.9,143.6,136.2,139.18,1823321
2026-01-30,135,136.3,132,135.38,1193155
2026-02-01,136.99,139,133.98,134.43,464241
2026-02-02,135.07,140,131.14,136.44,792930
2026-02-03,142.9,142.9,135.08,136.6,1004834
2026-02-04,135.92,142.33,134.89,140.37,1618801
2026-02-05,140,140.76,138.3,139.77,491364
2026-02-06,139.99,142.35,139.37,140.18,452029
2026-02-09,148.69,148.75,143.15,144.22,2406987
2026-02-10,144,146.65,143.1,144.15,1175795
2026-02-11,144.3,145.94,144.05,145.2,658984
