Date,Open,High,Low,Close,Volume
2024-12-05,135,141.75,130,141.75,2598000
2024-12-06,134.7,147.7,134.7,142.05,850800
2024-12-09,134.95,134.95,134.95,134.95,63600
2024-12-10,128.2,134.95,128.2,132,673200
2024-12-11,133,134.8,125.4,125.4,346800
2024-12-12,126,128.35,120.5,125.9,259200
2024-12-13,125,132.15,125,132.15,808800
2024-12-16,138.75,138.75,134.5,138.7,396000
2024-12-17,140.5,142.5,133.55,139.55,266400
2024-12-18,139.5,141.85,132.6,135.9,127200
2024-12-19,133,136.8,127.3,133.75,228000
2024-12-20,133.75,139.75,128,131.25,260400
2024-12-23,131.5,133.5,121.6,125.4,109200
2024-12-24,125.05,139,121.7,126.7,446400
2024-12-26,126.7,133,125.1,127.4,92400
2024-12-27,128.95,132.9,128.95,131,43200
2024-12-30,128.6,129.5,123.25,124.4,72000
2024-12-31,123.15,138.8,121.2,134.65,398400
2025-01-01,133.25,136.65,130.45,134.9,61200
2025-01-02,134.2,136,130.65,131.35,56400
2025-01-03,130.1,130.1,128,128.05,177600
2025-01-06,127.6,128,119.1,121.75,136800
2025-01-07,123.65,128,123.65,126.35,20400
2025-01-08,124,127,124,125.1,42000
2025-01-09,123.75,126.25,120,120.35,90000
2025-01-10,120,120.9,115.5,119.9,20400
2025-01-13,117.05,119.95,116.95,117.45,14400
2025-01-14,119.75,128,115.65,125.75,103200
2025-01-15,129.75,131,119.95,121.25,73200
2025-01-16,124.15,124.15,118.1,118.85,56400
2025-01-17,119.25,122.8,119.25,120.85,67200
2025-01-20,116.25,122.5,116.25,120.15,12000
2025-01-21,120.05,122.45,118.55,121.8,56400
2025-01-22,121,121,114,118.05,34800
2025-01-23,120.4,120.4,117.05,118,3600
2025-01-24,117,118.9,113.5,117.65,217200
2025-01-27,115,119,109.65,112.7,60000
2025-01-28,116.9,116.9,109.6,112.2,19200
2025-01-29,115.4,117.5,112.3,112.3,13200
2025-01-30,111.1,116.45,110.5,112,27600
2025-01-31,117,117,114,115.9,14400
2025-02-01,113.5,113.7,113,113,7200
2025-02-03,113,115.5,110.05,114,31200
2025-02-04,112,113.45,111.5,112.2,34800
2025-02-05,115.5,115.5,112.4,113.2,12000
2025-02-06,115.2,118,113.3,115.5,36000
2025-02-07,114,114,112,112,21600
2025-02-10,112.15,112.15,109.25,109.8,15600
2025-02-11,111.2,112.8,109,110.15,112800
2025-02-12,107,132.15,105,116.4,124800
2025-02-13,111.3,116,110,111.65,56400
2025-02-14,110.8,110.8,108.3,109,64800
2025-02-17,105,105.05,102,102.25,15600
2025-02-18,102,102,100,100,4800
2025-02-19,100,100,96.1,97.5,20400
2025-02-20,94.5,104,94.5,100.05,46800
2025-02-21,97.55,99,95,97,85200
2025-02-24,94.75,105.85,93,101,34800
2025-02-25,102,118,98,101.95,214800
2025-02-27,102,107.45,101,102,16800
2025-02-28,115.95,115.95,92,92.65,136800
2025-03-03,91,93,87,87.05,220800
2025-03-04,85.5,93.95,81,85.3,264000
2025-03-05,87.95,92.35,87.4,87.4,84000
2025-03-06,88.5,96.8,88.5,93.95,40800
2025-03-07,95.5,99.5,90.05,97.2,67200
2025-03-10,98,107,96.4,103.85,121200
2025-03-11,101,103.5,99,101.15,49200
2025-03-12,102.9,102.9,98,98,7200
2025-03-13,101.9,105,96,103.05,74400
2025-03-17,101.25,104.5,98.15,99.2,46800
2025-03-18,102.9,102.9,92.25,94.4,80400
2025-03-19,94.4,111.7,92,104.9,318000
2025-03-20,101.25,106.9,98.15,98.75,82800
2025-03-21,99,99.15,97.05,97.55,61200
2025-03-24,97,97.25,94,95.75,66000
2025-03-25,95.75,105.8,93.7,100.55,213600
2025-03-26,102.25,120.65,98,116.8,416400
2025-03-27,116.55,125,106.2,119.65,314400
2025-03-28,112.3,121,112.2,116.55,54000
2025-04-01,117.05,118.8,112.6,114.35,21600
2025-04-02,120,122,114.15,115.15,20400
2025-04-03,112.5,119.9,112.5,116.25,42000
2025-04-04,113.55,113.55,103,109.6,92400
2025-04-07,102,103,100,101.65,25200
2025-04-08,106.9,106.9,100,101.05,103200
2025-04-09,104.4,104.4,99.3,102.9,49200
2025-04-11,104.05,104.05,101,101.7,20400
2025-04-15,97.15,103.9,97.15,101.25,25200
2025-04-16,102.1,102.1,100.2,101.35,15600
2025-04-17,103.85,118.6,103.7,115.7,166800
2025-04-21,112.1,114.5,108,109.05,112800
2025-04-22,109.15,117.9,106.05,107.9,144000
2025-04-23,106.25,111.5,103.75,109.9,64800
2025-04-24,109.9,109.9,106.25,107.95,10800
2025-04-25,106.3,116.9,103.65,110.9,94800
2025-04-28,110.95,116,109,114.55,63600
2025-04-29,115.95,118.95,114,116.95,78000
2025-04-30,114.4,125.9,114.4,122.15,118800
2025-05-02,120.5,125,119,123.75,30000
2025-05-05,122.25,128.9,119.4,126.85,228000
2025-05-06,125.55,128.35,120.15,120.9,72000
2025-05-07,118.5,145.05,115.55,138.65,654000
2025-05-08,137.6,140,130.1,135.65,98400
2025-05-09,126,136.95,126,132,122400
2025-05-12,132.1,139.5,131.05,132.05,94800
2025-05-13,131.05,138,128.25,136.4,208800
2025-05-14,136.4,143.95,132.55,137.8,211200
2025-05-15,136.2,138.7,133.2,136.65,97200
2025-05-16,134,142.85,134,140.95,122400
2025-05-19,139,140,133.9,138.2,57600
2025-05-20,134.5,144,131.3,140.6,190800
2025-05-21,139,140,133.6,137.8,118800
2025-05-22,133.1,134.9,130.95,134.15,62400
2025-05-23,130,135.9,128.05,132.5,58800
2025-05-26,127,130,126.7,129.1,30000
