Date,Open,High,Low,Close,Volume
2005-12-14,77.4,100.34,77.4,98.3,9636286
2005-12-15,102,104.38,97.66,102.27,3463490
2005-12-16,102.06,118.4,99.4,113.72,4237297
2005-12-19,113.08,117.37,105.22,109.61,4316837
2005-12-20,110,110,102.42,103.72,1346279
2005-12-21,104.18,109.4,104,104.95,1706796
2005-12-22,105.48,108,104.23,104.87,605828
2005-12-23,105.4,108.94,105.05,106.15,751437
2005-12-26,106.54,106.58,101.21,104.32,578853
2005-12-27,103,107.95,103,107.07,403430
2005-12-28,106.6,106.98,104.8,105.58,209980
2005-12-29,105.7,113.28,105.6,111.74,1147501
2005-12-30,112.4,112.69,107.26,107.84,309957
2006-01-02,106.46,109.69,106.08,106.87,102482
2006-01-03,107.6,107.8,104.66,105.47,127449
2006-01-04,106,114.2,105.94,112.69,331391
2006-01-05,113.4,118.42,108.44,116.69,874924
2006-01-06,117.2,117.95,110.2,111.34,460190
2006-01-09,112.4,114.76,110.46,111.24,139016
2006-01-10,113.6,124.48,110.6,119.29,1604855
2006-01-12,118.2,124.33,110.31,118.96,801754
2006-01-13,118.9,124.34,118.9,119.66,509192
2006-01-16,120.97,123.28,114.83,115.56,387582
2006-01-17,116.6,118,110.66,112.58,236892
2006-01-18,114,114.98,111,112.23,165364
2006-01-19,113.18,117.18,112.4,113.74,258236
2006-01-20,114.8,115.2,111.45,112.41,109864
2006-01-23,111.88,113.68,107.4,108.69,123858
2006-01-24,110.06,121.94,109.2,118.18,680071
2006-01-25,129.99,129.99,119.6,121.41,867340
2006-01-27,123.2,125.4,121,121.92,354241
2006-01-30,123.02,123.74,116.88,117.73,173964
2006-01-31,118.8,127.36,116,124.23,805493
2006-02-01,125.34,129.16,121.51,122.79,659931
2006-02-02,123.6,127,120.02,120.69,283711
2006-02-03,121.78,122.7,117.04,118.32,162066
2006-02-06,118,125,118,122.7,191584
2006-02-07,123.78,125.58,121.02,122.15,147402
2006-02-08,120.2,122.58,120,120.64,73804
2006-02-10,121.42,123.4,120.6,121.82,85602
2006-02-13,121.9,122.6,119.4,120.42,51237
2006-02-14,120.98,121.8,118.8,119.56,41524
2006-02-15,120.98,123.98,118.43,119.82,83259
2006-02-16,120.58,121.33,117.01,117.93,47939
2006-02-17,118.88,119.49,113.2,114.06,57648
2006-02-20,114.8,114.8,110.4,111.67,54786
2006-02-21,113,119.34,112.1,117.25,49588
2006-02-22,117.4,118.6,113.9,114.82,26281
2006-02-23,115.58,117,112.26,114.73,72473
2006-02-24,115.78,115.78,112.6,113.07,19722
2006-02-27,112.2,116.6,112.2,115.64,31113
2006-02-28,117,118.98,111.03,116.37,62981
2006-03-01,115.99,118.94,115,116.19,16553
2006-03-02,117.6,122.89,116.2,117.46,61021
2006-03-03,117.46,118.7,115.6,116.49,26571
2006-03-06,117,119.6,115.8,116.9,19352
2006-03-07,117.94,120.49,115.6,116.67,68567
2006-03-08,117.6,117.6,114.8,115.44,32495
2006-03-09,115,119,114.2,117.31,67341
2006-03-10,117.6,131.95,117,129.04,289221
2006-03-13,134.88,136.6,126.42,127.67,166173
2006-03-14,128.58,131.8,124.2,126.81,90574
2006-03-16,127.98,133,127.04,130.58,98918
2006-03-17,131.6,136.2,128.22,130.05,165622
2006-03-20,131.16,135.4,130.21,131.32,73627
2006-03-21,131.4,132.74,129.02,129.8,37800
2006-03-22,130.98,131.56,126.6,127.47,42864
2006-03-23,136,136,128,130.01,26270
2006-03-24,130,137.59,130,136.26,105459
2006-03-27,137.98,137.98,130.44,131.6,42427
2006-03-28,132.68,133.21,127,128.85,47568
2006-03-29,128.42,131,125.32,126.33,22094
2006-03-30,129.6,129.6,123.2,124.8,55052
2006-03-31,126,126,122.44,123.11,26327
2006-04-03,124,126.99,123.01,124.41,49139
2006-04-04,126.96,126.98,123.8,124.84,37282
2006-04-05,127,131.6,124.8,126.94,54129
2006-04-07,129.6,131.2,115.8,119.73,79943
2006-04-10,122,125.36,121.4,122.24,29900
2006-04-12,124.6,128.39,122.5,124.2,47473
2006-04-13,126.2,131.74,123.8,129.89,54158
2006-04-17,131.4,132,130,130.39,26427
2006-04-18,126.2,133,126.2,130.69,25632
2006-04-19,133.96,152.8,124.22,149.21,382447
2006-04-20,147.2,156.98,142.21,152.66,356320
2006-04-21,133.6,153.1,133.6,145.56,90641
2006-04-24,143.22,144.74,138.03,140.1,79234
2006-04-25,138.4,149.78,134.42,135.56,100284
2006-04-26,135.76,138.9,134.2,135.41,40932
2006-04-27,137.56,141.95,135.58,135.96,82293
2006-04-28,135.96,136,123.72,135.11,42964
2006-04-29,136.96,143.5,132.4,137.96,21571
2006-05-02,140,141,135.4,139.17,163766
2006-05-03,140.75,144,136.05,137.14,33433
2006-05-04,138.8,139.48,134,134.57,18962
2006-05-05,136,136,131,132.07,27872
2006-05-08,132.65,135,132.65,134.38,28942
2006-05-09,134.97,137,131.6,134.94,29857
2006-05-10,134.94,134.94,132.13,132.83,73221
2006-05-11,133.95,137.9,129.02,134.18,96461
2006-05-12,133.4,135,131.05,132.37,10129
2006-05-15,133,134,128,128.52,14089
2006-05-16,131.48,150.2,117,128.47,21904
2006-05-17,132,135,124.4,129.18,32745
2006-05-18,129.2,129.2,116.03,120.53,30395
2006-05-19,124.96,136.94,114.02,117.11,16215
2006-05-22,117.11,117.11,103.6,112.04,25610
2006-05-23,107.2,117.8,104.4,114.4,78523
2006-05-24,116,116.2,108.2,109.59,37915
2006-05-25,100.2,109,100.2,104.95,36737
2006-05-26,110,115,106.31,108.24,31683
