Date,Open,High,Low,Close,Volume
2017-11-20,120,120,120,120,8400
2017-11-21,144,144,144,144,43200
2017-11-22,168.9,172.8,162,172.8,1426800
2017-11-23,185,189.5,166.25,184.7,1591200
2017-11-24,186,189,174,179,262800
2017-11-27,175,176.5,165,168.6,127200
2017-11-28,170.5,170.65,155.1,162,206400
2017-11-29,160.2,167.3,158.3,162,124800
2017-11-30,167.9,178.2,165.55,177.9,211200
2017-12-01,180,190.45,175.25,178.85,246000
2017-12-04,173.3,179.1,173.3,175.5,39600
2017-12-05,171.1,178.7,163,166.15,93600
2017-12-06,166.5,166.5,161,161.85,50400
2017-12-07,163.2,171,163.2,169.75,31200
2017-12-08,170,178,170,174.7,98400
2017-12-11,178,178,172,173.4,24000
2017-12-12,170.1,180.3,170.1,176.95,62400
2017-12-13,176.45,177,165.1,168.75,28800
2017-12-14,167.5,172.1,167,167.25,16800
2017-12-15,167.25,173.45,167.25,169.5,14400
2017-12-18,169.5,169.5,166.6,169.5,9600
2017-12-19,167.05,169.05,166.25,167.35,25200
2017-12-20,166,167,165,166.3,7200
2017-12-21,166,166.5,162.35,166.25,15600
2017-12-22,163,164,160,163.45,34800
2017-12-26,163.45,166.9,163.45,166.25,33600
2017-12-27,166.5,166.95,164,164.3,39600
2017-12-28,165,166.95,163.8,166.8,19200
2017-12-29,165,173.9,165,171.9,94800
2018-01-01,176.5,177.7,170.15,170.35,57600
2018-01-02,169.1,169.1,164.05,164.85,31200
2018-01-03,165.75,168.5,165.05,165.85,16800
2018-01-04,161.15,170.9,161.15,169.55,34800
2018-01-05,172.25,177.9,171.25,174.05,105600
2018-01-08,171,173,166.5,168.5,46800
2018-01-09,167.55,169,165.25,166.35,28800
2018-01-10,166,167.9,164.6,167,8400
2018-01-11,169,169,165.2,167.25,28800
2018-01-12,165.5,167.85,157,160.15,45600
2018-01-15,160.5,163.8,160,160,8400
2018-01-16,160.2,160.2,141.25,149.65,51600
2018-01-17,151,156,151,155.5,8400
2018-01-18,153.2,154,146.25,148.45,34800
2018-01-19,146.05,147.1,144,146.2,31200
2018-01-22,147,147,138.6,140.65,37200
2018-01-23,140.95,147.45,139.5,143.15,49200
2018-01-24,144,144.95,144,144.5,6000
2018-01-25,140,144.45,140,141.05,9600
2018-01-29,145.1,145.1,141.4,142.6,12000
2018-01-30,140,140,136,136.9,14400
2018-01-31,141.3,141.3,128,134.7,73200
2018-02-01,139,139,132.35,134.85,15600
2018-02-02,130,133,121.2,124.5,62400
2018-02-05,110,130.4,110,130.4,44400
2018-02-06,120,130.5,118.95,127,20400
2018-02-07,127.6,127.6,127.6,127.6,1200
2018-02-08,132,132,126.1,127.8,28800
2018-02-09,122.5,126,122.5,125.5,3600
2018-02-12,127.5,129.55,126.15,127,12000
2018-02-14,125,136.85,124.5,133.95,55200
2018-02-15,130.3,133.6,130,130,19200
2018-02-16,126,127.15,123.05,123.05,14400
2018-02-19,121.5,124,121,121,16800
2018-02-20,123,124,123,124,3600
2018-02-21,123,126.9,120.75,123.05,10800
2018-02-23,123.75,123.75,123.5,123.5,9600
2018-02-26,125.05,128.3,125,127.05,9600
2018-02-27,126,126,124.5,125,13200
2018-02-28,122,126.25,122,125.1,20400
2018-03-01,123,123.5,123,123.5,2400
2018-03-05,120.1,123,118.8,123,10800
2018-03-06,121,121,119,119,13200
2018-03-07,119,119,111.15,112.4,30000
2018-03-08,114.95,114.95,108.5,111.6,21600
2018-03-09,113,113,109.95,109.95,3600
2018-03-12,105.05,113.5,105,110.5,44400
2018-03-13,110,114.25,110,110.5,28800
2018-03-14,110,114.25,110,114,33600
2018-03-15,111,118.7,111,118.7,102000
2018-03-16,115.9,116.5,110.1,111,37200
2018-03-19,110,110,106,108.45,63600
2018-03-20,108.45,113.7,105,111.85,56400
2018-03-21,117,117,105,105.45,48000
2018-03-22,106,108,105,107.45,21600
2018-03-23,103.05,108,101.5,105.7,106800
2018-03-26,102.1,107,102.1,103,174000
2018-03-27,102.25,102.25,96,99.9,76800
2018-03-28,100,103,99.5,101,16800
2018-04-02,100.6,103,99,103,13200
2018-04-03,102.5,103,102,103,6000
2018-04-04,106,106.25,100.55,100.7,30000
2018-04-05,103.7,104,102.5,104,14400
2018-04-06,107.7,107.7,103.5,103.5,4800
2018-04-09,106,106,104.5,105,4800
2018-04-10,105,106,104.25,106,13200
2018-04-11,105.5,105.95,105.5,105.95,2400
2018-04-12,106,108,105.5,105.9,10800
2018-04-13,108,127.05,108,126.05,138000
2018-04-16,130.8,134.95,124.1,125.4,75600
2018-04-17,125.1,126.9,122.3,125,33600
2018-04-18,128,128,120.1,121.45,26400
2018-04-19,119.65,122.5,119.1,119.7,90000
2018-04-20,119.1,120,116.15,116.85,46800
2018-04-23,117.5,118.05,117.5,118,6000
2018-04-24,117,119.65,116.8,117.55,8400
2018-04-25,117.1,120.8,117.1,118.5,4800
2018-04-26,118.1,118.1,118,118,3600
2018-04-27,117.1,120.25,117.1,120.25,3600
2018-04-30,122,125,122,125,7200
2018-05-02,134,134,127,127,4800
2018-05-03,124.7,124.7,117,118.85,24000
2018-05-04,117.5,117.5,117.5,117.5,1200
2018-05-07,119,119,114,114.25,8400
2018-05-08,115.05,117.5,115,116.35,37200
2018-05-09,118,119.9,117.25,117.25,8400
2018-05-10,118.55,121.45,118.55,120.1,6000
2018-05-11,117.75,117.75,117.75,117.75,1200
2018-05-14,121.75,121.75,120,120,2400
2018-05-15,121.5,121.5,120,120,3600
2018-05-16,116,116,103,110.55,9600
2018-05-17,113,113,113,113,1200
2018-05-18,114,114,109.15,109.15,2400
2018-05-21,110,112,109,112,6000
2018-05-22,107.05,109.75,106,109,10800
2018-05-23,109,115,108.3,108.3,9600
2018-05-24,108.5,108.5,105.25,105.35,8400
2018-05-25,104,104,88.1,100,46800
2018-05-28,95.1,103.85,95.1,103.85,6000
2018-05-29,99.5,100,99.5,99.95,3600
2018-05-30,100.5,104,100,103.75,16800
2018-05-31,102,102,101,101.8,13200
2018-06-01,102,102,100,102,19200
2018-06-04,100,100,96,96,12000
2018-06-05,95,95.95,93,93.8,20400
2018-06-06,95.5,97.2,93.5,97.1,7200
2018-06-07,99.5,100,97.95,98.5,7200
2018-06-08,97,99.9,96.05,99.9,3600
2018-06-11,97.5,97.95,97.4,97.45,4800
2018-06-14,97.05,97.9,96.5,97.9,6000
2018-06-15,94.1,96,93.05,93.95,37200
2018-06-18,91.1,93.9,91,93.9,9600
2018-06-19,90.25,93.9,90.05,90.9,9600
2018-06-20,90.1,90.1,90,90,4800
2018-06-21,92,92,89.8,89.8,13200
2018-06-22,88.25,90.1,88.25,90.05,7200
2018-06-25,88.65,88.65,88.6,88.6,2400
2018-06-26,86.75,88,86,86.4,16800
2018-06-27,86,86,82,82,12000
2018-06-28,78.1,78.1,73.05,74.85,33600
2018-06-29,76,84,76,81.85,16800
2018-07-02,80,84.9,79.1,84.9,8400
2018-07-03,82.1,82.1,82,82,2400
2018-07-04,82,82,82,82,1200
2018-07-05,84,84,84,84,1200
2018-07-06,81.5,82,81.25,82,4800
2018-07-09,82,82,82,82,1200
2018-07-11,81,81,79.6,80.05,16800
2018-07-12,78,80,75.1,77.15,15600
2018-07-13,77,77,77,77,1200
2018-07-16,79,80,74,74,21600
2018-07-17,71.5,82,71.5,78.55,31200
2018-07-18,80,80,75,78.25,15600
2018-07-19,80.5,80.6,76,79.05,26400
2018-07-20,76,78,76,77.25,3600
2018-07-23,78,90,78,81.05,15600
2018-07-24,80.05,82,80,82,4800
2018-07-27,81,81,81,81,1200
2018-08-02,85,85,85,85,1200
2018-08-06,90,91.9,87.05,91.9,4800
2018-08-07,88,90.4,86.1,90.1,6000
2018-08-08,91,91,91,91,1200
2018-08-09,91.5,92,91.5,92,2400
2018-08-14,89.8,89.8,89.8,89.8,1200
2018-08-16,92,95,92,95,3600
2018-08-17,95.9,95.9,95.9,95.9,3600
2018-08-20,98,98,98,98,1200
2018-08-21,97,97,95,95,2400
2018-08-23,95,95.45,94.6,95.45,6000
2018-08-24,92.05,95,77,85.75,72000
2018-08-28,88,88.5,88,88,6000
2018-08-29,88,89,88,89,2400
2018-08-30,92,93.4,92,92,4800
2018-08-31,94,94,90.15,90.3,7200
2018-09-03,92,92,88.1,88.3,8400
2018-09-04,88,88,80,82.5,68400
2018-09-05,82,82,82,82,1200
2018-09-07,84,85,82.05,82.05,3600
2018-09-11,82,82,80.7,81,4800
2018-09-17,82.5,82.5,82,82,2400
2018-09-18,83,83,83,83,1200
2018-09-19,83.5,84.95,81.55,83.8,12000
2018-09-21,84,84,84,84,1200
2018-09-24,78,81,78,81,4800
2018-09-25,81,81,77,77.9,7200
2018-09-27,80.5,80.5,80.5,80.5,1200
2018-09-28,75,75,75,75,1200
2018-10-01,71.1,71.1,71.1,71.1,1200
2018-10-03,73,73,73,73,1200
2018-10-04,70,73.5,69,73.5,6000
2018-10-05,70,72,66,67.8,8400
2018-10-08,69,70,64,67,30000
2018-10-09,70,70,69.1,69.5,14400
2018-10-10,71.5,82,71.5,79.7,15600
2018-10-11,78,78,78,78,1200
2018-10-16,78.05,79.25,78.05,79.25,2400
2018-10-19,77.35,77.35,74,74,3600
2018-10-22,74.6,74.6,72.2,72.2,2400
2018-10-23,70,70,67.1,69.95,9600
2018-10-24,68.85,68.85,68.85,68.85,2400
2018-10-26,66,67.25,65,67,8400
2018-10-29,69.95,69.95,69.95,69.95,1200
2018-10-31,70,70,70,70,1200
2018-11-02,70.05,70.05,70.05,70.05,1200
2018-11-05,67.05,67.05,67,67,2400
2018-11-06,66.05,66.05,66,66,2400
2018-11-09,67.6,67.6,67,67.35,3600
2018-11-12,67.5,67.5,67.5,67.5,1200
2018-11-13,67.5,67.5,67.5,67.5,1200
2018-11-15,64.1,64.1,64.1,64.1,2400
2018-11-16,63.5,63.5,63.05,63.25,3600
2018-11-19,64.5,68.85,64.5,67.9,3600
2018-11-20,67,67,60.1,64.7,14400
2018-11-21,64,64,64,64,1200
2018-11-22,65,65,65,65,1200
2018-11-26,65,65,62,64,7200
2018-11-28,61.5,64,61.5,64,2400
2018-11-29,65,65,65,65,1200
2018-11-30,65,65,63,63,2400
2018-12-03,63,64,63,64,2400
2018-12-04,64,64,63.95,64,3600
2018-12-05,62.05,65,62,65,3600
2018-12-06,65.25,65.25,62.5,64,7200
2018-12-12,65.5,67,65.5,67,3600
2018-12-13,65.1,68.75,65.1,68.75,2400
2018-12-20,69.5,69.5,65.3,65.3,3600
2018-12-21,69.9,70,69.9,70,3600
2018-12-24,69.35,69.5,69.35,69.4,2400
2018-12-26,68,68,68,68,4800
2018-12-31,65,67,65,67,2400
2019-01-02,67,67,64.25,64.25,2400
2019-01-03,63.6,66.35,63.6,64.95,2400
2019-01-09,63.6,63.6,63.6,63.6,1200
2019-01-10,63.05,63.05,63.05,63.05,1200
2019-01-14,63,63,63,63,1200
2019-01-15,64,64,64,64,1200
2019-01-17,63.5,63.5,63,63,2400
2019-01-21,62.8,66,62.8,65.75,3600
2019-01-22,69.85,74.9,69,72.05,39600
2019-01-23,79,79,76,76,25200
2019-01-24,78,78,74,74,2400
2019-01-25,74.4,79,70,71,27600
2019-01-28,71.85,73.75,71,71,4800
2019-01-29,68.35,68.5,67.25,68.5,3600
2019-01-30,66.25,70,66.25,66.25,4800
2019-02-04,70.5,74,70.5,74,32400
2019-02-05,67.05,71.4,67.05,71.4,4800
2019-02-11,72,72.45,71,71,3600
2019-02-12,67.05,71.75,67.05,71.75,4800
2019-02-13,67,70,66,66,3600
2019-02-14,67,67,67,67,1200
2019-02-15,63.3,66.9,63.3,65.1,2400
2019-02-18,63,69,63,69,3600
2019-02-19,71.35,71.35,66.05,68,9600
2019-02-21,76.95,77,72.5,76.7,76800
2019-02-22,72,72,71,71.25,44400
2019-03-01,66.05,70.7,66,70.7,6000
2019-03-06,65.05,71,65.05,68.25,8400
2019-03-07,69.9,69.9,67.5,67.5,2400
2019-03-08,65.15,71.95,65.15,68,9600
2019-03-11,70,70,68,68,6000
2019-03-14,67.05,67.05,66,66,7200
2019-03-15,65.55,65.55,65.5,65.5,2400
2019-03-18,67,67,67,67,3600
2019-03-19,66,66,65.75,65.75,4800
2019-03-20,66,66.9,65.8,65.8,9600
2019-03-22,66,66,65,65,6000
2019-03-25,63.05,63.05,63,63,9600
2019-03-26,60.05,67,60.05,67,54000
2019-03-27,68,70,66.3,68.55,54000
2019-03-28,69.9,69.9,67.5,69,18000
2019-03-29,66.55,66.55,65.5,66,2400
2019-04-03,69,69.5,69,69.5,2400
2019-04-04,65.65,65.65,65.65,65.65,1200
2019-04-05,66.05,69,66.05,69,6000
2019-04-09,70.4,70.4,66.55,68.45,2400
2019-04-11,65.55,70.45,65.55,65.55,6000
2019-04-15,69.7,69.7,66.25,66.25,2400
2019-04-23,69.9,69.9,66.05,66.05,2400
2019-04-24,70.05,70.05,65.6,67.8,2400
2019-05-02,65.55,65.55,65.5,65.5,2400
2019-05-06,73.9,73.9,65.05,66.05,3600
2019-05-08,70.95,70.95,65.05,65.05,2400
2019-05-10,64.5,64.5,64,64,2400
2019-05-13,59.05,63.95,59.05,63.95,2400
2019-05-14,59,59,59,59,1200
2019-05-15,60,60,60,60,1200
2019-05-17,62.95,62.95,57.45,57.45,2400
2019-05-20,57.2,57.2,57.2,57.2,1200
2019-05-21,59,59,57.1,57.1,2400
2019-05-22,57.05,57.05,57.05,57.05,1200
2019-05-23,57,57,57,57,1200
2019-05-27,58.5,61,58.5,61,2400
2019-05-28,59.25,59.25,59.25,59.25,1200
2019-05-29,62.95,62.95,58.05,58.05,2400
2019-05-30,58.15,58.15,58.15,58.15,1200
2019-06-04,58.05,58.05,58,58,2400
2019-06-06,59.5,59.5,59.5,59.5,1200
2019-06-11,58.6,58.6,58.6,58.6,1200
2019-06-14,59.95,59.95,54.5,54.5,4800
2019-06-17,51,52,49,49,6000
2019-06-18,49.95,49.95,46.3,48.1,2400
2019-06-19,46,46,45.25,45.25,3600
2019-06-20,41.6,42,41,41,6000
2019-06-21,38.05,40,36.9,36.9,12000
2019-06-24,38,39.95,37,37.8,10800
2019-06-25,38.45,40.55,37,40.55,9600
2019-07-01,41.75,41.75,41.75,41.75,1200
2019-07-04,38,40,38,40,2400
2019-07-08,38,40,38,40,2400
2019-07-09,38,39,38,39,2400
2019-07-10,39.8,39.8,39.8,39.8,1200
2019-07-12,36,39,35.85,38.45,7200
2019-07-15,38.85,38.85,36.25,37.8,6000
2019-07-16,35.5,38.25,35.5,38.25,4800
2019-07-17,35.6,37.5,34.45,37.5,4800
2019-07-18,34.5,34.5,34.5,34.5,1200
2019-07-19,36.5,36.5,34,34,7200
2019-07-22,35.25,35.25,30.65,32.3,12000
2019-07-23,33.25,33.3,31.15,33.3,7200
2019-07-24,34.35,34.45,30.4,30.85,12000
2019-07-25,32,32,32,32,1200
2019-07-26,32.15,32.2,32.15,32.2,3600
2019-07-29,31.05,33,31.05,33,2400
2019-07-30,32,32,29.85,30.9,7200
2019-07-31,30,31.5,30,30.5,7200
2019-08-01,30.5,30.5,27.6,27.6,6000
2019-08-02,28,28.95,28,28.95,4800
2019-08-06,30,30.35,30,30.35,2400
2019-08-07,31.75,31.75,31.75,31.75,1200
2019-08-13,32.75,32.75,32.75,32.75,1200
2019-08-14,34,34,34,34,1200
2019-08-19,32.5,35,32.5,35,3600
2019-08-20,36.5,36.5,36.5,36.5,1200
2019-08-22,34.7,34.7,34.7,34.7,2400
2019-08-26,33.05,33.05,33.05,33.05,1200
2019-08-27,31.65,34,31.65,34,2400
2019-08-28,35,35,34.9,34.9,2400
2019-09-13,34,34,34,34,1200
2019-09-17,34,34,34,34,1200
2019-09-19,32.5,32.5,32.5,32.5,1200
2019-09-20,31.25,34.1,31.25,34.1,7200
2019-09-23,32.45,33,32.45,33,55200
2019-09-24,33,33,33,33,50400
2019-09-25,33,33.05,33,33.05,3600
2019-09-26,33.1,33.1,33.1,33.1,1200
2019-09-27,31.65,31.65,31.45,31.45,4800
2019-09-30,31.5,31.5,31.5,31.5,1200
2019-10-01,30,30,30,30,1200
2019-10-03,28.5,30,28.5,30,3600
2019-10-10,30,30,30,30,1200
2019-10-14,30,30,30,30,1200
2019-10-15,28.5,28.5,28.5,28.5,1200
2019-10-16,27.1,28.9,27.1,27.15,9600
2019-10-17,27.1,28.35,27.1,28,14400
2019-10-18,28.85,28.85,28.4,28.4,2400
2019-10-22,27,27,27,27,1200
2019-10-23,27.5,27.95,27.5,27.95,2400
2019-10-31,27.05,27.05,27,27,2400
2019-11-04,27,28,27,28,2400
2019-11-05,28.1,28.15,28.1,28.15,2400
2019-11-06,28.5,28.5,27.5,27.5,2400
2019-11-13,26.15,26.15,26.15,26.15,1200
2019-11-14,26,26,24.85,24.85,4800
2019-11-15,23.65,23.65,23.65,23.65,1200
2019-11-18,22.7,22.7,22.5,22.5,8400
2019-11-19,21.45,21.5,21.4,21.5,7200
2019-11-20,21,22.55,21,22.55,4800
2019-11-21,23.65,23.65,23.65,23.65,1200
2019-11-22,24.8,24.8,24.8,24.8,1200
2019-12-02,26,26,26,26,2400
2019-12-06,25,25,25,25,2400
2019-12-16,23.8,23.8,23.75,23.75,2400
2019-12-18,22.6,22.6,22.6,22.6,1200
2019-12-23,23.7,23.7,23.7,23.7,3600
2019-12-30,22.75,22.75,22.7,22.7,2400
2020-01-09,23.8,23.8,23.8,23.8,1200
2020-01-10,24.95,24.95,24.95,24.95,3600
2020-01-13,26.15,26.15,26.15,26.15,1200
2020-01-20,24.9,24.9,24.85,24.85,4800
2020-01-21,23.65,23.65,23.65,23.65,1200
2020-01-24,24.75,24.75,24.75,24.75,1200
2020-01-27,25.95,25.95,25.95,25.95,1200
2020-01-28,27.2,27.2,27.2,27.2,1200
2020-01-30,28.55,28.55,28.5,28.5,14400
2020-02-14,28,28,28,28,1200
2020-03-02,26.6,26.6,26.6,26.6,2400
2020-03-09,25.3,25.3,25.3,25.3,1200
2020-03-11,24.05,24.05,24.05,24.05,4800
2020-03-12,22.85,22.85,22.85,22.85,1200
2020-03-13,21.75,21.75,21.75,21.75,1200
2020-03-16,20.7,20.7,20.7,20.7,1200
2020-03-18,19.75,19.75,19.7,19.7,2400
2020-03-19,18.75,18.75,18.75,18.75,1200
2020-03-20,17.85,17.85,17.85,17.85,1200
2020-03-27,17,18.4,17,18.4,2400
2020-03-30,17.55,17.55,17.55,17.55,1200
2020-04-08,16.7,16.7,16.7,16.7,1200
2020-04-17,16.65,16.65,16.65,16.65,7200
2020-04-27,16.6,16.6,16.6,16.6,1200
2020-04-28,16.6,16.6,16.6,16.6,1200
2020-04-30,15.8,15.8,15.8,15.8,1200
2020-05-04,15.05,15.05,15.05,15.05,3600
2020-05-05,14.3,14.3,14.3,14.3,7200
2020-05-06,14.5,15,14.5,14.85,3600
2020-05-07,14.5,15.55,14.5,15.5,3600
2020-05-11,14.85,16.2,14.8,16.2,4800
2020-05-13,17,17,17,17,1200
2020-05-14,17.85,17.85,17.85,17.85,1200
2020-05-15,18.7,18.7,18.7,18.7,2400
2020-05-20,18.3,18.3,18.3,18.3,1200
2020-05-21,17.8,17.8,17.6,17.6,3600
2020-05-26,18,18,18,18,2400
2020-05-29,18.9,18.9,18.9,18.9,1200
2020-06-02,18.15,18.5,18.15,18.5,2400
2020-06-04,17.7,17.7,17.7,17.7,1200
2020-06-08,17.45,17.45,17.45,17.45,1200
2020-06-09,18.3,18.3,18.3,18.3,1200
2020-06-10,18,18,17.7,17.7,2400
2020-06-12,18.05,18.05,18.05,18.05,1200
2020-06-15,18.95,18.95,18.95,18.95,1200
2020-06-19,19.2,19.85,19.2,19.85,2400
2020-06-25,19.9,20.8,19.9,20.8,2400
2020-06-26,21.8,21.8,21.8,21.8,1200
2020-07-01,20.75,20.75,20.75,20.75,1200
2020-07-02,19.85,19.85,19.85,19.85,1200
2020-07-03,19.15,19.15,19.15,19.15,1200
2020-07-06,19.2,19.2,18.2,18.2,8400
2020-07-07,19.1,19.1,17.85,17.85,3600
2020-07-08,17.9,18.7,17.9,18.15,3600
2020-07-09,18.9,19.05,17.85,17.85,6000
2020-07-16,18.7,18.7,18.7,18.7,1200
2020-07-22,18.35,18.35,18.35,18.35,1200
2020-07-23,17.6,17.65,17.6,17.65,2400
2020-07-24,18.4,18.45,18.4,18.45,2400
2020-07-27,18.3,18.3,18.3,18.3,1200
2020-07-31,18,18,18,18,26400
2020-08-05,18.9,18.9,18.9,18.9,1200
2020-08-10,19,19.8,18.5,19.8,28800
2020-08-14,19.1,19.1,19.1,19.1,1200
2020-08-17,20.05,20.05,20.05,20.05,8400
2020-08-18,21.05,21.05,21.05,21.05,1200
2020-08-19,22.1,22.1,22.1,22.1,2400
2020-08-20,21.55,21.55,21.5,21.5,2400
2020-08-21,22.5,22.55,22.5,22.55,2400
2020-08-24,21.55,21.55,21.55,21.55,1200
2020-08-25,20.75,22.6,20.75,22.6,2400
2020-08-26,23.7,23.7,22.25,22.25,2400
2020-08-28,21.6,21.6,21.6,21.6,1200
2020-08-31,22.6,22.6,22.6,22.6,4800
2020-09-10,21.6,21.6,21.6,21.6,1200
2020-09-17,22,22.65,20.75,21.75,6000
2020-09-18,21.8,22,21.65,22,4800
2020-09-21,21.65,22.5,21.65,22.5,4800
2020-09-23,21.9,21.9,21.9,21.9,1200
2020-09-24,21.6,21.6,21.6,21.6,1200
2020-10-13,20.95,20.95,20.95,20.95,1200
2020-10-14,20.1,21.95,20.1,21.95,6000
2020-10-26,21.3,21.3,21.3,21.3,1200
2020-10-28,20.4,20.4,20.35,20.35,3600
2020-11-04,21.35,21.35,21.35,21.35,1200
2020-11-06,20.55,20.55,20.55,20.55,1200
2020-11-12,19.65,19.65,19.65,19.65,1200
2020-11-17,18.85,19.05,18.85,19,3600
2020-11-23,18.15,18.15,18.15,18.15,1200
2020-11-24,18.1,19.05,18.1,19.05,7200
2020-11-25,19.4,19.4,19.4,19.4,2400
2020-12-01,20.35,20.35,20.3,20.35,16800
2020-12-02,19.55,19.55,19.55,19.55,1200
2020-12-03,20.5,20.5,20.5,20.5,4800
2020-12-04,21.5,21.5,21.5,21.5,7200
2020-12-08,21,21,20.45,20.75,7200
2020-12-09,20.2,20.2,20.2,20.2,1200
2020-12-11,20.45,21.15,20.45,21.15,3600
2020-12-14,20.15,20.15,20.15,20.15,4800
2020-12-16,19.6,21.15,19.6,21.1,6000
2020-12-17,22.15,22.15,22.15,22.15,3600
2020-12-18,21.5,21.5,21.5,21.5,1200
2020-12-21,21.1,21.1,21.1,21.1,1200
2020-12-22,21,21.1,21,21.1,2400
2020-12-23,21.15,21.8,21,21.8,57600
2020-12-28,21.25,21.25,21.25,21.25,8400
2020-12-29,22,22.3,20.85,22.3,3600
2020-12-30,22.4,23.4,22.3,23.35,6000
2020-12-31,24.4,24.5,23.05,24.5,4800
2021-01-01,25.4,25.7,24.65,25.7,6000
2021-01-04,26.7,26.95,26.7,26.95,4800
2021-01-05,25.7,26.5,25.7,26.5,4800
2021-01-06,26.5,26.5,25.35,25.35,3600
2021-01-08,26.5,26.5,26.5,26.5,1200
2021-01-12,26.5,26.5,26.5,26.5,1200
2021-01-13,25.8,25.8,25.2,25.2,12000
2021-01-14,24.35,24.35,24.2,24.2,2400
2021-01-15,23.55,23.55,23.5,23.55,4800
2021-01-18,22.7,22.7,22.7,22.7,1200
2021-01-20,23.2,23.35,23.2,23.35,2400
2021-01-21,24.4,24.4,24.4,24.4,2400
2021-01-28,25.6,25.6,25.6,25.6,1200
2021-01-29,24.35,24.35,24.35,24.35,2400
2021-02-05,25.55,25.55,25.55,25.55,1200
2021-02-08,26.75,26.8,26.75,26.8,2400
2021-02-09,25.5,25.5,25.5,25.5,4800
2021-02-10,25.5,25.5,25.5,25.5,1200
2021-02-17,25.5,25.5,25.5,25.5,3600
2021-02-19,25,25,24.25,24.25,7200
2021-02-22,23.05,24,23.05,24,3600
2021-02-25,24,25.2,24,24.5,28800
2021-02-26,24.4,25.55,24,24.15,42000
2021-03-01,25,25.15,24.7,25,32400
2021-03-02,25.25,26.25,25,26.25,12000
2021-03-03,27.55,27.55,26.35,27.55,18000
2021-03-04,28.9,28.9,28.9,28.9,4800
2021-03-05,30.3,30.3,30.3,30.3,3600
2021-03-08,31.7,31.7,31.7,31.7,1200
2021-03-09,33.25,33.25,33.25,33.25,12000
2021-03-10,34.9,34.9,32.85,34.1,15600
2021-03-12,34.25,34.85,33.5,34.75,22800
2021-03-15,36.4,36.4,34.05,34.9,34800
2021-03-16,36.45,36.45,34.6,35.1,26400
2021-03-17,35,35.4,33.55,33.55,25200
2021-03-18,34.3,34.3,32.15,32.25,25200
2021-03-19,32.15,32.9,31.6,31.6,21600
2021-03-22,32.05,32.85,31,32.65,22800
2021-03-23,32.5,34.2,31.85,34.1,24000
2021-03-24,34.75,35.5,32.75,34.75,21600
2021-03-25,34.5,35.6,33.1,33.1,21600
2021-03-26,34,34.65,31.6,31.6,28800
2021-03-30,32,33,31.75,32.9,21600
2021-03-31,34.35,34.35,31.7,34.15,24000
2021-04-01,34.7,35,33.25,35,24000
2021-04-05,35.45,35.45,33.3,34,21600
2021-04-06,35.55,35.55,33.25,35.4,24000
2021-04-07,34,36.9,34,36.7,10800
2021-04-08,38.25,38.25,35.35,38,22800
2021-04-09,39.85,39.9,36.6,39.5,19200
2021-04-12,41.4,41.4,37.6,39.05,19200
2021-04-13,40.95,40.95,37.2,39.85,20400
2021-04-15,40.85,40.85,38.1,38.9,30000
2021-04-16,40.65,40.65,37.2,40,22800
2021-04-19,38.75,39.9,38.7,39.45,20400
2021-04-20,38,39.95,38,39.1,25200
2021-04-22,38.4,39.85,38.4,39.25,18000
2021-04-23,39.85,39.85,37.9,39,22800
2021-04-27,39.7,39.8,38.65,39.8,21600
2021-04-28,39.85,39.85,38.65,39.6,21600
2021-04-29,39,39.35,38.3,39.15,22800
2021-05-03,38.6,42.45,38.6,42.45,21600
2021-05-04,44.4,44.4,40.4,42.45,21600
2021-05-05,41.95,41.95,40.35,40.65,37200
2021-05-06,42,42.05,39,41.25,18000
2021-05-07,41.8,41.8,40,40.95,24000
2021-05-10,42,42.15,41,41.6,26400
2021-05-11,41.9,43.4,39.55,39.55,32400
2021-05-12,41.4,41.4,37.7,40.25,21600
2021-05-14,40.25,41.75,38.25,41,25200
2021-05-17,41,41.9,39,41.9,33600
2021-05-18,43.55,43.55,40,42.35,21600
2021-05-19,43,43.15,40.5,41.45,21600
2021-05-20,42.85,42.85,39.6,41.8,20400
2021-05-21,39.8,42.75,39.75,42.7,33600
2021-05-24,42.95,42.95,41.6,42.7,22800
2021-05-25,43.75,44.7,42.55,44.6,27600
2021-05-26,46.7,46.7,44.25,44.6,26400
2021-05-27,46.75,46.75,45.85,46.05,22800
2021-05-28,46.85,46.85,45.15,45.35,22800
2021-05-31,45.45,45.45,44.3,44.8,24000
2021-06-01,45.9,45.9,43,44.35,28800
2021-06-02,46.25,46.25,44,45.3,25200
2021-06-03,45.45,45.45,43.55,44.9,27600
2021-06-04,46.3,46.3,44.05,45,24000
2021-06-07,48.35,48.35,47,47,22800
2021-06-08,47.9,47.9,44,45.85,25200
2021-06-09,45.95,47,45.5,46.2,26400
2021-06-10,47.4,47.4,45.85,47.4,27600
2021-06-11,47.5,52.05,47.5,51.1,56400
2021-06-14,55.4,55.4,53,53.15,26400
2021-06-15,53.95,53.95,50,51.5,39600
2021-06-16,53.75,53.75,46.35,47.95,25200
2021-06-17,49.25,50.65,45.15,45.75,25200
