Date,Open,High,Low,Close,Volume
2024-08-06,725,797.5,725,796.25,23470747
2024-08-07,816,824,783.2,793.75,2975148
2024-08-08,787.5,815,785.25,799.8,951754
2024-08-09,809,815,795,803.15,457347
2024-08-12,801.75,883.45,797.55,883.45,1329957
2024-08-13,899,957.9,890,935.25,1163892
2024-08-14,937.5,1028.75,937,969.7,1933549
2024-08-16,994,1066.65,977.4,1066.65,982763
2024-08-19,1090,1119.95,1089.75,1119.95,148337
2024-08-20,1175.9,1175.9,1063.95,1063.95,723301
2024-08-21,1010.75,1010.75,1010.75,1010.75,26680
2024-08-22,1000,1008.95,960.25,960.25,1499113
2024-08-23,970,1008.25,925.55,940.65,1875805
2024-08-26,957,968.9,893.65,893.65,499271
2024-08-27,882,902,851.35,855.55,437871
2024-08-28,871.85,898.3,863.6,883.45,542955
2024-08-29,890.95,890.95,856.85,866.25,363781
2024-08-30,874.9,889.7,861.1,864.05,297889
2024-09-02,870.45,875.9,821,833.45,744178
2024-09-03,821,861.3,821,854.25,560309
2024-09-04,848.9,896.95,833.35,896.95,352387
2024-09-05,929.9,929.9,874.2,884.45,351327
2024-09-06,888,893,861,864.95,178715
2024-09-09,867.9,884.95,847.55,867.6,139788
2024-09-10,881.65,910.95,873.8,910.95,197487
2024-09-11,929.7,949,901.65,910.25,352235
2024-09-12,928,928.8,900.55,910.5,209660
2024-09-13,944,944,900,902.6,206479
2024-09-16,907.95,909.9,885,888.5,115505
2024-09-17,890.9,895.45,852,855.25,143280
2024-09-18,855.25,863.9,828.05,845.3,619367
2024-09-19,858.95,858.95,830,841.15,108418
2024-09-20,845,857.9,845,851.75,100514
2024-09-23,858.9,882.95,851,856.25,124052
2024-09-24,856.25,859.35,832.15,840,180090
2024-09-25,841.85,852,833,835.5,63676
2024-09-26,835.2,842.05,828.1,831.75,104109
2024-09-27,835,850,831,832.6,51775
2024-09-30,832.95,854,832.95,835.85,71299
2024-10-01,843.4,877.6,838.2,868,255795
2024-10-03,867.9,880.5,835,845.6,161540
2024-10-04,838,852,832.55,836.55,81243
2024-10-07,847,859.65,813.6,824.5,195929
2024-10-08,816,847,813.55,841.95,81981
2024-10-09,851,861.9,845,851.55,76046
2024-10-10,878.95,889.9,850.1,853.9,130895
2024-10-11,859.9,863.25,852.1,857.1,43121
2024-10-14,868.85,868.85,840.2,844.6,154561
2024-10-15,841.6,888,805.1,880.6,327363
2024-10-16,880.6,929.1,870.05,920.65,388465
2024-10-17,927.55,935.25,899.55,913.85,235774
2024-10-18,906.7,939.95,895.05,910,157710
2024-10-21,920.1,920.15,900,915.75,80373
2024-10-22,915.75,927.95,888,903.95,247409
2024-10-23,888,898.6,867.05,884.15,97516
2024-10-24,880.25,897.5,865.25,875.3,38718
2024-10-25,878.8,880,843,848.25,51178
2024-10-28,849.5,877.9,846.55,865.9,71857
2024-10-29,862,897.5,860,888.9,95655
2024-10-30,891.5,919.35,882.05,902.6,88614
2024-10-31,902.6,902.6,835,841.9,431379
2024-11-01,845,860,845,855.65,30756
2024-11-04,855.65,855.65,836,845.25,82020
2024-11-05,842,846.1,828.35,832.7,81748
2024-11-06,844,844,805,808,320407
2024-11-07,810,810.05,801,802.4,127871
2024-11-08,804,808.95,795.05,796.2,91897
2024-11-11,794.2,794.2,716.6,716.6,448259
2024-11-12,702,702,644.95,644.95,980628
2024-11-13,612.8,640,612.7,612.7,630137
2024-11-14,582.1,582.1,582.1,582.1,234411
2024-11-18,562,573.9,553,553,518898
2024-11-19,536,580.65,530.05,580.65,2311186
2024-11-21,609.65,609.65,609.65,609.65,52986
2024-11-22,640.1,640.1,640.1,640.1,35476
2024-11-25,672.1,672.1,672.1,672.1,28172
2024-11-26,705.7,705.7,638.5,641.65,1983557
2024-11-27,638.5,652.85,630.85,639.25,419053
2024-11-28,649.9,649.9,607.3,607.3,327535
2024-11-29,614,637.65,582.35,605.1,1133294
2024-12-02,609,625,591.15,618.7,484140
2024-12-03,618.2,633,611.1,623.45,274167
2024-12-04,623.45,627.85,609,611.25,273138
2024-12-05,614.95,617.95,607,608.9,187619
2024-12-06,613,635,608.75,624.3,381358
2024-12-09,619.55,631.4,616.05,624.25,186373
2024-12-10,629.95,629.95,607.95,612.15,168823
2024-12-11,613.95,615.95,608,612.8,93698
2024-12-12,612.9,613.75,576,587.05,446108
2024-12-13,579,592.3,579,589.3,193416
2024-12-16,580,594.85,580,584.5,122522
2024-12-17,589,589,577,578.95,191956
2024-12-18,583.6,591.2,568.9,570.45,245548
2024-12-19,565,566.95,555.55,560.6,216044
2024-12-20,561.95,589.9,552.35,572.8,553477
2024-12-23,580,604.65,555.6,597.9,595122
2024-12-24,598,626,577.05,595.9,1381052
2024-12-26,600,618.8,584.45,607.65,528280
2024-12-27,612.7,668.4,608.05,668.4,2105937
2024-12-30,668.4,678.4,632.4,645.2,1013190
2024-12-31,640,649.15,632.55,638.4,286894
2025-01-01,648,649,625,632.9,152433
2025-01-02,635.85,645.5,623,641.25,294181
2025-01-03,644,652,631.05,633.85,227251
2025-01-06,631.05,635,602,607.6,325113
2025-01-07,610.6,620.9,610,611.6,110518
2025-01-08,613,652.65,613,624.35,623149
2025-01-09,627.95,631.35,601.55,617.4,235946
2025-01-10,617.95,632.4,605.5,618.25,466097
2025-01-13,612,627.25,595.25,609.25,323738
2025-01-14,613.1,627.3,605.1,625.35,138472
