Date,Open,High,Low,Close,Volume
2006-06-23,12.51,12.88,10.76,12.59,4358910
2006-06-25,12.56,13.05,12.56,12.78,323063
2006-06-26,12.73,12.89,10.87,11.35,998012
2006-06-27,11.17,11.32,10.65,10.94,597873
2006-06-28,10.56,11.83,10.51,11.49,971375
2006-06-29,11.68,12.55,11.59,12.22,1065341
2006-06-30,12.41,12.92,12.23,12.38,812046
2006-07-03,12.41,12.55,12.23,12.32,179960
2006-07-04,12.41,12.51,12.23,12.28,53976
2006-07-05,12.21,12.79,12.08,12.72,201915
2006-07-06,12.58,13.16,12.3,12.45,585470
2006-07-07,12.51,12.74,12.13,12.19,136360
2006-07-10,11.94,12.47,11.94,12.3,74409
2006-07-11,12.36,12.55,12.3,12.45,60452
2006-07-12,12.23,12.56,11.85,12.34,21236
2006-07-13,12.23,12.56,12.23,12.31,30640
2006-07-14,12.06,12.32,11.92,12.05,23201
2006-07-17,11.91,12.27,11.57,11.78,18735
2006-07-18,11.92,11.95,11.47,11.62,18102
2006-07-19,11.68,11.82,11.55,11.57,36203
2006-07-20,11.83,11.83,11.3,11.41,26165
2006-07-21,11.31,11.52,10.98,11.17,5860
2006-07-24,11.29,11.29,10.61,10.77,3833
2006-07-25,10.83,10.98,10.77,10.82,2902
2006-07-26,10.82,11.25,10.76,11.17,9463
2006-07-27,11.36,11.45,11.1,11.22,3683
2006-07-28,11.06,11.3,10.64,10.72,4814
2006-07-31,11.1,11.59,10.83,11.25,7053
2006-08-01,11.1,11.23,11.03,11.13,1764
2006-08-02,11.1,11.51,11.1,11.35,16875
2006-08-03,11.41,11.87,11.4,11.68,12118
2006-08-04,11.7,11.75,11.57,11.67,2265
2006-08-07,11.62,11.62,11.4,11.44,1086
2006-08-08,11.51,12.04,11.51,11.89,7963
2006-08-09,12.02,12.39,11.78,12.29,9042
2006-08-10,12.29,13.05,11.38,12.63,101473
2006-08-11,12.96,12.96,12.14,12.29,12020
2006-08-14,12.51,12.51,12.13,12.29,3748
2006-08-16,12.41,12.51,12.16,12.32,2969
2006-08-17,12.41,12.41,11.94,12,1190
2006-08-18,12.32,12.7,11.85,12.25,11755
2006-08-21,11.44,12.41,11.44,12.37,9394
2006-08-22,12.32,12.41,12.23,12.23,4772
2006-08-23,12.13,12.95,12.13,12.37,54189
2006-08-24,12.32,12.77,12.32,12.68,6367
2006-08-25,12.79,12.87,12.48,12.77,28098
2006-08-28,12.23,12.98,11.89,12.76,17196
2006-08-29,12.64,12.81,12.64,12.76,7436
2006-08-30,12.32,12.79,12.32,12.77,4788
2006-08-31,12.55,12.79,12.55,12.75,5393
2006-09-01,12.55,12.75,12.55,12.68,7329
2006-09-04,12.61,12.92,12.6,12.71,9272
2006-09-05,12.6,12.84,12.6,12.8,12149
2006-09-06,12.68,12.88,12.68,12.77,6154
2006-09-07,12.01,12.82,12.01,12.71,6452
2006-09-08,12.85,12.87,12.7,12.78,3238
2006-09-11,12.79,12.79,12.5,12.58,4378
2006-09-12,12.49,12.7,12.46,12.6,20172
2006-09-13,12.7,12.7,12.54,12.69,1203
2006-09-14,12.13,12.85,12.13,12.8,4454
2006-09-15,12.04,12.83,12.04,12.77,4053
2006-09-18,12.79,12.87,12.64,12.83,6384
2006-09-19,12.7,12.88,12.57,12.71,2475
2006-09-20,12.79,12.79,12.55,12.63,320
2006-09-21,12.6,12.81,12.51,12.55,7872
2006-09-22,11.79,12.7,11.79,12.53,832
2006-09-25,12.51,12.79,12.35,12.54,731
2006-09-26,12.17,12.83,12.17,12.47,2662
2006-09-27,12.37,12.73,12.36,12.67,1113
2006-09-28,12.56,12.7,12.51,12.52,306
2006-09-29,12.51,12.88,12.51,12.82,18945
2006-10-03,12.83,12.88,12.68,12.87,5239
2006-10-04,12.96,13.64,12.91,13.18,27167
2006-10-05,13.28,13.52,13.18,13.48,6222
2006-10-06,13.28,14.58,13.28,14.12,27706
2006-10-09,15.05,15.05,13.73,14.45,20861
2006-10-10,14.67,15.61,13.67,15.04,123765
2006-10-11,15.23,15.68,14.98,15.06,58890
2006-10-12,15.2,15.33,15.07,15.29,44212
2006-10-13,15.42,15.6,15.24,15.37,28398
2006-10-16,15.24,15.39,15.16,15.26,18666
2006-10-17,15.14,15.24,15.05,15.18,7966
2006-10-18,15.18,15.29,14.77,14.79,11803
2006-10-19,14.88,14.97,14.69,14.8,3646
2006-10-20,15.01,15.61,14.95,15.23,24623
2006-10-21,15.42,15.8,15.37,15.7,19834
2006-10-23,15.8,15.89,15.14,15.16,32555
2006-10-26,15.22,15.71,15.22,15.57,5992
2006-10-27,15.71,15.97,14.71,15.87,13578
2006-10-30,15.78,15.87,15.44,15.58,18621
2006-10-31,14.64,15.89,14.64,15.78,11663
2006-11-01,15.89,16.03,15.48,15.6,20456
2006-11-02,15.42,15.8,15.42,15.61,9849
2006-11-03,15.71,15.71,15.45,15.62,13861
2006-11-06,15.52,15.89,15.52,15.87,34099
2006-11-07,15.8,15.89,15.46,15.63,15228
2006-11-08,15.78,15.78,15.42,15.54,2690
2006-11-09,15.52,15.96,15.5,15.88,10900
2006-11-10,15.61,16.06,15.42,15.47,23862
2006-11-13,15.86,16.01,15.52,15.71,8105
2006-11-14,15.97,18.23,15.71,17.69,109373
2006-11-15,17.64,19.09,17.09,18.22,176107
2006-11-16,18.34,19.26,18.15,18.37,57343
2006-11-17,18.19,19.26,18.19,19.08,82528
2006-11-20,18.79,19.26,18.3,18.77,19140
2006-11-21,19.15,20.64,18.64,20.64,71483
2006-11-22,20.97,21.71,20.03,20.53,84955
2006-11-23,20.54,20.97,19.41,19.78,32833
2006-11-24,19.78,20.31,18.9,19.02,20899
2006-11-27,19.28,19.56,18.39,19.03,16251
2006-11-28,18.45,19.26,18.34,18.47,17550
2006-11-29,18.77,19.15,18.43,18.59,10595
2006-11-30,18.68,19.09,18.06,18.53,12930
2006-12-01,18.79,20.39,18.71,20.24,71368
2006-12-04,19.58,20.24,19.28,19.91,31925
2006-12-05,20.24,21.03,19.96,20.29,76631
2006-12-06,20.63,20.67,19.52,19.77,9114
2006-12-07,19.75,20.22,19.57,19.95,7042
2006-12-08,20.13,20.14,19.28,19.56,7654
2006-12-11,19.66,20.22,18.06,19.14,16532
2006-12-12,18.53,19.37,18.47,18.86,11154
2006-12-13,19.09,19.47,18.38,19.36,5449
2006-12-14,19.18,19.55,19.06,19.24,3292
2006-12-15,19.63,20.22,19.37,19.4,4164
2006-12-18,19.9,19.9,19.07,19.37,2089
2006-12-19,19.37,19.43,18.96,19.27,2169
2006-12-20,19.09,19.5,18.66,18.87,1159
2006-12-21,18.49,19.47,18.49,19.13,3018
2006-12-22,20.58,20.58,18.81,19.15,5733
2006-12-26,19.43,19.66,19,19.07,1520
2006-12-27,19.56,19.56,18.86,18.97,883
2006-12-28,19.18,19.18,18.81,18.81,1820
2006-12-29,19.35,20.69,19.11,19.98,46698
2007-01-02,20.37,21.98,20.37,21.98,38067
2007-01-03,22.72,23.98,22.57,23.26,73723
2007-01-04,23.51,24.17,22.81,23.07,45935
2007-01-05,23.17,24.22,22.67,24.21,52476
2007-01-08,24.26,25.28,23.32,24.13,51641
2007-01-09,24.39,24.64,23.7,23.95,22762
2007-01-10,24.17,24.55,23.42,23.97,10354
2007-01-11,24.04,24.62,23.47,24.48,19001
2007-01-12,25.11,25.49,23.99,24.38,15768
2007-01-15,24.98,25,24.02,24.39,3786
2007-01-16,24.23,24.45,23.89,24.01,1857
2007-01-17,23.98,24.3,23.63,23.79,1954
2007-01-18,23.51,24.64,23.51,24.01,3784
2007-01-19,24.58,24.62,23.63,23.78,836
2007-01-22,23.89,23.89,23.55,23.72,1247
2007-01-23,24.02,24.04,23.63,23.64,700
2007-01-24,23.06,24.39,23.04,23.94,2129
2007-01-25,23.72,24.43,23.72,24.18,1726
2007-01-29,24.26,24.26,23.6,23.65,1350
2007-01-31,24.41,24.41,23.57,23.67,2059
2007-02-01,23.7,24.15,23.66,24.07,4313
2007-02-02,24.08,24.08,23.7,23.93,868
2007-02-05,23.79,24.45,23.23,23.34,2170
2007-02-06,23.9,24.09,23.42,24.05,6004
2007-02-07,23.19,24.09,23.19,23.9,777
2007-02-08,23.79,23.98,22.78,23.94,7574
2007-02-09,23.54,23.85,22.95,23.06,2295
2007-02-12,22.78,23.98,21.35,21.92,918
2007-02-13,21.74,22.57,21.63,21.95,2151
2007-02-14,22.95,22.95,20.92,21.17,1178
2007-02-15,22.38,22.46,21.54,21.95,294
2007-02-19,22.1,22.57,20.92,21.03,1366
2007-02-20,21.19,21.25,20.65,20.7,1170
2007-02-21,19.77,21.35,19.77,21.21,1205
2007-02-22,22.55,22.55,20.5,21.38,2825
2007-02-23,21.91,21.91,20.41,21.08,1585
2007-02-26,20.14,21.44,20.03,20.67,1903
2007-02-27,21.35,21.63,20.78,20.94,2123
2007-02-28,18.86,20.8,18.86,20.69,2671
2007-03-01,20.14,21.07,20.14,20.53,1127
2007-03-02,20.5,20.69,19.67,20.57,3532
2007-03-05,20.69,20.69,18.9,19.29,1253
2007-03-06,17.87,20.25,17.87,19.05,1230
2007-03-07,18.85,20.22,18.83,20.12,1478
2007-03-08,20.46,20.46,19.28,20.19,2865
2007-03-09,20.65,20.65,19.28,19.55,981
2007-03-12,20.46,20.5,19.77,20.29,1296
2007-03-13,19.75,20.4,19.75,20.13,4618
2007-03-14,19.84,19.94,19,19.27,5879
2007-03-15,19.39,19.47,18.43,19.09,5860
2007-03-16,20.9,20.9,18.81,19.18,1454
2007-03-19,18.62,19.75,18.62,19.65,1291
2007-03-20,19.28,19.75,19.17,19.66,5123
2007-03-21,19.26,19.56,19.13,19.19,2581
2007-03-22,19.09,20.13,18.22,19.81,1968
2007-03-23,19.75,19.75,19.22,19.4,10722
2007-03-26,19.13,21.25,18.85,20.59,1362
2007-03-28,20.84,21.35,19.66,19.91,22394
2007-03-29,19.19,19.94,19.19,19.67,24822
2007-03-30,19.96,19.96,19.66,19.93,1630
2007-04-02,19.75,19.75,18.83,18.92,532
2007-04-03,18.81,19.75,18.81,19.19,215
2007-04-04,19.28,19.54,19.2,19.22,273
2007-04-05,19.37,19.84,19.06,19.74,2319
2007-04-09,19.94,19.94,19.39,19.56,2159
2007-04-10,19.94,19.94,19.13,19.42,1266
2007-04-11,19.37,19.74,19.11,19.4,490
2007-04-12,19.91,19.91,19.22,19.67,296
2007-04-13,19.2,19.75,19.2,19.74,988
2007-04-16,19.94,19.94,19.66,19.7,4709
2007-04-17,19.92,19.92,19.19,19.52,50812
2007-04-18,19.32,19.75,19.32,19.38,695
2007-04-19,19.57,19.57,19.18,19.28,74
