Date,Open,High,Low,Close,Volume
2025-08-14,311.3,325,280.65,283.3,16679393
2025-08-18,285.25,302,276.15,291.5,4006378
2025-08-19,304,316.3,301.7,306.6,5679393
2025-08-20,305.85,306,295.2,296.9,1261966
2025-08-21,298.95,309.7,298,303.95,1294489
2025-08-22,306.2,327,305.55,315.25,5788275
2025-08-25,318.8,334.9,318.75,328.35,4386855
2025-08-26,329,329.35,301.05,303.1,2350406
2025-08-28,303,308.7,295,296.85,1120626
2025-08-29,297.1,302.45,294.5,297,579073
2025-09-01,297,306.6,296.4,305.25,726394
2025-09-02,306.95,317.4,303.95,313.05,1428859
2025-09-03,312.75,312.75,300.05,302.75,723764
2025-09-04,305,305.95,290.6,292.6,917277
2025-09-05,294,295.85,285,287.8,753877
2025-09-08,288,291.7,281,281.9,859185
2025-09-09,282.15,288.5,280.55,284.95,582710
2025-09-10,286.15,289,277.7,278.9,650243
2025-09-11,279.05,281.95,277.1,278.65,338111
2025-09-12,280,281.45,272.25,273.2,414064
2025-09-15,274.05,291,271.05,288.05,950226
2025-09-16,290.4,298,288.05,296.85,640537
2025-09-17,296.75,296.75,289.4,290.8,283499
2025-09-18,291.15,291.7,283.15,284.85,205047
2025-09-19,284,288.8,283.1,284.5,128035
2025-09-22,284,288.15,281.25,282.65,233575
2025-09-23,281.3,283.75,279.55,281.6,159887
2025-09-24,279.2,281.3,274,275,301311
2025-09-25,275,278.6,274.25,275.25,164334
2025-09-26,272,274.35,261.25,266.3,414942
2025-09-29,267,268,257.85,261.4,182961
2025-09-30,260,266.45,256.8,262.5,159065
2025-10-01,262.55,274.7,262,272.95,158113
2025-10-03,271.8,274.95,265,272.35,137513
2025-10-06,268.1,277.55,268.1,275.75,105014
2025-10-07,276,279.9,270.05,271.85,92829
2025-10-08,271.85,271.85,262.5,267.15,109691
2025-10-09,265.55,273.25,262.1,263.5,111457
2025-10-10,265.4,274,262,272.65,114575
2025-10-13,272.6,272.6,265.75,269.8,106046
2025-10-14,270.05,270.05,264,267.1,87645
2025-10-15,266.1,274.4,265,273.15,113783
2025-10-16,275,283.6,273.2,277.85,287233
2025-10-17,275.35,281.5,269.7,274.6,173292
2025-10-20,279.8,288.4,275.15,285.6,327524
2025-10-21,286.95,290,286,286.75,71588
2025-10-23,290.95,294.25,287.2,289.8,915845
2025-10-24,287.8,290.55,286,289.6,147427
2025-10-27,291.1,295.75,287.5,289.8,359333
2025-10-28,294,307.35,292.05,303.85,688476
2025-10-29,306.2,306.2,296.1,303.6,169459
2025-10-30,302.1,309,300.8,304,202358
2025-10-31,304.95,307.65,300.6,302.75,179175
2025-11-03,299.75,305.3,298.4,300.75,126583
2025-11-04,300,314.7,300,308.75,432116
2025-11-06,308.3,311,295.1,297.3,283324
2025-11-07,296.6,307.75,292.65,305.75,169520
2025-11-10,305.9,306.35,298.85,299.8,226364
2025-11-11,280,289.8,273.35,279.65,534435
2025-11-12,280.05,285,272.25,280.9,183350
2025-11-13,280.9,281.4,274.05,275.3,112533
2025-11-14,274.5,299.4,273.35,295.75,419840
2025-11-17,295.9,295.9,289.4,292.8,125273
2025-11-18,293.7,294.35,284.15,285.55,86989
2025-11-19,285.55,285.55,279.5,282.85,74753
2025-11-20,286.35,286.35,274.15,279.65,429628
2025-11-21,279.95,281.4,274.75,275.2,53232
2025-11-24,275.05,277,275,275.15,55608
2025-11-25,275.15,277.65,275,275.55,33719
2025-11-26,275.55,281.9,275,275.2,108060
2025-11-27,277.4,277.4,275,275.45,33047
2025-11-28,275.65,277,274.95,275,208473
2025-12-01,276.25,282.35,275.3,277.6,64724
2025-12-02,275.1,282.8,274.95,278.45,80898
2025-12-03,276.5,279.95,275,277.4,81382
2025-12-04,276.55,284.65,276,280.9,71881
2025-12-05,278.1,279.9,274.95,277,61233
2025-12-08,275.1,276.9,261.95,266.9,335769
2025-12-09,265.65,268.35,256.95,266.4,105195
2025-12-10,269,272.2,262.3,264.3,74534
2025-12-11,268.65,273,262,268.1,39412
2025-12-12,269.45,271.7,264.65,267.45,51832
2025-12-15,265.1,268.9,263.7,265.05,28033
2025-12-16,264.55,264.55,258.9,260.65,43433
2025-12-17,258.05,263.7,257.35,259.1,40347
2025-12-18,259.1,261.2,257,257.8,33244
2025-12-19,259.1,266.5,257,263.5,77674
2025-12-22,261.7,271.15,261.7,270.45,65552
2025-12-23,267.75,274,267.75,270.25,40452
2025-12-24,267,271.7,261.85,266.55,56662
2025-12-26,266.45,267.95,260,262.45,46072
2025-12-29,262.05,264.95,261,262.6,28802
2025-12-30,260,264.8,260,263.7,20438
2025-12-31,261,267,261,265.2,13831
2026-01-01,262.05,269.25,261,262.65,28735
2026-01-02,262,266.7,261.7,263.35,30296
2026-01-05,257.1,263.5,257,258.25,34184
