Date,Open,High,Low,Close,Volume
2024-04-09,45,47.25,45,47.25,1989000
2024-04-10,47.9,47.9,44.9,45.35,1326000
2024-04-12,45,45.7,43.1,44,363000
2024-04-15,42.5,44,41.8,42.25,237000
2024-04-16,41.5,42.15,40.65,41.3,81000
2024-04-18,42.85,43.35,39.5,43.25,276000
2024-04-19,41.6,44.55,41.5,44.45,231000
2024-04-22,46.55,46.65,45.55,46.65,459000
2024-04-23,47.6,48.4,46.75,47.35,291000
2024-04-24,47.95,48.6,45.15,46.15,198000
2024-04-25,45.5,48,45.2,46.3,273000
2024-04-26,46.3,47.45,46,46.4,282000
2024-04-29,46.2,47.05,46,46.25,189000
2024-04-30,46.15,47.5,46,46.05,261000
2024-05-02,46.9,47.45,46,46.1,258000
2024-05-03,46.25,53.7,46.25,51,843000
2024-05-06,52.5,58.7,51,56.7,921000
2024-05-07,59,59,53,53.6,339000
2024-05-08,53,56,52.75,53.55,147000
2024-05-09,54.95,55.35,51.3,51.95,186000
2024-05-10,51.95,53.75,51.95,52.35,57000
2024-05-13,52.5,55,51.75,53.95,117000
2024-05-14,54.1,54.4,52.8,53.1,84000
2024-05-15,52.6,55,52.6,54.35,168000
2024-05-16,54.9,55.25,53.6,53.85,102000
2024-05-17,53.4,54,53.4,53.6,60000
2024-05-18,54,54,52.5,54,21000
2024-05-21,54,54,52.75,53.3,63000
2024-05-22,54,57,52.5,54.25,141000
2024-05-23,54.25,56,54.25,55.25,81000
2024-05-24,54.05,54.5,53.6,53.6,57000
2024-05-27,52.7,56.5,52.7,55.8,315000
2024-05-28,57.7,59,56,57.4,195000
2024-05-29,56,57.95,54.2,57.35,81000
2024-05-30,57,57.2,53,53.05,249000
2024-05-31,55.9,55.95,53.05,54.1,90000
2024-06-03,54.2,54.8,54.2,54.3,36000
2024-06-04,52.8,52.8,48.9,49,81000
2024-06-05,47,51.95,44.2,51.95,111000
2024-06-06,53.9,54.65,52.25,54.15,81000
2024-06-07,52.65,53.9,51.85,53.25,30000
2024-06-10,55,55,51.35,52.5,36000
2024-06-11,52,53.95,52,53.95,27000
2024-06-12,53.8,56.25,53.8,54.45,120000
2024-06-13,54.6,55,53.5,53.75,27000
2024-06-14,55.25,59.1,54.25,59.1,513000
2024-06-18,65,65,65,65,102000
2024-06-19,71.5,71.5,67,71.5,807000
2024-06-20,75.05,75.05,73,75.05,381000
2024-06-21,78.8,78.8,78.8,78.8,87000
2024-06-24,82.4,82.4,74.9,74.9,183000
2024-06-25,74,78.6,71.15,71.15,354000
2024-06-26,73.75,74,68.2,70.75,84000
2024-06-27,72,73.95,71,72.6,81000
2024-06-28,72.8,73.8,69,69.3,75000
2024-07-01,67.3,68,66,66.6,63000
2024-07-02,66,69.9,63.3,69.9,330000
2024-07-03,72.85,73.35,70,72.9,168000
2024-07-04,72.95,74.9,70.15,70.6,105000
2024-07-05,71.4,71.4,69.05,69.5,87000
2024-07-08,69.1,69.1,67.6,67.9,90000
2024-07-09,66.5,68.45,65.55,66.55,63000
2024-07-10,66.45,66.5,64.6,65.8,36000
2024-07-11,65.65,69,65.3,68.3,69000
2024-07-12,67.7,71.6,67.7,68.45,84000
2024-07-15,69.95,69.95,68.15,68.35,54000
