Date,Open,High,Low,Close,Volume
2025-07-21,723.05,747,723.05,730.35,41014089
2025-07-22,731.15,752.7,701.9,732.5,13471449
2025-07-23,741.75,765.9,721,756.2,11975338
2025-07-24,766.6,770,746,758.3,3432005
2025-07-25,753,762.7,737.3,757.35,3115418
2025-07-28,750,759.95,742.25,755.9,2776920
2025-07-29,747.6,788.35,747.05,782.45,4307521
2025-07-30,786.5,801.85,763,770.65,2336388
2025-07-31,753,774.7,750,759.15,1353708
2025-08-01,759,765.8,732,738.4,1138993
2025-08-04,738.4,753.9,734,752.3,909658
2025-08-05,758.4,762,734,736.7,627833
2025-08-06,735.45,739.95,711.55,724.5,908026
2025-08-07,720.05,756.7,716,749.65,1070979
2025-08-08,749,755.5,726.4,729.6,676488
2025-08-11,730.1,760,725.05,753.25,946417
2025-08-12,755,765.95,741,743.45,562786
2025-08-13,748.45,761.85,747,754.95,436574
2025-08-14,780,836.4,779,824.95,10948453
2025-08-18,825,825.7,791.2,800.65,3479297
2025-08-19,798,823.95,796.25,818.25,1125065
2025-08-20,818,857.3,812.35,840.9,2593213
2025-08-21,842.2,860.8,836.5,846.35,815481
2025-08-22,845,850.95,811.15,822.9,687734
2025-08-25,828.2,847.85,827.05,843.65,589796
2025-08-26,853.95,864.9,830,835.85,1706485
2025-08-28,839.7,845.85,815.2,817.5,684187
2025-08-29,820.9,837.5,816.1,818.05,665988
2025-09-01,826,828.4,811.05,814.3,481101
2025-09-02,818,821.4,801.2,804.15,464360
2025-09-03,809.8,825,802.25,823.65,633538
2025-09-04,829,858,828.15,844,863254
2025-09-05,844,847.75,826.25,829.8,369047
2025-09-08,829.75,834.8,813.1,816.1,304414
2025-09-09,818.95,825.95,813.6,818.9,245748
2025-09-10,820,832.2,812.5,815.2,349715
2025-09-11,815.3,835.3,815.3,820.9,414905
2025-09-12,824.95,841.95,818.05,833.5,438590
2025-09-15,833.5,840.15,824,835.45,284825
2025-09-16,838.4,860,828,831.8,621254
2025-09-17,836,870,835.1,864.5,1170779
2025-09-18,866.05,873.5,850.5,857.05,580108
2025-09-19,856.85,862.9,843,846.1,294500
2025-09-22,840.7,848.95,827.25,831.25,296350
2025-09-23,838.95,838.95,806,821.85,608762
2025-09-24,819.55,823,812.75,820.75,222672
2025-09-25,816,820,801,805,343261
2025-09-26,798,798,770.4,780.9,733813
2025-09-29,782.1,784.6,758.2,765.85,436199
2025-09-30,764.7,771.9,759.6,761.2,389301
2025-10-01,767.05,772.9,752.2,770.95,436383
2025-10-03,772,773,756.5,759.25,270690
2025-10-06,759.65,767,745.05,764.4,394309
2025-10-07,764.4,780.75,760.4,777.25,256662
2025-10-08,778,784.5,765.4,771.3,207792
2025-10-09,765.5,777.85,765.5,772.75,146161
2025-10-10,772.6,806,759,800.8,743284
2025-10-13,793,797.6,775.2,784.85,326695
2025-10-14,780.4,794,771.1,773.7,227603
2025-10-15,773.7,779.5,762.55,775.55,426018
2025-10-16,775,791.4,770,772.05,301026
2025-10-17,775.8,775.8,753.45,757.6,220104
2025-10-20,758.1,762.85,725.05,727.1,797064
2025-10-21,739.95,749,731.65,742.15,89907
2025-10-23,745.55,747.75,715.15,717.8,576036
2025-10-24,722.75,732.25,715.9,719.95,919920
2025-10-27,722.05,736.7,715.05,731.15,499962
2025-10-28,734.8,734.8,710.55,713.9,800399
2025-10-29,717,729.95,715.05,726.8,315611
2025-10-30,729.4,729.4,715.65,717.35,240683
2025-10-31,715.6,722.95,708,710.1,343679
2025-11-03,709.7,711.85,702,703.1,320806
2025-11-04,703.6,712.25,690.5,702.25,618589
2025-11-06,707.25,707.25,691.1,696.6,231916
2025-11-07,691,699.9,686,696.55,217720
2025-11-10,696,707.9,668.4,704.95,1595386
2025-11-11,710,710,676.5,680.6,852432
2025-11-12,686.95,691.6,679.85,686.4,373339
2025-11-13,690,715.5,685.5,698.4,562594
2025-11-14,697,697.2,677,678.9,332568
2025-11-17,681,682.7,664.05,665.45,312967
2025-11-18,670,670,656.6,659.55,346055
2025-11-19,659,659.2,640.05,642.85,504703
2025-11-20,649,660.5,632.9,647.45,698386
2025-11-21,645,645.5,633,635.1,385425
2025-11-24,635.45,638,627.15,631.7,300866
2025-11-25,633.9,642.25,624.05,634.3,453873
2025-11-26,634.05,641,630.2,632.6,260057
2025-11-27,632.6,633.1,620,628.25,1079235
2025-11-28,639.35,651,632.8,634.7,542663
2025-12-01,640,668.9,636.7,659.4,978618
2025-12-02,659,659,644.9,652.5,195314
2025-12-03,651,667,639.35,663.7,542936
2025-12-04,662.8,664.5,656.25,662,153757
2025-12-05,662,662,649,654.45,172953
2025-12-08,654.9,656,642.8,648.9,928314
2025-12-09,644.9,662,634.2,658.55,394358
2025-12-10,653,659.5,642.15,643.35,187925
2025-12-11,641.95,699.9,639.4,687.1,1502876
2025-12-12,687.1,700.7,675,699.45,493876
2025-12-15,690,701,690,699.05,1649634
2025-12-16,691,694.7,670,673.75,382686
2025-12-17,675.5,682.35,660,664.75,177900
2025-12-18,662,680,655.45,668.95,473240
2025-12-19,674.9,684.25,670.2,678.95,196015
2025-12-22,680,687.4,674.25,681.45,117178
2025-12-23,681.45,681.45,666,669.6,135444
2025-12-24,669,672.9,666,667.9,64184
2025-12-26,666,667.9,651,653.95,133870
2025-12-29,654,654.8,639.5,641.65,205087
2025-12-30,640.05,648.3,635,639.45,117295
2025-12-31,639,653.5,637.65,651.5,132503
2026-01-01,649.5,659.55,633.55,638.1,248340
2026-01-02,639.1,656.55,634.7,654.45,234169
2026-01-05,650.05,658.6,645,648.8,116982
2026-01-06,648.8,655.45,641.5,642.8,206674
2026-01-07,642.8,660,642.8,655.5,275055
2026-01-08,655.25,655.25,630.6,645,295280
2026-01-09,640.65,640.65,628,629.7,169974
2026-01-12,629.7,630,604,617.85,206067
2026-01-13,620.2,631.85,611.2,629.65,148234
2026-01-14,628,628,620.3,622.8,88484
2026-01-16,622.8,628,610,616.9,106456
2026-01-19,610,630,605.9,616.65,87852
2026-01-20,612.4,616,587.1,599.95,285739
2026-01-21,599.95,600.25,588.05,593.5,242067
2026-01-22,598.95,619.9,598.95,606.4,200225
2026-01-23,606,613.9,598,608.9,161154
2026-01-27,605.55,605.6,586,592.4,257179
2026-01-28,597.1,603.1,590.1,600.45,111878
2026-01-29,605,605,585,592.85,258523
2026-01-30,584,602.4,580.65,599.3,182653
2026-02-01,595.85,638,585.05,587.85,554624
2026-02-02,590.1,596.4,579.15,592.5,191605
2026-02-03,624,624,597.35,607.4,264569
2026-02-04,608.7,613.75,599,605.3,158996
2026-02-05,611,639,596.05,635,879172
2026-02-06,627,656.6,623.15,652.9,316986
2026-02-09,653.9,680,650.6,674.9,312444
2026-02-10,678.3,690,669,676.7,249764
2026-02-11,676.7,699.9,674.45,692.15,537006
