Date,Open,High,Low,Close,Volume
2002-09-27,25,27.71,23.79,26.68,328602
2002-09-30,26.61,28.21,25.86,26.39,636369
2002-10-01,25.79,26.43,24.46,25.11,307116
2002-10-03,25.71,26.36,24.86,25,140071
2002-10-04,25.46,25.5,24.29,24.46,77089
2002-10-07,24.86,25.61,24.04,24.25,86384
2002-10-08,24.46,25.36,23.93,24.46,109990
2002-10-09,24.29,25.21,23.64,23.71,81352
2002-10-10,23.93,23.93,22.32,23.39,96552
2002-10-11,23.71,24.07,22.36,22.68,114640
2002-10-14,23.07,23.43,22.25,22.39,99926
2002-10-16,23.21,23.82,22.71,22.86,120328
2002-10-17,23.07,23.18,22.68,22.89,68922
2002-10-18,23.14,23.5,22.71,22.86,82460
2002-10-21,22.86,23,22.21,22.46,28062
2002-10-22,22.25,22.86,21.82,21.89,51845
2002-10-23,21.75,22.14,21.18,21.32,50853
2002-10-24,22.32,24.57,20,20.79,186388
2002-10-25,20.71,20.71,19.46,19.71,66222
2002-10-28,19.64,20.64,18.96,19.11,42264
2002-10-29,20,20,18.79,19.25,51501
2002-10-30,19.04,19.93,18.93,19.25,61344
2002-10-31,19.43,19.71,18.79,19.11,29809
2002-11-01,19.21,19.21,18.39,18.64,20799
2002-11-04,18.93,19,18.64,18.82,11477
2002-11-05,18.89,18.93,18.5,18.68,21323
2002-11-07,18.04,18.93,18.04,18.54,23101
2002-11-08,18.46,18.68,18.11,18.21,22391
2002-11-11,18.21,18.25,17.86,17.89,24624
2002-11-12,17.93,17.93,17.5,17.71,23613
2002-11-13,18.57,20,17.57,17.75,45781
2002-11-14,17.93,17.93,17.57,17.68,12943
2002-11-15,18.39,18.39,17.21,17.75,32693
2002-11-18,17.75,19.64,17.71,18.89,76789
2002-11-20,19,19.75,18.57,19.46,91499
2002-11-21,20,21.04,19.64,20.64,148494
2002-11-22,21.29,21.71,20.43,20.75,113454
2002-11-25,20.57,21.29,20.11,20.39,48814
2002-11-26,20.07,21.29,20.07,20.79,70255
2002-11-27,21.07,21.07,20.04,20.14,39838
2002-11-28,20.71,20.93,20.36,20.68,52628
2002-11-29,20.71,22.25,20.43,21.96,177872
2002-12-02,23.14,24.64,22.25,24.29,258893
2002-12-03,24.29,24.36,20,21.68,235099
2002-12-04,21.14,21.71,20.18,20.5,154176
2002-12-05,21,21.79,20.89,21.46,154417
2002-12-06,21.71,22.04,21.29,21.64,194194
2002-12-09,21.82,23.57,21.32,22.11,364684
2002-12-10,21.71,22.68,21.43,22.46,132760
2002-12-11,22.82,23.21,21.86,22.07,147741
2002-12-12,23.21,23.21,21.82,22.21,92439
2002-12-13,21.79,22.46,21.79,22.04,59651
2002-12-16,22.21,22.82,21.71,21.93,140459
2002-12-17,22.25,22.5,21.43,21.5,97145
2002-12-18,21.5,22.07,21.21,21.39,73384
2002-12-19,21.29,22.07,20.79,21.89,100606
2002-12-20,22.5,24.79,22.43,23.07,419655
2002-12-23,23,23.29,22.18,22.36,118595
2002-12-24,22.5,26.07,21.93,25.71,837230
2002-12-26,25.36,26,24.79,24.96,309790
2002-12-27,26.93,26.93,24.11,24.29,136915
2002-12-30,24,27.29,23.5,26.68,329885
2002-12-31,26.75,28.75,26.64,27.5,619864
2003-01-01,27.93,29.11,27.61,28.11,472766
2003-01-02,28.36,28.93,26.79,27.11,300106
2003-01-03,27.64,27.93,26.89,27.11,143998
2003-01-06,27.29,28.21,26.43,26.61,296692
2003-01-07,27.14,27.5,26.21,26.5,204360
2003-01-08,27.14,28.14,26.64,27.86,339155
2003-01-09,27.71,28.5,27.71,28.07,357443
2003-01-10,22.5,28.36,22.5,26.46,236965
2003-01-13,27.86,27.86,25.86,26.11,146617
2003-01-14,26.14,27.36,26.14,26.96,225013
2003-01-15,27.07,27.96,26.68,26.89,186224
2003-01-16,27.86,32.11,27.54,31.46,2101976
2003-01-17,32.14,33.75,31.11,31.64,1721461
2003-01-20,30.71,31.43,28.29,28.61,697156
2003-01-21,25.79,29.25,25.79,27.14,499427
2003-01-22,27.07,28.18,26.5,27,342447
2003-01-23,26.46,27.32,25.93,26.04,210715
2003-01-24,26.14,26.5,23.57,23.93,322609
2003-01-27,23.57,23.93,21.46,21.96,289998
2003-01-28,22.71,23.86,21.61,23.5,302577
2003-01-29,24.04,24.07,22.68,22.89,215344
2003-01-30,23.29,23.57,22.57,23,158684
2003-01-31,22.93,23.21,22.21,22.39,186115
2003-02-03,23.18,24.11,22.64,23.86,248928
2003-02-04,23.79,24.21,22.86,23,183355
2003-02-05,21.43,23.18,21.43,22.11,118920
2003-02-06,22.32,22.68,21.86,22.21,128543
2003-02-07,21.43,21.86,20.64,21.14,253026
2003-02-10,22.5,24,22.04,22.89,481030
2003-02-11,27.43,27.43,25.57,25.86,1156224
2003-02-12,25.96,25.96,23.82,24.14,517684
2003-02-14,24.29,24.93,23.39,23.86,555919
2003-02-17,24.96,26.18,24.43,25.71,392446
2003-02-18,25.93,26,25.11,25.21,153662
2003-02-19,25.43,25.43,24.71,24.79,79567
2003-02-20,24.54,24.64,24.11,24.29,89721
2003-02-21,24.11,24.57,24.11,24.18,79102
2003-02-24,24.29,24.68,24.21,24.32,59167
2003-02-25,24.14,24.25,23.96,24.04,47271
2003-02-26,24.11,24.32,23.86,24,82970
2003-02-27,23.89,24.36,23.89,24.11,38432
2003-02-28,24.43,24.5,24.04,24.18,80071
2003-03-03,24.29,24.39,24.11,24.18,37196
2003-03-04,23.93,24.21,23.25,23.36,60173
2003-03-05,23.21,23.71,23.07,23.54,68530
2003-03-06,23.46,23.57,23.29,23.43,21870
2003-03-07,23.14,23.5,23.14,23.29,51975
