Date,Open,High,Low,Close,Volume
2025-05-07,30.1,31.6,29.05,31.6,1120000
2025-05-08,33.15,33.15,33.15,33.15,248000
2025-05-09,34.8,34.8,34.8,34.8,106000
2025-05-12,36.5,36.5,36.5,36.5,70000
2025-05-13,38.3,38.3,38.3,38.3,8000
2025-05-14,40.2,40.2,40.2,40.2,6000
2025-05-15,42.2,42.2,42.2,42.2,18000
2025-05-16,44.3,44.3,44.3,44.3,12000
2025-05-19,46.5,46.5,42.8,46.3,512000
2025-05-20,44,44.2,44,44,250000
2025-05-21,41.75,42.8,39,40.8,478000
2025-05-22,40.7,41,39.05,40.15,78000
2025-05-23,40.3,42.65,40.3,41.45,124000
2025-05-26,42.45,42.45,39.8,39.9,182000
2025-05-27,40,40.4,37,37.3,228000
2025-05-28,37.3,39.45,35.3,39,224000
2025-05-29,39,39,36.75,37.15,64000
2025-05-30,37.95,37.95,35.5,35.8,148000
2025-06-02,36.55,36.55,34.9,35.05,118000
2025-06-03,35.05,35.85,34.9,35.15,46000
2025-06-04,35.15,36,34.6,34.75,44000
2025-06-05,34.6,35.15,33.9,34,74000
2025-06-06,34,34,32.45,32.85,94000
2025-06-09,34.05,34.05,31.8,33.7,146000
2025-06-10,33.95,35,33.25,33.35,78000
2025-06-11,33.3,34.15,33,33.5,48000
2025-06-12,34.15,34.15,33.5,34,42000
2025-06-13,33.75,33.95,33.1,33.25,24000
2025-06-16,33.25,33.5,33,33,32000
2025-06-17,33,33.6,32,33.2,106000
2025-06-18,33.1,33.1,32.4,32.4,26000
2025-06-19,33.2,33.4,32,32,22000
2025-06-20,31.6,31.95,31.1,31.35,36000
2025-06-23,32.45,32.45,31.3,31.4,32000
2025-06-24,31.55,31.75,30.55,30.75,80000
2025-06-25,31.45,31.45,30.5,30.95,42000
2025-06-26,30.55,31.15,30.2,30.3,86000
2025-06-27,30.3,30.95,29.25,29.3,82000
2025-06-30,29.1,29.6,28.05,28.8,98000
2025-07-01,28.9,28.95,28.2,28.7,48000
2025-07-02,28.95,28.95,27.7,28,66000
2025-07-03,27.9,28.4,27.05,27.15,82000
2025-07-04,27.1,27.1,26.45,26.75,56000
2025-07-07,26.5,26.5,25.05,25.25,82000
2025-07-08,25.45,25.45,24.5,24.7,60000
2025-07-09,25,29.1,24.9,28.5,122000
2025-07-10,29.1,29.1,27.15,27.5,120000
2025-07-11,28.45,28.45,27.5,28.05,44000
2025-07-14,28.7,28.7,27.5,27.55,32000
2025-07-15,27.55,27.55,27.15,27.15,10000
2025-07-17,26.5,26.95,26.2,26.5,34000
2025-07-18,26,26.5,25.5,25.85,50000
2025-07-21,25.85,26.2,25.55,26,30000
2025-07-22,25.95,25.95,25.1,25.5,42000
2025-07-23,25.95,25.95,25.05,25.05,18000
2025-07-24,25.15,25.5,24.8,25,36000
2025-07-25,25.5,25.5,25,25.5,20000
2025-07-28,25,25,24.25,24.25,82000
2025-07-29,23.7,25,23.2,23.5,40000
2025-07-30,23.5,24.45,23.05,24.2,40000
2025-07-31,24.7,24.7,23.55,24.1,18000
2025-08-01,24.7,25,23.55,24.4,34000
2025-08-04,24.4,25.6,24,25,36000
2025-08-05,25.7,25.7,24,24.65,38000
2025-08-06,25.5,25.5,24.1,24.1,48000
2025-08-07,24.05,24.05,24.05,24.05,6000
2025-08-08,24.5,24.8,23.25,23.7,54000
2025-08-11,23.5,23.9,23.25,23.9,18000
2025-08-12,23.9,24,23.9,23.9,22000
2025-08-13,23.55,24.5,23.55,24.5,8000
2025-08-14,23.65,24.85,23.65,24.85,12000
2025-08-18,24.05,25.45,23.9,24.95,30000
