Date,Open,High,Low,Close,Volume
2019-12-06,20.17,20.4,20.17,20.17,272000
2019-12-09,20.17,20.6,20.07,20.1,56000
2019-12-10,19.1,20.33,19.1,20.1,60000
2019-12-11,20.27,20.47,20.07,20.27,24000
2019-12-12,20.27,20.43,20.2,20.43,40000
2019-12-13,20.33,20.43,20.33,20.43,12000
2019-12-16,20,20,20,20,16000
2019-12-17,20,20,20,20,4000
2019-12-19,20,20,20,20,12000
2019-12-20,20.33,20.43,20,20,20000
2019-12-23,20.27,20.33,20.27,20.33,16000
2019-12-24,20.67,20.67,20.67,20.67,8000
2019-12-26,20.03,20.83,20,20.83,36000
2019-12-27,20.53,20.53,20.53,20.53,12000
2019-12-30,20.93,20.93,20.93,20.93,4000
2020-01-01,20.67,21,20.67,21,8000
2020-01-02,21,21,21,21,4000
2020-01-06,21,21,21,21,4000
2020-01-08,21.33,21.33,21.33,21.33,4000
2020-01-14,20.53,21.67,20.53,21.67,8000
2020-01-20,20.67,20.67,20.67,20.67,8000
2020-01-21,21.67,21.67,21.67,21.67,4000
2020-01-22,21.67,21.67,21.67,21.67,4000
2020-01-23,21.67,21.67,21.67,21.67,4000
2020-01-24,21.67,21.9,21.67,21.9,8000
2020-01-29,21.93,21.93,21.67,21.67,16000
2020-01-31,21.67,21.67,21.67,21.67,4000
2020-02-03,21.67,21.67,21.67,21.67,4000
2020-02-04,21.7,22,21.7,22,48000
2020-02-06,21.93,21.93,21.93,21.93,4000
2020-02-07,21.93,21.93,21.93,21.93,4000
2020-02-11,21.93,21.93,21.93,21.93,4000
2020-02-12,21.93,21.93,21.93,21.93,4000
2020-02-14,21.93,21.93,21.93,21.93,4000
2020-03-06,20,20,20,20,4000
2020-03-09,21.63,22,21.63,22,8000
2020-03-13,23,23,23,23,4000
2020-03-19,22,23.17,22,23.17,8000
2020-03-23,23.1,23.17,23.1,23.17,16000
2020-03-24,23.17,23.17,23.17,23.17,8000
2020-03-26,22,23.17,22,23.17,12000
2020-04-08,20.67,20.67,20.67,20.67,4000
2020-05-07,23.33,23.33,23.33,23.33,4000
2020-05-15,24.67,24.67,24.67,24.67,4000
2020-05-18,25.27,25.27,25.27,25.27,4000
2020-05-19,26,26,26,26,4000
2020-05-22,27,27,27,27,4000
2020-06-01,25.33,25.33,25.33,25.33,4000
2020-06-02,24.33,24.33,24.33,24.33,4000
2020-06-03,23.17,23.17,23.17,23.17,8000
2020-06-05,22.67,22.67,22.5,22.5,8000
2020-06-08,22.5,22.5,22.33,22.33,8000
2020-06-09,22,22,21.67,21.67,8000
2020-06-11,21.33,21.67,21,21.67,36000
2020-06-22,21.33,21.33,21.33,21.33,4000
2020-06-25,20.67,20.67,20.5,20.5,12000
2020-06-26,20.17,20.17,20.17,20.17,16000
2020-08-04,20.17,20.17,20.17,20.17,32000
2020-08-05,20.2,20.2,20.2,20.2,44000
2020-08-06,20.2,20.2,20.2,20.2,28000
2020-08-07,20.2,20.2,20.2,20.2,28000
2020-08-13,20,20,20,20,4000
2020-08-14,22,22,22,22,4000
2020-08-26,21.4,21.4,21.4,21.4,4000
2020-08-31,21.33,21.33,21.33,21.33,4000
2020-09-16,22.33,22.33,22.33,22.33,4000
2020-09-17,23.33,23.33,23.33,23.33,4000
2020-09-18,24.27,24.27,24.27,24.27,4000
2020-09-29,26,26,26,26,4000
2020-10-09,28.33,28.33,28.33,28.33,4000
2020-11-19,31,31,31,31,4000
2020-11-24,30.7,30.7,30.7,30.7,4000
2020-11-25,30.7,30.7,30.7,30.7,4000
2020-11-26,30.7,30.7,30.7,30.7,4000
2020-11-27,29.33,29.33,29.33,29.33,4000
2021-01-14,28.67,28.67,28.67,28.67,4000
2021-03-17,26.73,29.1,26.67,29.1,12000
2021-04-19,26.67,26.67,26.67,26.67,4000
2021-04-22,24,24,24,24,4000
2021-04-26,24,24,22.67,22.67,12000
2021-04-27,22.67,22.67,22.67,22.67,4000
2021-04-28,21.27,22.67,21.27,22.67,8000
2021-05-12,20,20,20,20,4000
2021-06-22,20,20,20,20,8000
2021-06-30,22.67,22.67,22.67,22.67,4000
2021-07-01,22.67,22.67,22.67,22.67,4000
2021-08-09,22.67,22.67,22.67,22.67,4000
2021-08-16,22.67,22.67,22.67,22.67,4000
2021-09-29,24.67,24.67,24.67,24.67,4000
2021-09-30,27,29.33,27,29.33,8000
2021-10-01,32,32,32,32,4000
2021-10-04,34.67,34.67,34.67,34.67,4000
2021-10-05,38,38,38,38,4000
2021-10-06,40,41,40,41,8000
2021-10-22,42.67,42.67,42.67,42.67,4000
2021-11-09,44.67,44.67,44.67,44.67,4000
2021-11-12,46.67,46.67,46.67,46.67,4000
2021-11-15,47.33,47.33,47.33,47.33,4000
2021-11-16,49.33,49.33,49.33,49.33,4000
2021-11-17,47.33,47.33,47.33,47.33,4000
2021-11-23,49.67,49.67,49.67,49.67,4000
2021-11-25,52,52,52,52,4000
2021-11-29,54,54,54,54,4000
2021-12-13,51.33,51.33,51.33,51.33,4000
2021-12-14,48.77,48.77,48.77,48.77,4000
2021-12-16,46.37,46.37,46.37,46.37,20000
2021-12-17,44.1,44.1,44.1,44.1,4000
2021-12-20,41.93,41.93,41.93,41.93,28000
2021-12-21,39.93,39.93,39.93,39.93,24000
2021-12-22,38,38,38,38,16000
2022-01-05,39.67,39.67,39.67,39.67,8000
2022-01-06,40,40,40,40,8000
2022-01-10,38.17,38.17,38.17,38.17,16000
2022-01-17,36.33,36.33,36.33,36.33,4000
2022-01-18,34.67,34.67,34.67,34.67,4000
2022-01-19,33,33,33,33,16000
2022-01-20,31.67,31.67,31.67,31.67,20000
2022-01-21,30.13,30.13,30.13,30.13,16000
2022-02-09,30.67,31.33,30.67,31.33,28000
2022-03-02,29.8,29.8,29.8,29.8,4000
2022-03-08,28.37,28.37,28.37,28.37,4000
2022-03-11,27,27,27,27,4000
2022-03-14,25.73,25.73,25.73,25.73,4000
2022-03-15,24.53,24.53,24.53,24.53,4000
2022-03-16,23.37,23.37,23.37,23.37,4000
2022-03-30,22.27,22.27,22.27,22.27,4000
2022-04-01,23.37,23.37,23.37,23.37,8000
2022-04-04,24.53,24.53,24.53,24.53,4000
2022-04-11,25.73,25.73,25.73,25.73,4000
2022-04-12,27,27,27,27,4000
2022-04-13,28.33,28.33,28.33,28.33,4000
2022-04-18,29.73,29.73,29.73,29.73,8000
2022-04-19,31.2,31.2,31.2,31.2,4000
2022-04-20,32.73,32.73,32.73,32.73,4000
2022-04-21,34.37,34.37,34.37,34.37,4000
2022-04-25,36.07,36.07,36.07,36.07,12000
2022-04-26,37.87,37.87,37.87,37.87,4000
2022-04-27,39.73,39.73,39.73,39.73,8000
2022-04-28,41.7,41.7,41.7,41.7,8000
2022-04-29,43.77,43.77,43.77,43.77,4000
2022-05-02,45.93,45.93,45.93,45.93,4000
2022-05-04,48.2,48.2,48.2,48.2,4000
2022-05-05,50.6,50.6,50.6,50.6,4000
2022-05-06,53.1,53.1,53.1,53.1,8000
2022-05-17,50.47,50.47,50.47,50.47,12000
2022-05-19,47.97,47.97,47.97,47.97,4000
2022-05-26,45.6,45.6,45.6,45.6,4000
2022-05-27,43.33,47.87,43.33,47.87,12000
2022-06-03,50.23,50.23,50.23,50.23,4000
2022-06-08,52.73,52.73,52.73,52.73,4000
2022-06-16,55.33,55.33,55.33,55.33,4000
2022-07-12,58.1,58.1,58.1,58.1,8000
2022-07-14,55.2,55.2,55.2,55.2,4000
2022-08-11,53,53,53,53,4000
2022-10-31,55.63,55.63,55.63,55.63,2000
2022-11-04,58.4,58.4,58.4,58.4,2000
2022-11-22,61.3,61.3,61.3,61.3,2000
2022-11-28,64.33,64.33,58.27,64.33,6000
2022-11-29,67.53,67.53,67.53,67.53,4000
2022-12-01,70.9,70.9,70.9,70.9,2000
2022-12-06,74.43,74.43,74.43,74.43,2000
2022-12-08,78.13,78.13,78.13,78.13,2000
2022-12-12,82.03,82.03,82.03,82.03,2000
2022-12-14,86.13,86.13,86.13,86.13,2000
2022-12-15,90.43,90.43,90.43,90.43,2000
2022-12-16,94.93,94.93,94.93,94.93,2000
2022-12-19,99.67,99.67,99.67,99.67,4000
2022-12-20,104.63,104.63,104.63,104.63,4000
2022-12-22,106.67,106.67,106.67,106.67,2000
2022-12-23,112,112,112,112,2000
2022-12-26,117.6,117.6,117.6,117.6,4000
2022-12-27,123.33,123.33,123.33,123.33,4000
2022-12-29,129.5,129.5,129.5,129.5,6000
2022-12-30,135.97,135.97,135.97,135.97,6000
2023-01-03,129.2,140,129.2,132.03,8000
2023-01-04,132.03,132.03,132.03,132.03,2000
2023-01-09,133.33,133.33,133.33,133.33,4000
2023-01-11,134,134,134,134,2000
2023-01-16,140,140,140,140,2000
2023-01-17,146.67,146.67,146.67,146.67,4000
2023-01-18,153.33,154,153.33,154,4000
2023-01-19,161.7,161.7,161.7,161.7,2000
2023-01-20,169.77,169.77,169.77,169.77,2000
2023-01-24,178.23,178.23,178.23,178.23,4000
