Date,Open,High,Low,Close,Volume
2010-10-14,76,80.6,68.47,73.5,65641363
2010-10-15,72.22,73.43,67.81,70.12,8040319
2010-10-18,69.92,71.42,67.39,68.11,1101562
2010-10-19,68.35,78.02,68.11,70.66,8407438
2010-10-20,70.66,74.22,69.13,70.67,2713075
2010-10-21,80.67,80.67,70.45,70.85,822629
2010-10-22,68.89,72.18,68.89,70.17,529256
2010-10-25,70.22,71.49,68.9,69.3,414290
2010-10-26,69.39,70.39,67.42,68.05,240095
2010-10-27,67.11,70.22,66.89,68.99,283615
2010-10-28,68.23,69.28,67.55,68.17,214639
2010-10-29,67.58,70.33,67.58,69.35,393788
2010-11-01,70.06,70.67,68.69,69.27,136496
2010-11-02,68.89,69.45,67.33,68.67,137045
2010-11-03,69.11,69.35,67.82,68.15,54556
2010-11-04,67.13,69.39,67.01,68.93,97166
2010-11-05,69.28,69.28,68.06,68.59,12355
2010-11-08,68.89,69.78,67.01,68.77,77911
2010-11-09,68.07,69.69,68.06,69.35,161224
2010-11-10,68.22,69.93,68.11,69.45,64915
2010-11-11,68.92,69.73,68.7,69.41,61198
2010-11-12,68.89,72.89,68.89,71.13,303833
2010-11-15,71.12,71.58,67.55,68.03,72250
2010-11-16,68.38,69.33,68.02,68.31,568150
2010-11-18,68.22,69.17,67.92,68.58,406001
2010-11-19,68.06,68.89,67.62,68.23,36272
2010-11-22,67.83,68.79,67.78,68.47,31475
2010-11-23,67.8,68.45,67.78,68.09,131195
2010-11-24,67.81,68.22,66.89,67.71,278300
2010-11-25,67,67.55,63.34,67.12,86366
2010-11-26,65.55,67.11,65.55,65.6,52247
2010-11-29,65.8,67.11,65.13,65.66,36479
2010-11-30,64.67,66.15,64.47,65.14,15514
2010-12-01,66.61,66.62,64.89,65.07,33442
2010-12-02,64.91,68.22,64.91,67.57,15545
2010-12-03,66.01,66.42,64.92,65.25,14956
2010-12-06,65.55,66.22,64.95,65.55,12854
2010-12-07,65.33,66,64.22,64.95,190370
2010-12-08,65.45,65.78,63.91,64.71,203560
2010-12-09,65.78,66,64.67,64.67,16495
2010-12-10,64.78,65.31,64.5,64.7,10384
2010-12-13,65.55,66.45,64.25,64.37,58354
2010-12-14,65.33,65.33,64.25,64.45,15932
2010-12-15,64.45,65.73,63.8,63.9,10604
2010-12-16,64.43,65.09,64,64.02,4336
2010-12-20,64.67,64.67,63.78,63.89,17291
2010-12-21,64.67,64.67,63.8,64.12,14681
2010-12-22,64.45,64.45,63.95,64.01,9326
2010-12-23,64.33,64.67,63.78,63.78,32456
2010-12-24,64.18,64.4,63.78,63.92,6266
2010-12-27,64.22,65.11,64,64.51,13669
2010-12-28,64.45,66.02,64.45,65.23,10159
2010-12-29,66.22,69.55,66.22,67.71,92140
2010-12-30,67.12,68,66.47,67.71,71552
2010-12-31,67.11,68.89,66.67,68.31,233552
2011-01-03,66.53,68,65.12,67.55,33842
2011-01-04,68.45,68.45,66.47,66.66,17768
2011-01-05,66.67,67.55,66.61,66.98,10240
2011-01-06,66.69,67.78,66.69,66.77,3602
2011-01-07,66.77,67.73,66.47,66.58,85876
2011-01-10,66.47,66.65,65.34,65.43,7049
2011-01-11,66.67,67.78,63.67,63.77,20113
2011-01-12,63.78,65.55,63.78,64.59,4376
2011-01-13,64.11,64.45,63.67,63.83,3035
2011-01-14,63.11,64.12,63.11,63.81,8507
2011-01-17,64.06,64.22,63.03,63.37,3418
2011-01-18,62.91,64.67,60.22,63.55,16441
2011-01-19,62.89,63.67,61.78,62.53,397879
2011-01-20,62.25,62.25,60.47,61.66,1289
2011-01-21,61.11,61.97,60.89,61.03,2437
2011-01-24,60.03,63.33,59.33,60.78,2927
2011-01-25,62.43,62.43,60.33,60.99,1523
2011-01-27,60.89,60.91,58.91,59.73,2099
2011-01-28,58.92,62.45,58.89,60.11,7895
2011-01-31,60.02,60.02,56.98,59.2,10793
2011-02-01,58.03,58.31,56.29,56.71,26552
2011-02-02,57.78,57.78,56.69,56.85,3251
2011-02-03,57.55,65.55,56.67,56.79,25504
2011-02-04,58,58.43,56.69,56.7,3854
2011-02-07,57.79,58,57.13,57.5,3971
2011-02-08,56.9,57.45,56.69,56.7,4525
2011-02-09,56.69,58.43,56.69,56.7,7850
2011-02-10,56.69,57.78,56.67,56.75,24397
2011-02-11,57.47,62.2,56.69,56.9,12665
2011-02-14,57.19,64.45,57.18,61.83,10843
2011-02-15,65.33,65.33,59.11,60.69,4030
2011-02-16,58.91,60.65,58.91,59.06,3706
2011-02-17,59.98,60.88,58.89,59.28,3751
2011-02-18,58.89,59.73,58.55,58.58,1559
2011-02-21,58.9,63.1,58.9,60.82,66125
2011-02-22,60.78,64,59.11,61.99,20468
2011-02-23,63.77,63.77,58.22,61.18,17341
2011-02-24,62,62.17,58.45,58.89,3256
2011-02-25,58.02,61.11,51.33,56.79,46663
2011-02-28,57.78,57.78,54.51,54.77,36209
2011-03-01,55.33,57.11,53.35,55.55,55375
2011-03-03,56.65,56.65,54.03,54.93,3634
2011-03-04,52.47,54.89,52.47,54.43,7126
2011-03-07,53.33,56,51.59,55.67,9151
2011-03-08,53.55,58.78,53.33,56.82,14141
2011-03-09,56.22,60,54.45,58.81,38401
2011-03-10,56.7,59.71,55.55,57.78,16535
2011-03-11,56.65,59.33,56.45,59.11,7175
2011-03-14,56.45,62.21,55.82,60.79,15037
2011-03-15,58.91,61.11,58.02,60.05,12620
2011-03-16,60,60.67,58.95,60.22,13439
2011-03-17,60.45,62.1,60.45,61.31,9983
2011-03-18,62.67,63.11,61.11,61.55,10024
2011-03-21,59.12,63.11,59.12,62.11,2428
2011-03-22,62.28,63.33,61.11,63.03,27430
2011-03-23,62.73,64.89,62,63.75,25832
2011-03-24,62.22,66,62.22,65.58,127820
2011-03-25,65.55,68,63.9,67.37,469627
2011-03-28,66.67,68.22,64.49,67.92,173837
2011-03-29,66.89,67.51,64.47,65.7,23240
2011-03-30,64.57,67.07,64.57,66.67,27506
2011-03-31,64.9,67.65,64.89,67.08,1429994
2011-04-01,67.11,67.22,64.47,65.47,2432
2011-04-04,66.22,66.22,64.67,64.79,2725
2011-04-05,64.47,66.67,64.45,66.55,6896
2011-04-06,67.33,67.33,65.65,66.7,2887
2011-04-07,67.09,67.78,65.06,67.73,45578
2011-04-08,66.67,67.78,66.45,67.53,55834
