Date,Open,High,Low,Close,Volume
2003-09-05,110,111.4,101.2,106.39,927
2003-09-08,106,111.71,106,111.71,2163
2003-09-09,117.3,117.3,117.3,117.3,783
2003-09-10,120.8,129.03,118,129.03,2390
2003-09-11,136.79,141.94,136.79,141.94,2001
2003-09-12,153.57,155.2,133.2,137.76,3259
2003-09-15,151,151,135.02,136.37,1197
2003-09-16,134.2,142,129.2,140.46,1013
2003-09-17,142.77,142.79,132.7,137.65,470
2003-09-18,136,136,129.21,131.11,387
2003-09-19,133.2,134,118.03,123.5,729
2003-09-22,133,135.85,118.01,135.85,1823
2003-09-23,139,143,135,140.29,391
2003-09-24,138.21,141.19,138.2,139.7,164
2003-09-25,139,139.6,133.62,135.67,518
2003-09-26,143,143,132.5,134.27,422
2003-09-29,133.48,134.75,133.45,133.73,67
2003-09-30,139.3,139.3,134.8,135.15,86
2003-10-01,140,140,136.64,137.9,308
2003-10-03,137.02,138.6,135,137,116
2003-10-06,133.4,137.4,133.4,134.11,218
2003-10-07,137.39,137.39,133.59,133.96,51
2003-10-08,132.4,132.4,126.63,128.37,357
2003-10-09,128.01,135,126.8,131.01,340
2003-10-10,124.4,132.99,124.4,129,158
2003-10-13,132,134.95,131.22,133.77,325
2003-10-14,132.2,135.6,132.2,132.46,634
2003-10-15,133,133,133,133,9
2003-10-16,129.01,134,128.05,132,197
2003-10-17,130,132,128.2,129.49,455
2003-10-20,131,131.01,125,125,347
2003-10-21,125.3,127,123,124.01,45
2003-10-22,123.31,126,123.3,124.3,175
2003-10-23,123.2,125,123,124.99,70
2003-10-24,124,125.6,124,124.99,123
2003-10-25,129,129,124.8,124.8,21
2003-10-27,120.01,120.01,118.2,118.72,123
2003-10-28,118.2,124,116,116.12,170
2003-10-29,122.08,122.08,113.2,117.45,255
2003-10-30,120.6,120.6,114.81,114.81,55
2003-10-31,118.8,119.02,114.5,117.95,175
2003-11-03,120,122,120,120.72,388
2003-11-04,122.99,129.6,117.2,119.06,753
2003-11-05,122.2,122.2,119.4,119.4,120
2003-11-06,122.19,122.2,117.2,119.07,250
2003-11-07,127.8,127.8,118.4,121.42,1048
2003-11-10,121.2,128,121.2,125.97,132
2003-11-11,127.8,138,126.62,138,1209
2003-11-12,144.48,144.48,138,139.63,979
2003-11-13,141,141,138.21,138.59,690
2003-11-14,135,138,130.2,133.9,396
