Date,Open,High,Low,Close,Volume
2023-08-10,44.96,44.96,42.71,42.71,209145
2023-08-11,40.6,40.6,40.6,40.6,81137
2023-08-14,38.58,38.58,38.58,38.58,31863
2023-08-16,36.66,36.66,36.66,36.66,27590
2023-08-17,34.83,36.66,34.83,35.49,3125213
2023-08-18,33.71,35.63,33.71,34.32,1125456
2023-08-21,35.35,35.63,34.27,34.55,509059
2023-08-22,33.1,33.76,32.82,32.82,529244
2023-08-23,31.51,33.05,31.18,32.58,399218
2023-08-24,32.77,34.18,32.58,34.04,568813
2023-08-25,34.27,39.01,34.27,34.88,1922876
2023-08-28,35.4,35.91,32.35,33.43,1190438
2023-08-29,33.85,35.35,33.85,34.46,483888
2023-08-30,34.46,34.93,32.86,33.52,367703
2023-08-31,33.01,34.13,31.04,31.69,828051
2023-09-01,31.83,32.35,30.8,31.27,707495
2023-09-04,31.83,32.3,30.1,30.71,1019564
2023-09-05,30.75,31.46,29.35,29.54,1228571
2023-09-06,29.72,33.57,29.68,33.29,2515626
2023-09-07,33.66,33.76,32.68,33.05,1689100
2023-09-08,32.91,34.04,30.61,31.69,1878093
2023-09-11,32.16,33.1,31.55,31.93,1318216
2023-09-12,32.72,32.72,30.71,31.13,1039630
2023-09-13,31.13,31.69,30.47,31.08,715646
2023-09-14,31.55,31.6,30.71,31.08,701232
2023-09-15,30.94,31.97,30.85,31.04,924420
2023-09-18,31.13,33.33,30.66,32.58,2718743
2023-09-20,32.4,33.24,31.88,32.86,1658734
2023-09-21,32.91,35.11,32.63,34.32,5339885
2023-09-22,34.88,35.44,33.47,33.85,3864281
2023-09-25,33.85,34.88,33.29,34.13,1618168
2023-09-26,34.13,34.65,32.58,32.91,1606635
2023-09-27,33.01,33.43,31.74,31.88,984689
2023-09-28,32.16,32.58,31.69,31.88,965236
2023-09-29,32.11,33.29,31.79,32.02,2694566
2023-10-03,32.54,33.19,32.11,32.35,1807039
2023-10-04,32.82,32.82,31.46,31.97,957921
2023-10-05,32.3,34.51,32.16,33.9,4489025
2023-10-06,34.65,36.76,34.22,36.43,6982871
2023-10-09,35.87,37.04,34.46,34.6,2461660
2023-10-10,35.21,36.52,35.16,36.15,2109164
2023-10-11,36.85,39.38,36.33,38.26,4680859
2023-10-12,38.68,40.65,37.97,40.13,3626058
2023-10-13,40.55,40.55,38.87,39.15,1904876
2023-10-16,38.72,40.23,38.02,39.1,1772598
2023-10-17,39.43,41.63,39.01,40.51,2405718
2023-10-18,40.79,43.69,40.18,40.83,3824582
2023-10-19,40.88,42.43,40.08,41.87,2041352
2023-10-20,42.33,43.23,40.79,41.3,1609690
2023-10-23,41.63,42.62,38.12,38.3,2763263
2023-10-25,37.74,39.38,36.19,36.66,2784469
2023-10-26,36.57,36.94,34.93,36.15,2095301
2023-10-27,36.76,37.74,35.63,35.91,1513081
2023-10-30,36.1,37.04,35.58,36.24,1052381
2023-10-31,36.43,37.27,35.72,36.01,807386
2023-11-01,36.29,36.33,35.26,35.54,732984
2023-11-02,35.96,36.57,35.54,36.43,739181
2023-11-03,36.71,37.65,36.29,36.66,1046500
2023-11-06,37.51,43.98,36.85,43.98,5671635
2023-11-07,43.13,43.88,39.43,40.08,3879336
2023-11-08,39.94,41.12,38.44,38.82,1885000
2023-11-09,39.1,40.37,38.21,38.91,1703967
2023-11-10,38.91,39.85,38.44,38.77,819462
2023-11-12,39.38,41.54,39.01,40.69,806584
2023-11-13,41.12,41.16,39.43,39.94,964852
2023-11-15,40.37,43.51,40.08,42.43,2895777
2023-11-16,42.62,49.46,41.68,47.73,8977592
2023-11-17,49.74,50.59,48.1,49.32,3910690
2023-11-20,49.88,51.62,47.49,49.55,3934244
2023-11-21,49.98,52.18,49.32,50.35,2298801
2023-11-22,50.45,50.82,47.45,49.32,1088044
2023-11-23,50.12,51.01,49.55,50.07,1093136
2023-11-24,50.54,50.77,48.8,49.23,734206
2023-11-28,49.18,52.88,48.85,51.34,3506510
2023-11-29,52.41,52.51,49.37,49.88,1589787
2023-11-30,50.3,51.24,46.69,47.21,2472461
2023-12-01,47.96,49.04,46.46,46.98,1713135
2023-12-04,48.1,48.76,47.21,48.05,1299493
2023-12-05,47.96,50.91,47.82,48.52,2066927
2023-12-06,48.9,50.87,48.38,50.21,2087143
2023-12-07,50.35,50.63,48.8,49.04,1560471
2023-12-08,49.37,52.93,49.37,51.2,3114953
2023-12-11,51.57,53.4,50.73,51.34,2223531
2023-12-12,51.71,52.6,50.45,51.48,1785528
2023-12-13,51.71,51.85,50.02,50.21,1363562
2023-12-14,50.82,51.01,48.76,48.95,1298084
2023-12-15,49.41,50.45,48.29,48.62,2261181
2023-12-18,48.62,49.7,45.99,48.66,1993746
2023-12-19,48.76,50.3,48.38,48.66,2131578
2023-12-20,48.48,49.55,45.43,46.6,1647519
2023-12-21,46.18,47.82,44.91,47.68,1049796
2023-12-22,48.05,49.32,47.91,48.66,1114115
2023-12-26,48.76,51.71,48.66,49.55,2581021
2023-12-27,49.93,51.1,49.23,49.79,1716150
2023-12-28,48.95,49.6,48.15,48.29,822603
2023-12-29,48.38,49.51,47.35,49.27,1086142
2024-01-01,49.6,51.2,48.85,49.88,2338981
2024-01-02,49.51,51.76,49.51,49.93,2129159
