Date,Open,High,Low,Close,Volume
2024-02-23,91,95.55,90.05,95.55,4224000
2024-02-26,100.3,100.3,100.3,100.3,244800
2024-02-27,105.3,105.3,105.3,105.3,72000
2024-02-28,110.55,110.55,110.55,110.55,126400
2024-02-29,116.05,116.05,109,116.05,2268800
2024-03-01,121.85,121.85,121.85,121.85,46400
2024-03-02,127.9,127.9,127.9,127.9,19200
2024-03-04,134.25,134.25,134.25,134.25,35200
2024-03-05,140.4,140.95,127.6,140.95,1561600
2024-03-06,140.9,147.95,133.9,146.25,854400
2024-03-07,150,153.55,148.5,153.55,241600
2024-03-11,169.95,184.25,158.1,164.65,1433600
2024-03-12,148.65,155,131.75,131.95,1352000
2024-03-13,138,145,115,133.55,969600
2024-03-14,134,153.9,134,143.4,585600
2024-03-15,147,154.3,139,145.3,324800
2024-03-18,145.4,147.95,139,139.9,184000
2024-03-19,140,144.8,135.55,138.1,137600
2024-03-20,139.4,141.85,137,137.6,100800
2024-03-21,149.7,149.7,140,141.3,182400
2024-03-22,143.65,146,138,139.35,224000
2024-03-26,141.7,143,125,130.05,324800
2024-03-27,131.5,132.3,125.1,126.95,174400
2024-03-28,127.5,143.5,126.05,142.25,337600
2024-04-01,145,158.25,144,152.85,320000
2024-04-02,152.85,157.45,152.85,154.9,164800
2024-04-03,155.9,160.95,153.45,158.95,267200
2024-04-04,161.7,168.7,154,157.8,196800
2024-04-05,157.05,159,154.65,155.6,134400
2024-04-08,155.6,159.45,148.6,149.85,81600
2024-04-09,151.4,157.85,145,152.2,185600
2024-04-10,152.6,154.45,148.05,149.3,137600
2024-04-12,148.5,149.1,143.7,147.5,171200
2024-04-15,139,159.45,139,150.85,233600
2024-04-16,150,155.1,150,151.9,120000
2024-04-18,152.55,156.3,146.2,147.9,158400
2024-04-19,142.35,151.8,141.2,150.55,153600
2024-04-22,153,180.65,153,180.65,569600
2024-04-23,198.6,215.5,187.2,197.4,648000
2024-04-24,200.5,204,193,195.85,235200
2024-04-25,196,202,193.25,197.85,100800
2024-04-26,202,234.8,201,227.2,454400
2024-04-29,240,244.8,228,235.95,288800
2024-04-30,244,248.5,238,239.85,204800
2024-05-02,242.6,263.8,242.6,263.8,294400
2024-05-03,284.5,290.15,269,288.7,701600
2024-05-06,303.1,303.1,274.3,287.4,428800
2024-05-07,287.2,287.35,273.05,273.05,136800
2024-05-08,260,272.5,259.4,259.4,364800
2024-05-09,265.9,272.35,265,271.4,144800
2024-05-10,272.5,284.95,263.55,284.85,200000
2024-05-13,296.95,296.95,270.6,285.95,211200
2024-05-14,287.5,293.9,272.05,273.7,247200
2024-05-15,278.95,281.95,261.5,266.6,175200
2024-05-16,273.95,275.65,262.5,267.55,62400
2024-05-17,269.4,272.75,265,268.5,50400
2024-05-18,268.5,272.95,265.6,268.95,43200
2024-05-21,268.95,274.8,255.5,257.6,152800
2024-05-22,255.5,266,245.1,247.8,101600
2024-05-23,242.25,247,235.45,235.6,171200
2024-05-24,236,246,236,244.45,81600
2024-05-27,244.45,245.95,232.25,233.6,94400
2024-05-28,235,243.35,221.95,221.95,68000
2024-05-29,213.1,228.95,210.85,225.85,164000
2024-05-30,235.6,237.1,225,235,200000
2024-05-31,238.55,242.9,223.25,223.9,112800
2024-06-03,230,234,212.7,212.7,156800
2024-06-04,202.1,206.75,202.1,202.1,104800
2024-06-05,194,209.9,192,208.2,148000
2024-06-06,209.95,218.6,208.15,218.6,88800
2024-06-07,227,229.5,223,229.5,103200
2024-06-10,240.9,240.95,219,240.95,175200
2024-06-11,252.95,252.95,252.95,252.95,28000
2024-06-12,265.55,265.55,245.05,246.6,216000
2024-06-13,253.9,258.9,251,258.9,94400
2024-06-14,265,271.8,264,271.8,138400
2024-06-18,285.35,285.35,277.25,285.35,59200
2024-06-19,289.9,297.4,272,290.45,267200
2024-06-20,292.25,300,281.05,284.2,152800
2024-06-21,284.2,298.4,284,297.15,203200
2024-06-24,305.4,312,303.5,312,127200
2024-06-25,327.6,327.6,327.6,327.6,52800
