Date,Open,High,Low,Close,Volume
2003-09-05,45.2,45.95,44.5,45.4,17880
2003-09-08,46,46.3,45.15,45.8,9050
2003-09-09,46,47.45,44.3,45.95,38272
2003-09-10,46.4,49.8,45.5,48.45,50299
2003-09-11,49.25,49.25,47.6,47.85,19524
2003-09-12,52.4,52.4,47.05,47.2,11672
2003-09-15,47.9,48,45.05,45.2,8231
2003-09-16,45,46.25,44,45.35,10615
2003-09-17,45.3,45.9,45,45.1,4365
2003-09-18,44.25,45.9,43.65,43.85,10451
2003-09-19,43.2,44,41.1,42.25,17920
2003-09-22,41.5,44.75,41.5,42.85,3657
2003-09-23,41,44.4,41,44.05,4535
2003-09-24,44,44.5,43.15,43.6,5023
2003-09-25,43.65,44.5,42.85,44.5,7772
2003-09-26,43.75,45.5,43.75,44.65,6538
2003-09-29,43,46.75,43,46.75,11162
2003-09-30,45,45.1,44.5,44.9,16666
2003-10-01,45.25,45.5,44,44.75,6502
2003-10-03,44.5,45.75,44.5,45.2,12620
2003-10-06,45.2,48.75,45.2,47.7,19434
2003-10-07,48.25,48.5,46,46.55,29442
2003-10-08,46.1,47,46,46.85,11063
2003-10-09,46.9,47,46,46.2,28950
2003-10-10,46.5,47.5,46.25,47.1,10571
2003-10-13,47,48.3,47,47.35,13180
2003-10-14,46.5,47.8,45.5,45.55,14614
2003-10-15,46.5,46.9,45.15,45.55,7421
2003-10-16,45.5,46.95,45,46,13954
2003-10-17,46.5,47,45.5,45.65,17104
2003-10-20,46.9,46.9,45.05,45.3,12811
2003-10-21,44.5,45.75,44.05,44.5,14858
2003-10-22,44.65,45.1,44,44.5,3150
2003-10-23,44.05,45.4,43.8,44.15,4577
2003-10-24,44,45.5,43.9,45.3,4770
2003-10-25,45,45.95,44.05,45.4,720
2003-10-27,44.3,45.1,44.3,45,7143
2003-10-28,44.3,45,43.35,44,9762
2003-10-29,44.5,45.45,44.5,44.65,9988
2003-10-30,44.05,44.05,39.05,39.85,31842
2003-10-31,39.25,40,38.3,38.65,28632
2003-11-03,38,39.5,37.55,38.3,32760
2003-11-04,38.75,39,36.9,37.4,25335
2003-11-05,37,38.95,36.25,37.9,12161
2003-11-06,38.5,40.5,38.05,39.6,20728
2003-11-07,40,47.2,40,45.6,71367
2003-11-10,46.3,48.25,44,46.35,41869
2003-11-11,47.9,48.1,45.5,45.8,67962
2003-11-12,45.5,47.6,45.5,46.5,17783
2003-11-13,46.5,47.95,44.5,45,23178
2003-11-14,45,45,42.3,43,16977
2003-11-15,42.5,44.8,42.3,43.6,1763
2003-11-17,44,45.9,43.3,45.3,13215
2003-11-18,45.05,45.25,44.4,44.6,12156
2003-11-19,43.75,45.2,42.4,44.25,6950
2003-11-20,45.75,45.85,43.55,44.4,28245
2003-11-21,44.9,45.4,41.75,43.75,29664
2003-11-24,43.5,43.55,43.1,43.25,27192
2003-11-25,43.25,51.9,43.1,51.9,196113
2003-11-27,53.9,57.4,52.05,52.8,212514
2003-11-28,52.9,55.9,50.65,55.25,195870
2003-12-01,56.4,57.7,52,55.35,155145
2003-12-02,55.65,55.65,53.5,54.35,47573
2003-12-03,54.9,57.7,54.1,56.95,106821
2003-12-04,57.75,62.6,56.15,60.95,216604
2003-12-05,62,66.9,60.5,61.65,239601
2003-12-08,63.8,66.4,62,65.85,131572
2003-12-09,66.8,71.95,66.8,70.6,291249
2003-12-10,70,72.5,67,67.55,139888
2003-12-11,69.8,70,65,66.25,60312
2003-12-12,67,69.8,61.55,67.3,99473
2003-12-15,69.8,71.7,68.55,69.3,88883
2003-12-16,69.95,69.95,65,66.15,29784
2003-12-17,66.9,68.1,63.55,65.1,40695
2003-12-18,66,68.45,62.5,63.95,69971
2003-12-19,65.45,67.9,63.5,65.05,51968
2003-12-22,66.1,66.1,64,64.45,60394
2003-12-23,66,69.1,64.75,65.4,115816
2003-12-24,66,66.5,64.25,65.45,26062
2003-12-26,65.6,76,65.6,69.65,198269
2003-12-29,70,72.75,68.5,69.85,68357
2003-12-30,71.25,71.25,66,66.6,56028
2003-12-31,66.55,68.4,66.1,68.1,47527
2004-01-01,68.8,69,67.05,67.75,24967
2004-01-02,67.8,68.65,64.15,67,47794
2004-01-05,61,67.95,61,63.45,34936
2004-01-06,63.5,64,58.4,59.35,70865
2004-01-07,59.7,61.9,59,59.75,42878
2004-01-08,61.9,64.4,60.75,62.55,108906
2004-01-09,64.7,64.7,58,60.8,38270
2004-01-12,60,60.6,58.1,58.6,28992
2004-01-13,59.85,59.85,56.3,57,34944
2004-01-14,57,59.25,57,58.35,39574
2004-01-15,58.75,59.5,55.6,56.1,33840
2004-01-16,55.5,56,52,54,39685
2004-01-19,45.05,55.9,45.05,54.75,11370
2004-01-20,55,56.25,53.2,53.55,14370
2004-01-21,51,53.95,48.55,49.05,23899
2004-01-22,48.3,53.45,46.15,47.95,36292
2004-01-23,47,50.9,42.5,48.25,49979
2004-01-27,52,55,51,53.35,33212
2004-01-28,54,54.7,49.05,49.5,50640
2004-01-29,49,50.9,45.1,45.5,40197
2004-01-30,47,47,43.55,44.3,18798
2004-02-03,41.5,44.5,41,42.1,20227
2004-02-04,43,43,40.3,41.55,93525
2004-02-05,41.05,44,35.3,42.1,24279
2004-02-06,42,42.1,38.2,39.6,32623
2004-02-09,40,42.5,40,41.9,14082
2004-02-10,43,48.5,41.6,44.75,98249
2004-02-11,45.7,45.7,43,44.1,12961
2004-02-12,45.3,45.3,42.55,43.3,10225
2004-02-13,42.1,44.4,42.1,43.7,21840
2004-02-16,42.55,45.5,42.55,43.9,5634
2004-02-17,44.45,48.5,43.3,44.2,8945
2004-02-18,44.6,44.6,42.25,43.25,9281
2004-02-19,42.05,43.5,41.05,41.9,14090
2004-02-20,41.5,43.5,40.5,43.1,17181
2004-02-23,42.05,45.1,38.85,39.15,57704
2004-02-24,40,41,39.55,40.85,12032
2004-02-25,38,40.9,38,39.9,3973
2004-02-26,40.55,40.85,37.65,38.4,18554
2004-02-27,34.75,40.15,34.75,39.55,10130
2004-03-01,40,40,38.2,38.95,17589
2004-03-03,38.7,39.65,38.05,38.15,9527
2004-03-04,38.2,38.8,36,37.1,24313
2004-03-05,37.25,38.15,36.5,37.75,26229
2004-03-08,39,39.2,37.9,38.25,40672
2004-03-09,39.5,39.5,37,37.95,15342
2004-03-10,38,38.5,36.9,38.35,8051
2004-03-11,37.25,38.75,36.55,37.1,26001
2004-03-12,36.1,36.25,35,35.65,18947
2004-03-15,36,36.5,35.05,35.2,18023
2004-03-16,35,36,33.35,34.15,20461
2004-03-17,32,40,32,35.5,23430
2004-03-18,35,36.45,33,33.7,29042
2004-03-19,34,34.9,32,33.75,23976
2004-03-22,32.15,35,31.7,32.1,30857
2004-03-23,27.1,33.25,27,32.6,41447
2004-03-24,31.9,32.25,31,31.55,32358
2004-03-25,31.9,33,31.7,32.1,31942
2004-03-26,34.9,35.75,32,34.4,52556
2004-03-29,35.9,36,33.55,33.9,34448
2004-03-30,34.8,35,33.2,33.5,18942
2004-03-31,33.5,34,32.1,32.5,60400
2004-04-01,33.5,35,33,34.05,59174
2004-04-02,34,38.45,34,37.65,100572
