Date,Open,High,Low,Close,Volume
2015-08-19,229.94,241.43,221.93,241.43,238113
2015-08-20,253.48,253.48,253.48,253.48,45692
2015-08-21,256.86,264.06,240.82,258.1,422168
2015-08-24,245.22,245.22,245.22,245.22,7778
2015-08-25,232.96,232.96,232.96,232.96,2691
2015-08-26,221.31,221.31,221.31,221.31,16726
2015-08-27,219.02,232.38,210.25,228.99,184608
2015-08-28,227.03,234.81,220.48,222.84,73792
2015-08-31,222.66,225.35,212.62,219.28,34382
2015-09-01,215.38,230.23,213.93,228.99,105121
2015-09-02,235.69,253.08,230.67,245.87,653562
2015-09-03,246.89,252.13,233.79,237.8,164902
2015-09-04,237.21,240.05,222.08,225.64,132286
2015-09-07,229.21,232.7,215.53,220.88,90879
2015-09-08,218.3,228.45,209.78,219.2,87653
2015-09-09,221.21,228.12,218.77,220.55,67692
2015-09-10,218.3,223.32,208.69,220.73,38385
2015-09-11,223.39,230.67,221.75,227.54,83381
2015-09-14,229.86,231.39,224.33,225.61,57426
2015-09-15,228.48,230.92,223.28,223.97,25290
2015-09-16,226.3,227.03,219.02,219.13,31185
2015-09-18,220.51,225.72,219.39,221.02,26035
2015-09-21,222.62,244.42,222.62,241.98,167688
2015-09-22,242.27,247.98,227.5,232.16,85888
2015-09-23,227.03,236.34,226.59,228.23,56048
2015-09-24,230.52,235.83,219.75,230.37,46841
2015-09-28,234.59,234.59,225.94,227.35,27338
2015-09-29,226.88,230.59,223.17,225.94,36589
2015-09-30,229.5,229.5,222.66,225.32,22332
2015-10-01,229.21,229.21,223.5,225.24,21629
2015-10-05,227.03,237.76,218.33,233.87,62329
2015-10-06,232.85,236.85,231.39,235.14,42350
2015-10-07,236.63,236.63,232.27,234.85,81852
2015-10-08,234.3,247.69,234.3,245.62,155911
2015-10-09,248.71,266.32,245.22,255.95,243190
2015-10-12,259.33,259.33,243.04,244.13,88657
2015-10-13,240.2,249.58,235.76,245.8,62231
2015-10-14,248.78,253.22,243.07,247.91,52100
2015-10-15,243.91,254.53,243.91,248.97,130031
2015-10-16,249.15,252.49,240.12,241.29,38952
2015-10-19,240.16,247.04,237.21,241.11,29758
2015-10-20,243.69,246.67,235.07,238.09,33946
2015-10-21,237.21,243.04,235.61,238.12,11716
2015-10-23,244.42,260.43,240.85,255.88,173436
2015-10-26,259.77,260.13,252.49,254.86,78310
2015-10-27,257.15,257.15,248.93,254.53,41192
2015-10-28,248.2,257.01,248.2,251.99,27338
2015-10-29,255.26,279.42,255,268.07,268522
2015-10-30,266.32,272.87,261.41,266.72,176926
2015-11-02,265.59,274.32,257.01,269.34,102386
2015-11-03,269.23,283.06,265.81,268.58,106803
2015-11-04,272.54,289.6,268.94,286.8,356558
2015-11-05,286.8,305.65,273.27,296.88,595166
2015-11-06,296.92,304.67,280.33,283.82,110704
2015-11-09,277.23,315.18,276.58,312.09,273006
2015-11-10,307.07,312.82,298.34,300.96,77929
2015-11-11,303.28,311.43,300.56,308.41,38088
2015-11-13,309.98,370.08,304.01,370.08,658802
2015-11-16,368.92,370.01,336.76,350.84,408899
2015-11-17,353.64,361.86,345.82,353.93,199530
2015-11-18,354.58,406.76,354.37,380.38,1079488
2015-11-19,383.47,397.08,369.86,375.32,364575
2015-11-20,379.03,400.06,370.81,384.93,347858
2015-11-23,391.18,426.91,386.71,418.47,683633
2015-11-24,419.6,481.67,416.22,474.39,1823074
2015-11-26,478.79,505.32,453.69,480.98,1165019
2015-11-27,483.16,502.81,463.51,493.16,953733
2015-11-30,494.8,514.16,486.65,507.86,739398
2015-12-01,509.36,515.76,499.39,505.28,389830
2015-12-02,504.84,506.44,483.16,487.31,273869
2015-12-03,484.61,491.53,470.79,474.14,194886
2015-12-04,466.79,496.26,466.42,479.3,411202
2015-12-07,483.16,490.44,472.97,478.36,186172
2015-12-08,475.16,486.87,451.14,455.15,194232
2015-12-09,458.42,459.11,411.52,421.13,273754
2015-12-10,425.53,438.74,409.3,434.23,343416
2015-12-11,437.06,443.5,422.26,426.44,228166
2015-12-14,424.4,425.82,394.02,416.8,178372
2015-12-15,418.25,458.46,413.31,451.73,611438
2015-12-16,454.78,472.39,454.78,458.31,478844
2015-12-17,464.24,481.67,463.51,475.56,411275
2015-12-18,472.97,480.18,465.77,475.96,289823
2015-12-21,476.57,486.8,469.41,475.99,283804
2015-12-22,478.07,479.59,466.42,468.97,103113
2015-12-23,472.75,479.52,463.19,466.57,104374
2015-12-24,468.39,479.52,462.06,464.68,150427
2015-12-28,464.68,472.24,462.13,464.9,117449
2015-12-29,467.66,484.54,465.33,474.14,258849
2015-12-30,476.76,480.25,467.08,469.81,94916
2015-12-31,470.79,473.92,465.77,468.21,67543
2016-01-01,470.79,536.06,468.68,528.16,1457419
2016-01-04,528.27,548.58,518.92,523.65,654142
2016-01-05,527.91,560,521.94,552.32,813860
2016-01-06,555.49,568.88,544.5,550.36,423867
2016-01-07,541.37,541.37,499.39,519.14,252020
2016-01-08,526.82,545.01,524.82,537.92,218492
2016-01-11,531.18,560.14,522.42,551.74,295469
2016-01-12,554.25,574.12,543.99,548.47,408487
2016-01-13,554.47,561.45,477.52,511.1,650147
2016-01-14,480.32,513.58,480.32,488,393749
2016-01-15,499.17,506.95,442.99,454.78,321620
2016-01-18,454.78,460.49,401.74,408.72,278782
2016-01-19,414.03,430.08,386.38,424.62,389154
2016-01-20,416.22,416.22,386.75,399.04,324764
2016-01-21,405.08,412.94,387.26,399.92,267592
2016-01-22,407.56,431.1,403.41,421.89,313703
2016-01-25,426.4,433.82,419.34,426.37,159514
2016-01-27,431.5,449.43,405.08,441.72,411999
2016-01-28,442.96,451.87,431.71,435.79,201128
2016-01-29,439.86,448.96,430.04,440.48,172357
2016-02-01,444.23,446.41,428.29,434.44,112412
2016-02-02,437.32,437.32,406.03,414.29,187655
2016-02-03,419.42,425.68,393.66,399.37,314985
2016-02-04,403.85,414.03,382.96,388.71,141014
2016-02-05,391.11,414.03,388.57,409.45,177278
2016-02-08,410.9,417.45,398.17,403.77,96650
2016-02-09,392.89,400.94,389.29,396.5,57444
2016-02-10,396.5,400.06,382.02,385.07,72977
2016-02-11,383.47,384.02,345.63,348.91,139154
2016-02-12,353.42,353.42,327.62,344.03,118410
2016-02-15,352.18,382.74,352.18,364.44,211128
2016-02-16,368.19,373.65,355.49,361.1,113410
2016-02-17,360.33,363.68,337.81,353.53,99724
2016-02-18,359.97,373.14,347.45,354.04,78713
2016-02-19,345.63,354.91,342,347.31,54928
2016-02-22,351.24,360.19,346.36,348.58,75466
2016-02-23,350.73,351.24,339.08,344.65,56892
2016-02-24,344.18,345.82,325.81,327.81,84109
2016-02-25,330.28,340.39,311.43,334.1,87429
2016-02-26,339.81,345.42,325.26,331.52,88328
2016-02-29,327.52,336.17,320.17,330.39,128223
2016-03-01,335.7,365.53,329.99,358.26,199878
2016-03-02,364.92,383.98,364.73,367.68,196298
2016-03-03,370.99,384.93,361.5,381.76,147559
2016-03-04,376.96,411.81,369.06,406.65,321490
2016-03-08,406.76,410.61,390.82,396.24,98322
2016-03-09,392.93,407.48,387.11,403.37,91589
2016-03-10,407.05,417.67,401.7,407.59,126461
2016-03-11,407.45,414.76,393,400.72,77287
2016-03-14,404.43,438.05,402.03,432.59,522228
2016-03-15,427.31,442.19,419.85,424.22,276785
2016-03-16,425.68,427.86,407.56,416.11,91667
2016-03-17,420.15,427.86,411.49,413.63,79143
2016-03-18,416.18,420.58,407.63,411.63,59829
2016-03-21,409.67,427.2,409.67,421.64,97767
2016-03-22,422.73,437.32,419.85,424.62,156876
2016-03-23,422.76,423.49,412.72,415.82,81328
2016-03-28,417.6,423.49,396.75,399.77,119846
2016-03-29,397.66,405.74,390.75,396.13,97328
2016-03-30,401.66,411.78,400.43,405.05,245968
2016-03-31,407.45,430.77,405.3,413.67,353235
2016-04-01,413.67,417.96,405.12,407.52,158221
2016-04-04,411.49,417.45,407.56,410.03,69284
2016-04-05,409.3,411.12,397.3,400.64,108084
2016-04-06,404.06,430.77,395.37,425.68,388866
2016-04-07,429.31,440.19,427.35,431.02,265048
2016-04-08,431.02,454.71,427.82,448.38,426000
2016-04-11,449.69,452.74,433.68,447.83,234979
2016-04-12,447.5,461.33,446.6,450.16,183866
2016-04-13,455.51,460.53,446.85,449.21,110012
2016-04-18,447.87,455.8,440.23,449.69,129170
2016-04-20,453.14,456.24,444.74,446.63,101844
2016-04-21,450.71,472.46,446.78,452.63,547785
2016-04-22,452.6,456.6,445.39,447.25,96336
