Date,Open,High,Low,Close,Volume
2026-01-20,77.5,81.35,73.65,80.3,3482000
2026-01-21,80,83.6,76.3,76.3,544000
2026-01-22,78.5,79.7,72.5,75.85,282000
2026-01-23,75.75,75.8,72.1,72.1,182000
2026-01-27,68.65,70.7,68.5,68.5,94000
2026-01-28,67,71.9,65.1,71.9,130000
2026-01-29,73.95,73.95,68.35,71.55,180000
2026-01-30,68.05,69.85,68,68,68000
2026-02-01,65.15,70.85,64.6,67.25,72000
2026-02-02,66,66.8,63.95,66.25,26000
2026-02-03,70.15,78.4,70.1,74.65,228000
2026-02-04,73,75.85,66.5,73.75,142000
2026-02-05,73,74.95,71,72.55,72000
2026-02-06,71.05,72,70,71.5,32000
2026-02-09,75.9,75.9,71,71.85,46000
2026-02-10,72.8,72.8,70,72.75,34000
2026-02-11,74.9,74.9,68,68.1,62000
2026-02-13,69.9,71.5,69.9,71.5,14000
