Date,Open,High,Low,Close,Volume
2022-06-21,10.46,10.56,9.57,10.25,31565
2022-06-22,10.79,10.8,9.8,10.03,23998
2022-06-23,9.96,10.6,9.63,10.54,12751
2022-06-24,10.83,11.52,10.43,10.95,33344
2022-06-27,10.97,11.46,10.97,11.26,28161
2022-06-28,11.25,12.25,11.23,11.93,64847
2022-06-29,12.77,13.12,11.92,13.12,36200
2022-06-30,13.78,13.78,13.78,13.78,914
2022-07-01,14.46,14.46,13.2,13.26,97275
2022-07-04,13.43,13.83,13.43,13.71,37354
2022-07-05,13.68,13.68,13.18,13.34,32210
2022-07-06,12.73,13.95,12.73,13.09,60052
2022-07-07,13.09,13.09,12.55,12.75,44359
2022-07-08,12.77,12.77,12.62,12.67,41532
2022-07-11,12.67,13.31,12.67,13.01,67195
2022-07-12,13.37,13.66,13.37,13.61,61162
2022-07-13,13.67,13.74,12.97,13.1,69193
2022-07-14,12.99,13.76,12.95,13.76,58831
2022-07-15,13.84,14.44,13.84,14.44,26780
2022-07-18,14.89,15.16,13.98,14.63,75359
2022-07-19,14.63,14.92,14.31,14.5,58130
2022-07-20,14.29,14.71,14.22,14.54,51032
2022-07-21,14.5,14.71,14.23,14.35,72722
2022-07-22,14.37,14.39,14.12,14.13,65256
2022-07-25,14.15,14.62,14.15,14.55,47624
2022-07-26,14.6,15.09,14.6,14.85,45005
2022-07-27,14.99,15.09,14.85,14.95,42065
2022-07-28,14.98,15.09,14.91,14.92,27036
2022-07-29,14.95,14.95,14.71,14.73,62367
2022-08-01,14.75,14.95,14.74,14.8,83913
2022-08-02,14.85,14.91,14.75,14.81,57187
2022-08-03,14.84,15.08,14.57,14.88,124152
2022-08-04,14.96,15.63,14.96,15.57,34005
2022-08-05,16.23,17.11,15.8,16.21,96859
2022-08-08,16.33,16.58,16.21,16.42,41980
2022-08-10,16.47,16.59,16.37,16.58,32361
2022-08-11,16.61,16.72,16.37,16.63,38971
2022-08-12,16.66,16.72,16.55,16.68,26776
2022-08-16,16.69,17.96,16.32,17.79,62188
2022-08-17,18.28,18.51,18.07,18.23,58217
2022-08-18,18.45,18.58,18.07,18.41,73238
2022-08-19,18.47,18.47,17.84,17.98,48735
2022-08-22,17.89,18.28,17.35,17.44,56148
2022-08-23,17.83,18.47,17.83,18.11,54249
2022-08-24,18.28,18.38,17.38,17.92,52434
2022-08-25,18.33,19.07,17.31,17.53,225450
2022-08-26,18.31,18.42,18,18.29,57403
2022-08-29,17.78,19.42,17.23,18.55,196764
2022-08-30,18.84,19.52,18.21,18.54,141317
2022-09-01,18.61,18.71,17.71,17.9,52518
2022-09-02,18.52,18.52,17.1,17.21,139035
2022-09-05,17.22,18.11,17.22,17.44,43597
2022-09-06,17.66,17.83,17.33,17.69,48460
2022-09-07,17.69,17.98,17.39,17.67,50687
2022-09-08,17.81,17.92,17.55,17.7,48527
2022-09-09,17.72,17.99,17.19,17.29,52670
2022-09-12,17.44,17.87,17.33,17.53,48188
2022-09-13,17.61,17.61,17.33,17.39,56802
2022-09-14,17.42,17.65,17.36,17.5,45562
2022-09-15,18,18,17.44,17.46,43151
2022-09-16,17.47,17.78,17.37,17.47,50199
