Date,Open,High,Low,Close,Volume
2025-10-08,101,106.05,101,106.05,1740800
2025-10-09,102,102,100.75,100.75,78400
2025-10-10,95.75,102,95.75,99,140800
2025-10-13,97,101.75,96,99.75,686400
2025-10-14,103.9,104.7,98.1,104.55,185600
2025-10-15,104.5,104.5,102.2,102.65,30400
2025-10-16,101,106.9,98,104.8,331200
2025-10-17,104,104.9,103,103.7,75200
2025-10-20,104.5,108.85,103,107.7,60800
2025-10-21,112.9,113.05,112.7,113,41600
2025-10-23,113,118.65,113,118.65,78400
2025-10-24,125,125,110.75,113.35,128000
2025-10-27,114.65,128,113,122.5,158400
2025-10-28,124,137,121.1,125.55,46400
2025-10-29,129,129,120.9,125.5,792000
2025-10-30,126.1,133.25,126,129.9,579200
2025-10-31,132.95,133,125,125.6,86400
2025-11-03,127.8,129.8,126.25,128.65,62400
2025-11-04,128.65,129.5,124,125.1,56000
2025-11-06,125.45,125.45,121.1,122.8,56000
2025-11-07,124,126,123,123,259200
2025-11-10,125,125,119,119,80000
2025-11-11,116.35,122,114,121.75,30400
2025-11-12,120.8,122.5,120.8,121.4,22400
2025-11-13,123,125,122,123.4,16000
2025-11-14,120.35,124.6,120.35,124,19200
2025-11-17,124,124,121.15,121.15,12800
2025-11-18,122.65,125.95,122.65,125.7,16000
2025-11-19,125.2,127,125.2,126.65,19200
2025-11-20,122.3,129.95,122.3,128,356800
2025-11-21,130,132.8,126.75,127.45,36800
2025-11-24,126.75,127,126.3,126.3,8000
2025-11-25,130.5,130.5,124.5,124.5,24000
2025-11-26,128,128,126,126.15,11200
2025-11-27,127,127,125.9,126.45,9600
2025-11-28,127,127.1,125.2,125.2,35200
2025-12-01,127,127,125.5,126,36800
2025-12-02,125.6,125.6,122.1,122.7,28800
2025-12-03,125,126.6,125,126.45,24000
2025-12-04,125,125,125,125,3200
2025-12-05,125,127.5,125,127.15,11200
2025-12-08,127.5,128.95,123.25,123.25,14400
2025-12-09,123.25,126.2,122.55,122.9,92800
2025-12-10,125.95,125.95,125.9,125.9,46400
2025-12-11,125,125,125,125,11200
2025-12-12,124,124,123.25,123.25,8000
2025-12-15,126,129,124,124.5,27200
2025-12-16,124.5,124.5,121.25,121.25,22400
2025-12-17,121.25,123.5,121.25,123.5,14400
2025-12-18,121.9,121.9,121.9,121.9,1600
2025-12-19,124.4,124.4,121,121,6400
2025-12-22,125,125,121,124,9600
2025-12-23,125,139,124,126.7,89600
2025-12-24,125.1,125.1,124.35,125,11200
2025-12-26,124.95,125,123,124.9,44800
2025-12-29,124.9,125,119,119.5,17600
2025-12-30,120.5,122.8,120.5,120.7,27200
2025-12-31,123.45,123.45,121,121,9600
2026-01-01,120.25,120.25,120,120,3200
2026-01-02,121.5,122.25,121.5,122.25,3200
2026-01-06,122,122,119,120.25,24000
2026-01-07,120,121.5,117,118,24000
2026-01-08,120,120.9,119.9,120.9,11200
2026-01-09,119,119,115,117.45,64000
2026-01-12,116,119,108,114.8,678400
2026-01-13,119.8,126,115.75,120.15,113600
2026-01-14,123.8,124.4,103.1,117.4,1676800
2026-01-16,120,121,117,120.9,60800
2026-01-19,115.55,118.65,113,118.65,310400
2026-01-20,115.15,115.5,110.6,114.85,230400
2026-01-21,115,116.85,112,112.5,425600
2026-01-22,116.5,124.25,113.5,119.05,532800
2026-01-23,120,120,116.1,116.1,16000
2026-01-27,119,119,115,115.5,56000
2026-01-28,120,120,118,118.9,30400
2026-01-29,116.05,117.85,114.95,114.95,118400
2026-01-30,115,117.95,115,117,6400
2026-02-01,117,117,113,114,12800
2026-02-02,115,115,115,115,1600
2026-02-03,117,117,114.05,114.35,6400
2026-02-04,115.25,116.5,114.35,114.35,9600
2026-02-05,115.05,121,111,113.75,262400
2026-02-06,115,115,112,112,20800
2026-02-09,113,118,110,113.75,46400
2026-02-10,113,113,109.3,110.25,20800
2026-02-11,112,117.5,111,111.5,177600
