Date,Open,High,Low,Close,Volume
2007-11-02,62.26,62.26,57.32,59.53,3657
2007-11-05,58.14,60.55,58.14,59.87,780
2007-11-06,58.83,61.64,57.1,57.65,731
2007-11-07,58.14,64.02,57.02,62.85,3340
2007-11-08,62.12,63.85,59.87,62.14,2599
2007-11-09,62.29,62.29,59.01,61.11,76
2007-11-12,57.13,62.29,56.76,59.54,1149
2007-11-13,60.38,61.25,58.06,59.71,2160
2007-11-14,60.56,64.37,57.12,62.65,1957
2007-11-15,67.13,75.1,64.01,67.01,7802
2007-11-16,70.77,70.94,65.75,65.91,2174
2007-11-19,67.91,67.91,64.03,67.06,1391
2007-11-20,66.97,68.35,65.75,66.4,3163
2007-11-21,66.21,67.48,65.68,66.56,2091
2007-11-22,66.62,69.04,64.89,64.93,2063
2007-11-23,68.7,68.7,64.89,65.23,2555
2007-11-26,66.61,69.56,66.61,68.2,1322
2007-11-27,67.48,70.08,67.31,68.95,1592
2007-11-28,70.07,70.43,66.62,66.97,1897
2007-11-29,69.04,70.77,67.67,70.19,1240
2007-11-30,69.21,73.54,67.66,70.25,2521
2007-12-03,73.37,77.87,71.24,74.62,1674
2007-12-04,74.41,77.16,74.32,76.1,731
2007-12-05,75.79,77.87,74.76,76.5,2287
2007-12-06,77.87,85.65,75.79,77.24,10264
2007-12-07,85.65,85.65,75.27,83.29,1756
2007-12-10,84.79,85.65,75.66,77.81,2230
2007-12-11,83.92,85.31,75.62,76.19,1942
2007-12-12,76.14,80.46,74.42,77.86,699
2007-12-13,75.29,79.6,75.27,79.29,1559
2007-12-14,79.6,82.71,78.73,80.61,2213
2007-12-17,82.17,82.19,77.52,78.94,2245
2007-12-18,82.18,82.18,76.14,79.74,2277
2007-12-19,79.25,82.19,78.94,80.96,422
2007-12-20,80.12,83.06,75.79,77.53,6325
2007-12-24,78.96,82.37,78.96,81.26,541
2007-12-26,78.4,89.98,71.82,87.42,5981
2007-12-27,88.24,91.71,88.24,90.49,1842
2007-12-28,91.71,107.28,91.71,104.38,31211
2007-12-31,111.47,125.25,111.47,121.77,60900
2008-01-01,129.78,129.78,118.7,120.21,17696
2008-01-02,126.14,126.14,118.53,120.51,8759
2008-01-03,118.54,120.43,112.47,116.96,4547
2008-01-04,117.49,119.4,113.34,114.7,2736
2008-01-07,116.79,116.79,108.15,110.24,8436
2008-01-08,114.19,114.19,106.42,107.26,2991
2008-01-09,109.01,110.74,103.82,107.18,9759
2008-01-10,108.15,112.53,106.95,108.94,4643
2008-01-11,106.42,111.26,104.01,108.32,4394
2008-01-14,109.88,111.61,106.42,107.45,6300
2008-01-15,110.74,111.35,105.55,106.14,3174
2008-01-16,108.84,109,102.26,106.1,5672
2008-01-17,108.67,108.67,104.18,105.34,1442
2008-01-18,109.01,109.01,103.99,105.6,2008
2008-01-21,100.36,103.82,95.07,96.46,2533
2008-01-22,96.04,96.04,86.81,86.81,539
2008-01-23,83.25,87.47,78.15,83.21,4804
2008-01-24,78.13,90.67,77.87,81.49,5555
2008-01-25,81.33,83.92,78.04,82.77,2864
2008-01-28,82.19,85.65,80.46,83.14,1059
2008-01-29,84.79,89.29,82.54,86.09,1552
2008-01-30,85.13,94.65,77.52,86.86,15486
2008-01-31,81.33,91.19,80.63,87.44,1679
2008-02-01,83.26,89.98,83.26,88.21,704
2008-02-04,92.57,97.03,88.42,97.03,3328
2008-02-05,98.63,104.51,97.77,98.67,1397
2008-02-06,96.9,99.67,95.17,95.55,2010
2008-02-07,98.28,100.36,95.25,96.1,3335
2008-02-08,95.18,100.36,86.71,94.62,2111
2008-02-11,96.55,96.55,86.52,90.92,2566
2008-02-12,91.19,91.19,81.85,82.06,1270
2008-02-13,83.97,84.79,78.04,78.64,963
