Date,Open,High,Low,Close,Volume
2015-12-01,2.6,2.73,2.6,2.73,60
2015-12-02,2.86,2.86,2.86,2.86,50
2015-12-03,3,3,3,3,1200
2015-12-07,3.15,3.15,3.15,3.15,240
2015-12-09,3.3,3.3,3.3,3.3,100
2015-12-10,3.46,3.46,3.46,3.46,50
2015-12-11,3.63,3.63,3.63,3.63,850
2015-12-14,3.81,3.81,3.81,3.81,450
2015-12-15,4.57,4.57,4.11,4.57,11156
2015-12-16,5.4,5.48,5,5.48,3053
2015-12-17,6.02,6.02,6.02,6.02,2830
2015-12-18,6.62,6.62,6,6.62,37268
2015-12-21,6.9,7.28,6.9,7.28,34651
2015-12-22,7.64,7.64,6.92,6.92,26674
2015-12-23,6.58,6.67,6.58,6.6,10767
2015-12-24,6.27,6.51,6.27,6.27,4794
2015-12-28,6,6,5.96,5.96,1396
2015-12-29,5.67,5.67,5.67,5.67,12575
2015-12-30,5.39,5.39,5.39,5.39,4709
2015-12-31,5.13,5.13,5.13,5.13,1116
2016-01-01,4.88,5.38,4.88,5.38,11572
2016-01-04,5.64,5.64,5.15,5.55,1332
2016-01-05,5.82,5.82,5.6,5.8,11899
2016-01-06,5.9,5.9,5.6,5.8,6312
2016-01-07,5.78,5.8,5.51,5.54,2925
2016-01-08,5.68,5.68,5.27,5.27,881
2016-01-11,5.37,5.53,5.02,5.52,1302
2016-01-12,5.78,5.78,5.4,5.4,925
2016-01-13,5.66,5.66,5.13,5.58,1445
2016-01-14,5.31,5.6,5.31,5.31,1720
2016-01-15,5.05,5.05,5.05,5.05,338
2016-01-18,4.8,5.18,4.8,5.18,1972
2016-01-19,5.18,5.18,4.93,4.93,2137
2016-01-20,4.69,4.69,4.69,4.69,263
2016-01-21,4.69,4.69,4.46,4.46,107
2016-01-22,4.24,4.24,4.24,4.24,1548
2016-01-25,4.43,4.43,4.03,4.37,262
2016-01-27,4.16,4.5,4.16,4.5,551
2016-01-28,4.28,4.68,4.28,4.68,7
2016-01-29,4.86,4.86,4.45,4.8,250
2016-02-01,4.8,4.8,4.8,4.8,4
2016-02-03,4.56,4.56,4.56,4.56,60
2016-02-04,4.78,4.78,4.56,4.56,50
2016-02-05,4.56,4.56,4.11,4.21,818
2016-02-08,4.21,4.61,3.79,4.6,167
2016-02-10,4.15,4.15,4.15,4.15,250
2016-02-11,3.74,4.54,3.74,3.87,1955
2016-02-12,4.25,4.25,3.49,3.49,501
2016-02-15,3.5,3.5,3.15,3.16,1149
2016-02-16,3.01,3.31,3.01,3.31,1016
2016-02-17,3.47,3.47,3.15,3.42,59
2016-02-18,3.59,3.59,3.54,3.55,628
2016-02-19,3.7,3.7,3.5,3.5,6
2016-02-22,3.67,3.67,3.33,3.52,1843
2016-02-23,3.65,3.65,3.35,3.35,1761
2016-02-24,3.38,3.38,3.19,3.19,182
2016-02-25,3.29,3.29,3.04,3.04,102
2016-02-26,2.89,3.19,2.89,2.93,327
2016-02-29,2.79,2.79,2.79,2.79,120
2016-03-01,2.66,2.9,2.66,2.74,444
2016-03-02,2.61,2.86,2.61,2.61,1036
2016-03-03,2.48,2.73,2.48,2.48,973
2016-03-04,2.36,2.6,2.36,2.36,2406
2016-03-08,2.47,2.47,2.36,2.47,363
2016-03-09,2.59,2.59,2.59,2.59,10
2016-03-10,2.7,2.71,2.7,2.7,260
2016-03-11,2.69,2.83,2.57,2.57,687
2016-03-14,2.58,2.58,2.45,2.45,140
2016-03-15,2.56,2.56,2.45,2.45,281
2016-03-16,2.45,2.45,2.45,2.45,306
2016-03-17,2.45,2.45,2.45,2.45,50
2016-03-18,2.45,2.46,2.45,2.45,907
2016-03-21,2.45,2.45,2.45,2.45,94
2016-03-22,2.57,2.57,2.5,2.5,140
2016-03-23,2.62,2.62,2.62,2.62,1
2016-03-28,2.56,2.56,2.5,2.5,2894
2016-03-30,2.42,2.42,2.4,2.4,147
2016-03-31,2.4,2.51,2.3,2.51,2191
2016-04-04,2.51,2.51,2.4,2.42,420
2016-04-05,2.42,2.42,2.4,2.4,300
2016-04-06,2.4,2.4,2.4,2.4,426
2016-04-11,2.4,2.4,2.4,2.4,356
2016-04-12,2.41,2.41,2.41,2.41,200
2016-04-13,2.41,2.41,2.41,2.41,100
2016-04-18,2.53,2.53,2.53,2.53,10
2016-04-20,2.65,2.65,2.65,2.65,10
2016-04-21,2.78,2.78,2.78,2.78,85
2016-04-22,2.91,2.91,2.91,2.91,10
2016-04-26,3.05,3.05,2.77,3.05,194
2016-04-27,3.2,3.2,3.2,3.2,1020
2016-04-28,3.36,3.36,3.36,3.36,10
2016-04-29,3.52,3.52,3.5,3.52,237
2016-05-02,3.69,3.69,3.68,3.69,625
2016-05-03,3.87,3.87,3.87,3.87,175
2016-05-04,4.06,4.06,4.06,4.06,71
2016-05-05,4.26,4.26,4.26,4.26,6
2016-05-06,4.47,4.47,4.47,4.47,7
2016-05-09,4.69,4.69,4.3,4.69,1215
2016-05-10,4.69,4.69,4.5,4.5,551
2016-05-11,4.3,4.3,4.28,4.28,1329
2016-05-12,4.1,4.28,4.1,4.1,546
2016-05-13,3.9,3.9,3.9,3.9,25
2016-05-16,3.71,3.71,3.71,3.71,76
2016-05-17,3.53,3.53,3.53,3.53,20
2016-05-19,3.7,3.7,3.36,3.36,550
2016-05-23,3.2,3.2,3.2,3.2,50
2016-05-24,3.04,3.04,3.04,3.04,102
2016-05-26,3.1,3.1,3.1,3.1,50
2016-05-27,3.25,3.25,3.25,3.25,100
2016-05-30,3.41,3.41,3.41,3.41,601
2016-06-01,3.58,3.58,3.58,3.58,100
2016-06-02,3.56,3.56,3.56,3.56,20
2016-06-06,3.73,3.73,3.73,3.73,125
2016-06-08,3.91,3.91,3.91,3.91,291
2016-06-09,4.1,4.1,4.1,4.1,96
2016-06-10,4.3,4.3,4.3,4.3,600
2016-06-13,4.51,4.51,4.51,4.51,50
2016-06-14,4.73,4.73,4.73,4.73,330
2016-06-15,4.96,4.96,4.7,4.7,500
2016-06-16,4.47,4.88,4.47,4.7,1906
