Date,Open,High,Low,Close,Volume
2003-09-05,141.3,144.9,139.25,140.45,39274
2003-09-08,142,147.8,141.6,145.85,106037
2003-09-09,148.35,149,142.5,143,87529
2003-09-10,142.05,144,140.1,141.25,39965
2003-09-11,141.25,142.85,139.5,139.8,38521
2003-09-12,140,141.8,135.1,136.75,25456
2003-09-15,137,137,134,134.5,19381
2003-09-16,133,137.1,130,134.05,22926
2003-09-17,137,137.75,134.55,135.4,14650
2003-09-18,135,137,131.25,131.65,20295
2003-09-19,131,132.2,128.2,129.15,21443
2003-09-22,131,133.8,131,131.6,20418
2003-09-23,132,132.9,129.1,132.4,10467
2003-09-24,136,140,132.5,134.9,39675
2003-09-25,131.8,135.5,131.8,133.3,11420
2003-09-26,134.65,135.95,134,134.75,12788
2003-09-29,135,142,135,135.9,42323
2003-09-30,132.05,137,132,135.5,32398
2003-10-01,136,136,134.15,134.85,11362
2003-10-03,137,139.7,135.05,137.15,42052
2003-10-06,142.25,142.9,137.65,137.8,71496
2003-10-07,137.5,138.45,134.5,134.9,70265
2003-10-08,136,137.5,134.25,135,38068
2003-10-09,136,136.9,134.5,135.85,37309
2003-10-10,137.6,137.6,134.25,134.5,48265
2003-10-13,124.1,139,121.15,134.85,56120
2003-10-14,136.9,143.3,132.6,140.1,197556
2003-10-15,142.85,147.65,140.15,143.65,268107
2003-10-16,145.4,158.85,144.9,156.8,434088
2003-10-17,156.4,162,156,158.05,219958
2003-10-20,160,160,154.1,155.9,136086
2003-10-21,158,161,152.65,155.1,154613
2003-10-22,156.8,156.9,148.15,149.3,54534
2003-10-23,149.4,152,147.5,149.35,62350
2003-10-24,151.9,151.9,144.65,147.65,33414
2003-10-25,154,154,148.5,149.95,8859
2003-10-27,150,151.5,143.8,144.9,25671
2003-10-28,143.25,147.5,143,145.15,14042
2003-10-29,146.85,152.45,145,150.9,37892
2003-10-30,151,152.95,148.2,149.2,18935
2003-10-31,151.25,155.85,147.4,149.65,99800
2003-11-03,150,154.4,148.75,150.6,64728
2003-11-04,151.6,152.75,148.15,149,44606
2003-11-05,148.95,148.95,146.3,147.35,36094
2003-11-06,149.95,153.5,149,151.9,65937
2003-11-07,152,156,152,155.25,75929
2003-11-10,155.25,168,155,163.35,73409
2003-11-11,165,168.7,157,158.8,89877
2003-11-12,160.5,162.35,156,157.65,42963
2003-11-13,161.9,161.9,153,154.25,33207
2003-11-14,154,156.8,150.55,151.45,29520
2003-11-15,150.25,154.45,150.25,152.35,7044
2003-11-17,152.6,155,150,150.75,31990
2003-11-18,151.75,155,151.75,153.25,27156
2003-11-19,156.9,156.9,148,149.15,51186
2003-11-20,150,151.4,143.05,144.15,31646
2003-11-21,145.5,148.5,144.5,147.75,23352
2003-11-24,148,149.9,147,147.5,16435
2003-11-25,149,149.8,146.85,147.9,17802
2003-11-27,146.1,150.2,146,149.3,20584
2003-11-28,150.2,153,149.3,149.95,36540
2003-12-01,153.4,153.8,150.4,152.75,125267
2003-12-02,155.85,155.9,152.5,153.6,36727
2003-12-03,154,164.8,153.2,163.25,141746
2003-12-04,164.5,168.8,162.1,165.9,138683
2003-12-05,165.2,168,160,160.55,72633
2003-12-08,160,161.95,153.5,160.7,31196
2003-12-09,161.9,165.8,161.9,164.5,54774
2003-12-10,165,165.7,160.2,161.6,43174
