Date,Open,High,Low,Close,Volume
2002-01-01,7.45,7.45,6.9,6.93,40731
2002-01-02,7,7.1,6.77,7.05,19660
2002-01-03,7.19,7.34,7.12,7.22,27428
2002-01-04,7.3,7.5,7.21,7.43,45816
2002-01-07,7.59,7.74,7.46,7.64,41248
2002-01-08,7.68,7.68,7.33,7.53,31529
2002-01-09,7.6,7.6,6.93,7.09,30460
2002-01-10,6.91,7.4,6.91,7.3,29090
2002-01-11,7.29,7.4,7.13,7.2,16847
2002-01-14,7.31,7.5,7.31,7.45,15208
2002-01-15,7.48,7.5,7.35,7.48,23263
2002-01-16,7.22,8.6,7.22,8.28,118607
2002-01-17,8.5,8.9,8.05,8.64,196736
2002-01-18,9,9.37,7.7,8.64,275820
2002-01-21,8.5,9.1,8.5,8.77,114566
2002-01-22,9,9,8.35,8.42,63342
2002-01-23,8.32,8.75,8.32,8.4,52900
2002-01-24,8.54,9.09,7.85,8.83,187226
2002-01-25,9.03,9.3,8.9,9.15,175447
2002-01-28,9.22,9.9,9.1,9.67,195239
2002-01-29,9.66,9.75,9.27,9.53,148044
2002-01-30,9.3,10.34,9.3,10.16,430529
2002-01-31,10.3,12.04,10.25,11.44,552592
2002-02-01,11.42,12.07,11.21,11.34,404591
2002-02-04,11.8,11.97,10.8,10.88,274656
2002-02-05,11,13.06,10.9,13.02,902329
2002-02-06,14,15.44,13.39,13.78,1042909
2002-02-07,13.2,14,12.11,12.42,414704
2002-02-08,12.44,14.27,12.41,13.88,602506
2002-02-11,14.5,14.8,13.84,14.11,291393
2002-02-12,14.39,14.58,13.55,13.76,166938
2002-02-13,13.7,14.19,13.29,13.61,153007
2002-02-14,14,14.08,13.5,13.63,114161
2002-02-15,13.7,14,13.47,13.61,116092
2002-02-18,13.54,13.74,13.11,13.23,62604
2002-02-19,13.3,14.6,12.85,13.38,353829
2002-02-20,13.5,13.79,13,13.27,177041
2002-02-21,13.49,15.14,13.49,14.75,533597
2002-02-22,15,16.09,14.6,15.35,804118
2002-02-25,15.59,15.59,14.6,14.73,299324
2002-02-26,14.99,15.38,14.67,15.04,253252
2002-02-27,15.3,15.89,14.61,14.77,331966
2002-02-28,15,15.44,12.72,13.13,459889
