Date,Open,High,Low,Close,Volume
2005-03-21,25.27,25.3,22.67,23.5,233316
2005-03-22,24,24,21.37,21.53,71462
2005-03-23,21.57,23.17,21.4,21.7,39014
2005-03-24,20,23.5,19.7,20.4,37227
2005-03-28,19.47,20.9,19.47,20.23,19057
2005-03-29,20.67,20.67,19.47,19.77,22287
2005-03-30,18.17,20.93,18.17,20.3,30325
2005-03-31,19.9,22.33,19.2,21.6,12614
2005-04-01,20.67,22.43,20.67,20.73,7657
2005-04-04,20.03,20.37,20,20.37,110
2005-04-05,22.3,22.3,20,20.37,3050
2005-04-06,20.33,20.33,20.33,20.33,500
2005-04-07,19.67,19.97,19.4,19.93,1555
2005-04-08,19.07,21,19.07,20.67,5052
2005-04-11,19.67,20.33,19.53,19.7,704
2005-04-12,21.3,21.7,21.2,21.7,6495
2005-04-13,23.9,23.9,23.33,23.9,54458
2005-04-15,24.67,28.43,23.33,27.6,930275
2005-04-18,28,31.33,26.27,30.83,2579287
2005-04-19,31,32.6,27.47,28.13,1185627
2005-04-20,28.33,28.9,26.2,26.73,203631
2005-04-21,26.6,27.53,26.1,26.57,269315
2005-04-22,26.83,26.83,25.37,26.27,171711
2005-04-25,25.8,26.6,24.73,25.3,152719
2005-04-26,25.8,25.8,24.33,24.57,136387
2005-04-27,24.37,24.63,23.33,23.9,65425
2005-04-28,24,24.87,24,24.23,47534
2005-04-29,24,24.63,23.37,23.6,121451
2005-05-02,24,24,23.47,23.53,102170
2005-05-03,24.57,25.9,24.17,24.9,682205
2005-05-04,25.13,26.27,24.87,25.1,655443
2005-05-05,25.5,26.03,24.67,24.97,199165
2005-05-06,25.03,25.57,24.63,25.2,157419
2005-05-09,25,26.67,24.93,26.53,175614
2005-05-10,26.6,26.83,25.4,25.73,170122
2005-05-11,26,26,23.73,24,151316
2005-05-12,25.33,25.33,24.1,24.57,179173
2005-05-13,25.33,25.5,23.67,23.97,222592
2005-05-16,24.57,25.5,24.37,24.77,225869
2005-05-17,25.27,25.27,23.67,24.07,240283
2005-05-18,24.3,24.53,23.43,23.73,168764
2005-05-19,24.73,24.83,23.67,23.9,197735
2005-05-20,24.33,24.5,23.53,23.7,172320
2005-05-23,24.47,24.47,23.73,23.93,177606
2005-05-24,24.27,24.27,23.33,23.53,123959
2005-05-25,23,23.93,23,23.43,39799
2005-05-26,23.8,23.93,23.33,23.6,515563
2005-05-27,23.87,25.33,23.37,23.5,852732
2005-05-30,23.93,23.93,23,23.13,154501
2005-05-31,23.5,25,23.37,23.7,90693
2005-06-01,24.1,24.47,23.33,23.67,44707
2005-06-02,24.27,24.27,23.43,23.5,20653
2005-06-03,23.87,25,23.37,24.53,87720
2005-06-04,24.83,25.47,24.33,25.03,33596
2005-06-06,25.47,25.47,24.73,25.13,130717
2005-06-07,25.33,25.87,25.27,25.57,151245
2005-06-08,25.93,26.33,24.67,25.77,186115
2005-06-09,25.83,25.87,25.03,25.4,139209
2005-06-10,25.67,25.77,24.93,25.07,149508
2005-06-13,25.37,25.5,25,25.27,122551
2005-06-14,25.63,25.63,25.13,25.33,130575
2005-06-15,25.83,25.93,24.8,25,146876
2005-06-16,25.3,25.3,24.67,24.73,84102
2005-06-17,24.5,25,24.03,24.7,99362
2005-06-20,24.33,25.13,24.17,24.4,96262
2005-06-21,24.13,25.4,24.1,25.27,74673
2005-06-22,25.67,26.8,25.33,26,192529
2005-06-23,26,27,26,26.53,175104
2005-06-24,26,27.17,26,26.8,85771
2005-06-27,26.73,27.67,26.53,26.67,62811
2005-06-28,26.33,27.47,26,26.67,770049
2005-06-29,26.87,27.5,26.5,27.33,104029
2005-06-30,27.17,27.87,27.17,27.67,215531
2005-07-01,27.73,28.73,27.4,28.6,475018
2005-07-04,28.67,29.33,28,28.37,151546
2005-07-05,28,28.6,27.67,27.77,121056
2005-07-06,28,28.67,27.83,28.17,124006
2005-07-07,27.8,28.47,27.67,28.03,106007
2005-07-08,28.07,28.47,27.73,27.83,82556
2005-07-11,28.17,28.17,27.53,27.7,50077
2005-07-12,28.33,28.33,27.33,27.73,87228
2005-07-13,27.67,28.1,27.33,27.67,87088
2005-07-14,27.67,27.9,27.17,27.2,93719
2005-07-15,27.33,27.33,26.73,26.8,94672
2005-07-18,26.67,27.5,26.5,27.33,87683
2005-07-19,27,28.53,27,27.83,173104
2005-07-20,27.97,28.67,27.53,27.8,117224
