Date,Open,High,Low,Close,Volume
2017-10-12,97.14,97.14,87.62,97.1,2211200
2017-10-13,97.14,108.57,94.29,98.9,716800
2017-10-16,99.52,99.67,83.81,88.57,408000
2017-10-17,91.43,100.67,89.52,99.19,473600
2017-10-18,100.95,102.29,97.62,100.81,152000
2017-10-19,100.95,103.52,100.9,101.81,59200
2017-10-23,101.33,102.67,99.05,101.33,81600
2017-10-24,101.86,101.86,100.24,100.57,43200
2017-10-25,105.24,105.24,100,100.86,62400
2017-10-26,100,102.38,100,101.67,49600
2017-10-27,101.14,102.86,100.95,101.71,40000
2017-10-30,99.05,103.62,99.05,103.33,44800
2017-10-31,105.14,124,104.76,124,302400
2017-11-01,134.95,144.67,126.86,130.71,342400
2017-11-02,132.38,133.67,122.95,124.57,65600
2017-11-03,122.43,125.62,117.14,123.71,68800
2017-11-06,126.67,128.43,112.86,113.62,78400
2017-11-07,115.14,120.48,111.71,114.24,40000
2017-11-08,108.57,114.1,108.57,110.33,48000
2017-11-09,108.24,116.1,108.24,113.67,56000
2017-11-10,111.52,116.67,110.52,111.9,24000
2017-11-13,111.9,115.71,111.43,113.1,35200
2017-11-14,117.05,117.1,111.71,115.52,14400
2017-11-15,113.33,114.29,111.57,112.38,12800
2017-11-16,110.95,111.43,109.52,109.9,27200
2017-11-17,114.24,118.05,111.67,113.29,120000
2017-11-20,115.24,118.86,115.24,116.19,43200
2017-11-21,120.29,120.29,118.95,119.33,35200
2017-11-22,117.38,133.33,117.38,131.14,100800
2017-11-23,134.29,142.67,131.43,135,105600
2017-11-24,139.05,142.48,132.38,133.33,41600
2017-11-27,136.19,136.19,132.38,132.38,17600
2017-11-28,132.38,156.95,132.38,145,248000
2017-11-29,146.67,165.71,146.57,162.71,171200
2017-11-30,161.9,193.14,161.9,187.43,292800
2017-12-01,195.05,206.14,181.43,184.71,164800
2017-12-04,182.19,194.57,182.19,182.86,44800
2017-12-05,183.76,185.71,177.62,184.9,59200
2017-12-06,180.29,185.71,176.19,177.14,28800
2017-12-07,176.19,178.1,174.29,174.38,35200
2017-12-08,176.14,177.14,173.81,173.81,8000
2017-12-11,177.14,177.14,167.71,170.19,25600
2017-12-12,168.33,169.71,167.76,168.43,27200
