Date,Open,High,Low,Close,Volume
2002-01-01,2.79,2.79,2.79,2.79,50
2002-01-15,2.79,2.79,2.79,2.79,550
2002-01-16,2.92,2.92,2.92,2.92,50
2002-01-17,2.95,2.95,2.95,2.95,50
2002-01-21,2.97,2.97,2.97,2.97,200
2002-01-23,3.11,3.11,3.11,3.11,1
2002-02-06,3.05,3.19,3.05,3.05,1800
2002-02-07,3.19,3.19,3.05,3.05,1000
2002-02-08,3.11,3.11,3.11,3.11,50
2002-02-11,3.19,3.21,3.19,3.19,500
2002-02-12,3.21,3.21,3.19,3.19,800
2002-02-13,3.32,3.32,3.32,3.32,110
2002-02-14,3.45,3.45,3.45,3.45,90
2002-02-15,3.58,3.61,3.58,3.61,900
2002-02-18,3.77,3.77,3.72,3.77,600
2002-02-20,3.72,3.72,3.72,3.72,300
2002-02-21,3.66,3.85,3.66,3.74,450
2002-02-25,3.72,3.72,3.72,3.72,100
2002-03-11,3.72,3.74,3.72,3.72,500
2002-03-12,3.74,3.88,3.74,3.88,78
2002-03-13,3.98,3.98,3.77,3.9,1752
2002-03-14,3.8,3.93,3.8,3.93,120
2002-03-15,3.93,3.93,3.9,3.9,550
2002-03-18,3.82,3.82,3.82,3.82,429
2002-03-19,3.69,3.8,3.69,3.8,367
2002-03-20,3.72,3.77,3.72,3.72,5400
2002-03-21,3.72,3.72,3.72,3.72,490
2002-03-22,3.72,3.74,3.72,3.72,450
2002-03-26,3.72,3.72,3.72,3.72,12
2002-03-27,3.72,3.88,3.72,3.72,329
2002-04-03,3.72,3.72,3.72,3.72,9
2002-04-08,3.74,3.74,3.74,3.74,5
2002-04-09,3.74,3.74,3.74,3.74,150
2002-04-10,3.98,3.98,3.98,3.98,300
2002-04-11,4.35,4.51,4.35,4.51,1550
2002-04-12,4.51,4.99,4.51,4.54,502
2002-04-15,4.7,4.7,4.67,4.67,481
2002-04-16,4.67,4.99,4.67,4.99,910
2002-04-17,5.31,5.52,5.04,5.31,1652
2002-04-18,4.51,5.07,4.51,5.04,651
2002-04-19,4.57,5.55,4.57,5.47,505
2002-04-22,4.83,4.83,4.7,4.78,353
2002-04-23,4.78,5.04,4.49,4.49,310
2002-04-24,4.35,5.02,4.3,4.38,703
2002-04-25,4.75,4.83,4.75,4.78,346
2002-04-26,5.55,5.55,4.51,4.54,204
2002-04-29,4.3,5.31,4.3,4.62,351
2002-04-30,4.25,5.04,4.25,5.04,401
2002-05-02,5.31,5.31,4.83,4.99,1100
2002-05-03,5.04,5.31,5.04,5.31,300
2002-05-06,5.44,5.71,5.36,5.5,1790
2002-05-07,5.58,5.76,5.52,5.76,1350
2002-05-08,5.84,6.37,5.71,5.87,3255
2002-05-09,6.61,7.04,6.61,7.04,2000
2002-05-10,7.43,7.94,6.53,6.74,6244
2002-05-13,7.43,8.1,7.04,7.91,10159
2002-05-14,8.36,9.16,8.34,8.74,10949
2002-05-15,10.3,10.33,7.2,7.75,12249
2002-05-16,7.78,8.5,7.57,8.2,7200
2002-05-17,7.94,8.2,7.43,8.04,2750
2002-05-20,6.9,7.04,6.5,6.58,1700
2002-05-21,5.87,6.11,5.84,5.84,750
2002-05-22,6.69,6.69,6.24,6.58,250
2002-05-23,6.85,6.85,5.97,6.16,1050
2002-05-24,6.9,7.41,6.9,7.17,1150
2002-05-27,8.5,8.5,7.25,7.38,1213
2002-05-28,7.75,7.75,7.17,7.17,225
2002-05-29,7.17,7.17,6.45,6.8,2100
2002-05-30,7.65,7.65,6.08,6.08,75
2002-05-31,7.04,7.06,6.16,6.35,1065
2002-06-03,5.87,7.17,5.87,6.24,101
2002-06-04,5.68,6.64,5.68,6.64,500
2002-06-05,6.74,6.9,6.74,6.9,400
2002-06-06,7.35,7.35,6.64,6.9,525
2002-06-07,6.43,6.9,6.43,6.9,460
2002-06-10,6.11,6.64,6.11,6.4,251
2002-06-11,6.13,6.64,6,6.43,1021
