Date,Open,High,Low,Close,Volume
2024-04-23,121.3,127.35,120,127.35,769200
2024-04-24,130,133.7,121,122.35,147600
2024-04-25,117.05,128.45,117.05,123.5,127200
2024-04-26,123.45,123.45,117.35,117.35,19200
2024-04-29,111.5,111.5,111.5,111.5,6000
2024-04-30,105.95,105.95,105.95,105.95,4800
2024-05-02,105.95,105.95,100.65,100.7,85200
2024-05-03,103,103.5,95.7,98.25,109200
2024-05-06,93.6,96,93.35,93.35,18000
2024-05-07,90.6,94,88.7,88.85,54000
2024-05-08,88.5,106.6,88.5,95.1,93600
2024-05-09,92,92,83.2,84.4,32400
2024-05-10,79.55,84.15,79.55,83,24000
2024-05-13,83,84,82,83,13200
2024-05-14,83,83,81.5,81.5,6000
2024-05-15,79.95,81,76,76.5,15600
2024-05-16,77.05,81,77.05,79.75,7200
2024-05-17,81.9,84,81.9,82.2,8400
2024-05-18,82,86.3,82,84.15,9600
2024-05-21,90.95,90.95,85,85,15600
2024-05-22,88.95,88.95,80,82.85,18000
2024-05-23,82.5,82.5,81,81,8400
2024-05-27,78,78,71.1,75.65,14400
2024-05-28,74,74,67.5,68.5,49200
2024-05-29,71,73.5,68.5,68.5,7200
2024-05-30,68,68,60.5,61.6,21600
2024-05-31,60,60,57.25,59.2,24000
2024-06-03,59.3,67.95,59.3,66.35,18000
2024-06-04,67,67,58,66,7200
2024-06-05,59.5,65,59.5,61.05,6000
2024-06-06,67.5,67.5,66.8,66.8,9600
2024-06-07,66.8,70.5,66.8,70.5,3600
2024-06-10,65,65,65,65,30000
2024-06-11,65,70.25,65,68.2,18000
2024-06-12,68.1,68.1,66.05,66.05,4800
2024-06-13,66.1,74,66.1,73.75,31200
2024-06-18,72.55,78.25,70.1,75.4,18000
2024-06-19,78,78.2,75.5,75.5,13200
2024-06-20,75.5,79.95,75.5,76,8400
2024-06-21,76.05,79.75,76.05,77.9,2400
2024-06-24,78,78,73,73,3600
2024-06-26,73,77.5,73,77.5,7200
2024-06-27,68.5,69,68.5,68.75,2400
2024-06-28,70,70,70,70,1200
2024-07-01,77,77,77,77,1200
2024-07-02,77,80,76,79,36000
2024-07-03,77.5,77.5,77.5,77.5,1200
2024-07-04,70.1,80,70.1,78.95,4800
2024-07-05,77.4,81.9,75.25,80,15600
2024-07-09,79,89,79,87.65,16800
2024-07-10,89.9,95,89.9,91,7200
2024-07-15,88.55,88.55,88.55,88.55,1200
2024-07-16,88,88,84.15,84.15,13200
2024-07-18,80,80,79.95,79.95,2400
2024-07-19,76,76,75.95,75.95,2400
2024-07-22,73.9,74,72.15,72.15,8400
2024-07-23,72,72,72,72,1200
2024-07-24,68.4,68.4,68.4,68.4,1200
2024-07-25,69,71.8,69,71.8,2400
2024-07-30,71.8,71.8,68.25,69,3600
2024-07-31,71.4,71.4,71.4,71.4,3600
2024-08-01,74.9,74.95,74.9,74.95,97200
2024-08-02,78.65,78.65,78.65,78.65,2400
2024-08-05,82.55,82.55,82.4,82.55,16800
2024-08-06,78.45,86.65,78.45,85,14400
2024-08-07,80.75,89.25,80.75,89.25,44400
2024-08-08,93.7,93.7,89.05,93.35,31200
2024-08-09,96.15,98,89.6,98,49200
2024-08-12,93.1,102.9,93.1,101,15600
2024-08-13,102.7,102.7,95.95,96,15600
2024-08-14,96,96,96,96,1200
2024-08-16,93,93,92,92,2400
2024-08-19,91,91,90,90,2400
2024-08-21,87,90,87,90,4800
2024-08-23,86.1,86.1,86.1,86.1,1200
2024-08-26,90.4,90.4,90.4,90.4,2400
2024-08-27,94.5,94.9,94.5,94.9,8400
2024-08-28,95,95,93,93,3600
2024-08-29,95,95,91,91,3600
2024-08-30,89.5,89.5,89,89,3600
2024-09-02,93.45,93.45,93.45,93.45,1200
2024-09-03,93.45,93.45,89,89,2400
2024-09-04,84.6,86,84.55,86,3600
2024-09-05,89,89,89,89,2400
2024-09-09,85,85,84.55,84.55,3600
2024-09-10,87.55,87.55,87.55,87.55,3600
2024-09-12,83.35,83.35,83.35,83.35,1200
2024-09-13,87.15,87.15,83.6,85.35,2400
2024-09-18,89.45,89.55,89.45,89.55,2400
2024-09-19,85.2,85.2,85.1,85.1,2400
2024-09-23,85.05,85.05,85.05,85.05,1200
2024-09-24,80.9,89.1,80.9,89.1,4800
2024-09-25,89.1,91,89,91,7200
2024-09-26,93.95,95.55,93.95,95.55,10800
2024-09-27,100.3,100.3,100,100.3,13200
2024-09-30,100,102,96.6,96.6,4800
2024-10-01,92.05,94,92,93.5,24000
2024-10-03,89.1,89.1,89.1,89.1,1200
2024-10-04,85.2,85.2,85.15,85.15,2400
2024-10-07,85.15,89,81.1,84.05,13200
2024-10-08,84.15,84.15,81,81,2400
2024-10-10,85.05,85.05,85.05,85.05,21600
2024-10-14,81.5,81.5,81.5,81.5,1200
2024-10-15,81.5,81.5,81.5,81.5,2400
2024-10-17,79.55,79.55,79.55,79.55,1200
2024-10-21,81,81.95,81,81,3600
2024-10-22,81.5,81.5,81.5,81.5,1200
2024-10-23,78.25,78.25,78.25,78.25,2400
2024-10-24,78,78,78,78,1200
2024-10-25,77,78,77,78,2400
2024-10-28,80.75,81.5,80.75,81.5,2400
2024-10-29,79,79,79,79,1200
2024-10-30,77.25,77.25,77.25,77.25,1200
2024-10-31,81,81,80,80,2400
2024-11-01,79,79,79,79,1200
2024-11-04,77.95,77.95,77.95,77.95,1200
2024-11-05,81.8,81.8,81.8,81.8,1200
2024-11-06,85.85,85.85,85.85,85.85,2400
2024-11-07,90.1,90.1,90.1,90.1,1200
2024-11-08,94.6,94.6,90.1,90.1,18000
2024-11-11,90,90,90,90,1200
2024-11-13,85.5,85.7,85.5,85.7,3600
2024-11-18,86,86,86,86,1200
2024-11-21,85,85,85,85,25200
2024-11-28,84.5,84.5,84.5,84.5,1200
2024-11-29,85,85,85,85,1200
2024-12-02,89.25,89.25,89.25,89.25,3600
2024-12-03,89.25,89.25,89.25,89.25,1200
2024-12-09,85.1,85.1,85.1,85.1,1200
2024-12-10,89,89,88.5,88.5,2400
2024-12-12,84.7,84.7,84.7,84.7,1200
2024-12-13,84.7,84.7,83.5,83.5,2400
2024-12-17,82.6,82.6,82.5,82.5,2400
2024-12-18,86.6,86.6,86.6,86.6,1200
2024-12-19,86.6,86.6,86.6,86.6,1200
2024-12-23,86.6,87.3,86.6,87.3,2400
2024-12-24,86.85,86.85,86.85,86.85,1200
2024-12-26,86.4,86.4,83.1,83.1,6000
2025-01-07,87.2,87.2,84.5,84.5,2400
2025-01-08,86,86,85,85,2400
2025-01-09,86.4,86.4,83.5,83.5,51600
2025-01-10,85.05,86.4,85,85,4800
2025-01-13,84,84,84,84,1200
2025-01-14,84,84,84,84,14400
2025-01-20,88,88,88,88,1200
2025-01-21,91.5,91.5,91.5,91.5,1200
2025-01-22,87.35,87.35,86.95,86.95,10800
2025-01-23,88.75,88.75,88.75,88.75,1200
2025-01-24,89,89,89,89,1200
2025-01-27,92.25,92.25,89.5,89.5,2400
2025-01-28,89,89,89,89,4800
2025-01-29,90,92,90,91.65,3600
2025-01-30,92,92,92,92,1200
2025-01-31,88,88,88,88,1200
2025-02-01,89,89,89,89,1200
2025-02-03,88,88,86,86,2400
2025-02-06,90.3,90.3,90.3,90.3,2400
2025-02-07,88.75,88.75,88.75,88.75,1200
2025-02-10,88.75,88.75,88.75,88.75,1200
2025-02-11,90,90,90,90,1200
2025-02-13,89.75,89.75,89.75,89.75,1200
2025-02-14,92.15,92.15,92.15,92.15,1200
2025-02-17,92.1,92.1,92.1,92.1,1200
2025-02-18,89.5,89.5,88.3,88.3,2400
2025-02-20,92.2,92.2,92.2,92.2,1200
2025-02-21,92.2,92.2,92.2,92.2,1200
2025-02-24,92.2,92.2,88.25,88.65,3600
2025-02-25,92,92,92,92,1200
2025-02-27,90,90,87.4,87.4,26400
2025-02-28,87.25,87.25,83.05,83.05,40800
2025-03-03,83.6,85,82.3,82.5,14400
2025-03-04,83,83,83,83,1200
2025-03-06,84,84,84,84,1200
2025-03-07,85,85,84.1,84.1,4800
2025-03-11,88,88,88,88,1200
2025-03-13,91.7,92,91.7,92,2400
2025-03-17,92,93,92,93,3600
2025-03-18,95.5,97.65,95.5,97.65,2400
2025-03-19,97.65,100,97.65,100,2400
2025-03-20,102,102,101,101,13200
2025-03-21,102.9,102.9,102.9,102.9,1200
2025-03-24,102,103,102,103,3600
2025-03-25,99.1,99.1,99.1,99.1,6000
2025-03-26,99.25,99.25,99.25,99.25,1200
2025-03-27,98.35,100,98.35,100,3600
2025-03-28,98.65,98.65,98.65,98.65,1200
2025-04-01,98.6,98.6,98.6,98.6,1200
2025-04-04,96.1,96.1,96.1,96.1,1200
2025-04-07,92.1,92.1,91.3,91.4,7200
2025-04-09,91.3,91.3,91.3,91.3,1200
2025-04-21,90.55,90.55,90.55,90.55,1200
2025-04-23,95.05,95.05,95.05,95.05,1200
2025-04-24,99.8,99.8,99.8,99.8,2400
2025-04-25,104.75,104.75,104.75,104.75,1200
2025-04-28,104,104,102,103.85,9600
2025-04-29,103.85,103.85,103.85,103.85,1200
2025-04-30,103.5,103.5,103.5,103.5,1200
2025-05-05,101.5,107,100.5,104.8,7200
2025-05-06,104.3,104.3,104.3,104.3,1200
2025-05-09,104,108,104,108,6000
2025-05-12,105,113.4,105,113.4,177600
2025-05-13,118.75,119.05,113,119,37200
2025-05-14,118,119,115,115.5,63600
2025-05-15,118.7,118.9,113,114.95,30000
2025-05-16,116.75,116.75,109.5,110.25,31200
2025-05-20,111.55,111.55,111.55,111.55,1200
2025-05-21,112.55,112.7,112.55,112.7,2400
2025-05-22,114.6,114.6,114.6,114.6,1200
2025-05-26,110,113.95,108.9,113.95,7200
2025-05-27,116,116,111,111.85,30000
2025-05-28,114.8,114.8,114.8,114.8,1200
2025-05-29,114.7,114.7,114.7,114.7,1200
2025-05-30,115.05,118.6,112,117,524400
2025-06-02,114.6,114.6,112,114,20400
2025-06-04,114.5,114.5,114.5,114.5,12000
2025-06-05,115,115,115,115,1200
2025-06-06,115,115,114,114,4800
2025-06-09,117.4,117.4,117.4,117.4,1200
