Date,Open,High,Low,Close,Volume
2025-06-03,141,148.05,135.2,148.05,1189000
2025-06-04,147.9,155.45,147.9,154.65,273000
2025-06-05,162.35,162.35,156,161.1,181000
2025-06-06,155.75,163.4,153.1,154.7,194000
2025-06-09,154,162.4,154,161.55,102000
2025-06-10,158.15,169.6,158.15,169.6,100000
2025-06-11,173,178.05,171.1,178.05,115000
2025-06-12,183.95,186.95,173,180,109000
2025-06-13,171.35,183,171,172,54000
2025-06-16,168.65,180.6,166.4,180.2,65000
2025-06-17,178,187.2,176.2,177.9,83000
2025-06-18,181.6,185.95,176.15,183.7,78000
2025-06-19,179.3,183.85,175,181.15,28000
2025-06-20,181.15,181.15,172.55,175.7,34000
2025-06-23,166.2,178,166,175,37000
2025-06-24,175.3,179.5,167.05,171,20000
2025-06-25,169.5,169.5,166.05,167.05,30000
2025-06-26,166,168.95,165,166,20000
2025-06-27,164.5,166.3,158.2,164.9,31000
2025-06-30,165,172,165,168,10000
2025-07-01,165.1,165.1,152.2,158.2,82000
2025-07-02,157,158,152,153.25,61000
2025-07-03,152,158,125.4,155.65,73000
2025-07-04,153,162,153,160.15,32000
2025-07-07,160,168,153.6,154,29000
2025-07-08,153,153.4,147.4,150.5,14000
2025-07-09,151,162.9,151,156.15,44000
2025-07-10,156.15,163.9,156.1,162.45,22000
2025-07-11,165,165,157.1,158.3,29000
2025-07-14,158.3,158.3,153,155.1,9000
2025-07-15,159,159,154,156.75,31000
2025-07-17,154,167.7,153,160.3,38000
2025-07-18,161,162,160,161.05,14000
2025-07-21,161,161,150.35,159,15000
2025-07-22,157.5,157.5,156,156.75,7000
2025-07-23,153,156,152.6,154.35,28000
2025-07-24,155,155.6,153,153,6000
2025-07-25,153.55,154.9,153.05,153.05,5000
2025-07-28,153,154.95,150,150.25,12000
2025-07-29,151.2,151.2,150,150.05,18000
2025-07-30,151,151.95,150,150,12000
2025-07-31,154.75,154.8,153.95,154.7,14000
2025-08-01,154.8,160,154.8,159.9,19000
2025-08-04,169,170,163.05,164.4,43000
2025-08-05,167,168,161,161.05,17000
2025-08-06,156,156,156,156,2000
2025-08-07,161,161,152.15,159.25,24000
2025-08-08,158.5,160,155.5,159.5,12000
2025-08-11,157.5,159.45,154.4,154.4,22000
2025-08-12,151,154.85,150,150.9,17000
2025-08-13,156.75,160,150,154.2,42000
2025-08-14,158,159.8,154,154.65,26000
2025-08-18,154.65,158.6,154.65,158.6,2000
2025-08-19,154.1,154.1,154.1,154.1,1000
2025-08-20,158.95,160,155.85,155.85,14000
2025-08-21,155,158,155,158,3000
2025-08-22,157.45,157.5,156,156,12000
2025-08-25,155.4,155.4,151.4,151.4,2000
2025-08-26,151.55,151.55,150,150,11000
2025-08-28,150,151,149.8,149.9,16000
2025-08-29,149,149,149,149,2000
2025-09-01,148,149.45,147,147,7000
2025-09-02,148,148,143,146.2,12000
2025-09-03,145.4,151,139.05,148.85,58000
2025-09-04,145.05,150,143,148.5,29000
2025-09-05,150,150,149.9,149.9,13000
2025-09-08,145.6,148.95,145.5,148.95,3000
2025-09-09,152.9,152.9,145.05,149,9000
2025-09-10,149,149,149,149,1000
2025-09-11,146.05,148.3,145,147.4,16000
2025-09-12,148.5,148.5,142.75,143,32000
2025-09-15,145,149.9,142.6,145,8000
2025-09-16,145,149.5,145,149.15,36000
2025-09-17,146.1,149.9,146.1,149.9,5000
2025-09-18,153.1,153.1,149.4,150.4,10000
2025-09-19,153.45,170,150.2,162.65,45000
2025-09-22,163.5,165,155,155.85,46000
2025-09-23,156.95,161.1,154.3,155.15,15000
2025-09-24,159.8,159.8,152,152,7000
2025-09-25,154.95,159,154.95,158.35,5000
2025-09-26,156,158.8,148,152.25,7000
2025-09-29,157,157,148.4,150,45000
2025-09-30,150,156.9,149.95,150,81000
2025-10-01,150,150,150,150,12000
2025-10-03,151,157,151,157,16000
2025-10-06,155,161,155,160.5,26000
2025-10-07,158,162.5,156.95,157.65,54000
2025-10-08,165.8,165.9,160,160,15000
2025-10-09,162,162,162,162,3000
2025-10-10,162.25,162.25,158,158,8000
2025-10-13,158,158,156.15,156.15,2000
2025-10-14,158,158,155.1,157,5000
2025-10-15,157,157,154,154,6000
2025-10-17,154,154,128,151.6,22000
2025-10-20,150,150,150,150,1000
2025-10-21,148,150.05,148,150.05,2000
2025-10-23,150.1,151,144.05,147.1,17000
2025-10-24,147.1,157.9,147.1,157.9,3000
2025-10-27,148.05,154.95,144.6,154.95,12000
2025-10-28,148,150,148,150,12000
2025-11-04,152,157,152,154.2,250000
2025-11-06,155,156,153,153,8000
2025-11-07,155.9,155.9,152,152,4000
2025-11-10,153.5,153.5,152,153.1,5000
2025-11-11,154,154,150,152,39000
2025-11-12,151.05,164,151.05,160,53000
2025-11-13,158,158,157,158,24000
2025-11-14,158,165,156.05,159.15,44000
2025-11-17,164.95,168.1,160,165,22000
2025-11-18,165,165,160,162,6000
2025-11-19,162,169.8,162,168.25,37000
2025-11-20,171,171,165,167.75,7000
2025-11-21,167.75,169,160,160,11000
2025-11-24,161,161,160,161,5000
2025-11-25,161,161,160.5,161,9000
2025-11-26,161,161.1,154.75,157.1,32000
2025-11-27,160,160,157.05,159,7000
2025-11-28,159.9,160,159.9,160,2000
2025-12-01,160,160,160,160,1000
2025-12-02,159.5,164,152.95,154.35,16000
2025-12-03,153,154.5,147,149.05,11000
2025-12-04,151.15,154.3,151.15,151.5,3000
2025-12-05,150,151.5,148.25,150.65,5000
2025-12-08,147.8,147.8,140.15,145.25,31000
2025-12-09,140.05,148,140.05,148,8000
2025-12-10,148,152,148,152,43000
2025-12-11,151.85,152,151.85,152,2000
2025-12-12,150.65,151.95,150.65,151.95,5000
2025-12-15,147.5,147.5,147,147,3000
2025-12-16,143,143,143,143,2000
2025-12-17,145,145,145,145,11000
2025-12-18,151,155,148.2,154.9,9000
2025-12-19,158.9,159,154,154,6000
2025-12-22,150,150,150,150,1000
2025-12-23,150,150,150,150,1000
2025-12-26,158,158,154.8,154.8,2000
2025-12-29,154.8,154.8,143.25,151.5,5000
2025-12-30,144.6,145.6,142,144.2,38000
2025-12-31,142,147,142,147,5000
2026-01-01,141.25,143.2,141.25,142.4,7000
2026-01-02,152,153,147.5,149.8,8000
2026-01-05,150.5,150.5,150.5,150.5,1000
2026-01-06,142.2,150.9,142.2,150.3,17000
2026-01-07,153.45,159.7,153.45,155.05,21000
2026-01-08,155,155,143.5,143.5,7000
2026-01-09,143,143,143,143,2000
2026-01-12,142,143,142,143,3000
2026-01-13,145,145,145,145,34000
2026-01-14,145,145,141.95,142.05,8000
2026-01-16,140,142.05,136.2,138.7,4000
2026-01-19,135.05,143,135.05,143,4000
2026-01-20,138,142.95,138,142.95,2000
2026-01-21,142,142,142,142,1000
2026-01-22,143,145,143,145,3000
2026-01-23,145,145,133.15,144,6000
2026-01-27,138,138,135,135,3000
2026-01-28,142.8,142.8,142.8,142.8,1000
2026-01-30,142.8,142.8,142.8,142.8,2000
2026-02-03,144,144,130,135.45,50000
2026-02-04,133,138.4,133,137.4,6000
2026-02-05,131,138,131,136.5,13000
2026-02-06,135,135,132.2,134.35,5000
2026-02-09,139,142.45,137,142.2,13000
2026-02-10,142.45,143.85,141.5,143,20000
2026-02-11,143,153,143,150.9,96000
2026-02-13,156.9,156.9,145,149.95,25000
