Date,Open,High,Low,Close,Volume
2003-09-05,13.42,13.8,13.42,13.57,45642
2003-09-08,13.98,14.18,13.53,13.66,160040
2003-09-09,13.78,13.98,13.48,13.55,89209
2003-09-10,13.25,13.78,13.25,13.54,53394
2003-09-11,14.34,15.16,14.3,14.93,823341
2003-09-12,15,15.39,14.4,14.66,445694
2003-09-15,14.8,14.8,13.96,14.34,154561
2003-09-16,14.05,14.57,14.01,14.45,108979
2003-09-17,14.5,14.9,14.26,14.36,98109
2003-09-18,13.85,14.98,13.8,14.87,469739
2003-09-19,15.02,15.2,13.91,14.44,411812
2003-09-22,14.8,14.85,14.11,14.38,254958
2003-09-23,14.74,14.8,14.14,14.28,77126
2003-09-24,14.55,14.56,14.11,14.23,96804
2003-09-25,14.6,15.4,14.6,14.92,551060
2003-09-26,15.25,15.4,15.1,15.16,162713
2003-09-29,15.37,15.76,15.2,15.66,191755
2003-09-30,15.78,15.78,15.4,15.64,148611
2003-10-01,15.84,16.94,15.42,16.82,836239
2003-10-03,17.4,17.98,16.9,17.75,724092
2003-10-06,18,18.4,17.2,17.85,490591
2003-10-07,18.06,18.16,16.85,16.98,333239
2003-10-08,17.24,17.49,16.86,17.24,160978
2003-10-09,17.4,17.7,17.1,17.15,113044
2003-10-10,17.48,19.3,17.48,18.68,755252
2003-10-13,19.02,21.92,18.8,21.4,1178561
2003-10-14,22.18,22.36,20.37,21.56,941735
2003-10-15,21.8,22.78,21.05,22.35,643676
2003-10-16,22.7,23.28,22.25,23.02,395764
2003-10-17,23.23,23.33,22.4,22.96,290730
2003-10-20,23.19,23.46,21.46,22.36,206612
2003-10-21,22.4,24.56,21.6,23.05,484439
2003-10-22,23.2,26.18,23.1,25.68,816092
2003-10-23,25.6,27,24.6,25.07,1159379
2003-10-24,25.2,25.8,23.4,24.3,432294
2003-10-25,25.3,25.38,24.4,24.92,93687
2003-10-27,25,25.1,23.22,23.62,156183
2003-10-28,23.9,23.9,22.06,22.36,136575
2003-10-29,23.7,24.17,22.71,23.31,310685
2003-10-30,23.94,25.4,23.41,24.5,352571
2003-10-31,24.73,25.58,24.6,25.03,231255
2003-11-03,25.19,27.42,25.19,26.46,468235
2003-11-04,26.53,29.38,25.78,28.9,782984
2003-11-05,29,29,27.06,27.32,391202
2003-11-06,27.59,28.6,27.42,27.9,255976
2003-11-07,28.14,29.2,27.93,28.53,300692
2003-11-10,28.6,32.62,27.85,31.19,289208
