Date,Open,High,Low,Close,Volume
2020-07-22,177.28,177.28,168.42,168.42,43238
2020-07-23,160,160,160,160,2587
2020-07-24,152.04,152.04,152.04,152.04,2077
2020-07-27,144.44,144.44,144.44,144.44,1969
2020-07-28,137.25,137.25,137.25,137.25,891
2020-07-29,130.39,130.39,130.39,130.39,3086
2020-07-30,123.89,133.98,123.89,123.89,240504
2020-07-31,121.16,129.9,117.73,117.97,173098
2020-08-03,114.38,117.64,112.09,112.21,57853
2020-08-04,107.02,117.81,107.02,117.81,65631
2020-08-05,123.69,123.69,120.91,123.69,72921
2020-08-06,128.67,129.86,123.69,129.86,111118
2020-08-07,133.98,133.98,125.81,131.65,89181
2020-08-10,134.72,138.07,130.72,136.07,120888
2020-08-11,138.72,138.72,130.72,131.29,54453
2020-08-12,130.23,130.72,125.81,127.86,51352
2020-08-13,127.86,130.72,123.4,126.39,32003
2020-08-14,126.39,129.82,123.77,124.47,40062
2020-08-17,118.26,122.95,118.26,118.26,101413
2020-08-18,118.3,124.14,112.74,123.24,80687
2020-08-19,123.36,127.86,118.54,126.14,56561
2020-08-20,123.77,130.72,121.32,129.86,72437
2020-08-21,132.35,136.31,128.71,136.31,165086
2020-08-24,143.09,143.09,143.09,143.09,48782
2020-08-25,150.24,150.24,136.64,141.54,206661
2020-08-26,143.05,143.09,137.29,141.74,85857
2020-08-27,145.01,145.01,135.62,137.37,43360
2020-08-28,142.15,142.15,132.35,137.5,43811
2020-08-31,138.97,139.46,130.63,130.63,49954
2020-09-01,130.55,131.53,124.18,126.55,23173
2020-09-02,129.78,132.84,125.81,132.23,28457
2020-09-03,132.23,135.54,125.65,132.14,24055
2020-09-04,133.17,133.17,125.57,128.47,24521
2020-09-07,125,130.72,125,126.47,29355
2020-09-08,123.36,127.86,123.36,123.98,57132
2020-09-09,122.63,124.14,119.69,122.75,34292
2020-09-10,122.14,125.81,122.14,124.34,26065
2020-09-11,120.91,127.94,120.91,125.08,17634
2020-09-14,126.71,131.33,125.2,130.88,61649
2020-09-15,133.98,133.98,130.72,132.27,37062
2020-09-16,132.43,133.17,128.35,131.82,46251
2020-09-17,131.98,133.08,127.45,129.04,30730
2020-09-18,129.9,131.94,125.85,127.04,20120
2020-09-21,126.26,129.9,121.32,121.85,33065
2020-09-22,125.81,125.81,118.87,121.32,38522
2020-09-23,120.99,127.37,116.01,119.28,45792
2020-09-24,118.46,120.75,114.58,117.97,18652
2020-09-25,118.46,118.46,114.7,116.46,44276
2020-09-28,120.09,122.26,116.83,121.57,21429
