Date,Open,High,Low,Close,Volume
2003-09-05,27.46,28.03,27.46,28.03,3865
2003-09-08,28.43,28.43,26.89,27.29,8350
2003-09-09,26.95,27.06,26.38,26.61,7274
2003-09-10,26.27,27.18,26.15,26.66,6715
2003-09-11,26.27,27.29,26.27,26.44,2074
2003-09-12,26.27,26.72,26.1,26.38,6701
2003-09-15,27.29,27.29,25.58,26.95,8435
2003-09-16,27.29,27.29,25.98,26.72,2898
2003-09-17,26.38,28.43,25.64,25.87,16822
2003-09-18,25.75,26.15,25.19,25.19,4650
2003-09-19,25.07,26.15,25.07,25.87,5065
2003-09-22,25.36,25.87,25.3,25.47,1750
2003-09-23,25.58,25.58,24.73,25.19,15610
2003-09-24,24.33,26.15,24.33,25.98,5830
2003-09-25,25.53,26.15,25.41,26.15,315
2003-09-26,25.19,28.26,25.13,26.89,7150
2003-09-29,30.47,30.47,25.36,26.78,8389
2003-09-30,25.7,27.23,25.7,26.78,1976
2003-10-01,26.55,27.29,26.44,26.72,3300
2003-10-03,27.29,27.52,26.21,26.95,13650
2003-10-06,26.61,27.29,26.15,26.44,6140
2003-10-07,26.21,27.29,26.21,26.44,2028
2003-10-08,26.72,27.18,25.64,25.93,7046
2003-10-09,27.18,27.18,25.7,25.98,9911
2003-10-10,26.66,26.95,25.58,25.75,16441
2003-10-13,26.32,26.66,25.58,25.81,16521
2003-10-14,26.27,26.66,25.7,25.81,4501
2003-10-15,26.15,26.15,25.47,25.64,8080
2003-10-16,27.23,27.23,25.58,26.1,6997
2003-10-17,25.75,25.98,25.07,25.19,6579
2003-10-20,27.18,27.18,24.67,24.96,4036
2003-10-21,26.04,26.04,24.45,24.45,2128
2003-10-22,25.87,25.87,24.73,24.73,2291
2003-10-23,24.16,25.3,23.88,25.07,3607
2003-10-24,24.79,25.02,24.73,24.73,600
2003-10-25,24.79,25.93,24.45,25.93,500
2003-10-27,24.22,24.33,24.16,24.28,2350
2003-10-28,24.67,24.84,24.67,24.79,2500
2003-10-29,24.73,25.3,24.67,25.24,2470
2003-10-30,25.47,26.15,25.47,25.87,3200
2003-10-31,25.19,26.27,25.19,25.58,1389
2003-11-03,25.81,25.87,25.41,25.7,4109
2003-11-04,25.87,25.87,25.47,25.87,2476
2003-11-05,25.36,25.58,24.9,25.02,22818
2003-11-06,25.02,26.38,24.28,25.87,9599
2003-11-07,25.13,26.55,25.13,25.58,3815
2003-11-10,26.15,26.15,24.22,26.1,22100
2003-11-11,23.31,23.77,22.61,23.56,10882
2003-11-12,24.02,24.62,22.61,23.41,16535
2003-11-13,23.46,23.72,22.91,23.46,5557
2003-11-14,23.66,23.66,23.11,23.16,2275
2003-11-15,22.86,23.56,22.86,23.56,1700
2003-11-17,23.11,24.92,23.11,23.87,9464
2003-11-18,23.61,23.87,23.11,23.41,11755
2003-11-19,23.56,23.61,23.11,23.51,1574
2003-11-20,22.86,23.36,22.71,22.81,4982
2003-11-21,22.11,22.96,21.91,22.91,3910
2003-11-24,22.86,24.62,22.61,24.37,16454
2003-11-25,22.11,26.93,22.11,26.03,36394
2003-11-27,27.63,28.89,26.43,28.24,77315
2003-11-28,29.79,29.9,27.78,27.94,24230
2003-12-01,28.14,28.64,25.93,26.78,29090
2003-12-02,25.27,27.73,25.27,26.18,7577
2003-12-03,27.63,27.63,26.08,26.93,7428
2003-12-04,26.98,27.13,26.23,27.13,11414
2003-12-05,26.98,27.13,26.13,26.18,14912
2003-12-08,25.72,26.63,25.67,26.38,3356
2003-12-09,27.13,28.94,26.63,28.29,27907
2003-12-10,29.09,30.5,28.04,28.24,29720
2003-12-11,29.14,29.14,26.48,28.24,40580
2003-12-12,24.12,28.89,24.12,28.19,17938
2003-12-15,28.24,28.64,28.14,28.54,21795
2003-12-16,28.19,29.04,28.19,28.89,12986
2003-12-17,29.14,31.15,28.39,29.95,65474
2003-12-18,31.15,31.15,29.84,30.15,24754
2003-12-19,30.25,30.5,29.44,30,20558
2003-12-22,30.15,30.95,29.74,30.5,25180
2003-12-23,30.15,32.16,30.15,30.4,26362
2003-12-24,30.95,30.95,29.9,30.35,16106
2003-12-26,31,31,29.95,30.35,18408
2003-12-29,30.45,31.15,30.25,30.6,31404
2003-12-30,30.4,30.95,30.35,30.4,19026
2003-12-31,30.45,30.75,30.35,30.6,21851
2004-01-01,32.01,32.01,30.4,31.3,29785
2004-01-02,31.65,33.36,31.2,32.91,100588
2004-01-05,33.66,34.92,30.7,31.1,89093
2004-01-06,31.85,32.06,29.14,29.39,30225
2004-01-07,28.14,29.54,28.14,29.29,12909
2004-01-08,29.14,29.64,28.89,29.24,17402
2004-01-09,29.19,30.15,28.84,28.99,11175
2004-01-12,27.28,28.14,27.28,27.63,10220
2004-01-13,27.63,28.59,27.58,27.73,8020
2004-01-14,29.14,30.15,28.14,29.09,8257
2004-01-15,29.39,29.54,28.14,28.29,27178
2004-01-16,27.63,27.63,26.83,26.88,7898
2004-01-19,24.62,27.94,24.62,26.78,3514
2004-01-20,26.53,27.13,26.38,26.53,8900
2004-01-21,27.63,27.63,24.32,24.67,12492
2004-01-22,23.11,25.78,23.11,25.27,3625
2004-01-23,26.88,26.88,24.12,25.42,5374
2004-01-27,25.47,26.33,25.47,26.13,1860
2004-01-28,25.22,25.67,25.22,25.32,2750
2004-01-29,23.36,25.02,23.36,25.02,2050
2004-01-30,24.82,25.37,24.57,24.62,9675
2004-02-03,24.62,25.12,23.87,24.12,4325
2004-02-04,22.71,25.83,22.71,24.42,6652
2004-02-05,24.37,25.37,24.37,25.17,4815
2004-02-06,26.63,26.63,24.92,25.62,6104
2004-02-09,25.62,26.23,25.62,25.62,4300
2004-02-10,25.22,26.13,25.22,26.03,4550
2004-02-11,26.13,30.15,25.83,26.33,6855
2004-02-12,26.38,26.78,25.83,26.78,2331
2004-02-13,25.88,27.13,25.62,26.08,6268
2004-02-16,25.72,26.53,25.72,26.08,13260
2004-02-17,26.13,26.88,25.78,25.88,6051
2004-02-18,25.88,26.83,25.78,26.53,17080
2004-02-19,27.58,27.58,25.78,25.78,9569
2004-02-20,25.47,25.78,25.47,25.72,4075
2004-02-23,25.67,25.67,24.72,25.22,12128
2004-02-24,23.87,25.12,23.87,24.77,3995
2004-02-25,24.37,25.88,24.37,25.12,4585
2004-02-26,23.61,25.12,23.61,24.57,2109
2004-02-27,24.27,24.87,24.27,24.87,16750
2004-03-01,24.52,24.52,24.37,24.37,1025
2004-03-03,25.07,25.22,24.67,24.67,1775
2004-03-04,24.47,24.62,24.47,24.47,1485
2004-03-05,24.47,24.47,24.12,24.22,2035
2004-03-08,24.62,24.62,24.22,24.22,650
2004-03-09,23.41,24.12,23.41,24.12,123
2004-03-10,26.13,26.13,24.22,24.32,1118
2004-03-11,23.61,24.32,22.71,24.27,3455
2004-03-12,23.11,24.07,23.11,23.61,625
2004-03-15,23.72,24.12,21.2,23.16,2027
2004-03-16,23.11,24.12,20.85,22.26,16008
2004-03-17,23.31,23.36,20.7,22.76,402
2004-03-18,23.11,24.22,22.71,23.46,6694
2004-03-19,23.11,23.61,23.11,23.61,400
2004-03-22,21.96,22.11,21.96,22.11,2000
2004-03-23,21.1,21.25,21.1,21.2,400
2004-03-24,22.36,22.36,22.11,22.21,550
2004-03-25,24.62,24.62,21.6,22.11,7951
2004-03-26,20.6,22.61,20.6,22.56,4075
2004-03-29,21.86,23.56,21.86,23.46,4424
2004-03-30,22.21,22.96,21.86,21.91,4404
2004-03-31,23.31,23.31,21.76,21.81,2900
2004-04-01,22.26,23.61,22.16,22.86,11128
2004-04-02,22.11,22.66,22.11,22.16,8945
2004-04-05,21.25,23.11,21.25,22.26,15050
2004-04-06,22.91,25.62,22.26,24.57,8220
2004-04-07,26.63,26.63,23.41,24.52,2125
2004-04-08,23.41,23.87,23.41,23.51,2450
2004-04-12,23.87,24.12,23.51,23.61,900
2004-04-13,23.51,24.12,23.11,24.07,1675
2004-04-15,24.22,24.37,23.41,23.56,2250
2004-04-16,23.26,23.97,23.26,23.66,3985
2004-04-17,23.46,23.61,23.46,23.61,50
2004-04-19,28.34,28.34,28.34,28.34,5515
2004-04-20,34.02,34.02,29.19,29.64,135866
2004-04-21,30.95,30.95,28.49,28.94,25482
2004-04-22,28.74,34.77,28.74,34.77,223575
2004-04-23,36.23,38.69,35.37,38.08,315182
2004-04-27,35.27,38.54,35.27,38.24,90291
2004-04-28,37.18,38.49,37.18,38.19,43890
2004-04-29,38.59,38.69,37.93,38.19,54986
2004-04-30,38.19,38.24,38.19,38.19,31400
2004-05-03,38.19,41,37.28,38.19,24083
2004-05-04,38.44,38.69,38.19,38.24,11208
2004-05-05,39.69,40.09,38.24,39.19,31050
2004-05-06,38.69,40.45,38.69,40.09,47994
2004-05-07,39.69,40.7,39.69,40.09,15476
2004-05-10,39.44,40.04,39.44,39.69,4875
2004-05-11,39.79,40.9,39.69,40.35,26145
2004-05-12,39.74,40.04,39.69,39.69,13350
2004-05-13,37.68,39.94,37.68,39.74,15385
2004-05-14,39.69,39.74,38.69,39.59,110879
2004-05-17,38.19,39.24,36.18,39.19,72228
2004-05-18,38.69,40.09,37.93,39.69,21092
2004-05-19,39.09,39.99,39.09,39.84,5500
2004-05-20,40.2,40.2,39.69,39.74,2950
2004-05-21,39.69,39.79,39.69,39.69,3394
2004-05-24,41.2,41.2,39.69,39.69,4950
2004-05-25,39.19,39.74,39.19,39.69,5275
2004-05-26,39.69,40.2,39.69,39.74,11800
