Date,Open,High,Low,Close,Volume
2016-04-04,9.65,9.95,9.38,9.49,7342816
2016-04-05,9.39,9.79,9.39,9.49,978410
2016-04-06,9.5,9.73,9.38,9.61,638351
2016-04-07,9.61,9.77,9.44,9.49,605201
2016-04-08,9.51,9.61,9.2,9.58,840724
2016-04-11,9.53,9.62,9.44,9.54,112561
2016-04-12,9.52,10.1,9.47,9.93,361824
2016-04-13,9.98,11.12,9.94,10.78,1694475
2016-04-18,10.8,10.88,10.36,10.49,302216
2016-04-20,10.61,10.8,10.37,10.54,329318
2016-04-21,10.67,10.67,10.37,10.56,316023
2016-04-22,10.48,10.78,10.44,10.52,82891
2016-04-25,10.53,10.63,10.5,10.56,404792
2016-04-26,10.56,11.17,10.56,10.8,763964
2016-04-27,10.82,11.06,10.72,10.97,619461
2016-04-28,10.99,11.23,10.76,10.83,576548
2016-04-29,10.88,11.04,10.72,10.91,624577
2016-05-02,10.95,11.16,10.76,11.06,670703
2016-05-03,11.16,11.44,10.91,11.08,738842
2016-05-04,11.1,11.25,10.87,10.93,651807
2016-05-05,10.97,11.03,10.78,10.87,620040
2016-05-06,10.87,11.07,10.7,10.91,675868
2016-05-09,10.99,11.44,10.37,10.86,649255
2016-05-10,10.96,10.99,10.65,10.82,626862
2016-05-11,10.69,10.8,10.65,10.71,616651
2016-05-12,10.78,10.78,10.46,10.63,606379
2016-05-13,10.61,10.72,10.25,10.62,716032
2016-05-16,10.76,10.9,10.55,10.82,711921
2016-05-17,10.78,10.91,10.69,10.82,662858
2016-05-18,10.82,10.85,10.69,10.8,688295
2016-05-19,10.8,10.82,10.5,10.67,697565
2016-05-20,10.48,10.71,10.23,10.46,754211
2016-05-23,10.86,10.94,10.57,10.85,688500
2016-05-24,10.78,11.13,10.75,10.96,688695
2016-05-25,10.99,11.2,10.91,11.07,787389
2016-05-26,11.08,11.16,11,11.11,783864
2016-05-27,11.12,11.18,10.97,11.08,786733
2016-05-30,10.78,13.29,10.78,11.44,1066575
2016-05-31,11.46,11.67,11,11.06,789356
2016-06-01,11.1,11.1,10.97,11.03,641521
2016-06-02,11.04,11.5,11.01,11.36,697763
2016-06-03,11.37,11.67,11.3,11.4,670943
2016-06-06,11.5,11.65,11.32,11.49,732563
2016-06-07,11.48,11.61,11.4,11.44,604085
2016-06-08,11.46,11.8,11.35,11.44,629828
2016-06-09,11.46,11.54,11.31,11.45,719424
2016-06-10,11.46,12.26,11.43,11.86,566377
2016-06-13,11.9,12.59,11.85,12.33,772695
2016-06-14,12.25,12.91,12.25,12.69,688133
2016-06-15,12.74,12.99,12.35,12.59,734640
2016-06-16,12.61,12.64,12.08,12.3,686857
2016-06-17,12.35,14.75,12.23,14.53,1276131
2016-06-20,14.14,15.12,13.76,14.87,1199947
2016-06-21,14.8,15.1,14.59,14.74,794580
2016-06-22,14.74,15.01,14.52,14.64,753666
2016-06-23,14.65,14.8,14.4,14.5,699446
2016-06-24,14.19,14.74,12.49,14.49,754171
2016-06-27,14.48,15.61,14.3,15.17,777419
2016-06-28,15.34,15.7,15.23,15.36,743040
2016-06-29,15.44,15.67,15.34,15.43,671927
2016-06-30,15.5,15.61,14.19,14.97,862350
2016-07-01,15.1,15.35,14.12,14.32,848133
2016-07-04,14.53,15.04,14.23,14.83,656917
2016-07-05,14.91,15.08,14.7,14.9,622271
2016-07-07,14.91,15.18,14.22,14.32,705956
