Date,Open,High,Low,Close,Volume
2025-02-17,165.1,173.35,165.1,173.35,3005600
2025-02-18,172,172,164.7,166.8,300800
2025-02-19,165,168.4,158.6,167.85,127200
2025-02-20,167.6,176.2,163,170.1,75200
2025-02-21,170,175,167,168.5,57600
2025-02-24,171.8,171.8,160.15,166.65,56800
2025-02-25,170,170,163.3,165.85,28800
2025-02-27,168.8,168.8,159,163.05,22400
2025-02-28,159,162.25,154.9,157.55,72800
2025-03-03,157.55,160.8,149.7,149.7,58400
2025-03-04,142.25,162.7,140,159.05,220000
2025-03-05,164.8,174.9,161,164.6,205600
2025-03-06,170.8,182.3,161.5,178.4,211200
2025-03-07,173.95,188,170.25,172.55,160800
2025-03-10,171,177,168,168.9,196000
2025-03-11,172.5,176.8,170.1,172,20800
2025-03-12,172,182.5,172,173.9,69600
2025-03-13,179.9,179.9,170,171.2,55200
2025-03-17,171.2,173.7,161,166.55,165600
2025-03-18,165,191,165,180.4,325600
2025-03-19,175,201.5,175,191.2,275200
2025-03-20,186.95,194.9,185,186,64000
2025-03-21,190,192.95,180,186.6,50400
2025-03-24,191.95,191.95,180.05,182.05,51200
2025-03-25,183,188.5,180,182,29600
2025-03-26,155.25,192.8,155.25,185.2,170400
2025-03-27,186.5,186.5,178.5,179.5,24800
2025-03-28,180,185,178.65,181,4000
2025-04-01,176.5,186.7,174,175.5,24800
2025-04-02,178.05,180,175.5,177,17600
2025-04-03,177.8,212.4,177,209.25,236000
2025-04-04,208,209.85,202.15,205.85,43200
2025-04-07,188,205,188,199,35200
2025-04-08,200.05,211,200.05,205.75,31200
2025-04-09,214.5,214.5,203.55,213.4,55200
2025-04-11,211,213.85,207.25,210.85,30400
2025-04-15,210.85,215.4,204.95,206.25,53600
2025-04-16,206.05,210,200,202.05,71200
2025-04-17,202.05,204,201,202,42400
2025-04-21,185.5,202.7,185.5,194.2,63200
2025-04-22,194,203.9,192,197.5,31200
2025-04-23,198,200,196,196,32000
2025-04-24,196,205,196,201.7,36000
2025-04-25,199,199,188.05,193.75,35200
2025-04-28,195.2,195.3,192,193.95,15200
2025-04-29,194,194.95,187.95,188.55,25600
2025-04-30,193.3,193.3,184,184,4800
2025-05-02,184,185.05,184,185.05,2400
2025-05-05,184.55,187,184.55,187,8000
2025-05-06,187,187,187,187,1600
2025-05-07,186.9,187,181.9,182,9600
2025-05-08,177.75,180.5,176.05,176.05,16800
2025-05-09,191,191,170,172.3,20800
2025-05-12,177.1,186,150.3,185,16000
2025-05-13,183,189,180,182.2,25600
2025-05-14,181,184.7,170,181.5,156000
2025-05-15,182,182,178,179,32000
