Date,Open,High,Low,Close,Volume
2024-07-31,98.9,103.8,93.95,103.8,2473600
2024-08-01,98.65,105,98.65,101.7,1088000
2024-08-02,97,99.4,96.65,96.65,513600
2024-08-05,91.85,91.85,91.85,91.85,12800
2024-08-06,87.25,88.85,87.25,87.25,216000
2024-08-07,83.05,85.65,82.9,82.9,403200
2024-08-08,84,84.75,78.75,78.85,307200
2024-08-09,81.95,82.75,76.15,82.5,246400
2024-08-12,81,83.2,79.55,82.65,54400
2024-08-13,82.95,84,79.05,82.3,78400
2024-08-14,85,85,78.75,78.85,62400
2024-08-16,80.9,87,80.9,86.25,252800
2024-08-19,86.25,87.95,84,85.45,144000
2024-08-20,85.1,85.1,81,81.8,113600
2024-08-21,82,86.05,82,82.8,128000
2024-08-22,81.5,84.4,81.3,82.25,56000
2024-08-23,83,83,80.1,81.5,59200
2024-08-26,81.5,83,80.05,80.3,121600
2024-08-27,79.75,85.8,79.75,82.95,92800
2024-08-28,83,83.5,80.1,80.65,70400
2024-08-29,80.8,81.8,75.75,76.5,96000
2024-08-30,76.65,85.8,76.65,83.95,216000
2024-09-02,85.5,93,83,90.75,524800
2024-09-03,89.55,106,84.75,100.9,1353600
2024-09-04,104.8,111,99.05,108.1,712000
2024-09-05,108.1,108.5,98,102.45,187200
2024-09-06,102.45,103.5,95.1,96.4,184000
2024-09-09,95,97,92,93.9,76800
2024-09-10,93.9,99,93.1,94.85,115200
2024-09-11,96.05,96.8,84.3,86.25,161600
2024-09-12,86.75,90.5,83.5,87.3,134400
2024-09-13,88.95,89.7,85.5,87.05,40000
2024-09-16,87.5,88,85.6,86.2,52800
2024-09-17,86.1,86.1,79,80.8,200000
2024-09-18,82.4,91.7,79,89.55,198400
2024-09-19,89,89,82,83.75,115200
2024-09-20,84,94.5,84,90.3,176000
2024-09-23,93.8,94.55,89.5,92.8,262400
2024-09-24,91.95,91.95,88.05,90.1,129600
2024-09-25,90,91,88.9,90,203200
2024-09-26,90,92.4,89.5,90,57600
2024-09-27,91,92.7,90.05,91.7,206400
2024-09-30,90,92.5,90,91,54400
2024-10-01,90.5,93.9,90.5,91.5,62400
2024-10-03,89,90.75,88.8,90.35,60800
2024-10-04,86.35,90,86.35,89,17600
2024-10-07,90,90,80.15,84.85,44800
2024-10-08,84.5,87,84.5,85,14400
2024-10-09,87,88.65,87,87.85,6400
2024-10-10,88.8,88.8,85,86.5,11200
2024-10-14,88,88,85.5,86.75,12800
2024-10-15,86.75,89.6,86.75,87,19200
2024-10-16,86,86,85.5,86,35200
2024-10-18,86,86,84.5,85,9600
2024-10-21,90,97,90,94.05,297600
2024-10-22,95,95,87.35,89.1,48000
2024-10-23,90.1,96.5,90.1,95.2,196800
2024-10-24,97.95,99.45,93,94,43200
2024-10-25,93,95.45,87.8,88.2,33600
2024-10-28,88.2,88.2,86.5,87,99200
2024-10-29,85.45,87,85.45,86.2,33600
2024-10-30,86.2,89.2,85.05,86.75,73600
2024-10-31,87,89,86,88.15,11200
2024-11-01,89.2,92,84,87.15,40000
2024-11-04,89.8,89.8,86,88,32000
2024-11-05,86.3,88,86.3,87.05,11200
2024-11-06,88,92.4,88,89.75,52800
2024-11-07,90.2,90.2,86.6,87.5,33600
2024-11-08,90,90,84,87.15,108800
2024-11-11,92,94.7,89.95,93.05,126400
2024-11-12,91,91,88.05,88.2,38400
2024-11-13,88.65,88.65,85.1,85.3,25600
2024-11-14,80,84,80,81.6,52800
2024-11-18,82,83,75.4,82.9,36800
2024-11-19,82.9,86,82.9,83.5,11200
2024-11-22,83,83,80.5,80.85,6400
2024-11-25,83,83,82,82.95,9600
2024-11-26,82.05,83,81.3,82,25600
2024-11-27,83.15,85.5,83.15,83.2,9600
2024-11-28,85.3,91.25,81.75,85.75,68800
2024-11-29,88.65,90,85,88.05,40000
2024-12-02,88.5,91.4,87.55,88.5,41600
2024-12-03,87,89.4,87,88.65,8000
2024-12-04,91,93.95,89.05,90.65,60800
2024-12-05,90.85,95.05,90.85,93.45,41600
2024-12-06,95,95.5,90.95,90.95,44800
2024-12-09,90.9,90.9,89,89.2,25600
2024-12-10,87.5,87.65,85.25,86.05,35200
2024-12-11,87.85,87.85,86.25,86.25,9600
2024-12-12,89,89.85,88.1,88.1,22400
2024-12-13,88.2,89.9,86.5,86.55,24000
2024-12-16,85.55,87,84.5,85.65,30400
2024-12-17,88.85,89.95,86.45,88,25600
2024-12-18,87.15,88.65,85,85.9,27200
2024-12-19,83.6,87,83.6,85.3,20800
2024-12-20,87.75,88,82,83.9,60800
2024-12-23,83.5,86.55,82,82.5,20800
2024-12-24,85.7,85.7,81.75,81.8,8000
2024-12-26,82,90,82,87.85,40000
2024-12-27,91,105,88.55,92.35,220800
2024-12-30,92,100,91.2,94.45,107200
2024-12-31,95,97.95,92.55,97.2,51200
2025-01-01,98,98.8,96.5,96.65,11200
2025-01-02,97.5,99.5,94,98.45,96000
2025-01-03,99.8,100,96,96.05,27200
2025-01-06,93.55,93.95,91,91.7,24000
2025-01-07,91.2,93.85,90,93.85,25600
2025-01-08,99.9,112.6,99.9,110.05,673600
2025-01-09,111.25,118,107.5,109.3,244800
2025-01-10,109.3,109.3,103,104.5,57600
2025-01-13,102,104.5,93.1,96.65,43200
2025-01-14,97.5,104.45,97.5,104,32000
2025-01-15,105,109,102.25,106,43200
2025-01-16,108,109,99,104.2,35200
2025-01-17,100.2,105,100.2,101.35,38400
2025-01-20,102.05,104.4,97.35,98.05,72000
2025-01-21,100.1,101.5,97.5,98.65,14400
2025-01-22,98,98,98,98,20800
2025-01-23,100,102.5,99.05,100.5,19200
2025-01-24,100.5,101.5,98.25,98.25,22400
2025-01-27,95,95,90.5,94,28800
2025-01-28,91.2,92,86.4,92,22400
2025-01-29,92.15,93.5,92.15,93.1,24000
2025-01-30,96,97.9,88,93.05,83200
2025-01-31,98.4,98.4,95,95.05,60800
2025-02-01,95.1,95.1,95.1,95.1,3200
2025-02-03,94.45,98,92.5,97,20800
2025-02-04,95,98,94,97.2,70400
2025-02-05,99.75,102.5,99,100.95,32000
2025-02-06,100,101.6,98.05,101.55,40000
2025-02-07,100.1,102,100.1,100.1,8000
2025-02-10,97.6,97.6,95.5,95.5,4800
2025-02-11,91.2,98.5,90.1,98.05,96000
2025-02-12,96.9,97.7,94.3,95.15,25600
2025-02-13,96,97.95,93.6,94.85,17600
2025-02-14,92,93,91.2,92.85,11200
2025-02-17,90.05,93.5,90.05,93.5,16000
2025-02-18,90.3,93,89.1,92.95,16000
2025-02-19,97.7,97.7,97.3,97.35,8000
2025-02-20,97,100,97,99.4,14400
2025-02-21,95.85,95.85,95.85,95.85,1600
2025-02-24,90.2,92,89.9,90.45,40000
2025-02-25,91,91,89,89,3200
2025-02-27,87.05,87.05,82.05,83,19200
2025-02-28,86,86,85.45,85.45,3200
2025-03-03,85.25,85.25,84,84,12800
2025-03-04,86.45,86.45,83.05,83.5,6400
2025-03-06,83.5,87,83.5,87,6400
2025-03-07,90,94.5,90,90,6400
2025-03-10,90,90,84.5,86.45,24000
2025-03-11,89,89,87,87,4800
2025-03-12,91,94.95,84,87.1,52800
2025-03-13,85.9,88.5,85.9,86.45,17600
2025-03-17,87,87,84,85.4,17600
