Date,Open,High,Low,Close,Volume
2025-08-14,195,198,185.25,186.9,2632800
2025-08-18,186,186,177.55,178.25,533600
2025-08-19,178,187.15,177,187.15,581600
2025-08-20,189.9,194,181.3,185.05,162400
2025-08-21,182,184,177,180,158400
2025-08-22,180,189,180,187.8,240800
2025-08-25,185.5,195,185.5,194.8,263200
2025-08-26,195,197.5,185.1,190.2,165600
2025-08-28,195,197.95,190,193.45,138400
2025-08-29,194.9,198.4,186.1,192,128000
2025-09-01,198,207,195.5,205.2,604000
2025-09-02,210,213.25,200,205.2,318400
2025-09-03,208.45,211.55,189,194,355200
2025-09-04,196,196,181,181.9,282400
2025-09-05,186.25,193,181,186.75,177600
2025-09-08,184.05,189.95,181.65,182.7,56800
2025-09-09,183,183.9,178.15,179.65,192000
2025-09-10,181.45,184.9,180,183.6,280000
2025-09-11,180.05,192.9,180.05,190.1,254400
2025-09-12,191,199.9,190,197.2,192000
2025-09-15,197.2,211.35,196,210.2,223200
2025-09-16,208.15,218,206,215.75,185600
2025-09-17,217.8,226.1,211,224.25,217600
2025-09-18,227.95,229,214,219,128000
2025-09-19,222,224.75,216,216.25,50400
2025-09-22,217.1,222,214,215.25,51200
2025-09-23,216.55,221.9,210,218.7,148800
2025-09-24,218,224.5,210,211.4,70400
2025-09-25,211.4,211.4,205.05,205.2,61600
2025-09-26,204.1,205,200.2,202.75,76800
2025-09-29,202.8,214,202.8,204.6,20800
2025-09-30,203.35,205.8,200.1,200.45,64000
2025-10-01,200.1,200.1,192.65,195.6,44000
2025-10-03,194,200.15,190,199.75,29600
2025-10-06,200,200,194.1,195.7,37600
2025-10-07,197.65,215.75,192.15,202.75,171200
2025-10-08,204.9,210.95,204.5,206.05,37600
2025-10-09,211.95,213,206,207.65,34400
2025-10-10,208.5,208.5,200,201.35,15200
2025-10-13,202.35,206.95,200.25,201.35,32000
2025-10-14,201.3,205.95,193.3,202.75,81600
2025-10-15,202.05,208.8,202.05,207.25,84800
2025-10-16,206.9,206.9,201.05,201.25,15200
2025-10-17,202.5,202.5,194,197.15,54400
2025-10-20,200,210,200,205.7,52000
2025-10-21,209,216,207,209.5,31200
2025-10-23,208,210,199,200.7,31200
2025-10-24,200.7,204,198,202.7,22400
2025-10-27,206.45,208,201.1,203.75,45600
2025-10-28,204.25,225,204.1,222.7,296800
2025-10-29,222.1,242,218.05,235.9,229600
2025-10-30,237,248.9,227.25,236.35,109600
2025-10-31,232.5,241.1,231,240.05,64800
2025-11-03,243.3,243.3,231.5,231.75,10400
2025-11-04,232,232,219,220.7,97600
2025-11-06,228,228,210,214.55,68000
2025-11-07,216,221,211.1,218.45,50400
2025-11-10,223,229.8,220,227.95,90400
2025-11-11,237,237,210.05,214.15,161600
2025-11-12,214,229,210,225.25,173600
2025-11-13,232,232,221.1,225.8,82400
2025-11-14,220,227.8,217.05,219.4,67200
2025-11-17,221.6,224.55,221.05,223.4,24800
2025-11-18,223,224.95,218,220.05,22400
2025-11-19,221,239,221,232.4,146400
2025-11-20,237,253,236.75,245.85,232800
2025-11-21,245,250.75,238,240.35,35200
2025-11-24,236,236,225.05,225.35,36800
2025-11-25,230,237.6,229.95,236.1,52000
2025-11-26,238.45,255,238.45,250.5,116000
2025-11-27,254.5,261.85,250.25,252.4,94400
2025-11-28,252.4,259,249,253.3,32800
2025-12-01,254.1,266.9,254.05,261.7,68800
2025-12-02,263,263,250,252.45,36800
2025-12-03,257.25,257.25,247,255.7,15200
2025-12-04,255,255,246.3,248.85,30400
2025-12-05,246.35,248,241.4,244.8,21600
2025-12-08,244.8,246.7,223.8,229.45,73600
2025-12-09,229.6,245,225.05,244.1,53600
2025-12-10,249.9,253.5,247,250,31200
2025-12-11,250,252.5,247.25,250.5,19200
2025-12-12,250.5,270,250.5,261.55,72800
2025-12-15,264.9,269.8,253.75,256.05,54400
2025-12-16,249.05,257.15,248,254.35,40800
2025-12-17,252,252,237,239.3,71200
2025-12-18,238.95,253.15,238,252.2,40800
2025-12-19,249,255.9,249,252.8,16800
2025-12-22,253,261.7,252.4,258,47200
2025-12-23,263.8,268.9,257.6,263.2,54400
2025-12-24,267,272.5,256,260.2,96000
2025-12-26,265,270,258,266.8,70400
2025-12-29,268.85,292.7,265,274.9,304000
2025-12-30,273,275,269,273.8,104800
2025-12-31,268.25,273,261.25,267.6,84000
2026-01-01,269,270,265,266.5,28800
2026-01-02,269,279.9,269,276.75,48800
2026-01-05,276,281.8,273.35,275.9,16800
2026-01-06,276,278.75,269,269.35,40800
2026-01-07,270,285,268,281.2,71200
2026-01-08,281.2,293,275,281.7,67200
2026-01-09,282.5,282.95,275,276.6,16000
2026-01-12,276.9,276.9,264.5,269.05,35200
2026-01-13,269,274.5,260.55,262.85,43200
2026-01-14,262.9,265,260.05,261.15,24000
2026-01-16,258.05,262.3,256.35,257.5,29600
2026-01-19,255,265,253.2,264.95,125600
2026-01-20,259.1,264,255,258.5,28000
2026-01-21,258.5,258.5,226,247.3,89600
2026-01-22,256.9,257.5,250,257.5,28800
2026-01-23,257.5,257.5,245.95,246,27200
2026-01-27,243.1,255,243.1,250,17600
2026-01-28,250,253,241.55,250.65,30400
2026-01-29,252.95,252.95,239.35,244.3,30400
2026-01-30,245.4,248,237.4,243.4,24800
2026-02-01,243.4,245,222.05,229.85,35200
2026-02-02,228.75,242,223.5,241.6,61600
2026-02-03,256,257,239.7,243.9,36800
2026-02-04,243.9,248.6,242.25,245,21600
2026-02-05,247.45,253,244.3,249.7,50400
2026-02-06,239,265,239,261.75,68800
2026-02-09,273.9,274,255.35,256.95,40000
2026-02-10,259,263,259,263,16000
2026-02-11,273,273,259,260,16800
2026-02-13,260,260,254.05,259.35,16000
