Date,Open,High,Low,Close,Volume
2025-09-05,229.07,240.52,217.61,235.45,136923
2025-09-08,239.9,247.22,239.9,247.22,28210
2025-09-09,259.58,259.58,252.16,259.58,32695
2025-09-10,272.55,272.55,246.6,252.41,64748
2025-09-11,241.8,251.8,239.78,240.48,58224
2025-09-12,233,252.5,233,252.5,15067
2025-09-15,265.12,265.12,265.12,265.12,19027
2025-09-16,269.9,269.9,260.25,261.65,16124
2025-09-17,258.11,258.8,252.5,256.87,18797
2025-09-18,257.98,269,254.99,266.76,12964
2025-09-19,277.8,320.11,277.8,295.04,399213
2025-09-22,290.9,295,257.05,264.63,225606
2025-09-23,262.97,292,257.43,274.65,172572
2025-09-24,277,297.7,272.42,275.11,183547
2025-09-25,276.5,289.79,273.6,278.28,49912
2025-09-26,274.12,278.88,261.02,270.41,18914
2025-09-29,270.41,273.07,262,263.48,14884
2025-09-30,263.01,267.14,261,263.39,8867
2025-10-01,265.25,279.5,260.4,271.15,14150
2025-10-03,270.1,285,269.1,280.3,15130
2025-10-06,281,285.5,276.6,284.15,10236
2025-10-07,285,286.15,281.75,283,6711
2025-10-08,283,286,276.05,277.9,5671
2025-10-09,275.55,284.05,275.1,275.75,5506
2025-10-10,279.85,294,279.8,281.8,25142
2025-10-13,281,283.05,275.5,276.65,6751
2025-10-14,278.1,278.95,266.55,269.05,4200
2025-10-15,269.05,282,268.7,273.15,4688
2025-10-16,277.9,281.05,271.1,271.35,8250
2025-10-17,260.5,269.95,260.5,265.4,3910
2025-10-20,279,311.6,275,294.3,227244
2025-10-21,304.5,311.2,300.2,309.65,41232
2025-10-23,309.65,327.5,309,320.4,69765
2025-10-24,324.95,324.95,306.2,310.35,24388
2025-10-27,317.5,325,303.1,307.9,31185
2025-10-28,310,338,309.9,331,70585
2025-10-29,338.7,338.75,320.05,324.45,41458
2025-10-30,327,329.95,312.95,316.9,27676
2025-10-31,316.9,321,300.05,314.25,18398
2025-11-03,314.25,316.95,306.1,310.15,11540
2025-11-04,313,334.45,309,315.9,46963
2025-11-06,317.5,319.45,310.05,313.25,6176
2025-11-07,311.65,311.65,298,306.8,13329
2025-11-10,305,306.45,291,292.9,20299
2025-11-11,292.9,303.55,292.9,299,9587
2025-11-12,309,312.95,296.1,300.4,29132
2025-11-13,290.2,298.3,284,290.25,35122
2025-11-14,289,297.4,286.6,289.4,12393
2025-11-17,295,295,280,284.25,13415
2025-11-18,279.5,300.65,277.9,297.9,18322
2025-11-19,300,300,286.1,289.5,8448
2025-11-20,295.3,295.3,286.55,287.95,6363
2025-11-21,283.6,292.9,283.6,289.95,7050
2025-11-24,285.1,287.9,273.3,275.2,11421
2025-11-25,276.6,281.4,273.45,277.3,6068
2025-11-26,277.3,284.4,276.9,279.95,10369
2025-11-27,284.9,286,278.3,283.5,6348
2025-11-28,286.9,286.9,278.05,279.05,4003
2025-12-01,282.9,287.95,281,284.3,4399
2025-12-02,285.55,286.95,281,283.4,3837
2025-12-03,283.9,284.45,270.1,273.1,7546
2025-12-04,273.1,284.45,272.7,279.7,10936
2025-12-05,279.85,282.85,276.75,279,2712
2025-12-08,275.8,276.95,260,263.85,15599
2025-12-09,266.85,267.85,255,259.75,12554
2025-12-10,266,272,262.6,263.4,6216
2025-12-11,260,274,259.5,272.1,7634
2025-12-12,273.4,274.5,268.1,270.75,8062
2025-12-15,274.9,274.9,266.35,270.6,5940
2025-12-16,265.2,274.95,265.2,268.1,3105
2025-12-17,270.45,280,265.1,273.2,6476
2025-12-18,272.2,272.2,256.45,263.95,8843
2025-12-19,262,269.7,260.65,262,10952
2025-12-22,264.9,265.9,256,259,14165
2025-12-23,259,268.95,253.35,266.7,16557
2025-12-24,269.9,269.9,258,263.6,5885
2025-12-26,258.2,269.95,256,259.5,14837
2025-12-29,254,259.5,253,253.6,12623
2025-12-30,254.6,267.45,243.6,250.7,16668
2025-12-31,254.9,265.9,250,257.75,18276
2026-01-01,266.9,266.9,250.25,253.95,12912
2026-01-02,252.6,262.95,250.1,253.45,10709
2026-01-05,250.2,259,248.5,253.05,12898
2026-01-06,254.8,258.8,248.5,250.15,9889
2026-01-07,253,255.95,246.3,254.5,8139
2026-01-08,249.1,257,246.6,252.95,17802
2026-01-09,253,253,245.2,246.9,3694
2026-01-12,245,253.95,235.05,237.2,20567
2026-01-13,237.5,246.75,232.1,242.85,8800
2026-01-14,242.25,247.9,234.55,244.2,3112
2026-01-16,240.1,243.9,235,237.35,2920
2026-01-19,235.2,236,225.2,227.6,7063
2026-01-20,225,236.25,220.55,221.8,5892
2026-01-21,221.95,229.5,211.3,217.1,12066
2026-01-22,228.9,232.3,192,212.3,15097
2026-01-23,210.1,222,202.1,204.25,8151
2026-01-27,207.9,214.45,200.55,211.5,32159
2026-01-28,216.9,221.95,205.25,219.7,20116
2026-01-29,219.85,224.8,210.5,215.15,13678
2026-01-30,213.05,223,211.05,219.25,14703
2026-02-01,216.5,224.84,198,208.37,11945
2026-02-02,205.03,216.48,205.03,211.46,8880
2026-02-03,214.9,219.74,208.2,214.79,14690
2026-02-04,215.2,234.95,212.82,228.57,11195
2026-02-05,227.59,230.5,220,221.91,17299
2026-02-06,221.4,221.4,215.1,215.3,5005
2026-02-09,220,225,218.08,222.76,9322
2026-02-10,222.76,231,218.2,228.89,11715
2026-02-11,221.1,229.5,219.1,224.08,5589
