Date,Open,High,Low,Close,Volume
2006-12-27,233.22,233.22,222.97,225.11,11973
2006-12-28,226.4,231.46,222.97,228.5,6558
2006-12-29,233.26,233.26,222.97,225.54,3617
2007-01-02,226.4,243.47,226.4,243.47,6650
2007-01-03,246.13,246.13,225.54,227.77,2609
2007-01-04,231.38,231.38,224.69,224.69,75
2007-01-05,210.11,229.83,210.11,225.54,2851
2007-01-08,225.54,225.54,224.69,224.69,4
2007-01-09,222.97,222.97,210.96,216.28,872
2007-01-10,206.12,206.68,201.53,204.88,3525
2007-01-11,203.25,209.85,203.25,203.25,770
2007-01-12,216.54,216.54,215.94,215.94,550
2007-01-16,230.69,230.69,203.38,204.96,6481
2007-01-17,205.82,218.25,205.82,218.25,550
2007-01-18,217.31,217.61,209.29,210.15,386
2007-01-19,227.94,227.94,199.99,209.25,37
2007-01-22,210.54,210.54,201.53,201.53,149
2007-01-23,190.38,211.82,190.38,203.89,368
2007-01-24,196.6,196.6,196.56,196.56,1700
2007-01-25,209.25,209.25,194.67,206.68,5193
2007-01-29,205.82,205.82,205.82,205.82,900
2007-02-01,204.66,204.66,204.62,204.62,26
2007-02-02,201.53,201.53,193.21,193.21,80
2007-02-05,200.67,200.67,200.67,200.67,10
2007-02-06,197.24,208.95,197.24,201.57,1136
2007-02-07,184.38,203.25,184.38,201.53,459
2007-02-08,198.23,198.23,198.23,198.23,4
2007-02-09,205.82,205.9,194.24,200.67,4030
2007-02-12,187,197.16,186.95,197.16,1325
2007-02-13,188.67,188.67,188.67,188.67,100
2007-02-14,190.38,195.44,190.38,195.4,74
2007-02-15,196.21,196.21,188.92,188.92,28
2007-02-19,205.82,207.75,205.82,205.99,227
2007-02-20,205.82,214.31,205.69,214.31,350
2007-02-21,198.4,198.4,198.4,198.4,3
2007-02-22,197.24,209.25,194.67,198.74,1000
2007-02-23,206.68,206.68,179.23,187.81,6355
2007-02-26,187.81,188.67,184.38,188.67,4382
2007-02-27,187.81,192.1,183.52,187.81,6005
2007-02-28,197.24,197.24,171.73,186.78,8355
2007-03-01,185.24,192.96,179.23,187.04,7059
2007-03-02,186.95,188.58,180.09,187.04,6262
2007-03-05,178.81,178.89,168.94,171.52,4917
2007-03-06,179.23,186.44,167.44,184.64,10207
2007-03-07,191.24,192.1,182.66,189.4,5547
2007-03-08,188.67,205.82,186.31,199.6,8150
2007-03-09,210.11,212.64,200.67,205.95,10281
2007-03-12,213.11,213.11,190.43,203.89,8886
2007-03-13,210.11,210.11,201.53,202.73,8514
2007-03-14,205.78,205.78,195.1,202.82,22014
2007-03-15,210.11,210.11,197.29,197.29,7049
2007-03-16,209.25,209.25,191.45,191.5,13610
2007-03-19,180.09,204.75,180.09,202.26,18892
2007-03-20,209.25,209.25,180.95,202.13,10422
2007-03-21,197.24,204.1,191.28,203.76,6093
2007-03-22,199.82,205.78,199.82,204.23,8550
2007-03-23,214.4,222.11,197.24,205.39,11134
2007-03-26,196.47,196.9,196.39,196.9,3300
2007-03-28,189.53,204.96,189.53,203.29,9722
2007-03-29,205.82,209.25,197.24,203.07,22440
2007-03-30,203.8,209.25,202.39,205.82,6197
2007-04-02,210.11,213.54,184.85,198.66,8405
2007-04-03,208.39,208.39,200.67,200.67,100
2007-04-04,210.11,211.82,206.68,210.11,6699
2007-04-05,218.68,218.68,207.53,212.42,8468
2007-04-09,214.18,216.97,205.9,214.4,9177
2007-04-10,222.97,222.97,210.15,212.34,6897
2007-04-11,217.83,217.83,209.46,212.47,7855
2007-04-12,206.68,212.68,206.68,211.82,8672
2007-04-13,213.54,213.54,207.83,209.29,7351
2007-04-16,205.82,211.69,205.82,208.18,10646
2007-04-17,210.88,210.88,204.1,210.54,7571
2007-04-18,206.68,210.54,206.68,210.32,8699
2007-04-19,205.82,208.39,205.82,207.96,7225
2007-04-20,208.82,210.92,204.96,209.72,10440
2007-04-23,207.53,210.11,203.25,209.89,12235
2007-04-24,222.11,222.11,205.82,210.11,10325
2007-04-25,207.53,210.54,207.53,210.28,9539
2007-04-26,205.82,210.54,205.82,206.93,10910
2007-04-27,206.68,208.39,204.15,204.96,8790
2007-04-30,203.46,207.53,203.46,207.45,10883
2007-05-03,206.68,216.97,206.68,207.92,7650
2007-05-04,239.18,239.18,198.1,208.56,10888
2007-05-07,205.82,206.68,204.1,206.25,7363
2007-05-08,202.39,209.68,202.39,208.13,17138
2007-05-09,204.32,211.56,204.32,209.25,12836
2007-05-10,204.96,209.25,203.25,203.63,11650
2007-05-11,205.82,208.39,202.39,203.8,10247
2007-05-14,203.25,238.41,203.25,208.18,11287
2007-05-15,207.53,216.02,204.53,207.96,14300
2007-05-16,205.82,207.88,205.39,206.03,9611
2007-05-17,205.82,214.4,204.96,207.79,14003
2007-05-18,205.82,207.53,202.39,207.02,13306
2007-05-21,204.19,211.74,201.66,202.52,11043
2007-05-22,203.25,205.82,196.51,204.75,10337
2007-05-23,204.53,205.82,190.38,191.28,10428
2007-05-24,173.23,205.82,173.23,197.2,10029
2007-05-25,205.82,205.82,197.37,201.1,13021
2007-05-28,204.53,205.82,200.67,201.49,8453
2007-05-29,204.96,204.96,201.53,204.02,11446
2007-05-30,181.81,205.82,181.81,205.78,10575
2007-05-31,204.1,204.96,200.67,203.25,7504
2007-06-01,208.39,208.39,201.96,202.39,12377
2007-06-04,205.82,205.82,202.39,203.46,8061
2007-06-05,205.6,205.6,201.53,204.4,10950
2007-06-06,200.67,204.1,200.67,202.39,11408
2007-06-07,203.25,203.25,200.67,202.39,10442
2007-06-08,198.96,203.25,198.96,201.92,10558
2007-06-11,201.53,204.96,201.53,202.86,11436
2007-06-12,205.82,205.82,199.82,201.02,11484
2007-06-13,201.53,208.39,200.67,200.85,10580
2007-06-14,199.82,201.45,197.24,198.74,8032
2007-06-15,199.82,205.35,199.82,201.1,9240
2007-06-18,200.03,203.25,188.67,195.23,17171
2007-06-19,190.38,200.03,178.46,192.87,9322
