Date,Open,High,Low,Close,Volume
2025-07-09,281.05,309.15,275,307.63,67262152
2025-07-10,313,338.39,306.5,338.39,36387648
2025-07-11,343.02,363.8,325.3,333.98,37839405
2025-07-14,328.89,343.9,321.1,331.54,13337934
2025-07-15,332.8,348.99,330.92,338.44,9527734
2025-07-17,355,361.58,336,338.42,9204177
2025-07-18,341,345.1,333.3,334.97,5033411
2025-07-21,337.05,343.7,328.63,335.29,4371907
2025-07-22,337.45,348.5,327.22,331.56,5717569
2025-07-23,333,344.14,330,341.15,4369057
2025-07-24,342.9,344.49,331.1,332.69,2248901
2025-07-25,332.34,334.65,322.02,324.54,1605635
2025-07-28,324.5,327,310.55,313.89,1859026
2025-07-29,313.89,324.3,311.51,321.54,1529689
2025-07-30,321.54,333.1,321.54,325.54,2542130
2025-07-31,320,341,318,332.82,3358263
2025-08-01,334.75,334.9,325.5,328.95,914942
2025-08-04,328.65,334.8,317.25,323.35,1564680
2025-08-05,322,325.6,299.8,307.95,1937207
2025-08-06,310.1,315.45,301.2,303.85,1916611
2025-08-07,300,305.65,295,300.8,1253689
2025-08-08,302.6,313,298.8,306,1483832
2025-08-11,307,307.7,299.45,300.75,524272
2025-08-12,300,309.9,296.2,301.1,1073735
2025-08-13,303,331.2,301.15,331.2,3510333
2025-08-14,337.7,342.7,316.45,322.1,3169653
2025-08-18,329,329,316.15,317.2,982611
2025-08-19,317.9,336.9,315.2,332.25,3143322
2025-08-20,332.6,335,325.05,327.8,977062
2025-08-21,329.9,348,326.8,343.65,4815621
2025-08-22,346.5,357.5,340.2,351.6,4087651
2025-08-25,355,360.5,351,353.4,3032952
2025-08-26,352.95,352.95,333,335.5,1467347
2025-08-28,335.65,352,333.05,349.7,2144439
2025-08-29,350.95,354.8,345.1,349.75,1460187
2025-09-01,353.5,369.45,349.3,365.4,3898723
2025-09-02,369.9,381.8,365.45,368.7,2790028
2025-09-03,366.3,375.3,358.55,373.15,1648246
2025-09-04,376,379,364,367,1304165
2025-09-05,368.4,378,363.65,366.95,1555213
2025-09-08,371,387.95,370.15,374.25,2110270
2025-09-09,374.55,375.95,352.6,355.55,1185483
2025-09-10,356.05,368.55,356.05,362.15,994614
2025-09-11,361.75,363.45,347.1,349.75,694699
2025-09-12,351.5,356,347,351.05,718486
2025-09-15,352.8,358.4,349.15,354.35,564713
2025-09-16,355.7,359.7,350,351.9,490515
