Date,Open,High,Low,Close,Volume
2016-09-16,13.79,14.54,12.54,12.85,229821
2016-09-19,13.1,13.4,12.92,13.21,51068
2016-09-20,13.17,13.41,13.13,13.28,27511
2016-09-21,13.25,13.58,13.01,13.32,50781
2016-09-22,13.37,13.5,13.12,13.22,18350
2016-09-23,13.32,13.33,12.88,13.02,12837
2016-09-26,12.92,13.29,12.71,13.17,21190
2016-09-27,13.17,13.21,12.92,12.92,11379
2016-09-28,12.96,13.12,12.6,12.75,19224
2016-09-29,12.87,12.95,11.75,12.04,34734
2016-09-30,11.96,12.5,11.46,12.25,19738
2016-10-03,12.26,12.71,12.12,12.64,15717
2016-10-04,12.56,12.81,12.5,12.56,11048
2016-10-05,12.62,12.66,11.77,12.56,18265
2016-10-06,12.62,13.04,12.33,12.51,22796
2016-10-07,12.83,13.02,12.71,12.83,18311
2016-10-10,12.79,12.82,12.59,12.7,8830
2016-10-13,12.71,12.71,12.3,12.36,13823
2016-10-14,12.19,12.85,12.19,12.76,13776
2016-10-17,13.12,13.54,12.87,13.14,114134
2016-10-18,13.12,13.5,13.12,13.32,45956
2016-10-19,13.23,13.71,13.21,13.63,68185
2016-10-20,13.81,13.91,13.29,13.44,63347
2016-10-21,13.59,13.59,13.12,13.17,34864
2016-10-24,13.32,13.41,13.08,13.23,57779
2016-10-25,13.17,13.33,13.12,13.27,16976
2016-10-26,13.33,13.58,13.26,13.34,65353
2016-10-27,13.46,13.51,13.08,13.16,24429
2016-10-28,13.95,15.58,13.62,14.97,698984
2016-10-30,15.21,15.45,15.19,15.28,61826
2016-11-01,15.4,15.62,14.58,14.69,110721
2016-11-02,14.78,14.78,13.87,13.96,68205
2016-11-03,14.07,14.07,13.17,13.34,73434
2016-11-04,13.33,13.84,12.84,13.07,78978
2016-11-07,13.33,13.83,13,13.13,81760
2016-11-08,13.23,13.42,12.88,13.1,45892
2016-11-09,12.06,12.92,11.46,12.72,116755
2016-11-10,13.25,13.36,12.79,12.99,42264
2016-11-11,12.91,12.91,12.54,12.65,41701
2016-11-15,12.91,12.91,11.96,12.13,55315
2016-11-16,12.5,12.71,12.17,12.32,34589
2016-11-17,12.37,12.55,11.96,12.01,27371
2016-11-18,12.17,12.5,11.76,12.28,38756
2016-11-21,12.5,12.71,11.67,11.95,36129
2016-11-22,12.08,12.45,11.79,11.89,22106
2016-11-23,12.08,12.28,11.75,12.1,37261
2016-11-24,12.02,12.5,11.87,12.24,26207
2016-11-25,12.5,12.5,12.18,12.25,42279
2016-11-28,12.25,12.46,12.14,12.2,42882
2016-11-29,12.25,12.5,12.08,12.36,28478
2016-11-30,12.45,13.33,12.33,13.22,87482
2016-12-01,13.25,13.44,12.9,13.01,31486
2016-12-02,12.92,12.92,12.61,12.67,22319
2016-12-05,12.7,13.12,12.67,12.76,22260
2016-12-06,12.86,12.87,12.5,12.7,23583
2016-12-07,12.77,12.87,12.55,12.71,12642
2016-12-08,12.81,13.12,12.72,12.92,20962
2016-12-09,12.96,13.1,12.67,12.8,19940
2016-12-12,12.81,13.12,12.75,13.03,23187
2016-12-13,13.12,13.21,12.79,13.02,24596
2016-12-14,12.92,13.12,12.8,12.85,8460
2016-12-15,12.92,13.08,12.79,12.99,18837
2016-12-16,13.08,13.33,12.84,13.09,14760
2016-12-19,13.33,13.33,12.9,12.96,17208
2016-12-20,13.08,13.08,12.37,12.63,33791
2016-12-21,12.72,12.83,12.08,12.25,54834
2016-12-22,12.39,12.39,11.87,12.14,41796
2016-12-23,12.22,12.37,12.02,12.12,15875
2016-12-26,12.09,12.16,11.78,11.83,24710
2016-12-27,12.04,12.25,11.71,12.14,12013
2016-12-28,12.04,13.71,12.04,12.74,294021
2016-12-29,12.71,13.12,12.7,12.76,63216
2016-12-30,12.87,12.91,12.55,12.59,41921
2017-01-02,12.66,12.87,12.41,12.47,26261
2017-01-03,12.62,12.7,12.37,12.58,25162
2017-01-04,12.66,12.96,12.52,12.78,44800
2017-01-05,12.91,13.04,12.56,12.67,86214
2017-01-06,12.71,12.71,12,12.28,61841
2017-01-09,12.3,12.33,12.09,12.26,29234
2017-01-10,12.29,12.54,12.17,12.25,33198
2017-01-11,12.35,12.68,12.25,12.45,45231
2017-01-12,12.53,12.64,12.3,12.58,37374
2017-01-13,12.52,12.6,12.33,12.37,11476
2017-01-16,12.33,12.54,12.33,12.38,19423
2017-01-17,12.39,12.46,12.25,12.33,20760
2017-01-18,12.17,12.25,11.75,12.1,56906
2017-01-19,12.08,12.58,11.87,12.11,27996
2017-01-20,12.1,12.18,11.98,12.03,24346
2017-01-23,12.08,12.19,11.92,11.98,18320
2017-01-24,11.98,12.16,11.97,12.11,22547
2017-01-25,12.23,12.44,12.05,12.28,27315
2017-01-27,12.37,12.5,12.19,12.27,27025
2017-01-30,12.33,12.46,12.17,12.42,32162
2017-01-31,12.5,12.5,12.25,12.3,28120
2017-02-01,12.71,13.66,12.54,13.44,447668
2017-02-02,13.52,13.61,12.96,13.02,66910
2017-02-03,13.12,13.27,12.96,13.14,29994
2017-02-06,13.24,13.56,13.23,13.36,57416
2017-02-07,13.5,13.54,13.11,13.21,29212
2017-02-08,13.23,13.48,12.96,13.1,18503
2017-02-09,13.01,13.42,12.98,13.31,59482
2017-02-10,13.37,13.37,13.12,13.15,17678
2017-02-13,13.19,13.27,13.04,13.17,21476
2017-02-14,13.2,13.25,12.84,12.99,32792
2017-02-15,12.84,12.98,12.51,12.56,26450
2017-02-16,12.5,12.83,12.42,12.77,18321
2017-02-17,12.77,13.2,12.71,13.1,40719
2017-02-20,13.09,13.09,12.76,12.97,17883
2017-02-21,13.07,13.18,12.82,12.92,22002
2017-02-22,12.84,13.16,12.84,13.09,27232
2017-02-23,13.16,13.22,12.92,13.05,18276
2017-02-27,13.04,13.04,12.71,12.78,20057
2017-02-28,12.91,12.91,12.64,12.72,16609
2017-03-01,12.72,13.08,12.72,12.86,29246
2017-03-02,12.87,12.87,12.67,12.78,34154
2017-03-03,12.56,15.09,12.56,13.83,333702
2017-03-06,13.85,14.04,13.54,13.73,47136
2017-03-07,13.67,13.91,13.42,13.51,33057
2017-03-08,13.61,13.62,13.12,13.37,28156
2017-03-09,13.31,13.5,13.19,13.38,16663
2017-03-10,13.75,13.75,13.17,13.33,20555
2017-03-14,13.4,14.25,13.37,13.59,128194
2017-03-15,13.7,13.94,13.42,13.46,28493
2017-03-16,13.62,13.62,13.39,13.43,19297
2017-03-17,13.87,13.87,13.48,13.51,21023
2017-03-20,13.63,13.63,13.34,13.36,14554
2017-03-21,13.33,13.53,13.13,13.31,24560
2017-03-22,13.25,13.35,13.12,13.27,13533
2017-03-23,13.27,13.44,13.18,13.24,22561
2017-03-24,13.24,13.42,13.21,13.31,25538
2017-03-27,13.46,14.1,13.39,13.87,116548
2017-03-28,13.92,14.33,13.92,14.05,54067
2017-03-29,14.21,14.31,13.5,13.59,142984
2017-03-30,13.75,14.72,13.7,13.84,95627
2017-03-31,13.91,14,13.58,13.68,84922
2017-04-03,13.83,14.23,13.54,14.12,62118
2017-04-05,14.31,14.35,13.84,14.05,69085
2017-04-06,14.12,14.17,13.75,13.94,37025
2017-04-07,14,14.07,13.75,13.81,22991
2017-04-10,13.75,14.08,13.6,13.65,39451
2017-04-11,13.63,13.95,13.63,13.68,37620
2017-04-12,13.86,13.87,13.62,13.71,19614
2017-04-13,13.63,13.93,13.13,13.46,57671
2017-04-17,13.54,14.17,13.37,13.41,85354
2017-04-18,13.54,13.79,13.33,13.4,44094
2017-04-19,13.5,13.54,13.15,13.47,24116
2017-04-20,13.54,13.67,13.34,13.53,84820
2017-04-21,13.61,13.61,13.33,13.39,40222
2017-04-24,13.36,13.56,13.31,13.35,35013
2017-04-25,13.36,13.52,13.33,13.37,26702
2017-04-26,13.39,13.39,12.87,13.21,169518
2017-04-27,13.17,13.21,13.04,13.11,42264
2017-04-28,13.08,13.3,13.01,13.2,36013
2017-05-02,13.33,13.47,13.18,13.29,21460
2017-05-03,13.17,13.49,13.08,13.44,45335
2017-05-04,13.33,13.54,13.27,13.41,64808
2017-05-05,13.32,13.38,12.96,13.07,262350
2017-05-08,13.2,13.2,12.88,12.96,28107
2017-05-09,12.98,13.04,12.92,12.99,12941
2017-05-10,13,13.17,12.92,12.94,23313
2017-05-11,12.97,13.04,12.79,12.86,27399
2017-05-12,12.98,12.98,12.72,12.93,18129
2017-05-15,12.95,13.01,12.64,12.81,28211
2017-05-16,12.84,13.82,12.73,13.2,109688
2017-05-17,13.32,13.42,13.04,13.12,31921
2017-05-18,13.05,13.08,12.75,12.87,27573
2017-05-19,12.87,13.13,12.75,12.89,43357
2017-05-22,13.25,13.37,12.92,13.25,29783
2017-05-23,13.54,13.54,12.89,13.07,59129
2017-05-24,12.87,12.88,11.58,11.76,201189
2017-05-25,12.03,12.15,11.76,11.93,47838
2017-05-26,11.97,12.24,11.62,11.71,83802
2017-05-29,11.87,12.46,11.74,12.17,60844
2017-05-30,12,12.21,11.87,12,21779
2017-05-31,12,12.12,11.91,12.05,14917
2017-06-01,12.25,12.45,11.92,12.06,24011
2017-06-02,12.27,12.27,11.89,11.99,15891
2017-06-05,11.92,12.12,11.92,12.01,16020
2017-06-06,12.21,12.21,11.96,12.18,12130
2017-06-07,12.19,12.24,11.92,11.98,20749
2017-06-08,12.2,12.2,11.96,12.01,12164
2017-06-09,12.1,12.1,11.87,11.92,18180
2017-06-12,12.08,12.08,11.71,11.9,16858
2017-06-13,11.98,11.99,11.84,11.86,13681
2017-06-14,11.94,11.94,11.67,11.72,16241
2017-06-15,11.75,12.25,11.71,12.06,32248
2017-06-16,12.16,12.25,11.96,12.1,10621
2017-06-19,12,12.25,11.8,11.86,21001
2017-06-20,11.86,12.08,11.75,11.91,13771
2017-06-21,11.92,12.03,11.83,11.86,12748
2017-06-22,11.86,11.91,11.75,11.81,13566
2017-06-23,11.92,11.92,11.68,11.75,17646
2017-06-27,11.86,11.86,11.57,11.6,11650
2017-06-28,11.59,11.66,11.29,11.51,13223
2017-06-29,11.63,11.63,11.45,11.48,10823
2017-06-30,11.48,11.67,11.4,11.44,10937
2017-07-03,11.87,12.33,11.67,12.08,45753
2017-07-04,12.25,12.33,11.46,11.58,34989
2017-07-05,11.67,11.82,11.58,11.77,9550
2017-07-06,11.83,11.91,11.65,11.74,14184
2017-07-07,11.81,11.83,11.73,11.81,7337
2017-07-10,11.92,12.04,11.87,12,9036
2017-07-11,12.08,12.08,11.87,11.9,9518
2017-07-12,11.96,12.02,11.75,11.94,17551
2017-07-13,11.94,12.08,11.75,11.81,16799
2017-07-14,11.96,11.96,11.67,11.72,21464
2017-07-17,11.94,12.37,11.57,12.12,48873
2017-07-18,12.21,13.29,12.19,12.9,424300
2017-07-19,12.96,13.25,12.92,13.13,127001
2017-07-20,13.29,13.33,12.16,12.64,105527
2017-07-21,12.33,13.08,12.09,12.32,132218
2017-07-24,12.52,12.88,12.17,12.49,85714
2017-07-25,12.5,12.62,12.29,12.33,31375
2017-07-26,12.3,12.42,12.17,12.32,19291
