Date,Open,High,Low,Close,Volume
2025-01-14,175,183.75,166.25,167.25,1740000
2025-01-15,158.9,173.5,158.9,160.8,763000
2025-01-16,164.5,164.5,152.8,153.15,328000
2025-01-17,149,153,145.5,151.4,313000
2025-01-20,147,158.5,145,156.5,247000
2025-01-21,155.5,162.95,152.5,153.05,125000
2025-01-22,151.05,151.05,145.4,145.4,108000
2025-01-23,145,145.7,138.4,138.8,59000
2025-01-24,141,141,131.9,131.9,117000
2025-01-27,126,126.05,125.3,125.3,37000
2025-01-28,118,118.5,103.05,111.45,119000
2025-01-29,115,127.7,115,126.35,37000
2025-01-30,122.5,129.9,121,123.05,34000
2025-01-31,123.05,129.35,120,125.95,76000
2025-02-01,125.95,125.95,120.15,120.5,35000
2025-02-03,117,122.95,117,118.5,15000
2025-02-04,121,121,118,119.95,18000
2025-02-05,117,120,117,118,25000
2025-02-06,118,118,115.05,115.95,16000
2025-02-07,120.5,120.5,111,111.8,42000
2025-02-10,108,108,103.5,104.15,62000
2025-02-11,102,102,88,90.3,221000
2025-02-12,90,90,84,87.65,77000
2025-02-13,91.9,93,86,86.55,53000
2025-02-14,90.85,90.85,82.25,82.25,42000
2025-02-17,81.9,81.9,78.15,78.15,44000
2025-02-18,74.25,77.9,74.25,74.55,100000
2025-02-19,71,78.25,71,78.25,46000
2025-02-20,80.4,82.15,80.4,82.15,26000
2025-02-21,86.25,86.25,84.55,86.25,39000
2025-02-24,86.25,90.5,86.1,90.2,16000
2025-02-25,90.65,94.6,90.65,92,19000
2025-02-27,90.2,90.2,90.2,90.2,3000
2025-02-28,88.4,88.4,88.4,88.4,1000
2025-03-03,86.65,86.65,86.65,86.65,2000
2025-03-04,84.95,84.95,84.95,84.95,4000
2025-03-05,83.25,83.25,83.25,83.25,5000
2025-03-06,81.6,81.6,81.6,81.6,10000
2025-03-07,80,80.25,80,80.25,22000
2025-03-10,78.7,78.7,78.65,78.7,12000
2025-03-11,77.25,77.65,77.25,77.65,46000
2025-03-12,76.35,76.35,76.1,76.3,23000
2025-03-13,76.4,76.4,74.8,75,71000
2025-03-17,75,75,73.5,73.5,16000
2025-03-18,72.05,72.05,72.05,72.05,12000
2025-03-19,70.6,70.9,70.6,70.6,145000
2025-03-20,70.6,70.6,69.2,69.2,34000
2025-03-21,69.2,70.55,69.2,70.55,74000
2025-03-24,71.95,71.95,71.95,71.95,21000
2025-03-25,73.35,73.35,73.3,73.35,40000
2025-03-26,73,73,71.9,72,170000
2025-03-27,73.2,73.2,70.6,70.6,45000
2025-03-28,69.2,70,69.2,69.2,37000
2025-04-01,72,72.65,71,72.65,11000
2025-04-02,76.1,76.25,74.3,75.9,51000
2025-04-03,73,79.65,73,79.65,20000
2025-04-04,79.65,83.5,79,82.2,25000
2025-04-07,78.1,78.1,78.1,78.1,5000
2025-04-08,74.2,79.85,74.2,76.95,10000
2025-04-09,77,80,77,80,7000
