Date,Open,High,Low,Close,Volume
2023-05-11,190,190,180.5,180.5,817200
2023-05-12,171.5,171.5,171.5,171.5,26400
2023-05-15,165.5,180.05,162.95,180.05,698400
2023-05-16,180.05,189.05,180,189.05,385200
2023-05-17,193.8,195.7,184.1,189.5,188400
2023-05-18,195,195,186.1,186.75,58800
2023-05-19,186.9,188.25,185.1,187.35,22800
2023-05-22,189,190,183.55,187.3,32400
2023-05-23,188.45,189.65,185.55,186.1,27600
2023-05-24,185,187,179,181.7,24000
2023-05-25,184.55,187.85,177,185.35,25200
2023-05-26,187.35,194.35,187,192.4,25200
2023-05-29,191,191,187.2,188.95,10800
2023-05-30,189,189,186,187.5,8400
2023-05-31,185,186,182.25,183.9,9600
2023-06-01,183,183,182.9,182.9,2400
2023-06-02,177,179.95,170,179.95,72000
2023-06-05,181.75,187.7,175.15,182.5,28800
2023-06-06,182,182,177.1,177.2,14400
2023-06-07,180.5,182.9,178,178.95,46800
2023-06-08,180.5,180.5,176.05,179.55,19200
2023-06-09,179.9,179.9,174.25,176.25,39600
2023-06-12,182,182,176.2,177.25,39600
2023-06-13,179.4,179.65,174.25,179.65,15600
2023-06-14,180.65,182,176.25,180.45,34800
2023-06-15,182,182,177.1,178.55,19200
2023-06-16,181,181.9,177.65,179.3,19200
2023-06-19,180.25,207.7,180,203.75,88800
2023-06-20,204.7,237.45,204.7,236,163200
2023-06-21,237.5,242.5,230,234.15,72000
2023-06-22,230.5,234.9,221.5,226.5,30000
2023-06-23,229.95,234.9,227,232.55,33600
2023-06-26,233.95,243,233.9,237.75,38400
2023-06-27,244.8,244.8,237,237,10800
2023-06-28,230.15,237,230.15,233.25,19200
2023-06-30,233.25,234,211.65,220,64800
2023-07-03,224,228,220.05,228,45600
2023-07-04,232.75,232.75,224.75,228.75,12000
2023-07-05,233.5,253.9,230.8,252.85,157200
2023-07-06,256.7,261.45,248.5,249.5,39600
2023-07-07,249.5,250,244,245.5,19200
2023-07-10,240,242,232,233,28800
2023-07-11,227.05,229,221.65,222.35,52800
2023-07-12,222.35,230,220.05,222.6,68400
2023-07-13,223.5,224,217.5,217.5,10800
