Date,Open,High,Low,Close,Volume
2021-10-13,15.19,15.19,14.45,14.45,738000
2021-10-14,13.76,13.76,13.76,13.76,24000
2021-10-18,13.1,13.1,13.1,13.1,168000
2021-10-20,12.47,12.47,12.47,12.47,12000
2021-10-22,11.85,11.85,11.85,11.85,12000
2021-11-03,11.26,11.26,11.26,11.26,6000
2021-11-08,10.71,10.71,10.71,10.71,18000
2021-11-22,10.2,10.2,10.2,10.2,6000
2021-11-23,9.72,9.72,9.72,9.72,6000
2021-11-24,9.24,9.24,9.24,9.24,12000
2021-11-25,8.8,8.8,8.8,8.8,6000
2021-11-26,8.36,8.36,8.36,8.36,30000
2021-11-29,7.96,8.77,7.96,8.77,192000
2021-11-30,9.17,9.17,9.17,9.17,24000
2021-12-01,9.61,9.61,9.61,9.61,6000
2021-12-02,10.09,10.09,9.13,9.13,48000
2021-12-03,8.69,8.69,8.69,8.69,18000
2021-12-06,8.29,8.29,8.29,8.29,48000
2021-12-07,7.67,8,7.48,7.59,252000
2021-12-08,7.7,7.7,6.86,6.93,156000
2021-12-09,6.97,7.56,6.97,7.48,48000
2021-12-10,8.14,8.14,7.92,7.92,24000
2021-12-13,7.89,7.89,7.45,7.81,30000
2021-12-14,8,8,7.85,7.85,12000
2021-12-15,7.92,7.92,7.37,7.37,24000
2021-12-16,7.37,7.37,7.37,7.37,12000
2021-12-17,7.52,7.52,6.97,7.37,24000
2021-12-20,7.15,7.15,6.79,7.08,42000
2021-12-21,7.08,7.08,6.53,6.53,66000
2021-12-22,6.64,6.86,6.49,6.86,24000
2021-12-23,6.86,6.86,6.2,6.2,360000
2021-12-24,6.16,6.27,5.98,6.27,24000
2021-12-27,6.24,6.24,6.24,6.24,6000
2021-12-28,6.2,6.2,6.16,6.16,18000
2021-12-29,5.91,6.27,5.91,6.2,48000
2021-12-30,6.27,6.46,5.98,6.27,90000
2021-12-31,6.24,6.53,6.09,6.31,78000
2022-01-03,6.35,6.93,6.35,6.93,138000
2022-01-04,7.52,7.52,7.3,7.37,114000
2022-01-05,7.15,7.15,6.79,6.79,84000
2022-01-06,7.08,7.45,7.08,7.45,150000
2022-01-07,8.11,8.18,7.96,8.14,222000
2022-01-10,8.51,8.55,8.22,8.55,90000
2022-01-11,8.91,8.95,8.91,8.95,48000
2022-01-12,9.39,9.39,9.39,9.39,90000
2022-01-13,9.83,9.83,9.83,9.83,42000
2022-01-14,9.83,10.31,9.83,10.31,84000
2022-01-17,10.82,10.82,10.82,10.82,18000
2022-01-18,11.33,11.33,10.31,10.31,114000
2022-01-19,9.79,9.79,9.79,9.79,30000
2022-01-20,9.32,9.32,9.32,9.32,30000
2022-01-21,8.88,8.91,8.88,8.91,36000
2022-01-24,9.35,9.35,8.47,8.47,42000
2022-01-25,8.07,8.11,8.07,8.11,18000
2022-01-27,8.51,8.51,8.51,8.51,6000
2022-01-28,8.91,8.91,8.91,8.91,18000
2022-01-31,9.35,9.35,9.35,9.35,6000
2022-02-01,9.54,9.54,9.28,9.43,30000
2022-02-02,9.79,9.83,9.13,9.83,42000
