Date,Open,High,Low,Close,Volume
2011-06-29,92.6,96.95,87,89.05,121987
2011-06-30,90.7,90.7,87,88.6,37830
2011-07-01,83,90,83,89,48253
2011-07-04,91,91,88,89,40203
2011-07-05,88.8,90.85,88.25,88.7,40502
2011-07-06,87.3,93.5,87.3,93.15,112367
2011-07-07,94.5,94.8,90.7,91.9,81526
2011-07-08,91.9,92.95,89.6,90.95,76381
2011-07-11,91.05,92,87.4,89.55,69265
2011-07-12,88,89.95,88,89.85,38382
2011-07-13,90.2,97,90.05,94.4,111046
2011-07-14,92.1,96,92.1,93.55,63123
2011-07-15,96.7,98.8,94.5,95.95,85341
2011-07-18,97.85,99.4,96.05,98.05,51901
2011-07-19,97.2,104,97.2,103,216147
2011-07-20,103.8,108.5,103.6,106.85,199341
2011-07-21,106.2,112.3,99.6,102.35,272083
2011-07-22,103.45,109.7,103.45,108.65,101569
2011-07-25,107.8,110.05,106.4,107.8,69163
2011-07-26,107.35,108.75,103.35,104.35,87772
2011-07-27,105.35,114.45,103.4,111.4,252707
2011-07-28,110.85,112.5,107.1,109.6,125382
2011-07-29,108,111.6,105.1,105.85,80395
2011-08-01,105,111.9,105,110,102614
2011-08-02,112,112.05,107.15,110.15,71389
2011-08-03,103,113.4,103,110.2,97488
2011-08-04,108.55,113.8,108.55,109.9,72302
2011-08-05,104.05,109.9,103,105.3,151453
2011-08-08,103,104.8,99.6,103.45,64426
2011-08-09,98.2,103.8,98.2,100.4,76689
2011-08-10,100.5,110,100.5,107.35,184612
2011-08-11,106.25,108.95,104,104.75,72241
2011-08-12,101.1,109.55,101.1,103.3,66853
2011-08-16,104.75,105,100.2,100.65,65715
2011-08-17,100.8,102.9,100,100.35,40545
2011-08-18,99.65,101,98,98.55,56146
2011-08-19,92.2,97.55,92.2,96,48193
2011-08-22,97.95,101,95,98.65,65181
2011-08-23,99.7,101,98.15,100.25,41211
2011-08-24,96,101.95,96,100.4,43324
2011-08-25,99.25,100,98.3,98.9,34883
2011-08-26,99.8,99.95,96.3,97.95,36479
2011-08-29,101.3,105.5,100.2,102.2,64378
2011-08-30,103,105.55,102,104.4,42701
2011-09-02,100,104.9,100,102.95,37571
2011-09-05,102.95,103.5,101.7,102.5,35087
2011-09-06,100.05,103,100.05,102.05,40366
2011-09-07,103,103.7,102.05,102.85,50979
2011-09-08,106,106,101.6,102.45,36768
2011-09-09,101.35,103,101.35,101.6,48946
2011-09-12,98,101.95,98,98.95,53357
2011-09-13,101,101.85,100,100.6,38802
2011-09-14,100.1,101.9,100,101.75,42866
2011-09-15,91,102.6,91,101.5,33813
2011-09-16,101.95,102.45,100.05,101.25,38382
2011-09-19,100.5,102.45,100.5,101.9,35820
2011-09-20,103.9,104.4,102.2,103.2,66621
2011-09-21,101.7,103.85,101.7,102.7,37533
2011-09-22,105.5,105.5,99,100.2,39798
2011-09-23,102.75,102.75,98,101.9,36373
2011-09-26,102.6,104.7,98.2,100.4,50491
2011-09-27,102.85,102.85,100.5,101,38365
2011-09-28,99.5,104,99.5,102,45405
2011-09-29,100,102.3,99.2,101.9,34106
2011-09-30,101.9,102,100,100.4,33748
2011-10-03,100,100.5,99.5,100.05,32352
