Date,Open,High,Low,Close,Volume
2010-09-29,18,19.16,16.2,18.45,213772
2010-09-30,18.66,19.56,18.47,18.91,251705
2010-10-01,19.1,19.73,19.05,19.41,146225
2010-10-04,19.63,19.84,18.9,19.06,64675
2010-10-05,19.05,19.12,18.72,18.89,33183
2010-10-06,19.15,19.15,18.38,18.66,39860
2010-10-07,18.86,18.86,18.23,18.3,29616
2010-10-08,18.38,18.79,18.15,18.67,30114
2010-10-11,18.56,19.61,18.56,19.19,85283
2010-10-12,19.13,19.13,18.6,18.77,31297
2010-10-13,18.96,19.11,18.4,18.55,35710
2010-10-14,18.85,19.13,18.24,18.34,85844
2010-10-15,18.45,18.6,17.93,17.99,77546
2010-10-18,18.12,18.3,17.63,18.14,65371
2010-10-19,18.15,18.42,17.57,17.75,45577
2010-10-20,17.79,17.96,17.04,17.67,52969
2010-10-21,17.85,18.3,17.63,17.9,29983
2010-10-22,18,18.75,17.7,18.54,42090
2010-10-25,18.67,19.03,18.3,18.83,35230
2010-10-26,18.94,19.43,18.47,18.78,50547
2010-10-27,18.71,18.73,17.93,18.11,42531
2010-10-28,18.12,18.78,18.12,18.48,52191
2010-10-29,18.53,18.74,17.33,17.64,101623
2010-11-01,18,18.3,17.77,18.07,29410
2010-11-02,18.07,18.38,17.55,17.64,44840
2010-11-03,17.72,18,17.36,17.48,43913
2010-11-04,17.77,18.38,17.67,18.25,65553
2010-11-05,18.44,18.75,18.33,18.43,22875
2010-11-08,18.59,19.05,18.23,18.53,71428
2010-11-09,18.75,19.01,18.45,18.87,40051
2010-11-10,18.9,19.05,18.15,18.31,41723
2010-11-11,18.53,18.56,17.85,17.98,51049
2010-11-12,18.18,18.3,17.18,17.37,31471
2010-11-15,17.62,17.62,16.58,16.77,55239
2010-11-16,17.06,17.06,15.6,15.97,138767
2010-11-18,15.97,16.88,15.85,16.3,63154
2010-11-19,16.5,17.03,16.14,16.41,48543
2010-11-22,16.83,16.91,16.46,16.8,46278
2010-11-23,16.65,16.87,15.94,16.27,40130
2010-11-24,16.14,16.5,15.24,15.69,48197
2010-11-25,15.81,16.01,15.38,15.43,37180
2010-11-26,15.6,15.6,13.38,14.25,91847
2010-11-29,13.8,14.96,13.8,14.88,83357
2010-11-30,14.59,15.52,14.49,15.31,50814
2010-12-01,15.5,16.27,15.31,15.84,51149
2010-12-02,16.12,16.23,15.49,15.69,42632
2010-12-03,15.6,15.69,13.99,14.84,71026
2010-12-06,14.63,15.26,14.58,14.78,77729
2010-12-07,14.96,14.96,14.57,14.63,56045
2010-12-08,14.7,14.78,13.88,13.95,78429
2010-12-09,14.39,14.39,12.84,13.04,37181
2010-12-10,12.98,13.8,12.75,13.35,59955
2010-12-13,13.53,14.42,13.53,14.37,30026
2010-12-14,14.67,15.21,14.27,15.09,31633
2010-12-15,15.26,15.38,14.78,15.09,24616
2010-12-16,15.08,15.67,14.78,15.31,15509
2010-12-20,15.44,15.69,14.79,15.35,38115
2010-12-21,15.22,15.63,14.99,15.4,66813
2010-12-22,15.66,15.66,15.08,15.3,35181
2010-12-23,15.36,15.59,14.86,15.11,50841
2010-12-24,15,15.1,14.73,14.93,43835
2010-12-27,15.02,15.04,14.67,14.72,28933
2010-12-28,14.78,14.78,14.04,14.13,48538
2010-12-29,14.25,14.77,14.25,14.48,37566
2010-12-30,14.6,15.87,14.49,15.43,70742
2010-12-31,15.45,16.28,15.23,15.96,47632
2011-01-03,16.27,16.99,15.9,16.14,125627
2011-01-04,16.35,16.35,15.53,15.66,53811
2011-01-05,15.76,16.43,15.45,16.13,57777
2011-01-06,16.2,16.24,15.18,15.87,50531
2011-01-07,15.47,15.97,14.89,15.19,96259
2011-01-10,15.19,15.28,14.55,14.81,56236
2011-01-11,14.85,15.23,14.33,14.51,42765
2011-01-12,14.58,14.88,14.48,14.73,42466
2011-01-13,14.8,15,14.55,14.6,39876
2011-01-14,14.63,14.85,14.11,14.35,43626
2011-01-17,14.35,14.63,14,14.12,38522
2011-01-18,14.37,14.85,13.81,13.99,68582
2011-01-19,14.18,14.55,13.81,13.94,48204
2011-01-20,13.94,14.02,13.52,13.68,15399
2011-01-21,13.43,13.83,13.43,13.73,32371
2011-01-24,13.88,14.21,13.67,13.79,23930
2011-01-25,13.8,13.94,13.65,13.7,36162
2011-01-27,13.91,13.91,13.28,13.49,32739
2011-01-28,13.5,14.24,12.76,13.48,33503
2011-01-31,13.48,13.54,12.94,13.28,13970
2011-02-01,13.42,13.54,13.05,13.19,42964
2011-02-02,13.35,13.56,12.83,13.1,47440
2011-02-03,12.98,13.04,12.77,12.86,37354
2011-02-04,13.11,13.11,12.08,12.2,39431
2011-02-07,12.23,12.75,12.23,12.49,19075
2011-02-08,12.62,12.62,11.64,11.89,37676
2011-02-09,11.76,11.76,10.58,10.8,55583
2011-02-10,10.88,10.88,9.68,10.25,76503
2011-02-11,10.13,10.5,9.9,10.47,66411
2011-02-14,10.9,10.94,10.54,10.85,84154
2011-02-15,11.1,11.55,10.81,11.15,149168
2011-02-16,11.38,12.33,11.33,12.16,145595
2011-02-17,12.28,12.44,11.93,12.09,84437
2011-02-18,12.09,12.3,11.48,11.58,59474
2011-02-21,11.67,12.08,11.55,11.99,61312
2011-02-22,11.9,12.19,11.34,11.48,45281
2011-02-23,11.48,11.76,11.27,11.4,41772
2011-02-24,11.4,11.47,10.82,11,55914
2011-02-25,11.44,11.48,10.73,10.81,42852
2011-02-28,10.88,11.25,10.88,10.94,35631
2011-03-01,11.14,11.96,10.99,11.84,55296
2011-03-03,11.7,11.9,11.11,11.62,69997
2011-03-04,11.43,11.89,11.25,11.33,133389
2011-03-07,11.25,11.55,11.18,11.51,34653
2011-03-08,11.56,11.69,11.36,11.59,33275
