Date,Open,High,Low,Close,Volume
2023-10-04,135,141.75,135,141.75,1036800
2023-10-05,137,139,134.68,134.68,132000
2023-10-06,127.95,141,127.95,138.83,415200
2023-10-09,131.9,142.5,131.9,139.9,279200
2023-10-10,139.5,142,136.15,139.05,96800
2023-10-11,140.5,146,136.05,146,125600
2023-10-12,148.7,153.3,148.7,153.3,56800
2023-10-13,160.95,160.95,154.5,160.95,136000
2023-10-16,166.98,166.98,153.85,154.45,70400
2023-10-17,152,162.15,149.5,160.8,84800
2023-10-18,162.5,165,146.5,149.8,103200
2023-10-19,150.68,150.68,143,144.38,40000
2023-10-20,145,157.5,145,146.95,42400
2023-10-23,149.4,149.4,132.55,136.05,72000
2023-10-25,137,142,136.05,137.98,34400
2023-10-26,137.98,138.1,130,138.1,26400
2023-10-27,140.5,145,139.75,145,31200
2023-10-30,142.53,143.98,140,140.73,24000
2023-10-31,144.5,144.5,141.03,142.75,12000
2023-11-01,144,149.23,142.8,144.9,60000
2023-11-02,147.45,147.5,143,144.63,18400
2023-11-03,144.63,144.75,133.55,136.2,47200
2023-11-06,138.98,139,136.75,137.98,18400
2023-11-07,137.65,137.65,134.03,136.4,12800
2023-11-08,137.5,137.5,135,136.03,20000
2023-11-09,158.5,162,152,154.33,268800
2023-11-10,154.63,156.98,150,152.25,75200
2023-11-12,151.55,152,146.93,150.58,33600
2023-11-13,148.05,150.5,148.05,149.5,11200
2023-11-15,149.5,149.5,142.5,146.5,33600
2023-11-16,147,147,145,145.53,29600
2023-11-17,147.45,149.5,142.13,145.7,43200
2023-11-20,149.45,151.9,145.5,146,52000
2023-11-21,142.6,161.5,141.55,159.85,97600
2023-11-22,161.75,169,156.5,157.45,42400
2023-11-23,159.5,167.5,159.5,164.8,48800
2023-11-24,165.05,172.38,162.5,165.05,27200
2023-11-28,163.5,164.5,159,163.83,16000
2023-11-29,163.5,167.5,160.05,165,19200
2023-11-30,165.5,167.95,162.93,166,24800
2023-12-01,168.53,185,167.5,169.45,55200
2023-12-04,175.5,178.48,171.08,177,8800
2023-12-05,179.5,198.15,171.05,188.33,87200
2023-12-06,193.85,198.88,185,187.85,47200
2023-12-07,185,199.98,184.85,194.85,35200
2023-12-08,196.5,206.5,196,196,23200
2023-12-11,200,200,192.5,192.58,12000
2023-12-12,192.58,192.58,185.55,189.7,16000
2023-12-13,189.7,193.5,185,186.58,29600
2023-12-14,185,197,171.83,190,16800
2023-12-15,189.85,192,181.75,184.68,13600
2023-12-18,182.5,184.08,175.03,176.03,19200
2023-12-19,176,176,166,168.33,38400
2023-12-20,168.33,184,165.5,167.73,52000
2023-12-21,177.5,177.5,166,174.43,15200
2023-12-22,178.5,181.5,178.5,180.7,6400
2023-12-26,175.78,177.5,175.78,176.35,5600
2023-12-27,176.3,176.3,165.28,167.58,28800
2023-12-28,165.5,174,165,167.5,33600
2023-12-29,166,167,161.55,165.85,11200
2024-01-01,172.5,172.5,165,165.18,40000
2024-01-02,165.63,165.65,160.03,164.5,62400
2024-01-03,171,173.75,168.5,171.65,53600
2024-01-04,175,194.38,175,191.93,48000
2024-01-05,193,197,188.75,191.25,56000
2024-01-08,192.5,214,183.35,210.58,113600
2024-01-09,220,252.68,217.5,236.53,197600
2024-01-10,241,241,220.1,230.63,76000
2024-01-11,232.5,245,229,235,34400
2024-01-12,235.05,239,221.5,223,22400
2024-01-15,222.5,224.5,215,218.25,27200
2024-01-16,218.25,221.9,212.5,214.5,8000
2024-01-17,212.5,235.95,212,235.95,152800
2024-01-18,245,252.5,241,248.73,60800
2024-01-19,252.5,255.48,234,245.88,28000
2024-01-20,242.5,251.5,240.5,240.53,19200
2024-01-23,249.95,249.95,232.5,232.5,13600
2024-01-24,237.5,247.5,235,241.3,12000
2024-01-25,248,252.5,246.75,248.25,23200
2024-01-29,247.5,247.5,237.5,239,9600
2024-01-30,246.43,252.5,244.5,251.63,26400
2024-01-31,262.5,262.5,256,257.33,9600
2024-02-01,260,260,252.5,252.5,4000
2024-02-02,249.5,250,243.63,250,8800
2024-02-05,245.38,245.38,245,245,2400
2024-02-06,245,250,234,235.88,16800
2024-02-07,236.05,247.4,234.5,238.5,4800
2024-02-08,238.5,242.45,234.5,242.45,5600
2024-02-09,230,240.5,228,236.5,16000
2024-02-12,228,246.5,228,246.5,12800
2024-02-13,230.15,237.5,228,236.8,21600
2024-02-14,237.5,242.25,235,236.23,6400
2024-02-15,244.4,244.4,235.5,241,9600
2024-02-16,245,251.75,245,248.5,5600
2024-02-19,246,250,240,247,14400
2024-02-20,245,245.25,240.6,242.25,12800
2024-02-21,252,259,244.08,252,14400
2024-02-22,244.03,249.5,243,245,7200
2024-02-23,242.03,249.5,242.03,249.5,5600
2024-02-26,249.5,249.5,239.5,240.88,16000
2024-02-27,240,241,240,240.5,3200
2024-02-28,238.5,245.75,229.5,245,16000
2024-02-29,235.53,245,235.53,244.5,29600
2024-03-01,245.03,247.5,242.5,243.18,12000
2024-03-04,252.5,267.48,250,267.48,60000
2024-03-05,275,284.5,270.03,277.25,39200
2024-03-06,265,267.5,251.08,264.68,24800
2024-03-07,266,274.75,266,272.5,24800
