Date,Open,High,Low,Close,Volume
2017-10-05,68.25,68.25,52.5,65.63,472000
2017-10-06,54.38,63.88,54.38,62.43,19200
2017-10-09,63.44,65.58,61.95,64.93,40000
2017-10-10,64.75,65.58,63.48,64.97,40000
2017-10-11,63.04,65.8,63.04,65.28,38400
2017-10-12,66.24,66.24,64.79,65.63,27200
2017-10-13,65.63,66.24,65.63,65.93,24000
2017-10-16,65.63,65.98,65.63,65.76,14400
2017-10-17,66.06,66.24,65.63,65.98,19200
2017-10-18,65.63,65.76,65.63,65.67,9600
2017-10-19,65.8,66.06,65.63,65.98,6400
2017-10-23,65.98,65.98,65.98,65.98,3200
2017-10-24,65.8,65.8,62.17,64.75,17600
2017-10-25,64.05,65.63,64.05,65.63,8000
2017-10-26,65.19,65.63,64.93,65.23,20800
2017-10-27,64.31,64.31,64.27,64.27,3200
2017-10-30,65.28,65.63,64.75,65.63,6400
2017-10-31,63.09,65.58,63.09,65.58,4800
2017-11-01,63.53,65.58,63.53,65.58,3200
2017-11-02,66.06,66.06,64.05,65.06,12800
2017-11-03,64.84,64.84,64.75,64.75,4800
2017-11-06,65.19,65.19,64.75,64.75,3200
2017-11-07,64.75,65.41,64.75,65.19,9600
2017-11-08,62.39,64.09,62.39,64.09,6400
2017-11-09,64.09,64.75,64.09,64.75,4800
2017-11-10,63.44,64.31,63.44,64.31,4800
2017-11-13,64.75,67.59,64.75,66.15,24000
2017-11-14,64.75,66.5,64.75,65.93,16000
2017-11-15,66.33,66.33,65.19,65.19,3200
2017-11-16,63.44,65.58,63.44,65.19,12800
2017-11-17,63.44,63.44,63.44,63.44,1600
2017-11-20,62.56,63.09,62.56,63.09,3200
2017-11-21,63.88,63.88,63.88,63.88,1600
2017-11-23,64.75,64.75,64.75,64.75,1600
2017-11-24,65.98,65.98,62.13,62.13,3200
2017-11-27,63,63.44,63,63.44,6400
2017-11-28,63.44,63.44,63,63,3200
2017-11-29,65.54,65.63,65.19,65.41,9600
2017-11-30,63.53,63.53,63.53,63.53,1600
2017-12-01,62.83,64.75,62.83,64.53,4800
2017-12-05,64.01,65.19,62.34,62.34,16000
2017-12-06,64.75,65.63,64.31,64.75,8000
2017-12-07,65.63,65.63,65.63,65.63,1600
2017-12-08,65.45,65.63,65.45,65.63,6400
2017-12-11,65.63,66.28,65.63,66.28,8000
2017-12-12,62.39,66.28,62.39,66.28,12800
2017-12-13,63,65.8,63,65.23,17600
2017-12-14,65.45,66.11,64.05,66.06,14400
2017-12-15,64.84,66.15,64.84,65.67,4800
2017-12-18,64.75,64.75,64.75,64.75,1600
2017-12-19,65.76,65.76,65.63,65.63,8000
