Date,Open,High,Low,Close,Volume
2024-06-26,100.29,100.29,95.28,95.28,2098000
2024-06-27,90.54,90.54,90.54,90.54,50000
2024-06-28,86.03,86.03,86.03,86.03,14000
2024-07-01,81.75,81.75,81.75,81.75,22000
2024-07-02,77.66,84.38,77.66,80.51,2088000
2024-07-03,76.51,79.68,76.51,77.24,734000
2024-07-04,77.29,81.06,76.42,80.83,1506000
2024-07-05,84.84,84.84,84.65,84.84,494000
2024-07-08,89.07,89.07,89.07,89.07,104000
2024-07-09,93.48,93.48,84.65,85.25,1074000
2024-07-10,82.81,83.64,75.96,80.65,998000
2024-07-11,80.74,81.61,77.29,78.21,248000
2024-07-12,77.52,80.1,77.52,78.12,270000
2024-07-15,78.67,78.67,74.76,76.23,244000
2024-07-16,77.2,77.2,71.63,72.32,244000
2024-07-18,73.15,73.15,70.85,71.86,248000
2024-07-19,71.86,72.46,68.64,69.19,228000
2024-07-22,68.92,74.53,68.09,73.66,214000
2024-07-23,74.53,76.51,70.48,71.4,332000
2024-07-24,72.6,73.52,71.82,73.15,78000
2024-07-25,71.77,72.23,70.57,70.94,94000
2024-07-26,71.13,71.91,69.75,70.99,80000
2024-07-29,71.31,72.69,69.15,69.84,120000
2024-07-30,69.38,69.93,66.71,68,118000
2024-07-31,69.19,69.47,67.03,67.67,90000
2024-08-01,67.17,68.92,66.25,66.25,92000
2024-08-02,64.41,65.79,62.66,64.32,148000
2024-08-05,58.93,63.3,58.93,61.69,82000
2024-08-06,62.84,64.22,57.97,59.44,166000
2024-08-07,60.73,66.25,60.31,62.71,158000
2024-08-08,62.71,63.9,59.81,61,78000
2024-08-09,62.57,64.13,62.57,62.57,158000
2024-08-12,62.57,63.44,61.79,62.2,36000
2024-08-13,63.21,64.87,60.5,62.34,88000
2024-08-14,62.57,63.86,62.06,62.25,42000
2024-08-16,62.57,63.49,61.74,63.12,18000
2024-08-19,73.61,73.61,62.57,64.09,344000
2024-08-20,64.87,65.28,64.18,65.05,30000
2024-08-21,66.25,67.17,65.14,66.2,54000
2024-08-22,66.16,67.12,65.42,65.79,42000
2024-08-23,65.79,66.25,63.72,64.22,102000
2024-08-26,64.09,64.41,62.94,63.63,66000
2024-08-27,62.8,64.41,62.57,62.57,108000
2024-08-28,63.44,63.86,62.57,62.84,84000
2024-08-29,62.52,62.98,59.81,60.18,134000
2024-08-30,60.54,60.73,59.95,60.08,26000
2024-09-02,58.66,60.08,58.66,59.53,42000
2024-09-03,60.73,60.73,57.97,58.24,56000
2024-09-04,57.05,61.05,57.05,60.36,88000
2024-09-05,61.6,66.25,61.14,65.47,176000
2024-09-06,65.51,67.08,63.49,63.49,44000
2024-09-09,64.96,64.96,61.19,62.11,58000
2024-09-10,62.38,62.94,61.51,62.71,26000
2024-09-11,64.36,64.36,60.87,61.23,40000
2024-09-12,61.42,63.12,61.42,62.38,30000
2024-09-13,61.19,62.02,60.73,61.19,46000
2024-09-16,60.5,61.46,58.98,59.72,56000
2024-09-17,60.04,60.04,58.66,59.39,60000
2024-09-18,60.64,61.28,59.53,60.96,40000
2024-09-19,61.46,61.46,58.57,59.26,36000
2024-09-20,58.89,59.53,58.2,58.66,52000
2024-09-23,58.98,62.48,57.97,60.41,116000
2024-09-24,61.19,62.38,60.36,60.73,78000
2024-09-25,61.56,62.75,60.41,62.11,138000
2024-09-26,63.03,65.33,61.28,62.2,246000
2024-09-27,63.4,64.78,60.82,61.05,176000
2024-09-30,61.1,61.1,59.26,59.95,36000
2024-10-01,59.99,62.57,59.99,61.83,74000
2024-10-03,60.41,62.29,59.81,60.18,60000
2024-10-04,62.02,62.02,57.97,58.84,278000
2024-10-07,58.11,59.81,55.21,58.34,150000
2024-10-08,58.34,59.81,58.34,59.21,16000
2024-10-09,59.67,59.81,58.11,58.11,12000
2024-10-10,58.11,58.89,57.97,58.2,14000
2024-10-11,59.81,59.81,57.78,58.15,32000
2024-10-14,59.58,59.58,57.51,57.51,18000
2024-10-15,57.55,58.8,57.55,57.88,20000
2024-10-16,57.92,57.92,57.28,57.83,18000
2024-10-17,57.83,58.15,57.05,57.46,54000
2024-10-18,56.13,58.61,56.13,57.14,96000
2024-10-21,56.73,57.19,55.48,55.9,66000
2024-10-22,55.71,55.71,53.83,53.83,64000
2024-10-23,54.24,55.25,53.37,55.21,106000
2024-10-24,54.66,55.07,54.01,55.07,22000
2024-10-25,54.38,54.84,52.81,52.81,66000
2024-10-28,53.37,53.37,51.25,52.03,54000
2024-10-29,52.91,52.91,51.25,52.22,40000
2024-10-30,51.53,52.91,51.53,52.54,30000
2024-10-31,52.91,55.21,52.91,54.38,28000
2024-11-01,54.38,55.67,54.38,54.75,12000
2024-11-04,54.75,54.89,54.01,54.56,50000
2024-11-05,54.56,55.12,53.78,53.78,24000
2024-11-06,53.6,55.94,53.6,55.94,22000
2024-11-07,55.94,56.4,54.38,55.99,36000
2024-11-08,55.02,55.94,54.56,54.56,22000
2024-11-11,54.29,55.3,53.5,53.92,16000
2024-11-12,54.29,54.29,52.63,52.81,84000
2024-11-13,53.74,53.74,49.87,50.42,110000
2024-11-14,52.45,58.43,51.39,52.17,332000
2024-11-18,53.83,53.83,49.69,51.16,144000
2024-11-19,52.68,54.7,51.85,52.91,90000
2024-11-21,54.1,54.1,52.26,53.37,40000
2024-11-22,53.37,55.21,53.27,53.41,58000
2024-11-25,53.83,56.45,53.55,55.9,92000
2024-11-26,55.9,58.24,55.9,56.96,96000
2024-11-27,56.96,57.42,54.98,56.45,48000
2024-11-28,56.5,56.82,55.21,56.59,48000
2024-11-29,56.59,58.2,55.9,56.13,50000
2024-12-02,56.13,56.13,54.38,55.44,30000
2024-12-03,55.85,58.2,55.85,56.59,50000
2024-12-04,56.59,56.77,55.58,55.76,34000
2024-12-05,56.77,58.8,55.39,57.88,58000
2024-12-06,57.88,57.97,57.05,57.42,16000
2024-12-09,57.88,59.81,56.59,58.98,82000
2024-12-10,58.06,58.52,58.06,58.38,16000
2024-12-11,58.38,59.26,57.51,58.98,40000
2024-12-12,58.84,58.84,57.09,57.09,8000
2024-12-13,57.09,58.57,57.09,57.97,40000
2024-12-16,58.01,58.47,57.46,58.47,26000
2024-12-17,58.34,58.34,57.28,57.42,36000
2024-12-18,57.51,57.55,57.14,57.14,14000
2024-12-19,56.5,56.5,55.99,56.13,30000
2024-12-20,56.13,56.13,54.38,54.52,46000
2024-12-23,54.56,56.59,54.56,55.16,52000
2024-12-24,55.21,55.35,54.47,54.56,12000
2024-12-26,54.75,55.35,54.38,54.38,34000
2024-12-27,54.29,56.08,53.83,54.06,32000
2024-12-30,54.75,54.75,53.92,53.97,24000
2024-12-31,54.24,54.24,53.5,54.2,18000
2025-01-01,53.6,54.38,53.6,53.87,28000
2025-01-02,53.83,54.01,53.5,53.74,18000
2025-01-03,54.06,54.98,53.6,54.38,36000
2025-01-06,54.2,54.66,48.77,50.88,140000
2025-01-07,52.4,54.06,52.4,53.27,20000
2025-01-08,52.68,52.86,52.08,52.86,10000
2025-01-09,52.54,52.63,50.88,51.3,26000
2025-01-10,51.43,51.43,50.61,50.93,12000
2025-01-13,48.4,50.56,48.4,48.86,58000
2025-01-14,48.86,49.59,48.12,49.59,12000
2025-01-15,49.87,51.16,49.87,50.61,6000
2025-01-16,48.4,49.41,48.4,49.23,34000
2025-01-17,49.69,49.69,48.03,49.41,50000
2025-01-20,47.89,48.86,47.16,48.03,36000
2025-01-21,49.18,49.18,46.28,47.29,78000
2025-01-22,47.85,48.17,47.02,47.02,10000
2025-01-23,47.85,47.85,47.02,47.02,8000
2025-01-24,46.1,47.62,46.1,46.7,26000
2025-01-27,46.01,46.97,45.32,45.32,26000
2025-01-28,45.27,45.32,44.21,45.04,52000
2025-01-29,43.71,46.65,43.71,46.19,28000
2025-01-30,47.11,47.11,45.96,46.37,20000
2025-01-31,47.8,50.61,47.8,50.01,56000
2025-02-01,50.01,52.91,50.01,52.31,38000
2025-02-03,51.34,51.53,49.69,50.1,16000
2025-02-04,51.76,51.99,51.34,51.99,8000
2025-02-06,52.45,52.45,49.87,50.15,16000
2025-02-07,50.15,51.07,48.81,48.81,18000
2025-02-10,49.27,49.27,48.49,48.49,10000
2025-02-11,47.85,47.85,46.01,46.47,48000
2025-02-12,45.13,45.96,45.09,45.13,34000
2025-02-13,45.27,45.55,44.26,45.36,66000
2025-02-14,45.36,45.36,45.09,45.09,6000
2025-02-17,44.17,44.17,43.8,44.17,10000
2025-02-18,44.17,44.17,42.33,42.46,28000
2025-02-19,42.46,42.65,40.95,42.46,32000
2025-02-20,41.77,43.71,41.77,43.71,30000
2025-02-21,45.55,46.01,42.33,42.88,40000
2025-02-24,42.88,42.88,42.33,42.46,20000
2025-02-25,42.79,43.06,41.64,41.68,16000
2025-02-27,42.69,42.69,41.22,41.27,18000
2025-02-28,41.27,41.27,38.88,40.26,38000
2025-03-03,41.41,41.41,38.74,38.74,18000
2025-03-04,38.6,38.6,37.72,38.32,6000
2025-03-05,38.32,39.52,38.18,38.28,42000
2025-03-06,38.32,40.03,38.18,39.11,38000
2025-03-07,38.65,39.43,37.86,38.09,90000
2025-03-10,36.53,37.72,36.53,37.26,34000
2025-03-11,36.8,36.8,35.61,35.79,38000
2025-03-12,35.7,36.11,35.19,35.19,28000
2025-03-13,36.71,36.71,34.87,34.87,76000
2025-03-17,36.71,36.71,32.76,33.03,94000
2025-03-18,33.81,33.81,31.38,32.39,78000
2025-03-19,31.56,34.64,30.46,33.58,146000
2025-03-20,33.58,34.41,32.66,33.31,90000
2025-03-21,33.17,33.95,32.76,33.17,52000
2025-03-24,34.04,35.42,33.95,34.96,98000
2025-03-25,34.41,34.41,33.4,33.49,126000
2025-03-26,33.17,36.21,32.71,33.63,156000
2025-03-27,32.25,34.83,31.28,31.65,166000
2025-03-28,31.33,31.51,30.46,31.01,152000
2025-04-01,33.12,37.17,33.12,37.17,210000
2025-04-02,38.83,44.3,36.34,43.8,156000
2025-04-03,44.67,45.78,43.25,44.17,36000
2025-04-04,45.59,51.53,45.59,49.23,156000
2025-04-07,47.29,48.67,45.64,47.89,30000
2025-04-08,50.15,51.02,47.71,50.1,34000
2025-04-11,48.35,49,48.35,49,26000
2025-04-15,48.95,48.95,46.24,46.24,28000
2025-04-16,46.28,46.28,46.28,46.28,2000
2025-04-17,44.4,44.4,42.46,43.48,20000
2025-04-21,44.03,44.03,42.79,42.79,14000
2025-04-22,44.76,47.06,44.76,47.06,20000
2025-04-23,46.65,48.67,46.6,48.49,10000
2025-04-24,46.79,46.79,45.64,46.19,8000
2025-04-25,45.55,45.78,41.73,45.78,46000
2025-04-28,41.96,45.91,41.96,45.91,22000
