Date,Open,High,Low,Close,Volume
2004-12-31,9,13.65,9,13.3,7928410
2005-01-03,13.5,15.48,13.23,14.86,5713657
2005-01-04,14.5,15.25,13.61,13.79,2243230
2005-01-05,13.85,14.75,12.43,13.43,3079251
2005-01-06,13.01,15.79,13.01,14.67,4092001
2005-01-07,13.87,15.14,13.87,14.8,1501811
2005-01-10,15.2,15.84,14.76,14.97,1270071
2005-01-11,14.97,15.7,14.7,15.25,1194304
2005-01-12,15.45,15.63,14.23,14.84,1032497
2005-01-13,15.15,15.45,15.01,15.25,403948
2005-01-14,15.38,16.49,14.83,15.41,1704603
2005-01-17,15.62,15.62,14.4,14.56,490737
2005-01-18,14.65,14.8,14.25,14.4,323999
2005-01-19,14.58,15.05,14.31,14.38,415969
2005-01-20,14.38,14.48,13.4,13.99,249333
2005-01-24,14.15,14.27,13.66,13.81,185877
2005-01-25,13.83,13.99,13.61,13.81,111954
2005-01-27,13.96,14.6,13.78,14.39,336178
2005-01-28,14.5,16.63,14.41,16.29,1529774
2005-01-31,16.01,17.08,15.82,16.24,1314669
2005-02-01,16.25,16.85,16.13,16.34,851264
2005-02-02,16.5,17.39,16.35,16.74,1183225
2005-02-03,16.94,17.37,16.26,17.08,1180220
2005-02-04,17,20.27,16.55,18.57,3788283
2005-02-07,18.7,19.34,17.92,18.17,2019242
2005-02-08,18.2,18.85,17.84,18.29,929268
2005-02-09,18.49,18.5,17.66,17.82,380518
2005-02-10,17.9,18.89,17,18.29,747098
2005-02-11,18.21,18.99,17.9,18.17,865367
2005-02-14,18.39,18.76,17.85,17.98,379226
2005-02-15,18.14,18.75,17.52,17.75,1025699
2005-02-16,17.89,18.15,17.02,17.16,621822
2005-02-17,17.1,17.24,16.46,16.62,412676
2005-02-18,16.8,17.68,16.75,17.29,856913
2005-02-21,17.49,17.49,16.56,16.7,325011
2005-02-22,16.75,16.9,16.42,16.53,277895
2005-02-23,16.64,17.3,16.4,16.74,432981
2005-02-24,16.8,17.13,16.42,16.56,230861
2005-02-25,16.7,16.87,15.73,15.92,231139
2005-02-28,15.8,19,15.3,18.69,2055908
2005-03-01,18.8,18.8,17.22,17.32,1299914
2005-03-02,17.35,17.85,17.25,17.34,564176
2005-03-03,17.4,17.6,17.21,17.42,293036
2005-03-04,17.57,17.85,17,17.13,277582
2005-03-07,17.19,17.34,16.81,16.93,199302
2005-03-08,17.03,17.7,16.68,17.06,306840
2005-03-09,17.1,17.43,16.15,16.31,217618
2005-03-10,16.27,16.69,16.03,16.21,186651
2005-03-11,17,17,16.06,16.14,232453
2005-03-14,16.4,16.74,15.85,16.39,198528
2005-03-15,16.43,18.04,16.22,17.04,1800015
2005-03-16,17.21,17.35,16.27,16.41,377436
2005-03-17,16.3,16.44,15.65,15.86,235577
2005-03-18,15.89,16.27,15.61,15.89,302651
2005-03-21,16.09,16.37,15.51,15.6,165395
2005-03-22,15.69,15.87,14.71,14.79,193777
2005-03-23,14.88,14.94,14,14.16,178191
2005-03-24,14.2,14.59,13.2,14.17,318410
2005-03-28,14.3,15.1,14.06,14.75,322207
2005-03-29,14.89,14.89,13.95,14.29,157184
2005-03-30,14.4,14.85,14.02,14.61,188498
2005-03-31,14.75,15.38,14.62,15.09,230492
2005-04-01,15.15,16.39,14.85,16.13,399978
2005-04-04,15.5,16.25,15.34,15.5,201067
2005-04-05,15.5,16.3,15.41,15.73,300719
2005-04-06,15.9,16.68,15.73,16.42,485219
2005-04-07,16.51,16.9,16.02,16.13,269026
2005-04-08,16.18,16.2,15.26,15.39,195423
2005-04-11,15.5,15.94,15.11,15.42,266050
2005-04-12,15.58,15.93,15.41,15.59,127879
2005-04-13,15.74,15.88,15.41,15.61,113036
2005-04-15,15.81,15.81,14.2,15,279138
2005-04-18,14.55,15.6,14.2,15.14,244349
2005-04-19,15.4,15.74,14.5,14.81,161222
2005-04-20,14.81,15.49,14.57,15.13,224526
2005-04-21,15.3,15.3,14.8,15.15,83062
2005-04-22,15.25,15.3,14.7,14.96,103368
2005-04-25,14.95,15.1,14.82,14.85,55597
2005-04-26,14.85,15.17,14.52,14.81,61944
2005-04-27,14.85,15,14.25,14.49,46235
2005-04-28,14.75,15,14.5,14.61,39394
2005-04-29,14.6,14.8,14.16,14.39,65233
2005-05-02,14.5,14.65,13.98,14.25,40067
2005-05-03,14.28,14.73,14.2,14.32,80483
2005-05-04,14.55,14.77,14.13,14.32,159043
2005-05-05,14.5,14.5,14.19,14.28,87463
2005-05-06,14.26,14.4,14,14.25,36411
2005-05-09,14.4,14.5,14.3,14.48,40272
2005-05-10,14.55,14.79,14.27,14.39,249628
2005-05-11,14.21,14.75,14.2,14.63,115929
2005-05-12,14.41,14.99,14.41,14.81,49201
2005-05-13,14.79,14.88,14.21,14.36,37615
2005-05-16,14.4,14.63,14.25,14.46,59200
2005-05-17,14.5,14.6,14.1,14.2,38364
2005-05-18,14.2,14.39,13.9,13.96,28703
2005-05-19,14.1,14.35,13.85,13.89,106046
2005-05-20,14.02,14.09,13.5,13.62,30470
2005-05-23,13.7,13.78,13.2,13.28,23165
2005-05-24,13.45,13.45,13.15,13.23,23939
2005-05-25,13.06,13.9,13,13.37,92618
2005-05-26,13.5,13.75,13.32,13.46,31034
2005-05-27,13.54,13.8,13.1,13.18,23290
2005-05-30,13.48,13.49,12.85,12.9,21667
2005-05-31,13,13.19,12.9,13.01,57627
2005-06-01,13.1,13.8,12.95,13.48,113565
2005-06-02,13.65,13.65,13.2,13.23,20108
2005-06-03,13.2,13.45,13.01,13.12,14455
2005-06-04,13.13,13.34,13.08,13.25,13295
2005-06-06,13.33,13.45,13.11,13.37,21194
2005-06-07,13.4,13.65,13.33,13.49,22083
2005-06-08,13.4,13.6,13.11,13.22,25754
2005-06-09,13.4,13.4,13.09,13.17,12787
2005-06-10,13.4,13.4,12.82,12.88,44763
2005-06-13,13,13.18,12.82,12.93,23068
2005-06-14,13,13.4,12.9,13.05,54561
2005-06-15,13.29,15.44,13.12,14.81,944821
2005-06-16,14.99,14.99,13.93,14.03,398923
2005-06-17,14.17,14.17,13.45,13.57,109413
2005-06-20,13.67,14.1,13.22,13.34,148653
2005-06-21,13.33,13.8,13.33,13.64,69278
2005-06-22,13.8,16,13.6,13.69,131682
2005-06-23,13.5,14.3,13.5,13.94,78349
2005-06-24,13.8,14.75,13.1,14.43,265499
2005-06-27,14.6,14.9,14.15,14.26,115439
2005-06-28,14.6,15.3,14.3,14.39,364531
2005-06-29,14.4,14.87,14.22,14.59,122356
2005-06-30,14.69,15.39,14.69,15.18,198698
2005-07-01,15.39,15.6,15,15.36,247478
2005-07-04,15.36,15.88,15.05,15.25,186535
2005-07-05,15.47,15.49,14.8,14.89,90544
2005-07-06,15.18,15.35,14.86,14.93,102709
2005-07-07,15.05,15.2,14.71,14.75,42353
2005-07-08,14.85,15.05,14.65,14.79,45448
2005-07-11,14.99,15.94,14.63,15.69,192511
2005-07-12,15.89,16.17,15.05,15.74,198321
2005-07-13,15.9,16.75,15.64,16.1,173853
2005-07-14,16.34,16.7,15.77,16.21,207425
2005-07-15,16.5,17.1,15.41,16.69,1129142
2005-07-18,17,17.79,16.6,17.2,222594
2005-07-19,17.48,18.34,17.33,18.08,309882
2005-07-20,18.3,18.62,17.9,18.03,166286
2005-07-21,18.29,18.45,17.2,17.53,102191
2005-07-22,17.55,17.83,17.33,17.64,74707
2005-07-25,18.15,18.99,17.21,18.47,198114
2005-07-26,18.01,18.74,17.14,18.62,126025
2005-07-27,18.14,18.65,18.1,18.18,19620
2005-07-29,17.61,18.12,17.61,18.01,77882
2005-08-01,20.5,20.5,17.8,17.99,50302
2005-08-02,18.43,18.6,18.1,18.46,37154
2005-08-03,18.41,19.8,18.35,19.13,378625
2005-08-04,19.98,19.98,19.3,19.44,244449
2005-08-05,19.9,20.38,19.36,19.91,495351
2005-08-08,20.2,21,19.9,20.03,224844
2005-08-09,20.1,20.49,19.41,19.67,116224
2005-08-10,20,21.23,19.8,20.77,336377
2005-08-11,21.1,24,20.85,22.14,389698
2005-08-12,22.6,23.48,21.87,22.05,179656
2005-08-16,23.2,23.2,20.5,22.68,106064
2005-08-17,23.98,23.98,22,22.62,91074
2005-08-18,23.98,23.98,21.1,21.19,78983
2005-08-19,20.51,21.78,20.51,20.75,66830
2005-08-22,20.05,21.2,20.05,20.45,53204
2005-08-23,24.4,24.4,19.85,20.11,36735
2005-08-24,19.5,20.5,19.5,20.04,54236
2005-08-25,20.5,20.78,20.1,20.7,30560
2005-08-26,20.82,21.8,20.73,21.55,68154
2005-08-29,22.4,23,22.1,22.37,174612
2005-08-30,22.6,23.2,22.5,22.62,109222
2005-08-31,22.7,23.09,22.4,22.7,85882
2005-09-01,23.2,23.2,22.5,22.66,44354
2005-09-02,23.5,23.5,22.2,22.32,19416
2005-09-05,23,23,20.72,21.91,21022
2005-09-06,25,25,21.6,21.84,19971
2005-09-08,21.85,22.45,21.61,21.72,23986
2005-09-09,21.84,22,21.31,21.41,16970
2005-09-12,21.9,21.9,21.43,21.56,11456
2005-09-13,22,22,21.5,21.72,23844
2005-09-14,21.91,22.8,21.61,22.03,47746
2005-09-15,22.48,22.48,21.75,21.83,14257
2005-09-16,22.1,22.1,21.5,21.66,11421
2005-09-19,22.1,22.6,21.6,22.26,40769
2005-09-20,22.2,22.9,21.8,21.96,43444
2005-09-21,20.8,22.7,20,20.91,34073
2005-09-22,20.9,21,19,19.82,56027
2005-09-23,19.31,20.2,19.1,20.04,60847
2005-09-26,21.5,21.5,20.1,20.71,10434
2005-09-27,20.62,21.8,20.51,21.11,11263
2005-09-28,21.2,22,20.7,21.11,6181
2005-09-29,19.27,21.6,19.27,21.13,21235
2005-09-30,20.53,21.4,20.53,21.05,14737
2005-10-03,22,22,20.31,21.23,31972
2005-10-04,21.4,22.3,20.91,21.9,34690
2005-10-05,22,22.84,21.2,21.8,75120
2005-10-06,21.88,22,21.3,21.51,16137
2005-10-07,21.55,22.3,21.55,21.76,14960
2005-10-10,22,22.15,20.8,20.94,17040
2005-10-11,20.6,20.99,20.2,20.49,17853
2005-10-13,20.01,22,19.83,20.23,24853
2005-10-14,20.35,21.2,20,20.13,23057
2005-10-17,20.11,21,19.8,20.34,127898
2005-10-18,20.54,21.39,20.21,20.71,79913
2005-10-19,21.3,21.3,19.9,20.08,19550
2005-10-20,20.01,21.05,19.2,19.42,21511
2005-10-21,19.8,20.5,18.85,19.97,31563
2005-10-24,19.51,20.6,19.51,20.15,10785
2005-10-25,20.2,20.3,19.86,20.06,6628
2005-10-26,20.01,20.5,20.01,20.21,14256
2005-10-27,21.05,21.05,19.35,19.88,12445
2005-10-28,19.01,20.1,19.01,19.63,7095
2005-10-31,19.01,19.7,18.72,18.91,11654
2005-11-01,19.4,19.44,19.03,19.18,3043
2005-11-02,19.6,19.6,18.7,18.92,4961
2005-11-07,19.99,19.99,19.01,19.55,21119
2005-11-08,20.9,20.9,19.01,19.42,10004
2005-11-09,19.11,19.8,19.1,19.13,3423
2005-11-10,19.17,19.5,18.85,18.94,4254
2005-11-11,18.81,19.28,18.8,18.96,33501
2005-11-14,19.11,19.55,18.72,18.85,22597
2005-11-16,17.51,20,17.51,18.74,5633
2005-11-17,19.5,19.5,18.61,18.79,16062
2005-11-18,18.73,19.09,18.63,18.8,35127
2005-11-21,18.85,18.9,17.7,17.96,15903
2005-11-22,17.91,18.48,17.85,17.93,13923
2005-11-23,18.6,18.6,18.01,18.1,6468
2005-11-24,18.36,19.08,18.15,18.49,20701
2005-11-25,18.01,20.98,18.01,19.54,126168
2005-11-26,19.95,20,19.5,19.89,20007
2005-11-28,19.01,20.25,19.01,19.87,51760
2005-11-29,19.87,19.87,18.75,18.99,38690
2005-11-30,18.01,19.85,18.01,18.79,38024
2005-12-01,18.51,19.25,18.51,18.77,21216
2005-12-02,19.6,19.6,18.37,18.53,16063
2005-12-05,18.6,18.9,18.4,18.57,9059
2005-12-06,18.74,18.8,18.31,18.42,12592
2005-12-07,18.29,19,18.29,18.73,18351
2005-12-08,19,20.09,18.82,19.56,118209
2005-12-09,20.17,20.17,19.11,19.42,96326
2005-12-12,19.7,19.79,19.2,19.59,172199
2005-12-13,19,20.44,19,20.04,763055
2005-12-14,19.41,21.3,19.41,20.69,522838
2005-12-15,20.6,21.49,20.2,20.37,267298
2005-12-16,20.39,20.98,20.13,20.21,180531
2005-12-19,20.25,22.25,20.25,21.93,871486
2005-12-20,21.6,23.37,21.16,22.01,846506
2005-12-21,22.28,22.39,21.5,21.92,172496
2005-12-22,22.19,22.65,21.92,22.25,176437
2005-12-23,22.5,23.7,22.35,22.76,861794
2005-12-26,22.21,24,21.41,21.52,284987
2005-12-27,21.21,22.35,21.2,22.1,198998
2005-12-28,22.5,22.5,21.9,22.25,126746
2005-12-29,22.25,22.88,22.13,22.59,120886
2005-12-30,22.11,23.49,22.11,23.01,286556
2006-01-02,23,23.98,22.9,23.56,365064
2006-01-03,23.73,23.98,23.26,23.4,287347
2006-01-04,22.81,23.65,22.71,23.08,113368
2006-01-05,23.2,23.27,22.51,23.03,98684
2006-01-06,24.9,24.9,22,23.46,204720
2006-01-09,23.5,24.07,23,23.63,318697
2006-01-10,22.21,24.36,22.21,23.7,363428
2006-01-12,22.51,25.35,22.51,24.01,645193
2006-01-13,24.24,24.72,23.91,24.02,236205
2006-01-16,24.1,24.64,23.9,24.12,318991
2006-01-17,24.4,24.98,23.84,24.13,278383
2006-01-18,24.45,24.59,23.76,23.99,140683
2006-01-19,23.01,27.75,23.01,26.28,1874941
2006-01-20,26.49,27.29,25.1,25.82,936602
2006-01-23,25.81,26.88,25.5,26.23,378064
2006-01-24,27,28.59,26.5,26.71,434034
2006-01-25,26.5,27.09,23.76,24.55,297921
2006-01-27,25,26.45,24.62,25.34,339721
2006-01-30,25.64,25.73,23.45,23.65,169976
2006-01-31,23.65,24.93,23.2,23.93,214947
2006-02-01,24.17,24.18,22.1,22.84,202830
2006-02-02,22.95,23.9,22.3,23.54,263157
2006-02-03,23.62,24.63,23.37,24.12,385670
2006-02-06,24.4,24.4,23.1,23.42,263309
2006-02-07,23.62,28.11,23.18,27.22,1345015
2006-02-08,27.49,27.5,26,26.25,1056390
2006-02-10,26.31,27.09,25.46,26.07,709922
2006-02-13,26,27.45,25.81,27.12,450246
2006-02-14,27.1,30.76,26.73,28.8,2876213
2006-02-15,29.25,29.95,27.65,27.85,1046773
2006-02-16,28,29.2,27.6,27.97,612275
2006-02-17,28.19,28.57,26.02,26.36,380300
2006-02-20,26.45,26.87,24.8,25.83,431138
2006-02-21,25.44,26.87,25.16,25.82,733793
2006-02-22,25.9,25.99,24.65,24.86,347112
2006-02-23,25.2,26.29,24.65,24.98,563329
2006-02-24,24.8,25.18,24.24,24.55,545802
2006-02-27,24.5,25.4,24.21,24.32,370402
2006-02-28,24.48,24.6,23.33,23.89,356952
2006-03-01,24.2,25.2,23.71,24.53,419125
2006-03-02,24.6,25.06,23.91,24.06,158339
2006-03-03,24.28,24.78,23.85,24.27,156208
2006-03-06,24.4,26.33,23.95,26,535086
2006-03-07,26.17,26.39,25.26,25.43,609510
2006-03-08,25.65,25.74,24.26,24.42,237022
2006-03-09,24.5,25.19,23.8,24.23,399378
2006-03-10,24.4,24.59,23.55,23.69,266714
2006-03-13,23.8,24.89,22.5,24.43,453802
2006-03-14,24.6,24.84,23.41,23.54,199981
2006-03-16,23.67,24.5,23.67,24.27,178026
2006-03-17,24.41,24.5,23.38,23.53,83096
2006-03-20,23.65,24.1,23.45,23.58,101107
2006-03-21,23.82,25.4,23.73,25.07,427020
2006-03-22,25.25,25.5,24.11,24.25,318877
2006-03-23,24.48,24.9,23.94,24.28,174835
2006-03-24,24.5,24.84,23.95,24.63,93026
2006-03-27,24.6,25.07,24.52,24.75,95275
2006-03-28,25,26.1,24.82,25.21,320746
2006-03-29,25.68,27.2,25.5,26.52,613159
2006-03-30,27.2,27.5,26.33,26.57,338427
2006-03-31,26.5,26.78,25.57,25.7,197650
2006-04-03,25.9,26.89,25.8,26.5,446448
2006-04-04,26.8,27.38,26.5,26.59,269566
2006-04-05,26.9,26.94,26.13,26.35,134867
2006-04-07,26.6,27.24,25.6,25.88,300474
2006-04-10,26.04,26.73,25.56,26.47,183069
2006-04-12,26.79,27.62,25.51,25.89,250154
2006-04-13,25.88,25.88,24.16,24.58,121276
2006-04-17,24.8,25.7,24.8,25.33,97127
2006-04-18,25.69,26.3,25.24,26.11,149650
2006-04-19,26.48,27,25.93,26.53,389490
2006-04-20,26.82,27.37,26.41,26.7,257225
2006-04-21,26.56,27.1,26,26.63,141720
2006-04-24,26.9,26.97,26.21,26.42,86491
2006-04-25,26.53,27.04,26.14,26.3,106217
2006-04-26,26.38,26.7,26.2,26.43,64508
2006-04-27,26.7,26.98,26.4,26.46,63801
2006-04-28,25.82,26.5,22.1,25.78,86308
2006-04-29,25.6,26.78,24.58,24.87,194440
2006-05-02,24.57,24.99,24.42,24.66,102062
2006-05-03,24.24,24.99,23.62,23.77,58720
2006-05-04,23.98,24.35,22.7,22.81,72819
2006-05-05,22.81,23.4,22.2,22.36,66354
