Date,Open,High,Low,Close,Volume
2022-07-27,71.8,73.4,68,68.3,15596
2022-07-28,71.7,71.7,69.55,71.33,32325
2022-07-29,74.5,74.88,72.83,74.88,44133
2022-08-01,78.6,78.6,78.6,78.6,13427
2022-08-02,82.53,82.53,78.78,82.53,78968
2022-08-03,86.65,86.65,80.3,85.6,159329
2022-08-04,86.5,86.83,81.33,81.33,56874
2022-08-05,79.1,81.33,77.28,77.28,47282
2022-08-08,74.5,81.13,74.08,81.13,91695
2022-08-10,81.25,83.5,77.5,78.2,52357
2022-08-11,75.75,77.5,74.3,74.3,36279
2022-08-12,74,76,70.55,71.85,53342
2022-08-16,71.95,75.43,71.78,72.18,28388
2022-08-17,71.5,74.4,71.3,72.88,31676
2022-08-18,74.95,75,72.53,73.83,23005
2022-08-19,73,75,71.65,74.43,24426
2022-08-22,75.5,76.7,70.73,71.55,32845
2022-08-23,73.8,73.95,71.53,73.33,13316
2022-08-24,75.95,75.95,71.98,72.65,19457
2022-08-25,73.23,74.53,71.5,72,20066
2022-08-26,72,75.25,71.13,73.3,42123
2022-08-29,70.28,74.38,70.28,73.8,17504
2022-08-30,75.35,77.48,73.55,77.48,37965
2022-09-01,77.5,81.33,77.48,81.33,54510
2022-09-02,85,85.35,80.68,81.88,51613
2022-09-05,80,85,79.28,84.23,34268
2022-09-06,85.5,85.5,81.33,82.1,31934
2022-09-07,80.45,82.5,80.45,81.78,17461
2022-09-08,80.3,84.23,80.3,82.25,35574
2022-09-09,83.95,83.95,79.75,82,25901
2022-09-12,82,83.73,80.38,80.93,22387
2022-09-13,83,83,77.68,79.53,33880
2022-09-14,76.5,81.6,76.5,79.83,22491
2022-09-15,78.63,81.5,78.53,79.43,20511
2022-09-16,79.58,79.58,76.13,77.53,25441
2022-09-19,77.5,81.4,77.5,80.73,50159
2022-09-20,83.9,84,79.5,80.68,22051
2022-09-21,81,82.48,78,78.55,11296
2022-09-22,78.38,79.75,76.13,76.8,13847
2022-09-23,79,79.03,73.7,74.58,30743
2022-09-26,72.03,74.15,70.85,71.88,31099
2022-09-27,72.48,73.93,68.3,68.53,67501
2022-09-28,66.5,70.73,65.78,69.4,16201
2022-09-29,72.73,72.73,67.95,69.88,9156
2022-09-30,73.25,73.35,70,73.35,16354
2022-10-03,73.35,73.35,69.7,70.35,25458
2022-10-04,71.5,72.48,70.53,71.2,13767
2022-10-06,74.5,74.75,71.2,74.75,18103
2022-10-07,76.98,78.48,75.55,78.15,40192
2022-10-10,81.2,85.95,78.5,84.18,74597
2022-10-11,87.5,89.7,81.75,82.18,58917
2022-10-12,86.25,86.25,78.68,81.93,25638
2022-10-13,84,84.75,79.75,80.78,19108
2022-10-14,82.5,82.98,78.5,80.25,18430
2022-10-17,83,88,80.03,86.55,62160
2022-10-18,94.5,94.5,87.83,93.13,132115
2022-10-19,95.5,95.5,89.55,91.98,80937
2022-10-20,93.45,93.45,87.5,88.25,41515
2022-10-21,91,91,86.5,87.23,28446
2022-10-24,83.68,90.98,83.68,89.1,22128
2022-10-25,91,91.98,85.05,86.93,20384
2022-10-27,88.5,92,87.38,91.03,62558
2022-10-28,91.5,92.5,88.9,89.6,26713
2022-10-31,92.5,92.5,87.53,89.35,30549
2022-11-01,88.25,93.5,88.25,89.98,36259
2022-11-02,91.98,91.98,88,88.63,29471
2022-11-03,89.25,91.18,87.48,89.05,17679
2022-11-04,90.5,90.95,88,88.53,26399
2022-11-07,90.95,91.5,87.65,88.75,18792
2022-11-09,90,91.25,88.58,89.48,27003
2022-11-10,91,92,88,89.35,23247
2022-11-11,91.9,91.9,88.55,89.5,22266
2022-11-14,88.5,88.5,81.58,82.65,117013
2022-11-15,85.93,85.93,81.2,83,36752
2022-11-16,82.83,86.5,82.83,84.08,23208
2022-11-17,85.45,85.45,83.05,83.6,12081
2022-11-18,84.88,84.88,81.03,82.73,16698
2022-11-21,81.08,83,80.5,81.28,22116
2022-11-22,82.75,82.75,79.2,80.2,24041
2022-11-23,80.93,82.48,79.75,81.6,20431
2022-11-24,82.5,83.85,79.58,81.43,35757
