Date,Open,High,Low,Close,Volume
2025-06-24,243.2,255.35,243.2,255.35,1265000
2025-06-25,258,267.9,245.6,251.7,1642000
2025-06-26,251.7,252,239.15,239.2,570000
2025-06-27,233.2,251.15,230.2,251,330000
2025-06-30,249,254.55,242.05,246.35,206000
2025-07-01,241,245,234.05,234.05,194000
2025-07-02,228.65,235.8,222.35,222.35,187000
2025-07-03,220,231.8,212.05,225.5,116000
2025-07-04,225.5,236.75,215.35,236.25,122000
2025-07-07,236.9,237.65,228.1,236.35,110000
2025-07-08,238,242,221,223.2,260000
2025-07-09,220.2,222,207,209.25,241000
2025-07-10,208,216,194,199.65,391000
2025-07-11,196,235,188.1,225.55,694000
2025-07-14,233,236.1,217,219.75,278000
2025-07-15,215,222,205,206.6,146000
2025-07-17,206.6,209,202,203.2,52000
2025-07-18,203.2,207.85,200,201.2,67000
2025-07-21,199.05,210.5,193,200.8,416000
2025-07-22,205,212,200,206.2,260000
2025-07-23,202.35,211,202.35,206.55,49000
2025-07-24,205.05,208,200.05,202.65,70000
2025-07-25,202,202.9,196.95,199.2,73000
2025-07-28,205,213.85,199.5,200.1,155000
2025-07-29,200.2,203.45,198.5,200.15,42000
2025-07-30,196,205.2,195,201.75,88000
2025-07-31,201.05,214.85,195.05,209.1,112000
2025-08-01,205,208.9,201,203.8,64000
2025-08-04,204,204,199.95,201.75,43000
2025-08-05,200.95,200.95,194,196.25,51000
2025-08-06,195,199.6,193,193.85,40000
2025-08-07,195.85,204.9,194,196.05,57000
2025-08-08,196.05,198.95,195,196.95,34000
2025-08-11,197,197,188,190,101000
2025-08-12,191,194.8,189.25,189.75,48000
2025-08-13,188.1,216.95,188.1,211.65,217000
2025-08-14,208,210,202.1,206.55,50000
2025-08-18,206.55,207.95,195,199.2,69000
2025-08-19,199,211.05,199,204.15,76000
2025-08-20,203.15,208,200.6,201.95,32000
2025-08-21,202.05,204.3,192,195.7,63000
2025-08-22,198,199,195,196.85,22000
2025-08-25,197,201,195.05,200.1,48000
2025-08-26,201,207,199,199.9,87000
2025-08-28,202,204,197.05,198,42000
2025-08-29,199,201,197.5,198.25,22000
2025-09-01,199,201.9,196.5,197,24000
2025-09-02,195,198,194,195.75,58000
2025-09-03,195.95,201,194.15,195,29000
2025-09-04,192.55,199,189,193.25,48000
2025-09-05,193.25,194.2,192,193.85,7000
2025-09-08,195.5,195.5,191.5,192.6,48000
2025-09-09,190.6,195,190.55,192,28000
2025-09-10,193,194,188,190.85,38000
2025-09-11,190,193.95,186,192.9,90000
2025-09-12,195,207.5,195,197.55,114000
2025-09-15,197.55,199,192,193.75,47000
2025-09-16,193.8,198.95,193.8,195.4,31000
2025-09-17,195.5,195.8,190.1,192.6,21000
2025-09-18,192,195,192,195,20000
2025-09-19,192,215,192,209.75,678000
2025-09-22,208.75,214.7,203,204.3,298000
2025-09-23,204.5,206,197.95,202.9,170000
2025-09-24,201,203.75,200,202.35,45000
2025-09-25,201.05,203,196.8,200.35,52000
2025-09-26,198,199.8,195,195.85,29000
2025-09-29,196.5,202.8,195.55,201.2,42000
2025-09-30,202,202,195,195.7,38000
2025-10-01,196.95,199,193.5,194.1,14000
2025-10-03,194.5,196,187.3,192.25,62000
2025-10-06,192.45,193,189,190.5,40000
