Date,Open,High,Low,Close,Volume
2005-12-15,40.2,46.18,39.72,40.39,10552010
2005-12-16,40.7,48.47,39.62,48.47,9228351
2005-12-19,50,57.78,49.6,55.44,11239049
2005-12-20,56,56,50.05,50.98,4780017
2005-12-21,50.6,57.76,50.6,55.11,10594597
2005-12-22,54.6,56.7,53.64,54.23,3033072
2005-12-23,54.41,55.56,53.52,53.76,2064929
2005-12-26,53.94,54.16,49.66,51.11,2474415
2005-12-27,51.4,54.08,50.4,53.38,2189708
2005-12-28,53.6,58.26,53.12,57.18,4204045
2005-12-29,57.2,58.35,55.73,56.14,1952210
2005-12-30,56.4,57.12,55.04,55.85,1046694
2006-01-02,56,56.69,55.06,55.41,364993
2006-01-03,55.6,56.71,55.4,55.76,340529
2006-01-04,56.05,59.46,55.58,58.43,1333213
2006-01-05,58.8,60.79,57.85,58.47,1677764
2006-01-06,58.88,59.5,57.8,58.09,469129
2006-01-09,58.46,59.08,57.42,57.98,204344
2006-01-10,58,69.48,58,67.91,5320810
2006-01-12,67.4,70.85,65.7,66.6,2279545
2006-01-13,66.76,71.74,66.65,68.47,2619688
2006-01-16,70,75.36,69,70.55,1894908
2006-01-17,71.2,71.68,66.92,69.09,1327902
2006-01-18,55.4,70.58,55.4,68.19,732451
2006-01-19,68.4,69.48,67.33,67.71,442990
2006-01-20,68.24,70.77,67.64,68.74,648139
2006-01-23,68.4,70.4,67.8,68.16,590275
2006-01-24,68.57,70.4,68.3,68.5,400623
2006-01-25,69.19,70.16,66.64,67.07,231818
2006-01-27,67.87,79.8,67.6,77.97,2666994
2006-01-30,70.02,80.2,70.02,72.26,1441447
2006-01-31,72.74,81.27,71.46,77.13,4884767
2006-02-01,77.1,77.5,72.09,72.7,1571735
2006-02-02,73,77.27,72.93,75.97,1385710
2006-02-03,76.3,77,73.09,76.42,960493
2006-02-06,76.6,80.74,75.6,79.34,2322537
2006-02-07,79.59,79.8,76.44,76.93,795424
2006-02-08,77.07,77.07,75,75.42,353510
2006-02-10,75.8,78.38,75.6,77.69,502445
2006-02-13,77.4,78.35,75.27,76.39,216842
