Date,Open,High,Low,Close,Volume
2003-09-05,30.1,30.5,29.8,30.37,25226
2003-09-08,30.4,30.45,30.03,30.11,30072
2003-09-09,30.3,30.48,29.3,29.35,45531
2003-09-19,27.5,27.5,27.5,27.5,50
2003-09-22,31.45,31.45,31.45,31.45,100
2003-09-24,27.5,27.5,26.15,26.15,150
2003-09-26,26.9,28,26.9,28,110
2003-09-29,28.2,29,28.2,29,286
2003-09-30,30.39,30.39,28.5,28.5,170
2003-10-01,29,29.3,29,29.18,275
2003-10-03,29,29,28.3,28.3,770
2003-10-06,29,29.5,29,29.1,1455
2003-10-07,29.5,29.8,29,29,2030
2003-10-08,28.9,29.5,28.9,29.01,1023
2003-10-09,28.4,29.6,27.67,29.47,1155
2003-10-10,29.5,29.7,28.85,28.85,1763
2003-10-13,29,29,28.4,28.95,3641
2003-10-14,29,29,28.5,28.5,4395
2003-10-15,28.6,28.6,27.52,27.84,1085
2003-10-16,29.5,29.5,28.01,28.16,1198
2003-10-17,28,28.4,27.7,27.9,1311
2003-10-20,28.31,28.39,27.88,27.92,1371
2003-10-21,27.5,28,27.5,27.84,5190
2003-10-22,27.7,27.7,27.61,27.63,1405
2003-10-23,27.6,27.94,27.1,27.52,2100
2003-10-24,27.21,28,27.21,28,1219
2003-10-25,28.39,28.4,28,28,211
2003-10-27,27.51,28.4,27.51,28.03,1262
2003-10-28,27.83,28,27.83,27.94,1057
2003-10-29,28,28,27,27.73,2578
2003-10-30,27.7,28,27.7,28,3416
2003-10-31,27.7,28.4,27.41,27.46,861
2003-11-03,28,28.39,27.5,27.53,3013
2003-11-04,27.24,28.19,26.2,27.62,3928
2003-11-05,27.3,28.5,27.3,28.28,2335
2003-11-06,28.5,28.9,28,28.11,1985
2003-11-07,28.7,29,28.2,28.25,1355
2003-11-10,28.3,28.3,27.85,28.03,1110
2003-11-11,27.9,28.4,26.5,27.99,2222
2003-11-12,27.8,28.54,27.8,28.48,4804
2003-11-13,28.5,28.6,27.9,28.19,2132
