Date,Open,High,Low,Close,Volume
2025-02-14,122,122,115.9,116.05,1084000
2025-02-17,113,118.9,110.3,117,136000
2025-02-18,115.05,122.85,115.05,118.7,187000
2025-02-19,120,121,116,118.25,32000
2025-02-20,117.55,120,114,119.1,118000
2025-02-21,119.5,120.35,116.5,118.1,65000
2025-02-24,115.5,119.8,113.05,115.6,87000
2025-02-25,114,121.35,114,118.85,50000
2025-02-27,118.85,118.85,115,115.4,84000
2025-02-28,114,114,109.65,112.65,52000
2025-03-03,112.65,112.65,104.25,105.9,75000
2025-03-04,106.5,115.05,104,110.15,112000
2025-03-05,113.5,114,109.3,109.9,20000
2025-03-06,115,116.25,109,114.5,76000
2025-03-07,115.5,117,114,114.95,17000
2025-03-10,106.1,116.4,106.1,107.65,61000
2025-03-11,104.05,105.5,100,103.15,62000
2025-03-12,100,103,96,101.15,73000
2025-03-13,98.8,100.95,98.8,99.4,33000
2025-03-17,99.4,99.4,96.25,96.7,127000
2025-03-18,95,99,95,98.85,35000
2025-03-19,96,109.1,96,107.55,157000
2025-03-20,107.5,115,107,113.1,121000
2025-03-21,114,116.25,110,114.2,135000
2025-03-24,114.45,114.45,105.25,106.7,138000
2025-03-25,108,111,107.3,108.45,108000
2025-03-26,113.2,113.5,110.1,110.2,74000
2025-03-27,113.7,128.85,113.7,122.3,254000
2025-03-28,121.45,128,118,122.15,102000
2025-04-01,121.65,122,118.15,118.6,16000
2025-04-02,121.95,121.95,117.3,118.4,29000
2025-04-03,117,121.65,117,118.55,36000
2025-04-04,117.5,117.9,114.05,115,20000
2025-04-07,105,110,105,106.25,34000
2025-04-08,109.95,116.2,109.95,112.85,24000
2025-04-09,110,112.75,101.2,108.25,57000
2025-04-11,108.65,111,106.1,107.05,30000
2025-04-15,110.5,115.5,110.45,112.9,94000
2025-04-16,112.65,122.95,111.3,120.8,83000
2025-04-17,121,132.4,120.5,129.5,247000
2025-04-21,127.85,133,127.05,129.7,182000
2025-04-22,130,131,127,128.8,30000
2025-04-23,129.45,144.8,122.05,141.35,410000
2025-04-24,137.5,151,137.5,148,244000
2025-04-25,149.5,149.5,133.8,142.25,150000
2025-04-28,142,146.5,141.95,143.95,54000
2025-04-29,143.95,143.95,138.5,138.5,30000
2025-04-30,140,140,133.1,134.3,23000
2025-05-02,137,137.5,133,134,13000
2025-05-05,134,137.5,134,137.35,18000
2025-05-06,135,135,129.2,129.55,26000
2025-05-07,130,144.7,127.1,143.75,152000
2025-05-08,144.95,145,137.15,137.3,72000
2025-05-09,134.9,137,134.25,137,3000
2025-05-12,140,142,130.35,141.5,139000
2025-05-13,141.5,141.5,135.5,137.15,19000
2025-05-14,140,149.9,139.05,143.75,264000
2025-05-15,144.45,152.6,141.25,146.95,230000
2025-05-16,148.45,151.4,147.75,148.5,238000
2025-05-19,154.95,163.5,146.55,147.95,399000
2025-05-20,145.15,148.95,141.2,142.05,67000
2025-05-21,142.05,145,135.55,136.8,92000
2025-05-22,138.9,141.95,136,137.7,28000
2025-05-23,137.7,141.5,137,140.9,14000
2025-05-26,140.9,140.9,135.05,136.55,33000
2025-05-27,136,138,135,135.45,50000
2025-05-28,137,142.1,136,140,83000
2025-05-29,137.8,138.6,133.1,134.4,32000
2025-05-30,134.4,137.4,133.05,136.1,10000
2025-06-02,137.95,137.95,134.05,134.65,13000
2025-06-03,134.35,134.35,134.35,134.35,3000
2025-06-04,134.35,134.35,130.55,133.45,29000
2025-06-05,130.15,136,130.15,134.1,26000
2025-06-06,134,140.5,134,137.35,35000
2025-06-09,137,137,129.5,130.55,105000
2025-06-10,130.5,133.9,129.6,130.95,23000
2025-06-11,132,134.95,127.1,131.8,42000
2025-06-12,134.4,135,133,133.15,19000
2025-06-13,130,131.65,128.5,129.65,25000
2025-06-16,131.2,131.2,119.9,122.2,143000
2025-06-17,126.9,130.8,123.9,126.05,78000
2025-06-18,126,128.5,124,124.45,36000
2025-06-19,124.3,125,122.5,124.9,21000
2025-06-20,124.7,125.6,122,123.15,26000
2025-06-23,124,129,121,124.5,45000
2025-06-24,128,128,124.6,126.35,15000
2025-06-25,130,130,125.3,128,17000
2025-06-26,128.1,128.1,125,126.5,18000
2025-06-27,126.5,126.5,125,125.2,13000
2025-06-30,125,125,121.7,122.3,43000
2025-07-01,122.85,125,122,123.25,33000
2025-07-02,122.25,122.25,120.35,121,10000
2025-07-03,121.3,127,119.25,124.3,74000
2025-07-04,125,131,124.2,128,79000
2025-07-07,128,128,124,124.9,17000
2025-07-08,125,127.7,124.9,127.65,14000
2025-07-09,128,128,120.3,121.8,65000
2025-07-10,124,130,124,129.75,37000
2025-07-11,129.95,142,129.95,136.25,183000
2025-07-14,138,140.95,134.3,138.9,135000
2025-07-15,139,141.4,136.25,138.35,27000
2025-07-17,133.9,133.9,129.6,130.25,17000
2025-07-18,131.5,143.95,131.5,139.6,99000
2025-07-21,140.15,141.7,135,135.5,43000
2025-07-22,136,150,136,147.35,286000
2025-07-23,145,149,144.2,146.95,32000
2025-07-24,147.45,148,140.25,141,31000
2025-07-25,142,142.5,137,137.7,17000
2025-07-28,141,143.5,138.5,139.15,30000
2025-07-29,140,140,137.7,138.4,25000
2025-07-30,138.4,142.5,138,138.9,27000
2025-07-31,140.75,140.75,137.5,137.8,9000
2025-08-01,138,139,135,137.85,22000
2025-08-04,137.85,141.5,135,136.05,28000
2025-08-05,136.5,138,134,137,40000
2025-08-06,137,137,134.5,134.75,26000
2025-08-07,134,135.9,123,129.1,59000
2025-08-08,131.9,131.9,126.55,131.2,13000
2025-08-11,130,134.5,126.65,131,20000
2025-08-12,131.55,131.55,129,129,6000
2025-08-13,127.1,130.8,127.1,130.8,3000
2025-08-14,128.1,129.95,128.1,129.75,10000
2025-08-18,128.6,130.4,127.05,129.95,13000
2025-08-19,129.5,131.5,129.5,129.5,4000
2025-08-20,129,130.2,127.8,127.8,5000
2025-08-21,130,133,130,133,4000
2025-08-22,131,131,128,128.8,9000
2025-08-25,128.9,128.9,128.9,128.9,1000
2025-08-26,130,140.1,128,135.95,164000
2025-08-28,138.05,138.05,130.1,135.8,66000
2025-08-29,132.5,134,132.5,132.6,3000
2025-09-01,133.15,133.15,129,130.1,38000
2025-09-02,136.7,144.9,135.95,140.8,234000
2025-09-03,141.7,147.9,139.5,142.8,99000
2025-09-04,142.8,152.1,142,149.05,388000
2025-09-05,150,157.85,141.65,144.95,347000
2025-09-08,145,149.4,141.25,144.45,77000
2025-09-09,145,147.1,142.2,142.35,76000
2025-09-10,143.5,144.6,138.55,139.8,61000
2025-09-11,139.8,141.95,137.8,138.1,27000
2025-09-12,141.5,155.25,137.1,139.4,371000
2025-09-15,141.5,148.7,141,145.45,137000
2025-09-16,143.8,151.5,143.8,147.2,69000
2025-09-17,148.5,149,144,145,23000
2025-09-18,144,159,143.4,158.1,475000
2025-09-19,159.4,163,154.1,157.4,272000
2025-09-22,153.75,156,149.1,149.6,94000
2025-09-23,150.05,155,143.1,145.05,175000
2025-09-24,150,151,147.1,147.15,117000
2025-09-25,149,150.9,138,139.05,129000
2025-09-26,138,142,135.5,136.3,50000
2025-09-29,139.3,140,138.4,140,8000
2025-09-30,138,139.5,127,135.65,77000
2025-10-01,138,138,133.7,134.65,26000
2025-10-03,136,136.25,132.5,134.65,25000
2025-10-06,134.65,138,134,135,28000
2025-10-07,135.2,137.9,132.55,132.55,28000
