Date,Open,High,Low,Close,Volume
2024-05-16,366,384.3,350.3,384.25,1707000
2024-05-17,365.05,365.05,365.05,365.05,53000
2024-05-18,346.8,368,346.8,352.95,330000
2024-05-21,355,370.55,335.3,370.55,306000
2024-05-22,389.05,389.05,370.55,389.05,331000
2024-05-23,384,397,369.6,369.6,171000
2024-05-24,370,370,351.15,352.05,144000
2024-05-27,352.05,369.65,352.05,365.45,69000
2024-05-28,365,365,347.2,347.2,77000
2024-05-29,340,344,329.85,329.85,66000
2024-05-30,340,346.3,340,346.3,53000
2024-05-31,348,364.9,329.9,332.35,52000
2024-06-03,362.7,364,322.4,346,63000
2024-06-04,291.1,331.9,290,313.5,49000
2024-06-05,319.5,344.95,312,336.3,92000
2024-06-06,348,349,318,328.35,53000
2024-06-07,328.35,331.95,320,324.4,33000
2024-06-10,308,328.95,308,322.35,33000
2024-06-11,325,339,320,330,46000
2024-06-12,325,352.8,325,348.45,38000
2024-06-13,351,357.9,338.1,342,22000
2024-06-14,340,410.4,340,409.85,580000
2024-06-18,420.05,459.95,420,439.7,144000
2024-06-19,436.5,436.5,396.05,412.05,47000
2024-06-20,409.1,458.8,389,440.5,152000
2024-06-21,452.95,467.8,428,431.7,74000
2024-06-24,411,419,389,397.4,152000
2024-06-25,400,409.95,392.6,400.85,60000
2024-06-26,400,404,370,381.2,94000
2024-06-27,384.1,384.1,359,369,108000
2024-06-28,374.8,385,368,374.35,83000
2024-07-01,381.95,383,370,375.05,52000
2024-07-02,393,393,361,372.3,41000
2024-07-03,372.35,409,366,385,102000
2024-07-04,393.95,393.95,373.1,377.7,43000
2024-07-05,374,385,374,379.4,32000
2024-07-08,379.4,380,360,363.1,52000
2024-07-09,360,368.9,340,366.5,75000
2024-07-10,366.55,370,358,361.7,17000
2024-07-11,365,375,355,358.65,78000
2024-07-12,363.5,365.5,340,343.7,69000
2024-07-15,343,355,343,346.7,23000
2024-07-16,345,355,336.05,348.05,17000
2024-07-18,355.5,355.5,337.95,342.2,31000
2024-07-19,332.05,340,323.15,331.9,32000
2024-07-22,335,344.95,335,341.75,19000
2024-07-23,341.75,357.2,332,345.5,60000
2024-07-24,350,359.5,350,357,20000
2024-07-25,357,362.95,350,355.55,22000
2024-07-26,355,364.5,354,362,14000
2024-07-29,360,374,360,362,19000
2024-07-30,371.95,405,364.25,384.6,207000
2024-07-31,395,404,365.1,369.85,47000
2024-08-01,370,370,356,359,28000
2024-08-02,351.15,362.5,350,354.65,29000
2024-08-05,350,377.95,350,353.45,29000
