Date,Open,High,Low,Close,Volume
2023-09-21,282.05,291,268,279.9,20614554
2023-09-22,279.2,284.95,265.65,267.7,2502985
2023-09-25,267.65,269.25,247,252.65,1817299
2023-09-26,252.55,261.5,252.25,256.1,1153698
2023-09-27,257,258.65,246.5,248.6,963254
2023-09-28,250,271.4,248.7,259.1,3151085
2023-09-29,263.45,272.7,262.5,266.35,1339940
2023-10-03,268.25,292.2,267.5,287.5,3050026
2023-10-04,287.5,291.6,275,276.75,1614833
2023-10-05,279.5,304.4,278.15,304.4,2805736
2023-10-06,313.05,333.4,310,323.15,4343638
2023-10-09,320,332.85,308,312.05,2569485
2023-10-10,318,328.85,315.25,317.05,1092241
2023-10-11,320,326.75,315,322.9,808979
2023-10-12,331.8,334.7,322.05,325.35,1178824
2023-10-13,323,332.6,321.45,327.3,815527
2023-10-16,327,329.35,315.55,318.5,777368
2023-10-17,321.8,323.4,311,312.45,394259
2023-10-18,314,315.4,300.3,303.1,604581
2023-10-19,303,316,299.95,309.5,525995
2023-10-20,310.8,317.5,296,301.95,583740
2023-10-23,306.05,309.55,289.8,292.85,663204
2023-10-25,296.1,300.95,277.2,289.7,711579
2023-10-26,286.95,289.3,277.05,286.1,519697
2023-10-27,290.25,302,289,299.25,652535
2023-10-30,302,305,296,296.95,313010
2023-10-31,298.7,303.95,292.15,293.15,259887
2023-11-01,294,306.05,293.25,300.95,679904
2023-11-02,304.7,306,294.7,297.5,326889
2023-11-03,300,304.9,298.8,301.5,216904
2023-11-06,303.55,318.4,303.55,316.45,630252
2023-11-07,319.65,325.7,318.35,324.75,976226
2023-11-08,325.2,355,324.05,348.85,1804742
2023-11-09,352.75,361.8,345.65,351.05,1113617
2023-11-10,352.05,363.1,344.3,361.15,811042
2023-11-12,365,375.6,365,374.15,457771
2023-11-13,375.6,383.05,364.3,379.5,1243481
2023-11-15,417.45,417.45,405,417.45,1019506
2023-11-16,438.3,438.3,438.3,438.3,106696
2023-11-17,449,449,423.3,427.25,1499158
2023-11-20,429.4,431.9,409.1,411.95,405111
2023-11-21,415.95,432.5,413.3,432.5,265936
2023-11-22,442.8,454.1,438.55,454.1,805288
2023-11-23,460,476.8,436.1,456.95,1706804
2023-11-24,459.9,467,439,441.4,505970
2023-11-28,452,454.8,434,444.25,333680
2023-11-29,448,453.7,440,443.15,249969
2023-11-30,443,447,433,435.2,207337
2023-12-01,439.9,456.95,437.45,456.95,236922
2023-12-04,479.7,479.75,477,479.75,139344
2023-12-05,487.6,487.6,458,463.95,516761
2023-12-06,463.9,468.9,448.1,460.45,247631
2023-12-07,464,472.5,453.65,461.6,287021
2023-12-08,466.95,466.95,455,456.9,125811
2023-12-11,459.95,459.95,448,449.25,140171
2023-12-12,452,455,438.15,444.45,231317
2023-12-13,446.2,449.7,438.2,443.9,232212
2023-12-14,445,453.25,428.4,432.45,336660
2023-12-15,437,444,425.8,436.9,689448
2023-12-18,439,440.6,424.35,425.5,228361
2023-12-19,427.05,433,420,423.7,311292
2023-12-20,424,428.65,402.55,405.2,394842
2023-12-21,403,420.65,399.4,416.3,359260
2023-12-22,424.8,424.8,406.2,416.9,351214
2023-12-26,437.7,437.7,437.7,437.7,164177
2023-12-27,459.55,459.55,434,437,811817
