Date,Open,High,Low,Close,Volume
2024-09-24,106.4,111.7,106.4,111.7,976000
2024-09-25,117.25,117.25,117.25,117.25,122000
2024-09-26,123.1,123.1,115,123.1,2118000
2024-09-27,128,128,116.95,121,884000
2024-09-30,120,122,114.95,117.95,310000
2024-10-01,117.95,123.8,112.05,123.65,478000
2024-10-03,122.7,129.8,117.9,129.8,260000
2024-10-04,132,136.25,127,136.25,146000
2024-10-07,143.05,143.05,129.45,141.3,396000
2024-10-08,134.25,141.95,134.25,135,252000
2024-10-09,132,145,116,119.85,644000
2024-10-10,122.95,123.4,112,116.95,354000
2024-10-11,115.1,120,115.05,115.95,148000
2024-10-14,116.8,118,114,115.65,86000
2024-10-15,114,118.5,114,115.55,86000
2024-10-16,115,115.55,113,114.15,68000
2024-10-17,113,113,108.85,109.35,76000
2024-10-18,108.25,109.35,99.15,102.15,320000
2024-10-21,102.5,102.5,90,91.6,212000
2024-10-22,89.05,98,89.05,97.65,236000
2024-10-23,98.1,100,93.6,98.9,714000
2024-10-24,102,103,95,95.35,80000
2024-10-25,95.5,95.5,92,93.65,32000
2024-10-28,93.65,103.5,90,91.2,210000
2024-10-29,91.15,94.9,91.15,92.8,40000
2024-10-30,96.85,100,95.65,98.2,132000
2024-10-31,98.2,100,96.75,98.3,160000
2024-11-01,97.25,102,97.25,100.75,42000
2024-11-04,102.05,102.05,98.15,98.5,96000
2024-11-05,94,96.8,89.4,94.4,362000
2024-11-06,96.2,98.65,94.4,97.45,168000
2024-11-07,96.35,100,96.35,99.15,104000
2024-11-08,101,118.95,101,114.45,784000
2024-11-11,115,126.8,108,121.5,520000
2024-11-12,122.4,127,120,120.75,236000
2024-11-13,118,119.9,113.05,113.95,148000
2024-11-14,114,114.5,108.5,109.5,48000
2024-11-18,109.5,113.45,105.1,110,42000
2024-11-19,117,117,113,113,80000
2024-11-21,114.8,117,112.35,115.3,56000
2024-11-22,115.5,122.65,114.65,121.7,112000
2024-11-25,122.7,125,117.4,118.55,90000
2024-11-26,119.95,121.7,115,117.7,72000
2024-11-27,118.2,127,118.1,119.15,358000
2024-11-28,119.8,123,118.5,121.85,206000
2024-11-29,127.4,127.4,117,117.35,588000
2024-12-02,117.25,117.25,112,114.2,112000
2024-12-03,114,123,114,122.1,254000
2024-12-04,123.4,123.5,120,120.1,190000
