Date,Open,High,Low,Close,Volume
2025-09-23,272.1,278,247.06,248.38,11746338
2025-09-24,247,251.7,243,248.39,1866074
2025-09-25,246.2,247.3,243.5,243.71,654335
2025-09-26,243,243.5,233.55,234.69,593931
2025-09-29,234.7,238,225,229.97,615733
2025-09-30,232,251.9,231.5,248.77,1855995
2025-10-01,248,255.25,246.48,252.52,960354
2025-10-03,250,256,249.75,254.35,561223
2025-10-06,253,258.4,250.09,252.77,473903
2025-10-07,251.11,256.46,250.08,254.65,361687
2025-10-08,255,261,252.45,253.33,284642
2025-10-09,253.99,271.4,250.17,263.2,854535
2025-10-10,261,269.15,261,262.95,397075
2025-10-13,256,264.4,255.1,263.41,368743
2025-10-14,262.51,265.99,256.88,259.12,378721
2025-10-15,259.12,267.59,258,265.23,349028
2025-10-16,263.01,271.38,261.87,267.55,385216
2025-10-17,268.23,278.5,265,270.15,598824
2025-10-20,264.22,269,252.71,254.6,1088518
2025-10-21,252,260,251.99,257.74,99284
2025-10-23,258,276.17,256.22,273.1,1011431
2025-10-24,274.45,297.3,274.45,287.05,2098064
2025-10-27,288,299.59,286.35,297.97,1281938
2025-10-28,297.97,305.7,293.72,299.4,696232
2025-10-29,300,304.5,298,303.21,360920
2025-10-30,306,330,303.36,320.92,1574941
2025-10-31,323.77,324.5,313,317.88,299904
2025-11-03,317,320.8,314.5,319.15,167032
2025-11-04,319.15,328.9,311.1,321.75,205075
2025-11-06,315,327,305.4,324.45,644859
2025-11-07,320.1,332.7,319,329.25,256171
2025-11-10,325.55,331.05,322.4,326.5,212328
2025-11-11,326.5,352,326.5,334.55,960893
2025-11-12,335,346,334.55,342.65,409025
2025-11-13,344.8,351.8,340.2,344.8,301973
2025-11-14,349.05,357,344,353.4,526176
2025-11-17,355,390,355,381.8,1795386
2025-11-18,378.9,378.9,364,367.5,350820
2025-11-19,367.3,367.3,350.25,355.15,394057
2025-11-20,355.15,365.65,354.55,361.05,222459
2025-11-21,361.05,362,347.6,352.15,163109
2025-11-24,352.15,363.9,352.1,353.85,190606
2025-11-25,354,367.8,354,362.15,302427
2025-11-26,362.3,366,358.6,364.15,117777
2025-11-27,364.9,374.9,346.05,351.2,426111
2025-11-28,353,358.75,338.55,340.9,160740
2025-12-01,344.3,352,336.35,340.5,491176
2025-12-02,337.1,348,337.05,345.45,214021
2025-12-03,343,348,343,346.05,83326
2025-12-04,342.25,357,342.25,352.35,126568
2025-12-05,348.85,354,342.75,347.1,127987
2025-12-08,342.65,344.9,313.55,316,299165
2025-12-09,316.45,321.05,309.3,319.1,137789
2025-12-10,319.1,324.8,309.3,312.35,61551
2025-12-11,313.9,318.4,302,303.9,71933
2025-12-12,308.45,308.55,299.65,301.6,61217
2025-12-15,303.1,305,291,293.5,110910
2025-12-16,294.95,295.8,291,291.65,116841
2025-12-17,293,305.55,290.15,293,173602
2025-12-18,293,311,293,299.1,388184
2025-12-19,301.5,303.05,295.1,297.05,94072
2025-12-22,296,305.75,296,299.9,94666
2025-12-23,299.9,306.05,298.6,300.95,62726
2025-12-24,298,302.2,294.1,295.5,86383
2025-12-26,291.05,305,291.05,300.4,68598
2025-12-29,300.1,307,300,300.7,75144
2025-12-30,300.7,307.9,300.7,307.5,60217
2025-12-31,310.5,318.4,307.1,308.1,73054
2026-01-01,301,315,301,311.4,36806
2026-01-02,312,313.3,306.05,311.85,39516
2026-01-05,311.85,320,309,309.95,53601
2026-01-06,311.5,317.05,306.1,312.8,66760
2026-01-07,312.8,316,309.5,311.4,56992
2026-01-08,310,314.85,298.1,301.3,99658
2026-01-09,302.8,302.8,283,288.4,94445
2026-01-12,288,288,265,272.55,197381
2026-01-13,272.55,281,271.5,278.05,31644
2026-01-14,279.4,282.95,266,268.65,144985
2026-01-16,268,271.55,255,256.85,114480
2026-01-19,256.85,265,252.6,260.65,105639
2026-01-20,260,262.05,250.1,252.85,89329
2026-01-21,252.85,255.1,238.05,244.3,95064
2026-01-22,244.3,276.1,241.2,253.2,292649
2026-01-23,254.45,254.5,239,241.7,83421
2026-01-27,241.7,244.1,230,236.2,66301
2026-01-28,237.35,239.25,234.4,237.55,26791
2026-01-29,238.75,238.75,229.25,233.7,69370
2026-01-30,233.7,268,205.1,219.2,4572109
2026-02-01,226.5,263.04,221.76,247.24,4443583
2026-02-02,240,252.63,233.01,237.19,1284273
2026-02-03,244.79,247.81,230.1,237.74,571077
2026-02-04,241.9,270,239.05,261.91,595540
2026-02-05,258,272,255.51,266.03,291977
2026-02-06,263.35,282.65,260.9,280.32,410548
2026-02-09,278.8,278.8,235.6,240.36,1069366
2026-02-10,243.24,243.24,228.8,230.17,596608
2026-02-11,232.93,239,226.51,234.57,459284
